	T2	T2_cutoff	DModX	DModX_cutoff	Outlier
7	17.453348136221937	65.12414603030601	1.8343535053833124	2.1452653161017303	False
8	19.656823376710932	65.12414603030601	1.1815961731430047	2.1452653161017303	False
9	29.648453448771797	65.12414603030601	1.410007580055186	2.1452653161017303	False
10	16.61124256155195	65.12414603030601	1.5625212165025177	2.1452653161017303	False
11	10.371429742425617	65.12414603030601	1.8212032337118218	2.1452653161017303	False
12	23.294734733686294	65.12414603030601	1.5983045180783408	2.1452653161017303	False
20	37.75717641021467	65.12414603030601	1.4188872143067293	2.1452653161017303	False
21	7.221597619642678	65.12414603030601	2.3530800971411394	2.1452653161017303	True
22	18.50724332511794	65.12414603030601	1.3564508679312621	2.1452653161017303	False
23	16.097673100119	65.12414603030601	1.8040317512132416	2.1452653161017303	False
24	29.33465099492067	65.12414603030601	1.375996164783252	2.1452653161017303	False
33	32.21883385586575	65.12414603030601	1.7493717031981564	2.1452653161017303	False
34	37.64619933802865	65.12414603030601	1.821877994035533	2.1452653161017303	False
35	27.121280455803703	65.12414603030601	1.9015735188207494	2.1452653161017303	False
36	8.985765538141647	65.12414603030601	2.2017478912289596	2.1452653161017303	True
37	11.873118771381884	65.12414603030601	1.2497763403621505	2.1452653161017303	False
38	22.227843435172982	65.12414603030601	2.1086729323732367	2.1452653161017303	False
46	28.297827208336187	65.12414603030601	1.5298116226504237	2.1452653161017303	False
48	47.32068360943584	65.12414603030601	1.1304606473862908	2.1452653161017303	False
51	12.90795448065076	65.12414603030601	1.4347741062601123	2.1452653161017303	False
59	13.682131451212587	65.12414603030601	1.8927838501085297	2.1452653161017303	False
60	13.293200609387236	65.12414603030601	1.3351129802774588	2.1452653161017303	False
61	14.382762105509455	65.12414603030601	1.7737232025246523	2.1452653161017303	False
62	51.840214007803205	65.12414603030601	0.8391938660088196	2.1452653161017303	False
63	38.819338677558804	65.12414603030601	1.7394332186594508	2.1452653161017303	False
64	17.725137284923818	65.12414603030601	1.6825818229136733	2.1452653161017303	False
72	51.979328589495196	65.12414603030601	0.9988633334068555	2.1452653161017303	False
74	17.657921035977882	65.12414603030601	1.6663349997124794	2.1452653161017303	False
86	22.975316060450883	65.12414603030601	1.6321628499370702	2.1452653161017303	False
87	15.027169069904808	65.12414603030601	1.7313491165304025	2.1452653161017303	False
88	23.65398445982635	65.12414603030601	1.5062431139875603	2.1452653161017303	False
90	15.083417288022137	65.12414603030601	1.8512167471547545	2.1452653161017303	False
98	32.476510481185976	65.12414603030601	1.9084457556438617	2.1452653161017303	False
99	19.788997674814542	65.12414603030601	1.8444598695825718	2.1452653161017303	False
100	10.536086077104846	65.12414603030601	1.7157615881771384	2.1452653161017303	False
101	36.71981653008592	65.12414603030601	2.1600852950865552	2.1452653161017303	True
102	19.817507675907386	65.12414603030601	1.3502342963450555	2.1452653161017303	False
103	16.084216984524474	65.12414603030601	1.8424853245806647	2.1452653161017303	False
111	26.048032181369365	65.12414603030601	1.1803050603468577	2.1452653161017303	False
112	22.9798202584129	65.12414603030601	1.362113696153795	2.1452653161017303	False
113	19.064413016370786	65.12414603030601	1.500303123434724	2.1452653161017303	False
116	18.415189393669433	65.12414603030601	2.1193354432031533	2.1452653161017303	False
124	18.16091882757178	65.12414603030601	2.078956087532039	2.1452653161017303	False
125	27.268946026174522	65.12414603030601	1.236746341941368	2.1452653161017303	False
126	25.71981130735814	65.12414603030601	2.067109209513126	2.1452653161017303	False
127	16.38050460242956	65.12414603030601	2.2030037461738567	2.1452653161017303	True
129	10.85458715392132	65.12414603030601	1.8636686830288438	2.1452653161017303	False
137	31.338482712905925	65.12414603030601	1.2139697633539717	2.1452653161017303	False
138	13.892558977470177	65.12414603030601	1.3240616816788868	2.1452653161017303	False
139	21.169125802354706	65.12414603030601	1.9790542069241894	2.1452653161017303	False
140	22.37309069570466	65.12414603030601	1.596508738440373	2.1452653161017303	False
141	15.601527760472738	65.12414603030601	1.4402505153301812	2.1452653161017303	False
150	16.434734433309814	65.12414603030601	1.703213326709664	2.1452653161017303	False
151	15.286941172922356	65.12414603030601	1.8454986491801115	2.1452653161017303	False
152	43.4838748052681	65.12414603030601	1.2983822183595684	2.1452653161017303	False
153	43.23497158179843	65.12414603030601	1.4015175850866077	2.1452653161017303	False
154	26.38995048808091	65.12414603030601	2.0972417595310953	2.1452653161017303	False
155	18.32408735215308	65.12414603030601	1.8632084298911895	2.1452653161017303	False
163	12.722320887932451	65.12414603030601	1.1481226659209465	2.1452653161017303	False
167	13.155621000262743	65.12414603030601	1.797626673603819	2.1452653161017303	False
176	20.45099111144681	65.12414603030601	1.44318210556638	2.1452653161017303	False
177	18.152562244742786	65.12414603030601	2.088269225701968	2.1452653161017303	False
