ReplicateName	2'-Deoxyguanosine-5'-Diphosphate [[M+H]]/Adenosine 5'-diphosphate (ADP) [[M+H]]	2'-Deoxyguanosine-5'-Monophosphate [[M+H]]	2'-Deoxyinosine [[M+H]]	3-Methylhistidine [[M+Na]]	5'-Deoxyadenosine [[M+H]]	5-Hydroxyindoleacetate [[M+H]]	ATP [[M+H]]	Acetyl coenzyme A (Acetyl-CoA) [[M+H]]	Ademetionine [[M+H]]	Adenine [[M+H]]	Adenosine [[M+H]]	Adenosine phosphate [[M+H]]	Adenosine-3'-5'-Diphosphate [[M+H]]	Alpha-D-Glucose [[M+Na]]	Aminoadipate [[M+Na]]	Argininosuccinic acid [[M+H]]	Asparagine [[M+NH4]]	Biotin [[M+H]]	Choline [[M+H]]	Cytidine [[M+H]]	Cytosine [[M+H]]	D-(+)-Melibiose [[M+K]]/Trehalose [[M+K]]	D-(+)-Turanose [[M+Na]]	D-Fructose [[M+Na]]/D-Mannose [[M+Na]]	D-Galactose [[M+Na]]/Galactose [[M+Na]]	D-Glucose [[M+Na]]	Glucosamine 6-Phosphate [[M+H]]	Glucosamine [[M+H]]	Glutamic Acid [[M-H2O+H]]	Glutathione [[M+H]]	Guanosine-5'-Diphosphate [[M+H]]	Histidine [[M+H]]	Imidazoleacetic acid [[M+H]]	Indole-3-Ethanol [[M+H]]	Inositol [[M+Na]]	Isomaltose [[M+Na]]	L-Arginine [[M+H]]	L-Citrulline [[M+H]]	L-Glutamine [[M+H]]	L-Lysine [[M+H]]	L-Phenylalanine [[M+H]]	L-Threonine [[M+Na]]	L-Tryptophan [[M+NH4]]	L-Tyrosine [[M+Na]]	L-Valine [[M+H]]	Maltose [[M+K]]	Methionine [[M+H]]	N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]]	N2-Acetyl-L-ornithine [[M+H]]	Palatinose [[M+K]]	Pidolic Acid [[M+H]]	Sucrose [[M+K]]	Thymine [[M+H]]	d-Desthiobiotin [[M+K]]	gamma-Glutamylcysteine [[M+H]]	Experimental group
Inj00008-Positive-F11.d.DeMP	5642.306071550217	7965.8952362722275	999.0263816443207	135.47772394981519	202.84101645103885	41.91037503483492	625.7316458689306	956.1413467249547	2412.283214214335	3715.403479832342	119.88316579731848	52265.16164809273	5052.636841408935	438.5969480389701	4146.2031487950635	4085.774235954139	3476.611808122236	2550.6849178177436	1755.3624520404114	19790.46895540286	52.81971590340708	2610.1391707741373	4794.351972008209	89.6687093768561	216.3744943658919	438.5969480389701	196.88129667527102	3163.7459851877707	4932.753675611617	33873.32962699192	1115.010907903515	2674.466723153186	105.26326752935282	813.8410035834222	423.00238988647334	4552.636320644509	34390.874025677906	4658.874248058393	575.0493318733163	3.8986395381241783	24.366497113276115	17.543877921558803	646.1995034440826	10.233928787575968	1976.6102458289583	2175.4408622732917	1603.3155100535685	349.902898546645	648.1488232131446	2758.287473222856	5457.120693489319	2730.022336571456	105.26326752935282	400.58521254225934	426.32251053405605	Baseline growth without any supplementation or hyperosmotic stress.
Inj00021-Positive-F8.d.DeMP	2735.991499477555	3602.7368981670097	2045.6119650461958	87.02263039050747	116.03017385400997	4.641206954160399	104.42715646860897	1106.927858567255	786.6845787301876	6808.650601753305	3.480905215620299	27506.113013831604	2648.9688690870476	2162.802440638746	283.1136242037843	46.412069541603984	1061.6760907641913	2.3206034770801995	219.29702858407884	1878.5285146964213	145.03771731751246	1357363.9049085346	5336885.586631671	1509.5525618406696	1906.3757564213838	1994.5586885504313	9.282413908320798	1446.8962679595043	10992.698670928905	27126.69434532899	194.004967294352	1038.4700559933892	1595.4148904926371	1883.1697216505818	1784.5440738746734	4882662.265045377	6050.973566486619	3397.363490445412	18.564827816641596	4.641206954160399	2.3206034770801995	277.31211551108385	660.2116892293167	12.183168254671047	1321.5836801971736	990694.6319090006	2005.0014041972922	176.36586425809514	31.32814694058269	1449986.1514892366	11989.39786433485	1453181.622477176	1835.5973503704377	80.06081995926688	48.73267301868419	Growth under hyperosmotic stress without any supplementation.
Inj00023-Positive-G12.d.DeMP	6030.153846153847	12119.179487179488	1862.871794871795	94.61538461538461	2.628205128205128	22.076923076923077	167.15384615384616	110.38461538461539	2244.4871794871797	6866.974358974359	1627.3846153846155	58073.8717948718	5577.051282051282	137.71794871794873	3902.3589743589746	12368.333333333334	1932.2564102564104	3164.3589743589746	2835.3076923076924	21101.333333333336	169.25641025641028	7332.692307692308	62466.12820512821	152.43589743589743	167.15384615384616	137.71794871794873	568.7435897435897	1891.2564102564104	514.0769230769231	32718.0	597.1282051282052	252.30769230769232	1410.820512820513	1248.923076923077	137.71794871794873	57452.5641025641	13831.71794871795	3436.641025641026	64.12820512820512	4.205128205128205	43.1025641025641	48.35897435897436	615.0	219.71794871794873	1571.6666666666667	5308.974358974359	1283.6153846153848	1996.3846153846155	31.53846153846154	7776.333333333334	1200.5641025641025	7743.74358974359	1404.5128205128206	276.4871794871795	4.730769230769231	Growth with valine supplementation without hyperosmotic stress.
Inj00026-Positive-H1.d.DeMP	6858.326848249027	7096.429961089494	3661.284046692607	379.28988326848247	230.92412451361866	131.6147859922179	5.384241245136186	632.9474708171206	854.2996108949416	7977.052529182879	57.43190661478599	54421.51750972762	6434.76653696498	498.9396887159533	5136.566147859922	3345.408560311284	5000.165369649805	1381.955252918288	2748.3560311284045	17824.23151750973	13.16147859922179	1200.0875486381321	7912.441634241245	1214.4455252918287	1235.9824902723735	508.5116731517509	185.45719844357976	3847.9377431906614	5429.708171206225	47012.80155642023	47.85992217898833	564.7470817120623	1237.1789883268482	2620.3307392996107	393.64785992217895	7862.188715953307	23563.8326848249	3822.8112840466924	406.8093385214008	284.76653696498056	2.3929961089494163	169.90272373540856	615.0	279.9805447470817	2099.8540856031127	1200.0875486381321	3086.964980544747	100.50583657587548	38.28793774319066	1170.1750972762645	5939.416342412451	1006.2548638132296	1179.7470817120623	238.1031128404669	635.34046692607	Baseline growth without any supplementation or hyperosmotic stress.
Inj00034-Positive-C2.d.DeMP	2922.602962245965	2499.9239420162917	1138.7306498950738	97.32740597393794	3.4759787847834978	385.1384493540116	353.1594445340034	120.96406171046573	4920.5955677395195	1667.0794251821656	52.83487752870917	15849.072867098837	2675.11327276938	357.3306190757436	44.49252844522877	66.73879266784316	3950.102291027967	2.780783027826798	55.615660556535964	2149.545280510115	77.86192477915036	650440.4445153412	5096980.635194574	399.04236449314556	444.9252844522877	236.36655736527786	27.991415987081695	2212.1128986362182	798.0847289862911	33708.65186331645	91.76583991828434	5.561566055653596	2638.9630934076317	3393.9456854626073	115.40249565481213	4663342.549052235	5924.458240784994	10340.34168897395	3.4759787847834978	773.0576817358499	2.780783027826798	59.786835098276164	1165.1480886594286	386.52884086792494	1932.6442043396248	480271.81751899415	3388.3841194069537	4668.934703721195	22.246264222614386	690499.0144227002	1379.2683818020919	692036.7874370883	2615.326437671104	82.03309932089056	6.256761812610296	Growth with supraphysiological lysine supplementation under hyperosmotic stress.
Inj00036-Positive-A3.d.DeMP	2490.151140259353	7916.981219257713	1590.1591891489043	94.50782530928603	28.612460873453568	3.4681770755701296	71.96467431808018	388.4358324638545	580.0526158891041	5817.0	881.7840214637055	55581.00581308689	2054.894917275302	293.9280071545685	4630.883440155016	2785.8132359517067	2061.831271426442	2096.513042182143	2312.4070651363836	17674.697421374272	119.65210910716947	8862.926516619465	63380.93605604411	49.42152332687434	49.42152332687434	293.9280071545685	215.89402295424057	4061.2353554926217	7821.606349679534	36362.10254881502	790.7443732299895	2058.363094350872	852.3045163213593	1473.975257117305	293.9280071545685	58277.51348934267	28548.29959755552	2010.6756595617826	448.2618870174392	30.346549411238634	37.28290356237889	246.24057236547918	680.6297510806379	247.10761663437174	1089.0076017290207	5850.8147264868085	1705.4760769116112	1425.4207780593233	176.8770308540766	9708.294678789685	8229.984200327917	9743.843493814278	846.2352064391116	380.6324340438217	795.9466388433448	Growth with physiological lysine supplementation without hyperosmotic stress.
Inj00038-Positive-C7.d.DeMP	2883.42365317182	4326.8830092445005	711.2445011157156	263.8769525023908	10.4851769206248	3.4950589735416	7.8638826904686	214.072362129423	5988.783551163531	3733.5967484858143	2397.6104558495376	32006.002550207202	2741.0	203.5871852087982	375.718839655722	862.4058017213898	2339.0682180427157	1.7475294867708	138.0548294548932	2081.307618744023	113.589416640102	94721.34077143767	288998.56263946445	67.2798852406758	135.433535224737	203.5871852087982	26.229082681502483	2706.049410264584	1885.5843162256933	57089.16703857188	225.5589037041946	1414.6251195409627	1214.532993305706	2645.759642970991	203.5871852087982	263873.4574434173	7094.095951546063	1280.065349059611	76.0175326745298	858.9107427478482	11.3589416640102	104.85176920624801	502.414727446605	32.3292955052598	1076.4781638508127	67735.99043672298	1759.7621931781957	9667.333120816065	2.1844118584635	101482.5323557539	1815.6831367548612	102047.85814472425	1186.5725215173732	147.6662416321326	309.3127191584316	Growth with supraphysiological lysine supplementation without hyperosmotic stress.
Inj00039-Positive-G3.d.DeMP	2802.584358514254	3707.932274803894	1262.605304825503	158.65778434977764	41.05131483176064	13.313939945435886	4.992727479538457	442.6592244996542	267.38829390417067	7885.180932684403	875.3915514124094	33450.16461791221	2790.3799135642707	392.7612283903586	312.8775887177433	21.080404913606817	3211.988011836407	13.313939945435886	143.12485441343577	2600.6562693418095	134.24889444981184	1275636.3235470986	5010490.494415659	251.85536396782882	251.85536396782882	455.1722216571245	8.875959963623924	1113.9329754348023	9264.28321203247	29300.653334918024	197.6075345897142	858.7491264806146	2232.3039308514167	2592.8898043736385	92.0880846225982	4605126.51237195	9553.8614058457	7765.35547317548	59.91272975446148	4.437979981811962	7.766464968170933	147.56283439524773	125.37293448618792	598.0178025491618	939.7422611486829	948785.7548566202	1881.7035122882717	155.32929936341867	134.24889444981184	1352909.3214954128	9602.679185645633	1355709.6868639363	2412.042120114801	160.87677434068362	504.82022293111066	Growth under hyperosmotic stress without any supplementation.
Inj00048-Positive-H4.d.DeMP	5136.178477690289	6260.916010498688	625.4278215223097	533.236220472441	79.65354330708662	19.913385826771655	649.0288713910761	365.0787401574803	1144.6509186351707	6252.8031496062995	704.3438320209974	39373.188976377955	4567.5406824146985	489.7217847769029	4345.543307086615	2694.207349081365	2029.6902887139108	1284.0446194225722	2498.0236220472443	13640.669291338583	11.800524934383203	14174.643044619423	37670.963254593174	502.997375328084	579.7007874015749	399.005249343832	118.74278215223097	2425.7454068241473	3968.6640419947507	4266.627296587927	579.7007874015749	305.33858267716533	864.3884514435696	1020.745406824147	277.31233595800524	35417.800524934384	23799.446194225722	2240.6246719160104	173.3202099737533	2.9501312335958008	31.713910761154857	16.225721784776905	652.7165354330709	826.7742782152231	722.7821522309712	2933.9055118110236	907.1653543307087	145.29396325459317	109.89238845144357	14807.446194225722	4220.900262467192	14773.519685039371	843.0	112.10498687664042	104.72965879265092	Growth with physiological lysine supplementation without hyperosmotic stress.
Inj00049-Positive-F5.d.DeMP	4816.39751552795	6163.483695652173	1759.3229813664595	111.21195652173913	189.81288819875775	73.58385093167702	563.585403726708	38.464285714285715	1806.9852484472049	3726.0186335403723	812.7670807453416	41703.64751552795	4253.648291925466	265.9052795031056	4439.280279503106	204.027950310559	2193.3004658385094	1596.267857142857	2439.1374223602484	9537.47049689441	30.10248447204969	1672.3602484472049	12287.666925465837	59.368788819875775	141.31444099378882	265.9052795031056	63.54968944099379	2101.320652173913	1308.6218944099378	34195.58618012422	440.66692546583846	610.4114906832298	915.6172360248447	1990.1086956521738	275.1032608695652	11681.436335403727	5918.482919254658	3599.7554347826085	19.232142857142858	1614.6638198757762	6.6894409937888195	121.24611801242236	288.48214285714283	822.8012422360248	1077.0	1337.8881987577638	816.9479813664595	11337.766304347826	45.15372670807453	1717.5139751552795	1804.4767080745341	1674.8687888198756	880.4976708074533	773.4666149068322	17.559782608695652	Growth with physiological lysine supplementation without hyperosmotic stress.
