well	AUC	log_auc	final_value	TV	outlier
A1	22453.89	10.019219152146833	0.4541	0.31425000000000003	False
A2	14195.67	9.560692267581855	0.185	0.25215	True
A3	71197.35	11.173210877620342	2.2419000000000002	2.07415	False
A4	63428.76000000001	11.057672665343368	2.21305	2.0483000000000002	False
A5	46222.2	10.74121548115947	1.7861	1.6456	True
A6	18897.149999999998	9.846766396079353	0.38015	0.24305000000000002	False
A7	60043.020000000004	11.002816584299193	2.1244	1.9641	False
A8	71648.88	11.179532801605882	2.35985	2.1803	False
A9	54357.35999999999	10.90333530198274	2.0568999999999997	1.9179999999999997	False
A10	11332.169999999998	9.33540086269104	0.15825	0.24745000000000006	False
A11	22196.850000000002	10.007705665945924	0.49024999999999996	0.33714999999999995	True
A12	18601.679999999997	9.831007178256858	0.37865	0.25889999999999996	True
B1	58967.880000000005	10.984748167881978	2.10325	1.9345	False
B2	17395.409999999996	9.763961657357138	0.3302	0.20604999999999998	False
B3	18591.719999999998	9.830471599351055	0.3869	0.23640000000000005	False
B4	62223.9	11.038494449313369	2.1535	2.0027	False
B5	10230.299999999997	9.233109184126633	0.14525	0.2727	False
B6	15279.54	9.634269957620761	0.2878	0.18289999999999987	False
B7	10190.100000000002	9.229171939809442	0.14335	0.19000000000000003	False
B8	63139.2	11.05309709179098	2.2499	2.0882	False
B9	68569.44	11.135602233422835	2.2388	2.0721999999999996	False
B10	17981.55	9.797101511262175	0.33725	0.22005000000000005	False
B11	22051.47	10.001134545364884	0.48009999999999997	0.32535	False
B12	31505.069999999996	10.357903764274973	0.6980500000000001	1.51425	True
C1	66545.37	11.105639249667496	2.13315	1.96595	False
C2	62695.74	11.046048781745029	2.17335	2.0106	False
C3	60999.149999999994	11.018615208648527	2.13125	1.97485	False
C4	10670.100000000002	9.27520071641683	0.14250000000000002	0.18429999999999996	False
C5	19400.97	9.873078343853004	0.41195000000000004	0.24375000000000008	False
C6	20291.19	9.917942080730398	0.4075	0.23395	False
C7	55123.86	10.91733793228134	2.0463500000000003	1.9070000000000005	False
C8	10886.91	9.295316429198715	0.1462	0.19835000000000005	False
C9	17365.77	9.762256306320056	0.34199999999999997	0.23005000000000003	False
C10	53686.619999999995	10.890919087458398	1.99675	1.8712000000000002	False
C11	17217.0	9.753652546834555	0.3479	0.22400000000000003	False
C12	17689.35	9.780718042612166	0.363	0.22654999999999997	False
D1	16836.660000000003	9.731313930892108	0.32935000000000003	0.22659999999999994	False
D2	18029.730000000003	9.799777341099103	0.35875	0.22475000000000003	False
D3	10931.94	9.299444058650169	0.1457	0.13489999999999994	False
D4	63167.45999999999	11.053544574140226	2.11095	1.9527999999999999	False
D5	58612.2	10.97869814503968	2.0279499999999997	1.8618999999999997	False
D6	67568.46	11.12089658512178	2.1988000000000003	2.0282999999999998	False
D7	66253.95	11.101250364727713	2.1725000000000003	2.00335	False
D8	18963.420000000002	9.850267139342112	0.3778	0.22590000000000005	False
D9	51005.939999999995	10.83969737553213	1.93125	1.8082	False
D10	17864.429999999997	9.790566864043104	0.36014999999999997	0.20544999999999997	False
D11	10769.489999999998	9.284472415361618	0.1416	0.32325000000000004	False
D12	16197.12	9.692588727700095	0.3013	0.19399999999999995	False
E1	19656.420000000002	9.886159281544975	0.39895	0.27560000000000007	True
E2	10174.89	9.22767819953983	0.14400000000000002	0.10025000000000008	False
E3	78235.23000000001	11.267475336605294	2.6405	2.46095	True
E4	19894.710000000003	9.89820914627829	0.42164999999999997	0.27224999999999994	False
E5	17382.149999999998	9.763199096634546	0.36875	0.2321499999999999	False
E6	78530.79	11.271246056180793	2.5335	2.34895	True
E7	21813.990000000005	9.990306786113228	0.46945000000000003	0.3086500000000001	True
E8	16248.39	9.69574910598791	0.3067	0.15654999999999997	False
E9	17722.83	9.78260891801004	0.34995	0.20964999999999998	False
E10	50313.74999999999	10.826033678592665	1.9118	1.7625499999999998	True
E11	64361.700000000004	11.072274014694706	2.15505	1.9848000000000001	False
E12	11975.009999999998	9.390577257435343	0.1659	0.5904499999999999	True
F1	19414.199999999997	9.873760036114646	0.38555	0.2323	False
F2	58551.689999999995	10.977665232844995	2.1209499999999997	1.9667499999999996	False
F3	22156.530000000002	10.005887540197449	0.49695	0.33055	True
F4	10465.829999999998	9.255870943822975	0.14800000000000002	0.060950000000000004	False
F5	37175.52	10.523405759152515	0.58495	1.8536999999999997	True
F6	20852.309999999994	9.9452200125049	0.4558	0.29834999999999995	False
F7	60890.46000000001	11.016831791197175	2.1340500000000002	1.9886000000000001	False
F8	16044.39	9.683114534809413	0.30465	0.18525	True
F9	10137.9	9.224036155203809	0.1396	0.10310000000000004	False
F10	18386.789999999997	9.819387751030265	0.36519999999999997	0.22154999999999997	False
F11	64649.78999999999	11.076740135950335	2.17675	2.01645	False
F12	51122.28	10.841975689015353	1.9222000000000001	1.786	True
G1	11678.67	9.365519380121166	0.15255000000000002	0.1811500000000001	False
G2	75108.20999999999	11.226685152695906	2.365	2.1810500000000004	False
G3	22830.99	10.035874102622195	0.47485	0.31245	True
G4	19132.68	9.859153146767351	0.41125	0.27090000000000003	False
G5	54693.9	10.909507464842374	2.1052999999999997	1.9544999999999997	False
G6	72641.37	11.19328987324325	2.5114	2.34585	True
G7	17236.2	9.754767102346754	0.35314999999999996	0.22309999999999994	False
G8	17614.709999999995	9.776489627455032	0.37234999999999996	0.24424999999999997	False
G9	16622.58	9.718517291078985	0.3378	0.21109999999999998	False
G10	11204.250000000002	9.324048449679788	0.15545	0.11105000000000012	False
G11	58925.19000000001	10.98402395225395	2.1448	1.99415	False
G12	18347.070000000003	9.817225167763603	0.38965	0.2542499999999999	False
H1	65630.04000000001	11.091788796960193	2.2642499999999997	2.1117	False
H2	43074.44999999999	10.670685292910667	0.39525	2.8143499999999997	True
H3	15379.62	9.6407985354072	0.27815	0.16800000000000004	True
H4	67932.06	11.126263367075168	2.24565	2.093	False
H5	18404.73	9.8203629758332	0.36075	0.23055000000000003	False
H6	11067.6	9.311777200120027	0.1568	0.18420000000000009	False
H7	18479.97	9.824442721871847	0.40485000000000004	0.26515000000000005	False
H8	63942.27	11.065735924032445	2.20995	2.06245	False
H9	23387.640000000003	10.059962956710875	0.5188	0.34480000000000005	False
H10	72131.40000000001	11.186244734722917	2.3367500000000003	2.1751	False
H11	11573.069999999998	9.3564361264775	0.16365000000000002	0.19105	True
H12	48027.93000000001	10.779537995687233	1.8955	1.7530499999999998	False
