	Gene > Systematic Name	Gene > Phenotypes > Mutant Type	Gene > Phenotypes > Strain Background	Gene > Phenotypes > Experiment Type	Gene > Phenotypes > Observable	Gene > Phenotypes > Qualifier	Gene > Phenotypes > Chemical	Gene > Phenotypes > Condition	Gene > Phenotypes > Details
100637	YML055W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	zinc dichloride	 	
101606	YML097C		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	zinc dichloride	 	
103899	YMR058W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	zinc dichloride	 	
108398	YMR238W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	zinc dichloride	 	
108542	YMR243C		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	zinc dichloride	 	
115122	YNL206C		S288c	large-scale survey	resistance to chemicals	decreased	zinc dichloride	 	
118716	YNR005C		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	zinc dichloride	 	
118827	YNR006W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	zinc dichloride	 	
122957	YOL091W		S288c	large-scale survey	resistance to chemicals	increased	zinc dichloride	 	
125110	YOR036W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	zinc dichloride	 	
126544	YOR085W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	zinc dichloride	 	
130244	YOR270C		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	zinc dichloride	 	
138165	YPL179W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	zinc dichloride	 	
138674	YPL195W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	zinc dichloride	 	
144221	YPR170C		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	zinc dichloride	 	
144315	YPR173C		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	zinc dichloride	 	
145009	YKR035W-A		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	zinc dichloride	 	
574	YAL016W		S288c	systematic mutation set	chemical compound accumulation	decreased	zinc cation	 	
12314	YCL007C		S288c	systematic mutation set	chemical compound accumulation	decreased	zinc cation	 	
16505	YEL005C		S288c	systematic mutation set	chemical compound accumulation	decreased	zinc cation	 	
16546	YEL007W		S288c	systematic mutation set	chemical compound accumulation	decreased	zinc cation	 	
16579	YEL008W		S288c	systematic mutation set	chemical compound accumulation	decreased	zinc cation	 	
16789	YEL015W		S288c	systematic mutation set	chemical compound accumulation	decreased	zinc cation	 	
20216	YER080W		S288c	systematic mutation set	chemical compound accumulation	decreased	zinc cation	 	
23250	YHL021C		S288c	systematic mutation set	chemical compound accumulation	decreased	zinc cation	 	
23826	YHL036W		S288c	systematic mutation set	chemical compound accumulation	decreased	zinc cation	 	
26796	YHR104W		S288c	systematic mutation set	chemical compound accumulation	decreased	zinc cation	 	
26807	YHR105W		S288c	systematic mutation set	chemical compound accumulation	decreased	zinc cation	 	
27259	YHR126C		S288c	systematic mutation set	chemical compound accumulation	decreased	zinc cation	 	
27747	YHR154W		S288c	systematic mutation set	chemical compound accumulation	decreased	zinc cation	 	
35831	YKL103C		S288c	systematic mutation set	chemical compound accumulation	decreased	zinc cation	 	
36360	YKL119C		S288c	systematic mutation set	chemical compound accumulation	decreased	zinc cation	 	
37208	YKL155C		S288c	systematic mutation set	chemical compound accumulation	decreased	zinc cation	 	
38238	YKL211C		S288c	systematic mutation set	chemical compound accumulation	decreased	zinc cation	 	
48195	YDL185W		S288c	systematic mutation set	chemical compound accumulation	decreased	zinc cation	 	
59150	YDR382W		S288c	systematic mutation set	chemical compound accumulation	decreased	zinc cation	 	
59235	YDR385W		S288c	systematic mutation set	chemical compound accumulation	increased	zinc cation	 	
59755	YDR401W		S288c	systematic mutation set	chemical compound accumulation	increased	zinc cation	 	
60238	YDR426C		S288c	systematic mutation set	chemical compound accumulation	decreased	zinc cation	 	
60357	YDR432W		S288c	systematic mutation set	chemical compound accumulation	decreased	zinc cation	 	
63890	YGL020C		S288c	systematic mutation set	chemical compound accumulation	decreased	zinc cation	 	
73227	YGR159C		S288c	systematic mutation set	chemical compound accumulation	decreased	zinc cation	 	
90004	YLR119W		S288c	systematic mutation set	chemical compound accumulation	decreased	zinc cation	 	
106996	YMR186W		S288c	systematic mutation set	chemical compound accumulation	decreased	zinc cation	 	
114097	YNL154C		S288c	systematic mutation set	chemical compound accumulation	decreased	zinc cation	 	
131047	YOR304W		S288c	systematic mutation set	chemical compound accumulation	decreased	zinc cation	 	
131795	YOR331C		S288c	systematic mutation set	chemical compound accumulation	decreased	zinc cation	 	
134247	YPL045W		S288c	systematic mutation set	chemical compound accumulation	decreased	zinc cation	 	
143824	YPR155C		S288c	systematic mutation set	chemical compound accumulation	decreased	zinc cation	 	
146323	YBR182C-A		S288c	systematic mutation set	chemical compound accumulation	decreased	zinc cation	 	
11857	YBR290W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	zaragozic acid C	 	
18450	YEL062W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	zaragozic acid C	 	
23313	YHL023C		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	zaragozic acid C	 	
31441	YIL105C		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	zaragozic acid C	 	
71618	YGR089W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	zaragozic acid C	 	
72459	YGR122W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	zaragozic acid C	 	
124837	YOR030W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	zaragozic acid C	 	
11856	YBR290W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	zaragozic acid A derivative	 	
59477	YDR389W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	zaragozic acid A derivative	 	
64646	YGL045W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	zaragozic acid A derivative	 	
72458	YGR122W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	zaragozic acid A derivative	 	
106362	YMR154C		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	zaragozic acid A derivative	 	
117435	YNL294C		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	zaragozic acid A derivative	 	
124836	YOR030W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	zaragozic acid A derivative	 	
130390	YOR275C		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	zaragozic acid A derivative	 	
132	YAL002W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
164	YAL005C		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
379	YAL011W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
495	YAL013W		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
700	YAL020C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
1082	YAL026C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
1886	YAR003W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
1938	YAR014C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
2018	YAR018C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
2071	YAR029W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
2628	YBL021C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
3423	YBL051C		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
3920	YBL071C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
3986	YBL072C		S288c	systematic mutation set	resistance to chemicals	increased	wortmannin	 	
4750	YBL099W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
4868	YBL103C		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
6130	YBR058C		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
6502	YBR077C		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
6572	YBR078W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
6655	YBR081C		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
7804	YBR126C		S288c	systematic mutation set	resistance to chemicals	increased	wortmannin	 	
8144	YBR131W		S288c	systematic mutation set	resistance to chemicals	increased	wortmannin	 	
8276	YBR133C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
8810	YBR164C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
8885	YBR168W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
9163	YBR175W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
10169	YBR221C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
10339	YBR229C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
11335	YBR278W		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
11605	YBR284W		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
11883	YBR290W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
12112	YBR298C		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
12245	YCL005W		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
13350	YCL058C		S288c	systematic mutation set	resistance to chemicals	increased	wortmannin	 	
13483	YCL063W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
13761	YCR008W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
14588	YCR034W		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
14803	YCR044C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
15571	YCR068W		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
15636	YCR071C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
15859	YCR081W		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
15987	YCR084C		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
16272	YCR094W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
16766	YEL013W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
17293	YEL031W		S288c	systematic mutation set	resistance to chemicals	increased	wortmannin	 	
17512	YEL037C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
18179	YEL053C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
18312	YEL059W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
18401	YEL061C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
18996	YER019W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
19331	YER040W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
19610	YER052C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
20352	YER083C		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
21252	YER120W		S288c	systematic mutation set	resistance to chemicals	increased	wortmannin	 	
21908	YER151C		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
22132	YER155C		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
23612	YHL029C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
23697	YHL031C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
24411	YHR011W		S288c	systematic mutation set	resistance to chemicals	increased	wortmannin	 	
24503	YHR012W		S288c	systematic mutation set	resistance to chemicals	increased	wortmannin	 	
25220	YHR030C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
25279	YHR031C		S288c	systematic mutation set	resistance to chemicals	increased	wortmannin	 	
25348	YHR034C		S288c	systematic mutation set	resistance to chemicals	increased	wortmannin	 	
25604	YHR045W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
25979	YHR064C		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
26166	YHR073W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
26965	YHR111W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
27192	YHR120W		S288c	systematic mutation set	resistance to chemicals	increased	wortmannin	 	
27217	YHR121W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
28002	YHR167W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
28328	YHR183W		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
29039	YIL005W		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
29089	YIL007C		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
29736	YIL036W		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
29912	YIL040W		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
29957	YIL041W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
30257	YIL052C		S288c	systematic mutation set	resistance to chemicals	increased	wortmannin	 	
30847	YIL077C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
31307	YIL098C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
32456	YIL153W		S288c	systematic mutation set	resistance to chemicals	increased	wortmannin	 	
33131	YIR021W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
33638	YKL002W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
34235	YKL032C		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
34548	YKL041W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
34982	YKL057C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
35204	YKL073W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
35340	YKL077W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
35479	YKL080W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
35547	YKL081W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
35985	YKL110C		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
36423	YKL119C		S288c	systematic mutation set	resistance to chemicals	increased	wortmannin	 	
36698	YKL134C		S288c	systematic mutation set	resistance to chemicals	increased	wortmannin	 	
36754	YKL135C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
36933	YKL139W		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
38092	YKL204W		S288c	systematic mutation set	resistance to chemicals	increased	wortmannin	 	
38943	YKR007W		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
39273	YKR020W		S288c	systematic mutation set	resistance to chemicals	increased	wortmannin	 	
39496	YKR028W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
39666	YKR035C		S288c	systematic mutation set	resistance to chemicals	increased	wortmannin	 	
39803	YKR046C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
40281	YKR074W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
40705	YKR096W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
41247	YFL033C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
41455	YFL025C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
41566	YFL021W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
41795	YFL012W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
43320	YCR079W		S288c	systematic mutation set	resistance to chemicals	increased	wortmannin	 	
43559	YDL001W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
43802	YDL006W		S288c	systematic mutation set	resistance to chemicals	increased	wortmannin	 	
45633	YDL074C		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
46894	YDL118W		S288c	systematic mutation set	resistance to chemicals	increased	wortmannin	 	
46948	YDL119C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
46993	YDL122W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
47702	YDL160C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
48069	YDL181W		S288c	systematic mutation set	resistance to chemicals	increased	wortmannin	 	
48652	YDL198C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
49806	YDR017C		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
50082	YDR027C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
50200	YDR028C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
50329	YDR042C		S288c	systematic mutation set	resistance to chemicals	increased	wortmannin	 	
50413	YDR048C		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
50476	YDR049W		S288c	systematic mutation set	resistance to chemicals	increased	wortmannin	 	
50744	YDR067C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
50867	YDR069C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
50920	YDR071C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
51481	YDR080W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
51693	YDR093W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
51714	YDR095C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
52078	YDR114C		S288c	systematic mutation set	resistance to chemicals	increased	wortmannin	 	
52414	YDR126W		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
52742	YDR136C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
53376	YDR158W		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
53462	YDR159W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
53587	YDR162C		S288c	systematic mutation set	resistance to chemicals	increased	wortmannin	 	
53658	YDR169C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
53938	YDR176W		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
54299	YDR195W		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
54423	YDR200C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
54694	YDR207C		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
55499	YDR245W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
56657	YDR293C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
56852	YDR297W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
57410	YDR320C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
57834	YDR334W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
57915	YDR335W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
58051	YDR346C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
58347	YDR357C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
58624	YDR364C		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
59084	YDR378C		S288c	systematic mutation set	resistance to chemicals	increased	wortmannin	 	
59514	YDR389W		S288c	systematic mutation set	resistance to chemicals	increased	wortmannin	 	
59620	YDR392W		S288c	systematic mutation set	resistance to chemicals	decreased	wortmannin	 	
60030	YDR415C		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
60128	YDR418W		S288c	systematic mutation set	resistance to chemicals	increased	wortmannin	 	
60513	YDR435C		S288c	systematic mutation set	resistance to chemicals	increased	wortmannin	 	
60657	YDR442W		S288c	systematic mutation set	resistance to chemicals	normal	wortmannin	 	
