	Gene > Systematic Name	Gene > Phenotypes > Mutant Type	Gene > Phenotypes > Strain Background	Gene > Phenotypes > Experiment Type	Gene > Phenotypes > Observable	Gene > Phenotypes > Qualifier	Gene > Phenotypes > Chemical	Gene > Phenotypes > Condition	Gene > Phenotypes > Details
115428	YNL220W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
115559	YNL225C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
115829	YNL229C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
115883	YNL231C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
116572	YNL252C		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
116625	YNL255C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
116807	YNL268W		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
116832	YNL270C		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
116908	YNL271C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
117289	YNL288W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
117472	YNL294C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
117563	YNL296W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
117638	YNL297C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
117701	YNL298W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
117758	YNL299W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
117939	YNL307C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
118086	YNL315C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
118133	YNL319W		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
118224	YNL322C		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
118301	YNL323W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
118646	YNR001C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
118696	YNR004W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
118743	YNR005C		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
118891	YNR006W		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
118927	YNR007C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
119005	YNR010W		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
119361	YNR030W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
119410	YNR031C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
119432	YNR032W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
119569	YNR037C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
119657	YNR041C		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
119789	YNR047W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
119810	YNR048W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
119963	YNR051C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
120114	YNR052C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
120334	YNR075W		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
120472	YOL001W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
120501	YOL002C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
120545	YOL003C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
120643	YOL004W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
120737	YOL006C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
120951	YOL012C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
120983	YOL013C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
121033	YOL017W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
121238	YOL023W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
121494	YOL037C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
121681	YOL045W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
121698	YOL046C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
121763	YOL049W		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
121829	YOL050C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
121930	YOL051W		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
122185	YOL064C		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
122672	YOL081W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
122718	YOL084W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
122728	YOL085C		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
122786	YOL086C		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
123307	YOL109W		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
123723	YOL138C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
123784	YOL143C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
123948	YOL148C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
124036	YOL158C		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
124210	YOR002W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
124306	YOR006C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
124416	YOR008C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
124550	YOR014W		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
124669	YOR023C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
124864	YOR030W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
124889	YOR032C		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
124911	YOR033C		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
125021	YOR035C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
125326	YOR039W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
125472	YOR044W		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
125754	YOR061W		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
125913	YOR067C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
125991	YOR068C		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
126094	YOR069W		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
126167	YOR070C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
126273	YOR076C		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
126451	YOR082C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
126481	YOR083W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
126763	YOR091W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
126872	YOR099W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
127047	YOR106W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
127190	YOR113W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
127331	YOR123C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
127385	YOR124C		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
127428	YOR125C		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
127479	YOR128C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
127587	YOR132W		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
127724	YOR138C		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
127862	YOR141C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
128271	YOR162C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
128310	YOR164C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
128325	YOR165W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
128378	YOR170W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
128397	YOR171C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
128659	YOR186W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
128788	YOR192C		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
128957	YOR198C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
129002	YOR199W		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
129049	YOR200W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
129280	YOR209C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
129341	YOR211C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
129434	YOR216C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
129509	YOR221C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
129528	YOR222W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
129542	YOR223W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
129666	YOR233W		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
129749	YOR239W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
129831	YOR242C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
129859	YOR243C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
129916	YOR246C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
130068	YOR258W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
130199	YOR269W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
130279	YOR270C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
130424	YOR275C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
130541	YOR286W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
130555	YOR288C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
130564	YOR289W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
130676	YOR290C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
130719	YOR291W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
130738	YOR292C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
130903	YOR297C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
130938	YOR299W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
130957	YOR300W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
130987	YOR302W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
131149	YOR306C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
131337	YOR312C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
131369	YOR314W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
131537	YOR322C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
131603	YOR324C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
131621	YOR325W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
131950	YOR332W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
131985	YOR333C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
132010	YOR334W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
132201	YOR347C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
132320	YOR354C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
132358	YOR355W		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
132438	YOR358W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
132496	YOR359W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
132712	YOR368W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
132779	YOR371C		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
132958	YOR384W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
133138	YPL002C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
133675	YPL024W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
133890	YPL031C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
134016	YPL038W		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
134130	YPL042C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
134533	YPL051W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
134632	YPL055C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
134802	YPL059W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
134803	YPL059W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
135044	YPL065W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
135242	YPL077C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
135603	YPL086C		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
135738	YPL090C		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
135777	YPL091W		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
135883	YPL097W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
135928	YPL098C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
135954	YPL099C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
135987	YPL100W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
136053	YPL101W		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
136100	YPL102C		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
136214	YPL105C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
136313	YPL109C		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
136342	YPL111W		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
136374	YPL112C		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
136503	YPL118W		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
136524	YPL119C		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
136629	YPL120W		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
136694	YPL123C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
136875	YPL129W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
137005	YPL135W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
137107	YPL139C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
137214	YPL144W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
137315	YPL148C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
137377	YPL150W		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
137472	YPL154C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
137502	YPL156C		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
137690	YPL161C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
137868	YPL170W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
137972	YPL173W		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
138145	YPL178W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
138305	YPL181W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
138375	YPL184C		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
138461	YPL188W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
138568	YPL193W		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
138622	YPL194W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
138697	YPL195W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
138749	YPL198W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
138858	YPL203W		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
138953	YPL207W		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
139218	YPL222W		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
139324	YPL226W		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
139375	YPL227C		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
139411	YPL230W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
139927	YPL254W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
139972	YPL256C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
140123	YPL262W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
140284	YPL268W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
140750	YPR023C		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
140855	YPR024W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
141195	YPR039W		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
141223	YPR040W		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
141414	YPR047W		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
141503	YPR050C		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
141564	YPR051W		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
141648	YPR057W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
141715	YPR060C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
141835	YPR065W		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
142038	YPR070W		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
142287	YPR087W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
142311	YPR089W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
142326	YPR090W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
142553	YPR100W		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
143001	YPR123C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
143078	YPR124W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
143271	YPR131C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
143557	YPR139C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
143741	YPR151C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
143804	YPR153W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
144670	YPR194C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
144758	YPR200C		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
144820	YDL045W-A		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
145033	YKR035W-A		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
145170	YCR020W-B		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
145235	YCL001W-A		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
145297	YCR028C-A		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
145352	YCR087C-A		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
145605	YKL053C-A		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
145950	YER014C-A		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
146652	YML033W		S288c	systematic mutation set	resistance to chemicals	increased	CG-1521	 	
146667	YLR391W		S288c	systematic mutation set	resistance to chemicals	decreased	CG-1521	 	
32916	YIR005W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	cerulenin	 	
37304	YKL160W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	cerulenin	 	
40674	YKR095W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	cerulenin	 	
52209	YDR120C		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	cerulenin	 	
52302	YDR123C		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	cerulenin	 	
53414	YDR159W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	cerulenin	 	
59690	YDR395W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	cerulenin	 	
62972	YDR530C		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	cerulenin	 	
70945	YGR063C		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	cerulenin	 	
71019	YGR064W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	cerulenin	 	
73341	YGR162W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	cerulenin	 	
73854	YGR178C		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	cerulenin	 	
97999	YLR423C		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	cerulenin	 	
107980	YMR222C		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	cerulenin	 	
113331	YNL121C		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	cerulenin	 	
113947	YNL147W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	cerulenin	 	
119897	YNR051C		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	cerulenin	 	
121801	YOL050C		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	cerulenin	 	
122850	YOL088C		S288c	large-scale survey	resistance to chemicals	decreased	cerulenin	 	
123262	YOL108C		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	cerulenin	 	
131497	YOR322C		S288c	large-scale survey	resistance to chemicals	decreased	cerulenin	 	
138164	YPL179W		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	cerulenin	 	
145473	YDR363W-A		S288c	homozygous diploid, systematic mutation set	resistance to chemicals	decreased	cerulenin	 	
3688	YBL061C		S288c	systematic mutation set	resistance to chemicals	decreased	caspofungin	 	slow growth on 100 ng/mL, no growth on 200 ng/mL
5329	YBR023C		S288c	systematic mutation set	resistance to chemicals	decreased	caspofungin	 	slow growth on 100 ng/mL, no growth on 200 ng/mL
17105	YEL027W		S288c	systematic mutation set	resistance to chemicals	decreased	caspofungin	 	slow growth on 100 ng/mL, no growth on 200 ng/mL
27520	YHR142W		S288c	systematic mutation set	resistance to chemicals	decreased	caspofungin	 	slow growth on 100 ng/mL, no growth on 200 ng/mL
53753	YDR173C		S288c	systematic mutation set	resistance to chemicals	decreased	caspofungin	 	slow growth on 100 ng/mL, no growth on 200 ng/mL
58618	YDR364C		S288c	systematic mutation set	resistance to chemicals	decreased	caspofungin	 	slow growth on 100 ng/mL, no growth on 200 ng/mL
60386	YDR432W		S288c	systematic mutation set	resistance to chemicals	decreased	caspofungin	 	slow growth on 100 ng/mL, no growth on 200 ng/mL
72181	YGR105W		S288c	systematic mutation set	resistance to chemicals	decreased	caspofungin	 	slow growth on 100 ng/mL, no growth on 200 ng/mL
74768	YGR215W		S288c	systematic mutation set	resistance to chemicals	decreased	caspofungin	 	slow growth on 100 ng/mL, no growth on 200 ng/mL
76448	YGR285C		S288c	systematic mutation set	resistance to chemicals	decreased	caspofungin	 	slow growth on 100 ng/mL, no growth on 200 ng/mL
78818	YJL099W		S288c	systematic mutation set	resistance to chemicals	decreased	caspofungin	 	slow growth on 100 ng/mL, no growth on 200 ng/mL
84857	YJR118C		S288c	systematic mutation set	resistance to chemicals	decreased	caspofungin	 	slow growth on 100 ng/mL, no growth on 200 ng/mL
94985	YLR330W		S288c	systematic mutation set	resistance to chemicals	decreased	caspofungin	 	slow growth on 100 ng/mL, no growth on 200 ng/mL
827	YAL021C		S288c	systematic mutation set	resistance to chemicals	decreased	caspofungin	 	
2088	YAR035W		S288c	systematic mutation set	resistance to chemicals	increased	caspofungin	 	
3689	YBL061C		S288c	systematic mutation set	resistance to chemicals	decreased	caspofungin	 	
5330	YBR023C		S288c	systematic mutation set	resistance to chemicals	decreased	caspofungin	 	
5732	YBR036C		S288c	systematic mutation set	resistance to chemicals	increased	caspofungin	 	
7269	YBR105C		S288c	systematic mutation set	resistance to chemicals	increased	caspofungin	 	
8476	YBR147W		S288c	systematic mutation set	resistance to chemicals	increased	caspofungin	 	
9003	YBR171W		S288c	systematic mutation set	resistance to chemicals	increased	caspofungin	 	
24103	YHR004C		S288c	systematic mutation set	resistance to chemicals	increased	caspofungin	 	
25656	YHR050W		S288c	systematic mutation set	resistance to chemicals	increased	caspofungin	 	
27521	YHR142W		S288c	systematic mutation set	resistance to chemicals	decreased	caspofungin	 	
31589	YIL110W		S288c	systematic mutation set	resistance to chemicals	increased	caspofungin	 	
39272	YKR020W		S288c	systematic mutation set	resistance to chemicals	increased	caspofungin	 	
43793	YDL006W		S288c	systematic mutation set	resistance to chemicals	decreased	caspofungin	 	
45853	YDL079C		S288c	systematic mutation set	resistance to chemicals	increased	caspofungin	 	
51692	YDR093W		S288c	systematic mutation set	resistance to chemicals	increased	caspofungin	 	
55492	YDR245W		S288c	systematic mutation set	resistance to chemicals	decreased	caspofungin	 	
57642	YDR326C		S288c	systematic mutation set	resistance to chemicals	increased	caspofungin	 	
60387	YDR432W		S288c	systematic mutation set	resistance to chemicals	decreased	caspofungin	 	
60461	YDR433W		S288c	systematic mutation set	resistance to chemicals	decreased	caspofungin	 	
61682	YDR479C		S288c	systematic mutation set	resistance to chemicals	increased	caspofungin	 	
61879	YDR484W		S288c	systematic mutation set	resistance to chemicals	increased	caspofungin	 	
62913	YDR528W		S288c	systematic mutation set	resistance to chemicals	increased	caspofungin	 	
68371	YGL206C		S288c	systematic mutation set	resistance to chemicals	decreased	caspofungin	 	
70207	YGR032W		S288c	systematic mutation set	resistance to chemicals	increased	caspofungin	 	
75234	YGR229C		S288c	systematic mutation set	resistance to chemicals	decreased	caspofungin	 	
78689	YJL095W		S288c	systematic mutation set	resistance to chemicals	decreased	caspofungin	 	
82451	YJR024C		S288c	systematic mutation set	resistance to chemicals	increased	caspofungin	 	
82609	YJR033C		S288c	systematic mutation set	resistance to chemicals	increased	caspofungin	 	
84312	YJR102C		S288c	systematic mutation set	resistance to chemicals	decreased	caspofungin	 	
84858	YJR118C		S288c	systematic mutation set	resistance to chemicals	decreased	caspofungin	 	
85515	YJR153W		S288c	systematic mutation set	resistance to chemicals	increased	caspofungin	 	
86196	YLL028W		S288c	systematic mutation set	resistance to chemicals	decreased	caspofungin	 	
88423	YLR056W		S288c	systematic mutation set	resistance to chemicals	increased	caspofungin	 	
94807	YLR322W		S288c	systematic mutation set	resistance to chemicals	decreased	caspofungin	 	
95061	YLR332W		S288c	systematic mutation set	resistance to chemicals	decreased	caspofungin	 	
95247	YLR337C		S288c	systematic mutation set	resistance to chemicals	increased	caspofungin	 	
95340	YLR338W		S288c	systematic mutation set	resistance to chemicals	increased	caspofungin	 	
95444	YLR342W		S288c	systematic mutation set	resistance to chemicals	decreased	caspofungin	 	
98077	YLR425W		S288c	systematic mutation set	resistance to chemicals	increased	caspofungin	 	
99289	YML008C		S288c	systematic mutation set	resistance to chemicals	decreased	caspofungin	 	
102885	YMR015C		S288c	systematic mutation set	resistance to chemicals	decreased	caspofungin	 	
110892	YNL027W		S288c	systematic mutation set	resistance to chemicals	increased	caspofungin	 	
