,Molecule List Name,Molecule,Formula,Adduct,Precursor Charge,PrecursorMz,Product Charge,CCS
5452,Other,AICA ribonucleotide,C9H15N4O8P,[M+Na]+,1.0,361.0521,1.0,168.9
5554,Other,Allantoate/Allantoic acid,C4H8N4O4,[M+Na]+,1.0,199.0439,1.0,143.2
5562,Other,Allantoin,C4H6N4O3,[M+Na]+,1.0,181.0333,1.0,143.4
5534,Other,Alpha-D-Galactose-1-Phosphate,C6H13O9P,[M+Na]+,1.0,283.019,1.0,157.5
5535,Other,Alpha-D-Galactose-1-Phosphate,C6H13O9P,[M+K]+,1.0,298.9929,1.0,158.1
5222,Other,Alpha-D-Glucose,C6H12O6,[M+Na]+,1.0,203.0527,1.0,146.9
3323,Other,alpha-D-glucose-1-phosphate,C6H13O9P,[M+Na]+,1.0,283.019,1.0,158.3
2299,Other,Aminoadipate,C6H11NO4,[M+H]+,1.0,162.0761,1.0,134.5
2300,Other,Aminoadipate,C6H11NO4,[M+Na]+,1.0,184.0581,1.0,139.0
30,Other,Aminobenzoic acid,C7H7NO2,[M+H]+,1.0,138.055,1.0,131.9
5600,Other,Aminolevulinic acid,C5H9NO3,[M+H]+,1.0,132.0655,1.0,130.7
5505,Other,Anthranilic acid,C7H7NO2,[M-H2O+H]+,1.0,120.0444,1.0,118.7
2319,Other,Arabitol,C5H12O5,[M+Na]+,1.0,175.0578,1.0,136.4
920,Other,Arachidic acid,C20H40O2,[M+Na]+,1.0,335.2921,1.0,200.0
1443,Other,Argininosuccinic acid,C10H18N4O6,[M+H]+,1.0,291.1299,1.0,165.8
1444,Other,Argininosuccinic acid,C10H18N4O6,[M+Na]+,1.0,313.1119,1.0,172.2
719,Other,Ascorbic acid,C6H8O6,[M+Na]+,1.0,199.0214,1.0,146.1
2237,AminoAcids,Asparagine,C4H8N2O3,[M+H]+,1.0,133.0608,1.0,131.5
2238,AminoAcids,Asparagine,C4H8N2O3,[M+Na]+,1.0,155.0428,1.0,131.9
2242,AminoAcids,Asparagine,C4H8N2O3,[M+NH4]+,1.0,150.0874,1.0,130.2
2243,AminoAcids,Asparagine,C4H8N2O3,[M-H2O+H]+,1.0,115.0502,1.0,127.4
3130,Other,ATP,C10H16N5O13P3,[M+H]+,1.0,508.003,1.0,196.8
3131,Other,ATP,C10H16N5O13P3,[M+Na]+,1.0,529.985,1.0,204.5
683,Other,Benzoic Acid,C7H6O2,[M+H]+,1.0,123.0441,1.0,122.2
5186,Other,Beta-D-Fructose 6-phosphate,C6H13O9P,[M+H]+,1.0,261.037,1.0,149.5
3184,Other,Biotin,C10H16N2O3S,[M+H]+,1.0,245.0955,1.0,151.3
3185,Other,Biotin,C10H16N2O3S,[M+Na]+,1.0,267.0775,1.0,161.9
3186,Other,Biotin,C10H16N2O3S,[M+K]+,1.0,283.0514,1.0,161.1
5154,Other,Carnosine,C9H14N4O3,[M+H]+,1.0,227.1139,1.0,150.8
5155,Other,Carnosine,C9H14N4O3,[M+Na]+,1.0,249.0959,1.0,154.2
4955,Other,Cholesterol,C27H46O,[M-H2O+H]+,1.0,369.3516,1.0,204.6
4956,Other,Cholesterol,C27H46O,[M+Na]+,1.0,409.3442,1.0,237.4
