,Molecule List Name,Molecule,Formula,Adduct,Precursor Charge,PrecursorMz,Product Charge,CCS
2205,AminoAcids,L-Lysine,C6H14N2O2,[M+NH4]+,1.0,164.1394,1.0,133.4
2206,AminoAcids,L-Lysine,C6H14N2O2,[M-H2O+H]+,1.0,129.1022,1.0,131.5
2255,AminoAcids,L-Phenylalanine,C9H11NO2,[M+Na]+,1.0,188.0683,1.0,138.9
2257,AminoAcids,L-Phenylalanine,C9H11NO2,[M+H]+,1.0,166.0863,1.0,140.0
2259,AminoAcids,L-Phenylalanine,C9H11NO2,[M+NH4]+,1.0,183.1129,1.0,137.8
2260,AminoAcids,L-Phenylalanine,C9H11NO2,[M-H2O+H]+,1.0,148.0757,1.0,135.9
3612,AminoAcids,L-Threonine,C4H9NO3,[M+H]+,1.0,120.0655,1.0,127.2
3615,AminoAcids,L-Threonine,C4H9NO3,[M+Na]+,1.0,142.0475,1.0,131.3
3616,AminoAcids,L-Threonine,C4H9NO3,[M+NH4]+,1.0,137.0921,1.0,129.7
3617,AminoAcids,L-Threonine,C4H9NO3,[M-H2O+H]+,1.0,102.0549,1.0,124.3
3632,AminoAcids,L-Tryptophan,C11H12N2O2,[M+H]+,1.0,205.0972,1.0,152.0
3633,AminoAcids,L-Tryptophan,C11H12N2O2,[M+Na]+,1.0,227.0792,1.0,147.7
3637,AminoAcids,L-Tryptophan,C11H12N2O2,[M+NH4]+,1.0,222.1238,1.0,147.3
3638,AminoAcids,L-Tryptophan,C11H12N2O2,[M-H2O+H]+,1.0,187.0866,1.0,141.3
3488,AminoAcids,L-Tyrosine,C9H11NO3,[M+H]+,1.0,182.0812,1.0,146.2
3489,AminoAcids,L-Tyrosine,C9H11NO3,[M+Na]+,1.0,204.0632,1.0,144.0
3493,AminoAcids,L-Tyrosine,C9H11NO3,[M+NH4]+,1.0,199.1078,1.0,142.2
3494,AminoAcids,L-Tyrosine,C9H11NO3,[M-H2O+H]+,1.0,164.0706,1.0,137.6
3498,AminoAcids,L-Valine,C5H11NO2,[M+H]+,1.0,118.0863,1.0,127.5
3499,AminoAcids,L-Valine,C5H11NO2,[M+Na]+,1.0,140.0683,1.0,144.1
3503,AminoAcids,L-Valine,C5H11NO2,[M+NH4]+,1.0,135.1129,1.0,140.0
3504,AminoAcids,L-Valine,C5H11NO2,[M-H2O+H]+,1.0,100.0757,1.0,119.1
3553,Other,Lanosterol,C30H50O,[M-H2O+H]+,1.0,409.3829,1.0,207.8
3651,Other,Leukotriene B4,C20H32O4,[M+Na]+,1.0,359.2194,1.0,196.0
1480,Other,Levocarnitine,C7H15NO3,[M+H]+,1.0,162.1125,1.0,132.9
5622,Other,Levomefolic acid,C20H25N7O6,[M+H]+,1.0,460.1939,1.0,197.3
379,Other,Linoleic acid,C18H32O2,[M+Na]+,1.0,303.2295,1.0,176.8
3561,Other,Lipoamide,C8H15NOS2,[M+H]+,1.0,206.0668,1.0,139.3
3562,Other,Lipoamide,C8H15NOS2,[M+Na]+,1.0,228.0488,1.0,150.7
711,Other,Lipoic Acid,C8H14O2S2,[M-H2O+H]+,1.0,189.0402,1.0,134.3
3668,Other,Maltose,C12H22O11,[M+Na]+,1.0,365.1055,1.0,178.5
3669,Other,Maltose,C12H22O11,[M+K]+,1.0,381.0794,1.0,181.3
1162,Other,Maltotriose,C18H32O16,[M+Na]+,1.0,527.1583,1.0,213.6
4895,Other,Mannitol,C6H14O6,[M+Na]+,1.0,205.0683,1.0,141.4
3332,Other,Mannose 6-Phosphate,C6H13O9P,[M+Na]+,1.0,283.019,1.0,156.1
2274,AminoAcids,Methionine,C5H11NO2S,[M+H]+,1.0,150.0583,1.0,133.6
2277,AminoAcids,Methionine,C5H11NO2S,[M+Na]+,1.0,172.0403,1.0,138.7
2278,AminoAcids,Methionine,C5H11NO2S,[M+NH4]+,1.0,167.0849,1.0,136.9
2279,AminoAcids,Methionine,C5H11NO2S,[M-H2O+H]+,1.0,132.0477,1.0,131.8
1523,Other,Mevalonic acid,C6H12O4,[M+Na]+,1.0,171.0629,1.0,132.9
1504,Other,Mevalonic Acid 5-Phosphate,C6H13O7P,[M+Na]+,1.0,251.0292,1.0,152.3
2184,Other,N-(5-Amino-5-Carboxypentyl)Glutamic Acid,C11H20N2O6,[M+H]+,1.0,277.1394,1.0,160.1
1189,Other,N-Acetyl-D-glucosamine,C8H15NO6,[M+Na]+,1.0,244.0792,1.0,160.4
3544,Other,N-acetyl-D-glucosamine-6-phosphate,C8H16NO9P,[M+Na]+,1.0,324.0456,1.0,164.3
3621,Other,N-Acetyl-L-Glutamate,C7H11NO5,[M+H]+,1.0,190.071,1.0,139.0
3622,Other,N-Acetyl-L-Glutamate,C7H11NO5,[M+Na]+,1.0,212.053,1.0,144.9
1217,Other,N-Acetylmethionine,C7H13NO3S,[M+Na]+,1.0,214.0509,1.0,150.3
3478,Other,N-Acetylputrescine,C6H14N2O,[M+H]+,1.0,131.1179,1.0,129.1
3479,Other,N-Acetylputrescine,C6H14N2O,[M+Na]+,1.0,153.0999,1.0,135.3
3588,Other,N-Carbamoyl-L-Aspartate,C5H8N2O5,[M+Na]+,1.0,199.0326,1.0,139.2
3687,Other,N1-Acetylspermine,C12H28N4O,[M+H]+,1.0,245.2336,1.0,158.2
3688,Other,N1-Acetylspermine,C12H28N4O,[M+Na]+,1.0,267.2156,1.0,162.7
3596,Other,N2-Acetyl-L-ornithine,C7H14N2O3,[M+H]+,1.0,175.1077,1.0,136.9
3579,Other,Niacin,C6H5NO2,[M+H]+,1.0,124.0393,1.0,125.1
3570,Other,Nicotinamide,C6H6N2O,[M+H]+,1.0,123.0553,1.0,126.2
3571,Other,Nicotinamide,C6H6N2O,[M+Na]+,1.0,145.0373,1.0,137.3
2546,Other,Nicotinamide ribotide,C11H15N2O8P,[M+H]+,1.0,335.0639,1.0,165.8
2596,Other,O-acetyl-L-serine,C5H9NO4,[M+H]+,1.0,148.0605,1.0,130.4
2554,Other,O-Phospho-L-homoserine,C4H10NO6P,[M+Na]+,1.0,222.0139,1.0,141.6
2570,Other,O-Succinyl-L-homoserine,C8H13NO6,[M+H]+,1.0,220.0816,1.0,146.5
2571,Other,O-Succinyl-L-homoserine,C8H13NO6,[M+Na]+,1.0,242.0636,1.0,146.2
2482,Other,Oleic acid,C18H34O2,[M+Na]+,1.0,305.2452,1.0,181.4
2518,Other,Orotic Acid,C5H4N2O4,[M+H]+,1.0,157.0244,1.0,138.8
2580,Other,Oxaloacetic Acid,C4H4O5,[M+H]+,1.0,133.0132,1.0,139.4
21,Other,P-Hydroxybenzoic Acid,C7H6O3,[M-H2O+H]+,1.0,121.0284,1.0,118.9
1170,Other,Palatinose,C12H22O11,[M+Na]+,1.0,365.1055,1.0,176.5
1171,Other,Palatinose,C12H22O11,[M+K]+,1.0,381.0794,1.0,177.8
2491,Other,Palmitic Acid,C16H32O2,[M+Na]+,1.0,279.2295,1.0,181.7
5230,Other,Perillic Acid (-),C10H14O2,[M+H]+,1.0,167.1067,1.0,124.9
4610,Other,Phenylethyl alcohol,C8H10O,[M+H]+,1.0,123.0805,1.0,121.2
2464,Other,Phosphoenolpyruvate,C3H5O6P,[M+Na]+,1.0,190.9717,1.0,137.9
1126,Other,Phosphonotyrosine,C9H12NO6P,[M+H]+,1.0,262.0475,1.0,162.8
3678,Other,Phytate,C6H18O24P6,[M+H]+,1.0,660.8687,1.0,215.2
2537,Other,Phytosphingosine,C18H39NO3,[M+H]+,1.0,318.3003,1.0,196.8
4875,Other,Pidolic Acid,C5H7NO3,[M+H]+,1.0,130.0499,1.0,130.4
2562,Other,Prephenate,C10H10O6,[M+Na]+,1.0,249.037,1.0,155.2
2079,AminoAcids,Proline,C5H9NO2,[M+H]+,1.0,116.0706,1.0,125.6
2082,AminoAcids,Proline,C5H9NO2,[M-H2O+H]+,1.0,98.06,1.0,120.3
2083,AminoAcids,Proline,C5H9NO2,[M+NH4]+,1.0,133.0972,1.0,129.5
2084,AminoAcids,Proline,C5H9NO2,[M+Na]+,1.0,138.0526,1.0,130.8
4231,Other,Pyridoxal,C8H9NO3,[M+H]+,1.0,168.0655,1.0,132.1
4183,Other,Pyridoxal phosphate,C8H10NO6P,[M+H]+,1.0,248.0319,1.0,152.1
4184,Other,Pyridoxal phosphate,C8H10NO6P,[M+Na]+,1.0,270.0139,1.0,162.2
4248,Other,Pyridoxamine,C8H12N2O2,[M+H]+,1.0,169.0972,1.0,134.5
4249,Other,Pyridoxamine,C8H12N2O2,[M+Na]+,1.0,191.0792,1.0,145.8
4240,Other,Pyridoxamine-5'-Phosphate,C8H13N2O5P,[M+H]+,1.0,249.0635,1.0,151.1
4163,Other,Pyridoxine,C8H11NO3,[M+H]+,1.0,170.0812,1.0,134.7
4164,Other,Pyridoxine,C8H11NO3,[M+Na]+,1.0,192.0632,1.0,145.6
4223,Other,Pyridoxine phosphate,C8H12NO6P,[M+H]+,1.0,250.0475,1.0,150.6
2963,Other,Pyrophosphoric acid,H4O7P2,[M+Na]+,1.0,200.9325,1.0,145.6
940,Other,Quinaldic Acid,C10H7NO2,[M+H]+,1.0,174.055,1.0,132.6
4213,Other,Quinolinic Acid,C7H5NO4,[M+H]+,1.0,168.0292,1.0,134.7
4214,Other,Quinolinic Acid,C7H5NO4,[M-H2O+H]+,1.0,150.0186,1.0,130.5
4904,Other,Raffinose,C18H32O16,[M+Na]+,1.0,527.1583,1.0,208.8
4173,Other,Riboflavin,C17H20N4O6,[M+H]+,1.0,377.1456,1.0,189.4
4174,Other,Riboflavin,C17H20N4O6,[M+Na]+,1.0,399.1276,1.0,199.4
4143,Other,S-adenosyl-L-homocysteine,C14H20N6O5S,[M+H]+,1.0,385.1289,1.0,183.1
4144,Other,S-adenosyl-L-homocysteine,C14H20N6O5S,[M+Na]+,1.0,407.1109,1.0,189.7
1454,Other,S-Lactoylglutathione,C13H21N3O8S,[M+H]+,1.0,380.1122,1.0,188.2
3605,AminoAcids,Serine,C3H7NO3,[M+H]+,1.0,106.0499,1.0,140.1
3606,AminoAcids,Serine,C3H7NO3,[M+Na]+,1.0,128.0319,1.0,138.0
3607,AminoAcids,Serine,C3H7NO3,[M+NH4]+,1.0,123.0765,1.0,136.6
3608,AminoAcids,Serine,C3H7NO3,[M-H2O+H]+,1.0,88.0393,1.0,145.3
3207,Other,Sorbitol,C6H14O6,[M+Na]+,1.0,205.0683,1.0,143.0
4276,Other,Spermidine,C7H19N3,[M+H]+,1.0,146.1652,1.0,131.7
4277,Other,Spermidine,C7H19N3,[M+Na]+,1.0,168.1472,1.0,136.2
4267,Other,Spermine,C10H26N4,[M+H]+,1.0,203.223,1.0,148.5
4268,Other,Spermine,C10H26N4,[M+Na]+,1.0,225.205,1.0,151.2
4258,Other,Sphinganine,C18H39NO2,[M+H]+,1.0,302.3054,1.0,188.6
4259,Other,Sphinganine,C18H39NO2,[M+Na]+,1.0,324.2874,1.0,190.6
415,Other,Stachyose,C24H42O21,[M+Na]+,1.0,689.2112,1.0,234.9
4153,Other,Stearic acid,C18H36O2,[M+H]+,1.0,285.2788,1.0,205.1
4154,Other,Stearic acid,C18H36O2,[M+Na]+,1.0,307.2608,1.0,191.8
4285,Other,Succinic acid,C4H6O4,[M+H]+,1.0,119.0339,1.0,129.4
4202,Other,Sucrose,C12H22O11,[M+Na]+,1.0,365.1055,1.0,174.1
4203,Other,Sucrose,C12H22O11,[M+K]+,1.0,381.0794,1.0,175.6
4134,Other,Taurine,C2H7NO3S,[M+H]+,1.0,126.022,1.0,137.4
3526,Other,Tetracosanoic acid,C24H48O2,[M+Na]+,1.0,391.3547,1.0,216.9
2877,Other,Thymidine monophosphate,C10H15N2O8P,[M+H]+,1.0,323.0639,1.0,163.8
2878,Other,Thymidine monophosphate,C10H15N2O8P,[M+Na]+,1.0,345.0459,1.0,172.5
2816,Other,Thymidine-5'- Diphosphate,C10H16N2O11P2,[M+Na]+,1.0,425.0122,1.0,178.0
2955,Other,Thymidine-5'-Triphosphate,C10H17N2O14P3,[M+Na]+,1.0,504.9786,1.0,207.4
396,Other,Thymine,C5H6N2O2,[M+H]+,1.0,127.0502,1.0,123.0
1896,Other,Trans-Aconitic Acid,C6H6O6,[M+H]+,1.0,175.0237,1.0,153.0
1897,Other,Trans-Aconitic Acid,C6H6O6,[M+Na]+,1.0,197.0057,1.0,149.1
1876,Other,Trehalose,C12H22O11,[M+Na]+,1.0,365.1055,1.0,175.4
1877,Other,Trehalose,C12H22O11,[M+K]+,1.0,381.0794,1.0,179.5
5571,Other,Trehalose-6-Phosphate,C12H23O14P,[M+Na]+,1.0,445.0718,1.0,192.4
1887,Other,Uracil,C4H4N2O2,[M+H]+,1.0,113.0346,1.0,122.7
1846,Other,Uridine,C9H12N2O6,[M+Na]+,1.0,267.0588,1.0,161.8
1793,Other,Uridine 5'-triphosphate,C9H15N2O15P3,[M+H]+,1.0,484.9758,1.0,186.8
1794,Other,Uridine 5'-triphosphate,C9H15N2O15P3,[M+Na]+,1.0,506.9578,1.0,188.1
1906,Other,Uridine diphosphate glucose,C15H24N2O17P2,[M+Na]+,1.0,589.0443,1.0,210.6
1916,Other,Uridine Diphosphategalactose,C15H24N2O17P2,[M+Na]+,1.0,589.0443,1.0,209.9
1825,Other,Uridine monophosphate,C9H13N2O9P,[M+H]+,1.0,325.0432,1.0,166.7
1826,Other,Uridine monophosphate,C9H13N2O9P,[M+Na]+,1.0,347.0252,1.0,172.7
1836,Other,Uridine-5'-Diphosphate,C9H14N2O12P2,[M+H]+,1.0,405.0095,1.0,176.4
1804,Other,Uridine-Diphosphate-N-Acetylglucosamine,C17H27N3O17P2,[M+H]+,1.0,608.0889,1.0,209.9
1805,Other,Uridine-Diphosphate-N-Acetylglucosamine,C17H27N3O17P2,[M+Na]+,1.0,630.0709,1.0,217.6
5524,Other,Xanthine,C5H4N4O2,[M+H]+,1.0,153.0407,1.0,134.2
5525,Other,Xanthine,C5H4N4O2,[M+Na]+,1.0,175.0227,1.0,152.6
1855,Other,Xanthosine,C10H12N4O6,[M+H]+,1.0,285.083,1.0,163.6
1856,Other,Xanthosine,C10H12N4O6,[M+Na]+,1.0,307.065,1.0,174.4
1857,Other,Xanthosine,C10H12N4O6,[M+K]+,1.0,323.0389,1.0,172.8
405,Other,Xanthurenic acid,C10H7NO4,[M+H]+,1.0,206.0448,1.0,140.4
406,Other,Xanthurenic acid,C10H7NO4,[M+Na]+,1.0,228.0268,1.0,148.1
1815,Other,Xanthylic acid （XMP),C10H13N4O9P,[M+H]+,1.0,365.0493,1.0,175.3
1816,Other,Xanthylic acid （XMP),C10H13N4O9P,[M+Na]+,1.0,387.0313,1.0,176.6
1867,Other,Xylitol,C5H12O5,[M+Na]+,1.0,175.0578,1.0,138.1
