	0	1200	2400	3600	4800	6000	7200	8400	9600	10800	12000	13200	14400	15600	16800	18000	19200	20400	21600	22800	24000	25200	26400	27600	28800	30000	31200	32400	33600	34800	36000	37200	38400	39600	40800	42000	43200	44400	45600	46800	48000	49200	50400	51600	52800	54000	55200	56400	57600	58800	60000	61200	62400	63600	64800	66000	67200	68400	69600	70800	72000	73200
A01	-0.002633333333333321	0.010433333333333322	-0.00996666666666668	-0.013333333333333336	0.001433333333333342	-0.002233333333333337	0.016766666666666652	0.004166666666666652	0.019233333333333325	0.015899999999999997	0.01573333333333335	0.016066666666666646	0.005199999999999982	-0.002966666666666673	0.00683333333333333	0.010199999999999987	0.024499999999999994	0.006466666666666676	0.005666666666666653	0.005233333333333312	0.012233333333333346	0.01683333333333331	-0.0010000000000000009	-0.0017666666666666664	0.002333333333333326	0.002533333333333332	0.008566666666666639	0.008733333333333315	0.00883333333333336	0.010499999999999982	0.013333333333333336	0.010633333333333328	0.0069999999999999785	0.011633333333333329	0.008633333333333326	0.008133333333333326	0.009833333333333333	0.00633333333333333	0.008033333333333337	0.004866666666666686	0.01366666666666666	0.009133333333333327	0.0029000000000000137	0.0025666666666666893	0.0041999999999999815	0.002066666666666689	0.007500000000000007	-0.00023333333333330764	0.005099999999999993	0.0004333333333333411	-0.0012333333333333363	-0.001433333333333342	-6.666666666668708e-05	0.0012333333333333363	-0.001899999999999985	-0.0022000000000000075	-0.003666666666666679	-0.0032000000000000084	-0.0012999999999999956	-0.0008333333333333526	0.0002333333333333354	-0.003599999999999992
A02	0.06506666666666668	0.044933333333333325	0.054933333333333306	0.06596666666666667	0.04843333333333333	0.06826666666666667	0.024866666666666648	0.06596666666666665	0.0716333333333333	0.13119999999999998	0.12233333333333332	0.13476666666666662	0.1322	0.1781333333333333	0.19473333333333334	0.22569999999999998	0.2195	0.2559666666666667	0.26406666666666667	0.2914333333333333	0.3420333333333334	0.35653333333333326	0.3952	0.44643333333333335	0.42003333333333337	0.46443333333333336	0.5381666666666666	0.5727333333333333	0.5932333333333334	0.6796	0.7166333333333333	0.7897333333333334	0.8922	0.9535333333333333	1.0132333333333332	1.0730333333333335	1.1494333333333333	1.2255333333333331	1.2721333333333333	1.3486666666666667	1.3695666666666666	1.4533333333333334	1.4961	1.5645666666666667	1.6458	1.6591666666666667	1.7141	1.7691666666666666	1.8048	1.8772333333333333	1.9327666666666667	1.9060666666666666	2.0601333333333334	2.0366333333333335	2.0879999999999996	2.147	2.1990333333333334	2.2201	2.2895	2.1595666666666666	2.221433333333333	2.2862999999999998
A03	0.07056666666666668	0.04103333333333331	0.028633333333333316	0.06786666666666666	0.04453333333333334	0.07346666666666665	0.03336666666666668	0.06426666666666667	0.06983333333333333	0.09499999999999997	0.12573333333333334	0.13386666666666666	0.1534	0.17203333333333332	0.21033333333333334	0.2064	0.21280000000000002	0.24036666666666665	0.26336666666666664	0.28103333333333336	0.3095333333333333	0.35153333333333325	0.3945000000000001	0.4277333333333333	0.44023333333333337	0.48573333333333335	0.5776666666666667	0.6162333333333333	0.6435333333333334	0.7435999999999999	0.7732333333333333	0.8399333333333334	0.9130999999999999	1.0177333333333334	1.0848333333333333	1.1402333333333334	1.2207333333333332	1.2709333333333332	1.3727333333333334	1.4197666666666666	1.4394666666666667	1.5128333333333335	1.5666	1.6154666666666666	1.714	1.6943666666666668	1.7621	1.8420666666666665	1.8711	1.9611333333333332	2.0320666666666667	1.9764666666666664	2.194833333333333	2.191533333333333	2.1658999999999997	2.2206	2.3265333333333333	2.3177	2.2809	2.2018666666666666	2.3536333333333332	2.3613
A04	0.06643333333333332	0.035499999999999976	0.02623333333333333	0.048166666666666635	0.037566666666666665	0.053166666666666695	0.01836666666666667	0.04613333333333333	0.04583333333333334	0.04866666666666661	0.06796666666666665	0.0907	0.09303333333333336	0.1408	0.13576666666666665	0.1586333333333333	0.13846666666666663	0.14800000000000002	0.17153333333333337	0.17646666666666666	0.20289999999999997	0.21863333333333335	0.2576666666666667	0.28143333333333337	0.2849666666666667	0.32736666666666664	0.3817	0.4117	0.45780000000000004	0.5153000000000001	0.5383333333333333	0.5967333333333333	0.6292666666666665	0.6848	0.7198333333333334	0.8234	0.8434666666666665	0.8839	0.9339000000000001	0.9739	0.9807999999999999	1.0124333333333333	1.0587666666666666	1.0907333333333333	1.165	1.1299333333333332	1.1427333333333332	1.1983333333333333	1.2530999999999999	1.3087	1.3336333333333332	1.3155333333333332	1.3969666666666667	1.4186	1.4550999999999998	1.4722000000000004	1.5250666666666666	1.5666000000000002	1.5500333333333334	1.4056333333333333	1.6278000000000001	1.5842999999999998
A05	0.036400000000000016	0.041766666666666674	0.01319999999999999	-0.002166666666666678	0.017066666666666674	-0.007166666666666627	0.01633333333333334	-0.00273333333333331	0.01529999999999998	-0.00873333333333337	0.005300000000000027	-0.01826666666666671	0.0017333333333333645	-0.011699999999999988	-0.001033333333333275	0.2564333333333333	-0.20540000000000008	-0.12663333333333338	-0.4582666666666666	-0.3382666666666668	-0.24293333333333322	-0.20153333333333334	0.05159999999999998	-0.0036999999999999256	0.005166666666666764	-0.00023333333333330764	0.025966666666666693	0.026000000000000023	0.07563333333333333	0.047866666666666724	0.032399999999999984	0.008499999999999952	0.014333333333333309	0.018199999999999994	0.009133333333333438	0.055433333333333445	0.06263333333333332	0.014599999999999946	0.0630666666666666	0.029333333333333433	0.04066666666666663	0.047366666666667	0.06479999999999997	0.023100000000000342	0.06373333333333342	-0.0005333333333332746	0.05580000000000007	0.06886666666666663	0.0665	0.06890000000000018	0.07056666666666622	0.013733333333333597	0.05503333333333327	0.0906666666666669	0.0650333333333335	0.07243333333333313	0.0928333333333331	0.1259999999999999	0.16356666666666664	0.014199999999999768	0.17373333333333374	0.07999999999999963
A06	0.0232	0.024866666666666676	0.011399999999999993	0.013433333333333325	0.00996666666666668	0.017533333333333345	0.008733333333333343	0.0018666666666666831	0.0020999999999999908	0.014666666666666606	0.006200000000000039	-0.011266666666666703	-0.020166666666666666	-0.03250000000000003	-0.017833333333333312	-0.0017666666666666941	-0.2568000000000001	-0.6527333333333334	-0.4858666666666666	-0.3667666666666668	-0.2543333333333333	-0.32363333333333333	0.034399999999999986	0.0029000000000001247	0.04686666666666672	0.042266666666666675	0.0672666666666667	0.07600000000000007	0.0850333333333333	0.10686666666666678	0.1077999999999999	0.0804999999999999	0.08833333333333337	0.060799999999999965	0.08623333333333338	0.06723333333333348	0.09393333333333342	0.060899999999999954	0.09636666666666671	0.09483333333333355	0.07506666666666661	0.08436666666666692	0.10240000000000005	0.06560000000000032	0.0831333333333335	0.07126666666666659	0.09499999999999997	0.11916666666666664	0.0838000000000001	0.11630000000000029	0.07876666666666621	0.025733333333333608	0.09783333333333344	0.10646666666666693	0.06993333333333318	0.10423333333333318	0.0968333333333331	0.2023999999999999	0.1358666666666668	0.12019999999999964	0.10403333333333364	0.11469999999999958
A07	0.01369999999999999	0.01936666666666667	0.02949999999999997	0.025433333333333336	0.01676666666666668	0.015933333333333355	0.012633333333333358	0.015466666666666684	0.010599999999999998	0.006966666666666621	0.016199999999999992	0.0008333333333332971	-0.015666666666666662	-0.0378	-0.03843333333333332	-0.1316666666666667	-0.28380000000000005	-0.6693333333333333	-0.5056666666666666	-0.3795666666666668	-0.2662333333333332	-0.3482333333333334	0.03599999999999992	-0.007099999999999884	0.05906666666666671	0.0420666666666667	0.0772666666666667	0.0877	0.06813333333333327	0.07396666666666674	0.08139999999999992	0.05910000000000004	0.07953333333333323	0.06590000000000007	0.058533333333333326	0.049833333333333396	0.05373333333333341	0.04049999999999976	0.06116666666666659	0.05503333333333349	0.05056666666666665	0.05196666666666694	0.05479999999999996	0.037100000000000355	0.059833333333333405	0.03306666666666658	0.05170000000000008	0.09086666666666687	0.11129999999999995	0.07109999999999994	0.09836666666666627	0.02353333333333385	0.12223333333333342	0.15166666666666684	0.05143333333333322	0.10723333333333329	0.059933333333333394	0.09149999999999991	0.07666666666666666	0.0674999999999999	0.08843333333333359	0.016599999999999504
A08	0.010899999999999993	0.0013666666666666827	0.007299999999999973	-0.006866666666666688	-0.002533333333333332	0.004033333333333361	0.002333333333333326	-0.009333333333333305	-0.008500000000000008	0.020466666666666633	-0.006199999999999983	0.012433333333333296	-0.02636666666666665	-0.04260000000000003	-0.03893333333333332	-0.13256666666666672	-0.27820000000000006	-0.6717333333333334	-0.5119666666666667	-0.3936666666666668	-0.2510333333333332	-0.34153333333333336	0.03069999999999995	-0.007899999999999907	0.057666666666666755	0.03846666666666665	0.07606666666666673	0.09079999999999999	0.10093333333333332	0.1055666666666667	0.11519999999999986	0.07979999999999998	0.0740333333333334	0.06780000000000008	0.09853333333333336	0.08023333333333338	0.08513333333333328	0.06799999999999984	0.07736666666666658	0.06493333333333351	0.05696666666666661	0.04856666666666687	0.08420000000000005	0.07040000000000024	0.10203333333333342	0.08066666666666666	0.06600000000000006	0.11006666666666653	0.06740000000000013	0.08620000000000028	0.07016666666666627	0.008033333333333559	0.12023333333333319	0.12646666666666695	0.10503333333333309	0.08743333333333325	0.10793333333333344	0.12329999999999997	0.1285666666666665	0.09499999999999975	0.07673333333333376	-0.00820000000000043
A09	0.012800000000000006	0.020566666666666678	0.014399999999999968	0.005933333333333318	0.033766666666666695	0.02453333333333335	0.024033333333333323	0.026066666666666682	0.022299999999999986	0.03866666666666663	0.022299999999999986	-0.0022666666666666946	-0.02146666666666669	-0.027600000000000013	-0.03423333333333328	-0.12896666666666673	-0.26760000000000006	-0.6621333333333335	-0.5015666666666666	-0.37066666666666676	-0.2555333333333333	-0.32873333333333343	0.04299999999999993	-0.009999999999999898	0.04646666666666677	0.04166666666666663	0.07606666666666673	0.07230000000000003	0.0759333333333333	0.09506666666666674	0.07579999999999998	0.07419999999999993	0.06703333333333328	0.06120000000000014	0.051033333333333486	0.06553333333333344	0.06153333333333344	0.05379999999999985	0.06366666666666676	0.06013333333333337	0.055566666666666764	0.06636666666666691	0.07160000000000011	0.07820000000000027	0.06973333333333342	0.05276666666666663	0.04259999999999997	0.06846666666666668	0.04740000000000011	0.041400000000000325	0.024566666666666404	-0.005066666666666553	0.11163333333333325	0.09406666666666696	0.06343333333333323	0.01523333333333321	0.08973333333333322	0.07560000000000011	0.04456666666666642	0.04489999999999972	0.021233333333333437	0.11429999999999962
A10	0.02679999999999999	0.02313333333333334	0.016933333333333328	0.02909999999999996	0.032800000000000024	0.028033333333333327	0.0159333333333333	0.047566666666666674	0.04846666666666663	0.07479999999999998	0.06849999999999998	0.08096666666666666	0.08983333333333335	0.09363333333333332	0.11073333333333338	0.10303333333333331	0.1307333333333333	0.1655333333333333	0.18663333333333337	0.17909999999999998	0.2010333333333333	0.21359999999999996	0.2255333333333333	0.24043333333333322	0.2759000000000001	0.29913333333333325	0.33336666666666676	0.3464333333333333	0.39323333333333327	0.4554333333333333	0.47193333333333337	0.5518333333333334	0.5685333333333333	0.6066333333333334	0.6769333333333333	0.6768666666666668	0.7596	0.8076	0.8145666666666668	0.8955333333333332	0.9188	0.9555	0.9966	1.0334333333333334	1.053266666666667	1.1004666666666667	1.1125333333333334	1.1823000000000001	1.1352333333333333	1.2124666666666668	1.2226333333333335	1.2484000000000002	1.2971666666666666	1.2915	1.3706666666666667	1.3378666666666668	1.4336333333333333	1.4695333333333331	1.3938333333333333	1.4012666666666664	1.4843333333333333	1.4943666666666666
