	0	1200	2400	3600	4800	6000	7200	8400	9600	10800	12000	13200	14400	15600	16800	18000	19200	20400	21600	22800	24000	25200	26400	27600	28800	30000	31200	32400	33600	34800	36000	37200	38400	39600	40800	42000	43200
A01	0.006933333333333319	0.005399999999999988	0.0003333333333333244	-0.00020000000000000573	0.001533333333333331	0.0007666666666666655	0.001166666666666677	0.000466666666666643	-0.0025666666666666615	0.0001333333333333464	0.0015000000000000013	0.0032999999999999974	0.001799999999999996	0.0021999999999999797	0.00016666666666667607	0.0004666666666666708	0.003866666666666685	0.002466666666666645	0.004866666666666658	0.0006666666666666765	0.003700000000000009	0.0024666666666666726	-0.0005333333333333301	0.004466666666666647	0.0014666666666666717	0.0006000000000000172	0.0007333333333333358	0.0025666666666666615	-0.002066666666666661	0.0006333333333333468	0.003799999999999998	0.012500000000000011	0.0030333333333333323	0.002066666666666661	0.001799999999999996	0.0020999999999999908	0.002166666666666678
A02	0.1557333333333333	0.15159999999999998	0.1643333333333333	0.15990000000000001	0.23783333333333334	0.36916666666666664	0.7367666666666667	1.1612666666666667	0.9257333333333334	0.4237333333333334	0.3609	0.387	0.39549999999999996	0.42689999999999995	0.47696666666666665	0.5448666666666667	0.5897666666666667	0.6528666666666666	0.7091666666666667	0.7357666666666667	0.8062	0.8919666666666667	0.9653666666666666	1.0127666666666668	1.0810666666666666	1.163	1.2244333333333335	1.2739666666666667	1.3173333333333332	1.3899333333333335	1.4743	-0.03549999999999999	0.07003333333333331	0.09516666666666665	0.09119999999999998	0.0942	0.09356666666666666
A03	0.14433333333333334	0.13410000000000002	0.16193333333333335	0.16539999999999996	0.24953333333333333	0.40156666666666674	0.7541666666666668	1.0745666666666667	0.7877333333333333	0.4114333333333333	0.3685999999999999	0.3678	0.39169999999999994	0.4234	0.49926666666666664	0.5184666666666666	0.5886666666666667	0.6439666666666666	0.7115666666666667	0.7690666666666667	0.8203	0.8874666666666667	0.9515666666666666	1.0402666666666667	1.0811666666666666	1.1453	1.2256333333333334	1.2866666666666666	1.3512333333333333	1.4160333333333335	1.5061	1.5005000000000002	1.5155333333333332	1.6311666666666667	1.6722000000000001	1.7104	1.8314666666666668
A04	0.14986666666666668	0.1349	0.13833333333333334	0.1332333333333333	0.2214	0.39316666666666666	0.6403	0.8844333333333334	0.7998	0.38483333333333336	0.3589	0.32243333333333335	0.3649666666666668	0.40446666666666664	0.4615666666666667	0.4934666666666667	0.5337	0.5873333333333333	0.6447	0.7123666666666667	0.7615333333333333	0.8177333333333333	0.8934	0.9799333333333333	1.0631333333333333	1.0935666666666666	1.1466	1.207	1.2992666666666666	1.3391	1.4265666666666665	1.4187666666666667	1.4937	1.5518333333333334	1.5901666666666667	1.6923	1.7590333333333334
A05	0.15723333333333334	0.14433333333333334	0.16473333333333334	0.15816666666666665	0.22496666666666668	0.35760000000000003	0.6247666666666667	0.9649333333333333	0.7796333333333333	0.39393333333333336	0.3634666666666667	0.3608	0.39036666666666675	0.41133333333333344	0.47850000000000004	0.5102333333333333	0.5507333333333333	0.6267333333333333	0.6743666666666667	0.7557	0.8012	0.8648666666666666	0.9379	1.0121	1.0839333333333332	1.1391666666666667	1.2138666666666666	1.2787000000000002	1.3619666666666668	1.3995666666666666	1.4620666666666668	1.4607	1.5539	1.6029	1.6641666666666666	1.7358333333333333	1.8160333333333334
A06	0.15813333333333335	0.13853333333333331	0.15503333333333336	0.15156666666666666	0.22456666666666666	0.35530000000000006	0.6896666666666667	0.8971333333333334	0.7110333333333333	0.3841333333333333	0.3422666666666667	0.34640000000000004	0.39036666666666675	0.4095333333333334	0.46230000000000004	0.5010333333333333	0.5566333333333333	0.6038333333333333	0.6765666666666668	0.7247	0.7985	0.8634666666666667	0.9269000000000001	0.997	1.0519333333333332	1.1028666666666667	1.1961666666666666	1.2677	1.3480666666666667	1.3436666666666666	1.4564666666666668	1.5050000000000001	1.5396999999999998	1.5706	1.6537666666666666	1.6732333333333334	1.8108333333333333
A07	0.01733333333333334	0.029033333333333328	0.04143333333333332	0.04496666666666668	0.041766666666666674	0.04519999999999999	0.043966666666666654	0.04423333333333335	0.050233333333333324	0.04293333333333335	0.03926666666666667	0.04999999999999999	0.0445666666666667	0.047433333333333355	0.045800000000000035	0.0411333333333333	0.0459333333333333	0.048533333333333345	0.04866666666666669	0.04199999999999998	0.04630000000000001	0.04606666666666667	0.04429999999999998	0.048799999999999955	0.04293333333333332	0.04566666666666666	0.041066666666666696	0.05099999999999999	0.04576666666666668	0.04686666666666667	0.04636666666666667	0.01780000000000001	0.027900000000000008	0.03489999999999999	0.040666666666666684	0.039133333333333326	0.041233333333333316
A08	0.14793333333333336	0.14403333333333332	0.14823333333333333	0.16376666666666664	0.2464666666666667	0.37150000000000005	0.7581666666666667	0.8253333333333334	0.5478333333333333	0.37803333333333333	0.36516666666666675	0.34909999999999997	0.3828666666666667	0.4008333333333334	0.48050000000000004	0.5219333333333332	0.5726333333333333	0.6064333333333333	0.6614666666666668	0.7253	0.8019000000000001	0.8567666666666666	0.9178	1.0089000000000001	1.0226333333333333	1.1113666666666666	1.1841666666666666	1.2539	1.3279666666666667	1.3740666666666665	1.4385666666666668	1.517	1.5501999999999998	1.5658	1.6558666666666666	1.6833333333333333	1.7758333333333334
A09	0.14623333333333333	0.12883333333333333	0.14043333333333335	0.15316666666666665	0.2967666666666666	0.5999	0.6563666666666667	0.5324333333333334	0.3954333333333333	0.3523333333333333	0.33006666666666673	0.3476	0.3857666666666667	0.40233333333333343	0.45500000000000007	0.5017333333333333	0.5310333333333334	0.6148333333333333	0.6534666666666668	0.7061999999999999	0.7783	0.8252666666666666	0.9135	1.0035	1.0252333333333332	1.1060666666666665	1.1531666666666667	1.2614	1.2972666666666668	1.3393666666666666	1.4504666666666668	1.504	1.5646	1.5997000000000001	1.6569666666666667	1.7116333333333333	1.8047333333333333
A10	0.12733333333333333	0.14389999999999997	0.16263333333333332	0.22343333333333334	0.41536666666666666	0.3805333333333334	0.3477666666666668	0.3594666666666667	0.31996666666666673	0.3307333333333333	0.3459333333333333	0.3406	0.3825666666666666	0.4270666666666667	0.47153333333333325	0.5354333333333333	0.5775666666666667	0.6423333333333333	0.6862333333333334	0.7654333333333333	0.8150333333333333	0.8615333333333334	0.9685333333333334	1.0413999999999999	1.0723	1.1431333333333333	1.2124666666666668	1.2775333333333334	1.3372666666666666	1.3757333333333333	1.5015	1.5232333333333332	1.6019333333333334	1.6351	1.7290999999999999	1.7252333333333332	1.8629333333333333
