ReplicateName	2'-Deoxyguanosine-5'-Diphosphate [[M+H]]	2'-Deoxyguanosine-5'-Monophosphate [[M+H]]	2'-Deoxyuridine [[M+Na]]	Acetyl coenzyme A (Acetyl-CoA) [[M+H]]	Ademetionine [[M+H]]	Adenine [[M+H]]	Adenosine 5'-diphosphate (ADP) [[M+H]]	Adenosine phosphate [[M+H]]	Adenosine-3'-5'-Diphosphate [[M+H]]	Aminoadipate [[M+Na]]	Cytidine [[M+H]]	D-(+)-Melibiose [[M+Na]]	D-(+)-Turanose [[M+Na]]	Glucosamine [[M+H]]	Glutamic Acid [[M-H2O+H]]	Glutathione [[M+H]]	Histidine [[M+H]]	Imidazoleacetic acid [[M+H]]	Isomaltose [[M+Na]]	L-Arginine [[M+H]]	L-Citrulline [[M+H]]	L-Valine [[M+H]]	Maltose [[M+Na]]	N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]]	Nicotinamide [[M+H]]	O-acetyl-L-serine [[M+H]]	Palatinose [[M+Na]]	Pidolic Acid [[M+H]]	Spermine [[M+H]]	Sucrose [[M+Na]]	Thymine [[M+H]]	Trehalose [[M+Na]]	gamma-Glutamylcysteine [[M+H]]	Experimental group
Inj00031-Positive-C10.d.DeMP	382.341999103541	716.1918422232183	141.90735749291824	212.6194531600179	48.49215598386374	3113.7559390407887	382.341999103541	11483.315553563423	382.341999103541	668.6322277005827	1361.5105333930971	2080.5	2080.5	6906.40206185567	9497.002241147467	18135.133796503807	150.13917525773195	157.25372362556817	2080.5	2276.3337068579112	538.0764231286419	1991.9085611833257	2080.5	612.6797400268938	396.33012102196324	2429.2705064993274	2080.5	11612.938816674137	16783.881219184223	2044.130883012102	207.81974954063477	2061.849170775437	144.54392649036305	Growth with high glutamate supplementation, no spermine treatment.
Inj00032-Positive-H1.d.DeMP	883.600085774395	935.1808014414282	150.25686737787936	332.6582387221707	296.8682481314846	5210.399828974225	883.600085774395	17081.439898430563	883.600085774395	321.44503966412003	538.9811013903036	2070.704092720029	2099.1108636670906	6531.314678012597	15886.11287884236	29900.369061594123	373.0257553311532	56.81354189412354	2099.1108636670906	6678.581358974996	330.41559891056056	2207.5051212282474	2060.9859868697185	80.73503321796503	655.5983715940308	565.1452325257552	2070.704092720029	14207.870753154106	22491.43467063809	2025.8512964878262	56.81354189412354	2070.704092720029	213.05078210296327	Baseline growth with no supplementation or treatment.
Inj00033-Positive-A9.d.DeMP	37.23021582733813	200.6294964028777	299.1056274205943	483.9928057553957	386.09112709832135	2064.2086330935253	37.23021582733813	5185.341726618705	37.23021582733813	18.615107913669064	25.50959232613909	2947.3920863309354	2954.976019184652	2707.4640287769785	6331.89448441247	9253.08752997602	288.878896882494	202.47920618268054	2947.3920863309354	1367.1762589928057	355.0659472422062	1633.9928057553957	2940.497601918465	292.326139088729	183.39328537170263	287.5	2954.976019184652	8559.502398081535	92881.11510791368	2885.3417266187053	232.90243774741987	2954.976019184652	390.23921387545107	Growth with high glutamate supplementation and spermine treatment.
Inj00034-Positive-B11.d.DeMP	676.6443135241897	638.225343231391	457.1073404224827	1447.375901234825	229.56048925467564	7410.15690280083	676.6443135241897	15500.094361598733	676.6443135241897	32.146485347035664	241.49067041187766	2028.3648193361282	2535.6520393247156	2942.5795001810934	1083.5717743805678	22751.086958900825	255.60376153984453	45.47551585678215	2494.096826559035	656.2587374504598	36.06678843813757	2392.953006808606	1916.2441509306136	165.4367904445006	964.3945604110698	386.5418847826483	2070.7040927200287	1297.6203231547322	74438.71509384307	2070.7040927200287	45.47551585678215	2070.7040927200287	405.3593396199375	Growth with alanine supplementation, no spermine treatment.
Inj00036-Positive-D10.d.DeMP	825.6030956921987	726.0263157894738	622.0140350877193	134.90701754385967	321.8963591045411	7706.177192982456	821.3809091359494	21564.526315789473	806.5226287017301	131.81754385964913	1004.078947368421	2065.828070175439	2065.828070175439	5296.387719298245	1986.5315789473684	31385.963157894737	768.2491228070176	22.656140350877195	2065.828070175439	843.4263157894737	66.93859649122807	3056.519298245614	2043.1719298245614	23.685964912280703	1471.6192982456141	473.719298245614	2065.828070175439	2570.442105263158	81380.85614035088	2054.5	46.3421052631579	2065.828070175439	610.6859649122807	Growth with alanine supplementation, no spermine treatment.
Inj00042-Positive-D2.d.DeMP	185.4583623651522	727.637871106733	500.9665393271025	237.2035350744416	128.21812706726573	3644.600261887028	185.4583623651522	14761.111878618965	185.4583623651522	86.54723577040436	193.24303436566476	2537.345150284712	2557.0357912271847	1768.9522316458838	4148.772254390812	27138.282437551556	223.91266903068896	39.83920376732899	2537.345150284712	1561.5136189263433	87.46307953517055	949.7299840625325	2483.310368163507	68.68828235746378	282.0798795479846	288.98173484953975	2566.194228874847	3980.2570016738346	57177.5	2566.194228874847	39.83920376732899	2566.194228874847	756.9448715792508	Growth with spermine treatment, no supplementation.
Inj00043-Positive-E4.d.DeMP	819.9863583484952	2416.4103208777838	1185.952194320299	1504.0387100154785	167.55174489293407	8954.85536572314	810.8845681258521	38378.512566530735	825.0225652271998	794.5617902344608	2072.1438450430833	2031.5649068268258	2057.7448669663468	8567.391955658231	2034.1829028407778	40817.175853527115	327.24950174401187	233.2041891526201	2031.5649068268258	2513.276173394011	155.77076283014966	3379.8328540121547	1975.2779925268555	37.960942202305375	2548.6191195823644	168.86074289991012	2057.7448669663468	2148.065729447694	71672.87687396651	2057.7448669663468	225.8737878988046	2057.7448669663468	1329.9419750876643	Growth with alanine supplementation, no spermine treatment.
Inj00044-Positive-H3.d.DeMP	764.5569547796223	107.180881511162	110.75357756153406	323.9244419004007	246.058209039806	5055.364911276474	764.5569547796223	18391.048368631942	764.5569547796223	76.21751574127076	142.39003613913	2080.5	2080.5	2355.5975958786494	10955.076989124214	27752.702919290212	178.9034557451621	15.481682884945622	2080.5	1381.4424728105323	434.67801946193475	1470.759874069834	2080.5	647.8488838008014	983.6823125357756	4234.8357183743565	2080.5	13769.170578133944	125437.35832856326	2080.5	27.390669719519178	2080.5	264.37950772753294	Growth with low glutamate supplementation and spermine treatment.
Inj00045-Positive-A11.d.DeMP	1050.6131253238825	1011.7640869276618	413.826713351047	651.9882096061393	94.58896305166787	10153.111730420993	1050.6131253238825	34567.19872950684	1035.4113276905787	655.3663868579846	515.1720309064054	719.551754643045	736.4426409022714	4629.791923653958	3457.5644172636457	65999.44896930126	439.1630427398866	20.26906351107169	719.551754643045	2868.072486816644	733.522972772547	3937.2655870256754	719.551754643045	1180.6729495199259	804.006185939177	624.962791591377	736.4426409022714	3227.8483641381663	234301.92874485912	736.4426409022714	38.849038396220735	736.4426409022714	555.7101579285488	Growth with alanine supplementation and spermine treatment.
Inj00046-Positive-G3.d.DeMP	810.9808830358766	1035.2018764153995	971.2589776771272	90.38478955329533	230.19443545778066	4356.867195082497	812.1449011896289	23778.68133290197	805.9248939064503	109.03946942736978	497.40844386929797	2080.5	2080.5	2437.2340666450987	9864.706567453899	47237.64817211258	529.0433516661275	57.88515043675186	2080.5	4426.86784212229	280.6756713037852	1071.5483662245229	2054.922840504691	424.04238110643803	664.3330637334196	509.9961462608624	2080.5	8307.865253963118	116162.70834681332	2003.768521514073	57.88515043675186	2080.5	2025.3071821417018	Growth with spermine treatment, no supplementation.
Inj00047-Positive-E5.d.DeMP	76.56940063091483	996.4960567823344	689.1246056782335	27.346214511041012	886.0173501577287	6860.618296529969	76.56940063091483	22319.980283911675	76.56940063091483	24.06466876971609	126.88643533123029	2080.5	2080.5	2944.640378548896	1073.0654574132493	31045.61041009464	803.9787066246057	59.06782334384858	2080.5	1380.4369085173503	133.44952681388014	1814.6947949526814	2080.5	357.6884858044164	884.9235015772871	248.30362776025237	2080.5	999.7776025236593	150046.49132492114	2080.5	75.47555205047318	2080.5	529.4227129337539	Growth with alanine supplementation and spermine treatment.
Inj00053-Positive-B1.d.DeMP	670.548116089613	503.17591649694504	167.37219959266804	825.2085030549898	885.5896130346233	4632.396384928717	670.548116089613	14422.610743380856	588.980651731161	447.0320773930754	1040.25	2080.5	2080.5	5666.290478615071	9605.893075356416	22792.2800407332	147.24516293279024	176.28910076422818	2080.5	2656.7688391038696	934.3182281059063	2852.7426171079433	2080.5	2360.1598778004077	1463.9770875763747	4081.55117107943	2080.5	12153.552189409369	2789.183553971487	2032.830702647658	188.70663586389105	2080.5	335.803716904277	Growth with high glutamate supplementation, no spermine treatment.
Inj00054-Positive-G11.d.DeMP	71.28008673653777	400.95048789302496	39.352547885796895	54.94506685941453	340.8079147090712	1646.8670039754247	71.28008673653777	8271.460065052404	71.28008673653777	78.49780198549739	110.63263462233466	2084.9425370437298	2084.9425370437298	1470.894289844597	7310.663895916155	9662.164257318396	292.5453559812071	210.8702565955909	2084.9425370437298	1000.8912179255511	167.805204192266	823.4335019877124	2077.5175280086737	214.58276111311892	315.56288398988073	2618.8006866642572	2084.9425370437298	9561.184134441633	77857.15973979038	2054.5	235.37278641127577	2084.9425370437298	137.00764702124718	Growth with high glutamate supplementation and spermine treatment.
Inj00055-Positive-B3.d.DeMP	230.61788826242952	773.9915427985648	579.177344951307	1580.6276268580214	304.50096114097755	5543.253716043055	230.61788826242952	11829.960533059968	230.61788826242952	98.98667350076883	622.3523833931317	2054.5	3309.7352639671963	3839.419272168119	2103.9933367503845	18201.96437724244	36.85674013326499	232.72398769861607	3309.7352639671963	1266.8188108662223	153.75081695324434	2091.356740133265	2006.0597129677087	41.068939005638136	384.3631471040492	649.7316760635571	2054.5	2424.120451050743	68570.38544336238	2054.5	232.72398769861607	2054.5	622.3523833931317	Growth with alanine supplementation, no spermine treatment.
Inj00056-Positive-F7.d.DeMP	352.7193288298104	512.3044236217041	432.05850947918935	20.854870342122467	230.3103072564829	3840.923076923077	352.7193288298104	11083.910220091524	352.7193288298104	267.48638047504903	899.4796251906733	2080.5	2108.1553715406408	2939.629984746132	6664.491174547832	19723.26694268904	413.4704728699063	68.91174547831771	2080.5	2887.039442144258	272.0200479407278	1069.0387884070603	1971.691980823709	13.147635650468512	420.2709740684245	77.9790804096753	2121.756373937677	6042.018631510133	38406.96393549793	2113.1424057528875	95.20701677925474	2126.2900414033556	751.2286990629767	Baseline growth with no supplementation or treatment.
Inj00057-Positive-G6.d.DeMP	741.5101342458541	367.46920242168994	854.3248223216636	6.571729402474335	587.0744932877072	2500.5430376414847	741.5101342458541	10245.873782574361	741.5101342458541	644.0294814424849	1123.7657278231113	2087.6193735193474	2087.6193735193474	3945.7758620689656	8967.124769676231	16981.348775993683	336.8011318768097	70.09844695972625	2087.6193735193474	2232.7450644906553	587.6221374045801	818.1803106080547	2080.5	883.3499605159252	1039.4285338246907	641.2912608581206	2087.6193735193474	8697.13622005791	26047.049486707027	1927.7072913924717	70.09844695972625	2037.7837588839168	1010.403395630429	Growth with low glutamate supplementation, no spermine treatment.
Inj00058-Positive-H2.d.DeMP	1042.994007670182	667.2094019654842	624.4817062731132	377.945924729892	461.2399970894398	4638.693937474318	1042.994007670182	20696.638444219967	1042.994007670182	1009.0309675044514	1611.6010349609642	746.0913017052458	746.0913017052458	5546.931366422407	14659.98195024654	27716.031939117926	222.40313398849472	147.90356201205313	746.0913017052458	4285.916552527051	551.0777162375017	1943.5623630324612	746.0913017052458	1530.5279713395423	1377.1464996233392	1145.9787101082043	746.0913017052458	15785.144603478975	29787.7773892275	711.032679598685	147.90356201205313	746.0913017052458	1175.559422510615	Growth with low glutamate supplementation, no spermine treatment.
Inj00064-Positive-F6.d.DeMP	199.42119815668204	706.6029953917051	382.5435483870968	778.5096774193548	23.96889400921659	4814.871428571429	199.42119815668204	20822.257603686638	199.42119815668204	74.78294930875576	805.3548387096774	2080.5	2080.5	5512.845622119816	1443.8861751152074	25058.999308755763	395.00737327188943	54.649078341013826	2080.5	2603.0218894009217	515.810599078341	2273.2099078341016	2080.5	113.13317972350231	1418.958525345622	140.93709677419355	2080.5	1204.1972350230415	19823.234101382488	2080.5	54.649078341013826	2080.5	709.479262672811	Growth with alanine supplementation, no spermine treatment.
Inj00065-Positive-F8.d.DeMP	1045.5	1326.4717624148004	1998.360759493671	272.82765335929895	202.58471275559884	7709.41723466407	1045.5	33736.9717624148	1021.0676728334956	651.5287244401169	349.17867575462515	333.90847127555986	390.9172346640701	3778.8666017526775	13565.031645569621	75317.73855890945	989.5092502434275	167.60382270348907	390.9172346640701	4600.403602726387	559.9074975657254	2741.5107108081793	147.61197663096397	1135.0851996105162	2808.699610516066	315.5842259006816	147.61197663096397	12233.469814995131	81682.35978578383	147.61197663096397	179.3213425267761	147.61197663096397	2909.4829600778967	Growth with spermine treatment, no supplementation.
Inj00066-Positive-D1.d.DeMP	2383.504174397032	3300.236549165121	582.8487940630798	656.187384044527	214.22588126159556	10776.91280148423	2383.504174397032	39494.76066790353	2383.504174397032	631.097866419295	524.9499072356216	1831.5347866419297	2080.5	5513.903988868275	1142.5380333951764	55773.99768089054	262.4749536178108	236.81006057919723	2061.200371057514	2134.538961038961	661.9772727272727	461.26113172541744	1752.4063079777366	1474.491651205937	621.448051948052	584.7787569573284	1850.8344155844156	1783.2857142857144	254965.46799628943	1850.8344155844156	271.4348857148905	1850.8344155844156	110.00788497217069	Growth with alanine supplementation and spermine treatment.
Inj00067-Positive-B2.d.DeMP	44.36034115138593	305.3470149253732	65.06183368869937	367.85872271718125	131.60275632412336	3848.2595948827293	44.36034115138593	8459.517057569297	44.36034115138593	75.82506863334825	83.5453091684435	2102.680170575693	2102.680170575693	2354.0554371002136	6298.429104477612	14516.182302771856	107.20415778251599	30.312899786780385	2102.680170575693	1369.2558635394457	299.35086714915633	1680.517590618337	2080.5	536.7601279317697	900.5149253731344	1295.3219616204692	2102.680170575693	6594.164712153519	130221.99946695096	2080.5	30.312899786780385	2102.680170575693	49.53571428571429	Growth with low glutamate supplementation and spermine treatment.
Inj00068-Positive-C11.d.DeMP	30.983728626585773	741.5372264923357	198.5253723110866	450.1128324121585	175.60355356394592	5554.120242691672	30.983728626585773	15573.34004412576	30.983728626585773	51.63954771097629	281.14864864864865	2080.5	2080.5	1546.891340319912	9563.644236072809	27105.02482073911	61.967457253171546	26.393546607832324	2080.5	2400.665195808053	510.657749586321	3000.8314947600666	2043.7785438499725	441.80501930501936	3024.929950358522	1292.1362382790956	2080.5	11392.831770546058	109495.34942084942	2080.5	26.393546607832324	2080.5	150.3284611141754	Growth with low glutamate supplementation and spermine treatment.
Inj00069-Positive-F1.d.DeMP	270.29398682662924	762.0864942982042	296.6106427448406	301.25770836754384	317.44466201342465	3968.8806706652517	270.29398682662924	15452.811396974737	270.29398682662924	123.90758828157853	310.31723436890906	2089.43282717299	2106.9772644517975	1596.5437923714896	5135.037486040993	31175.916780776104	105.81488733780822	84.98086806922421	2089.43282717299	1503.3389693278243	115.68363330713747	1246.7515741252635	2046.119997640934	286.74189677551135	708.356655131856	144.7416075501625	2106.9772644517975	4773.183467165587	86659.10314767515	1992.9384221395485	84.98086806922421	2052.1508979555238	395.846366103096	Growth with spermine treatment, no supplementation.
Inj00075-Positive-C2.d.DeMP	434.5521033182758	469.9303851552475	273.2194277319971	824.3807182766061	125.4927733085036	3093.9308738559266	434.5521033182758	7098.351868950145	434.5521033182758	94.1195799813777	193.5786615940131	2377.0200305935177	2377.0200305935177	2204.8012246701455	3815.514320379822	9046.159914238515	19.35792779758832	20.025442549229297	2377.0200305935177	1625.398420245778	285.028798950697	1244.2474970587803	2343.6442930114686	443.8973098412494	429.8795000567889	939.193255558854	2377.0200305935177	7564.944680347187	78370.2369311605	2377.0200305935177	20.025442549229297	2377.0200305935177	332.80394444111585	Growth with high glutamate supplementation and spermine treatment.
Inj00076-Positive-B6.d.DeMP	1045.5	592.2569252077562	1112.1108033240998	1852.069944598338	377.94390581717454	3821.4328254847646	1045.5	23219.65720221607	1045.5	305.5860734735716	544.4709141274238	2059.1426592797784	2059.1426592797784	2919.290858725762	2518.177977839335	38792.10457063712	149.876784000746	284.6268534062302	2059.1426592797784	2473.288088642659	344.6385041551247	3694.0034626038782	2059.1426592797784	62.26662049861496	1520.4639889196676	1640.6530470914129	2059.1426592797784	3786.6793628808864	240126.1537396122	2059.1426592797784	293.39487317953865	2059.1426592797784	1109.2146814404432	Growth with alanine supplementation and spermine treatment.
Inj00077-Positive-D5.d.DeMP	809.8865154576899	1073.151121382442	360.1058019997844	69.87127501488354	550.9081299250432	4983.255165484578	804.5065214124578	14089.811342424398	827.9422368466006	804.4154482482745	1563.1458320637405	1335.6162954768122	1335.6162954768122	3912.791400833478	11278.836201441007	30194.24444777794	1360.6982916360012	194.38547023371444	1335.6162954768122	6962.045505329164	203.34332600485334	1530.8975512876405	1325.7626541285592	220.3632519700173	1513.8776253224764	292.9218837162425	1335.6162954768122	10451.130328187772	67256.47691528808	1247.8293089196507	131.68047983574203	1298.8890868151425	435.35179047735124	Baseline growth with no supplementation or treatment.
Inj00078-Positive-H10.d.DeMP	390.1001669623498	979.9423438126381	298.9427396309416	339.72348438432806	38.87596165604173	5540.4948111869135	390.1001669623498	25288.14278205418	390.1001669623498	1333.8476499228111	2750.809424765436	2057.7448669663468	2057.7448669663468	7860.987556932025	13052.939263616496	34226.93286213991	750.7082250821852	16.08660482318968	2057.7448669663468	2442.4828323209667	666.2535497604393	2636.8626406011754	2057.7448669663468	1380.7669139904478	2195.821558365392	3140.9095917277855	2057.7448669663468	14825.146894971225	94014.1402379263	2057.7448669663468	16.08660482318968	2057.7448669663468	634.0803401140599	Growth with low glutamate supplementation, no spermine treatment.
Inj00080-Positive-H5.d.DeMP	469.71765024363833	826.7931781266919	648.818624796968	16.89631835408771	82.79195993502978	2397.024363833243	469.71765024363833	18814.613697888468	469.71765024363833	179.66418516513266	238.80129940443965	2097.959528965891	2097.959528965891	2213.41770438549	5959.894694098539	28980.565240931242	439.30427720628046	14.080265295073092	2097.959528965891	1491.381700054142	73.21737953438009	87.29764482945318	2080.5	426.9136437466162	712.4614239306985	50.68895506226313	2097.959528965891	5475.533567948024	81854.77747698972	2070.9254195993503	14.080265295073092	2097.959528965891	890.9991878722253	Growth with spermine treatment, no supplementation.
Inj00086-Positive-G4.d.DeMP	378.7261744966443	1726.3489932885907	1458.6979865771812	77.61879194630873	954.1758389261745	5864.23355704698	378.7261744966443	45337.40402684564	378.7261744966443	500.5073825503356	1442.6389261744966	173.97315436241612	173.97315436241612	3988.0	3779.2322147651007	69312.24295302013	939.455033557047	207.91099598736352	173.97315436241612	4797.644295302013	384.0791946308725	2180.0174496644295	173.97315436241612	362.66711409395975	3144.8993288590605	1746.4228187919464	173.97315436241612	2966.9114093959734	58243.5355704698	173.97315436241612	277.6900776120896	173.97315436241612	2138.5315436241613	Growth with alanine supplementation and spermine treatment.
Inj00087-Positive-F2.d.DeMP	925.4274772618478	993.5026328386788	453.8343705122068	318.67065581618	37.49066539013882	4743.555768310196	925.4274772618478	17689.67448539971	925.4274772618478	400.55816179990427	619.5825753949258	2061.0	2061.0	5489.422690282432	11318.234561991383	20269.624222115846	444.9550023934897	143.03729307326458	2061.0	4262.096696984203	897.8027764480613	3054.502632838679	2028.4423168980372	2401.375777884155	1558.8224030636668	2334.287218764959	2061.0	13567.674485399713	36753.6778362853	2061.0	176.841207352793	2061.0	310.77788415509815	Growth with high glutamate supplementation, no spermine treatment.
Inj00088-Positive-B10.d.DeMP	433.29981718464353	1025.601828153565	325.54003656307134	203.46252285191957	47.474588665447904	3768.5780621572217	433.29981718464353	15335.799268738576	409.1857404021938	210.99817184643513	96.45630712979892	2053.464351005485	2118.270932358318	2341.326142595978	6959.925411334552	32832.82266910421	312.84335921690763	122.8310786106033	2110.735283363803	1880.1444241316271	538.7989031078611	1021.8340036563072	1961.529433272395	676.7012797074955	774.99231229584	500.3670932358319	2061.0	6085.79012797075	95876.81572212066	2052.710786106033	122.8310786106033	2061.0	574.9700182815357	Growth with spermine treatment, no supplementation.
Inj00089-Positive-H4.d.DeMP	1582.9570405727923	1393.9321576946875	329.53000972332717	331.55166622469727	555.955537876779	6160.9981879253955	1582.9570405727923	30344.053257314594	1582.9570405727923	637.8326261822682	2227.865464509856	1513.2098912755237	1513.2098912755237	5825.403208697958	11005.897993458853	29920.516220277557	195.08985238221516	12.129939008220632	1513.2098912755237	4389.016264474499	951.1893838946345	2873.7847166976044	1513.2098912755237	3150.751657385309	671.189958454875	351.7682312383983	1513.2098912755237	11827.701361265801	57177.5	1513.2098912755237	12.129939008220632	1513.2098912755237	729.8179969946079	Growth with low glutamate supplementation, no spermine treatment.
