ReplicateName	2'-Deoxyguanosine-5'-Diphosphate [[M+H]]	2'-Deoxyguanosine-5'-Monophosphate [[M+H]]	2'-Deoxyuridine [[M+Na]]	Acetyl coenzyme A (Acetyl-CoA) [[M+H]]	Ademetionine [[M+H]]	Adenine [[M+H]]	Adenosine 5'-diphosphate (ADP) [[M+H]]	Adenosine phosphate [[M+H]]	Adenosine-3'-5'-Diphosphate [[M+H]]	Aminoadipate [[M+Na]]	Cytidine [[M+H]]	D-(+)-Melibiose [[M+Na]]	D-(+)-Turanose [[M+Na]]	Glucosamine [[M+H]]	Glutamic Acid [[M-H2O+H]]	Glutathione [[M+H]]	Histidine [[M+H]]	Imidazoleacetic acid [[M+H]]	Isomaltose [[M+Na]]	L-Arginine [[M+H]]	L-Citrulline [[M+H]]	L-Valine [[M+H]]	Maltose [[M+Na]]	N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]]	Nicotinamide [[M+H]]	O-acetyl-L-serine [[M+H]]	Palatinose [[M+Na]]	Pidolic Acid [[M+H]]	Spermine [[M+H]]	Sucrose [[M+Na]]	Thymine [[M+H]]	Trehalose [[M+Na]]	gamma-Glutamylcysteine [[M+H]]	Experimental group
Inj00009-Positive-B9.d.DeMP	60.575412463076454	413.54997805873273	72.03562563176659	37.3275514637336	24.557599647193157	1410.9159583967376	60.575412463076454	7102.3852526302235	57.301065843450694	528.8069790695592	1289.7651334705845	2201.670667036357	2219.352138782336	2553.335493984163	4990.7591176335745	10753.936602836864	353.1295449901121	56.646196519525546	2219.352138782336	971.1712073809987	332.6736165539766	1022.578449309123	2193.15736582533	478.0546064653601	243.6113885001561	320.55853406136134	2219.352138782336	5861.735318454025	384.08085848210095	2118.5022628978627	70.72588698391628	2193.484800487293	123.11543289792836	Growth with low glutamate supplementation, no spermine treatment.
Inj00010-Positive-D4.d.DeMP	15.602409638554215	1744.1265060240962	185.0	104.7590361445783	502.2635095512421	7532.62048192771	15.602409638554215	28279.367469879515	15.602409638554215	974.0361445783132	3131.626506024096	442.43975903614455	442.43975903614455	8691.656626506023	17722.10843373494	41739.7891566265	620.7530120481928	98.0722891566265	442.43975903614455	9117.379518072288	906.0542168674698	2213.313253012048	442.43975903614455	2455.4286241606715	3024.6385542168673	434.6385542168674	442.43975903614455	15962.379518072288	3014.60843373494	442.43975903614455	109.21686746987952	442.43975903614455	814.6686746987951	Baseline growth with no supplementation or treatment.
Inj00011-Positive-F10.d.DeMP	137.76570764840224	439.60654628083904	302.3191917839938	372.683810456004	106.67275279720033	2589.803962529339	137.76570764840224	10640.009150081287	137.76570764840224	52.14049351970779	73.18803218821368	2129.628230731551	2166.9397765529934	2082.271268727413	5890.919061423866	19396.741942482855	140.157473406187	6.2185909702403785	2129.628230731551	1530.730084982247	567.3268377465453	1155.2228610100394	2071.269146241603	274.0963558421336	1266.2007921712525	950.9660652952209	2176.9851927356895	7513.971304656605	32361.54740913093	2063.6154958166917	12.91553509203771	2127.7148181253233	424.2992454310166	Growth with low glutamate supplementation and spermine treatment.
Inj00013-Positive-B12.d.DeMP	327.2233127531859	1567.264803815693	533.0687806456456	890.1041956453256	326.85669374274045	6099.414157241055	327.2233127531859	23354.233050336927	327.2233127531859	315.8663214211881	1201.0018333587648	2039.9995680101003	2057.7448669663468	5325.009310790457	9559.747453709128	36180.535135911916	307.3485779221898	256.24211692819983	2039.9995680101003	3708.0576698972736	325.8036888366862	958.9559555955622	1999.5402863898585	156.86844277321927	1358.5800880902339	324.38406492018646	2057.7448669663468	9162.252757089205	36737.73752313806	2057.7448669663468	256.24211692819983	2057.7448669663468	1249.2690465197554	Baseline growth with no supplementation or treatment.
Inj00014-Positive-D8.d.DeMP	345.8929702343255	2051.863204559848	1400.5402153261557	403.32425585813803	155.32552248258392	6112.516149461684	345.8929702343255	35794.04876504117	345.8929702343255	610.8600379987333	1786.89613679544	2061.0	2061.0	5824.054464851171	19226.428119062697	72287.71500949968	294.9879670677644	129.22039265357822	2061.0	3713.454718176061	2959.016466117796	2684.9126029132362	2061.0	2400.366687777074	1972.2425585813805	6457.103863204559	2061.0	21514.542748575048	103133.53641545282	1985.2951234958834	263.66181127295755	2061.0	2406.8929702343253	Growth with low glutamate supplementation and spermine treatment.
Inj00021-Positive-C3.d.DeMP	87.48948696383516	578.7429562657696	578.7429562657696	56.43071909167368	173.6666316232128	4695.123317914214	87.48948696383516	9671.087888982338	87.48948696383516	65.17966778805719	339.02176198486126	2080.5	2105.8719512195125	3344.723086627418	5147.443965517242	18927.038162321278	710.4146341463415	70.86648444070649	2080.5	4145.2518923465095	109.36185870479395	669.7320227081582	2028.4437552565182	167.10492010092517	331.1477081581161	262.0310134566863	2105.8719512195125	5853.9215727502105	8256.382884777124	2105.8719512195125	70.86648444070649	2105.8719512195125	999.5673885618168	Baseline growth with no supplementation or treatment.
Inj00022-Positive-H8.d.DeMP	206.27510040160644	2486.3025435073628	60.50736278447122	1056.128514056225	488.7627090109872	7995.222891566265	206.27510040160644	38350.66666666667	206.27510040160644	736.6642403616756	2456.576434300756	2054.5	2054.5	8094.234939759037	19730.90093708166	63551.98326639894	399.281808495185	242.02945113788488	2054.5	4678.319277108434	1872.9779116465866	4969.854752342704	2054.5	698.5850066934405	2335.034136546185	4914.8480589022765	2054.5	26482.972556894245	196635.17737617137	2054.5	242.02945113788488	2054.5	38.50468540829987	Growth with high glutamate supplementation and spermine treatment.
Inj00023-Positive-G8.d.DeMP	70.21803755029056	551.0488377291015	236.23021904336164	119.97518998658917	10.695462673223066	3037.0463790791237	70.21803755029056	11004.236030397853	70.21803755029056	36.295635085639944	48.36209208761734	2068.4094769780954	2092.590523021904	1186.7313366115332	385.50167635225745	15286.606280733124	225.0697362539115	140.90109521680822	2080.5	1339.7229548502457	146.0163164953062	1163.945350916406	1997.2613991953508	247.5806062235685	578.9500447027268	462.2299955297273	2092.590523021904	957.0113991953509	65703.15724184175	2087.4753017434064	101.83940545373267	2092.590523021904	333.8844434510505	Growth with alanine supplementation and spermine treatment.
Inj00024-Positive-G12.d.DeMP	191.59904272075477	1330.947360931874	352.46027110128153	592.2152229550602	222.92956453661733	4076.858775325579	191.59904272075477	23073.852631397847	191.59904272075477	90.16425539800224	1404.7181153484214	2070.7040927200287	2070.7040927200287	4218.252721290628	709.0189174479268	30795.19159366313	46.106721510342055	180.70128348747107	2070.7040927200287	1273.5701074967817	163.93500981454955	2973.3712405113924	2060.4581546066197	292.00923623216636	1075.8235019079814	1095.290784323459	2070.7040927200287	630.1251939746747	62877.273014370476	2070.7040927200287	202.9334705428424	2070.7040927200287	589.1414415210375	Growth with alanine supplementation, no spermine treatment.
Inj00025-Positive-C12.d.DeMP	767.9605184713495	698.5563656758272	401.3976444195177	83.23555804823332	22.559169938306226	2426.2776219854177	765.8760357299731	14857.936062815479	771.734977574699	13.224340998317443	374.9489624228828	2039.660123387549	2073.1099270891755	391.28491306786316	840.1346045989904	26057.397083567022	146.2456533931576	179.39296795292853	2039.660123387549	872.8065058889512	298.7145260796411	1597.0336511497476	1940.0886146943353	382.7279865395401	569.4245653393158	588.0942232192933	2087.8900729108245	821.4649467190129	99923.89848569826	2143.1211441390915	188.40445319422105	2118.228266965788	769.3454851374089	Growth with alanine supplementation and spermine treatment.
