ReplicateName	2'-Deoxyguanosine-5'-Diphosphate [[M+H]]/Adenosine 5'-diphosphate (ADP) [[M+H]]	2'-Deoxyguanosine-5'-Monophosphate [[M+H]]	2'-Deoxyuridine [[M+Na]]	Acetyl coenzyme A (Acetyl-CoA) [[M+H]]	Ademetionine [[M+H]]	Adenine [[M+H]]	Adenosine phosphate [[M+H]]	Adenosine-3'-5'-Diphosphate [[M+H]]	Aminoadipate [[M+Na]]	Argininosuccinic acid [[M+H]]	Cytidine [[M+H]]	D-(+)-Melibiose [[M+Na]]/Isomaltose [[M+Na]]	D-(+)-Turanose [[M+Na]]/Palatinose [[M+Na]]	Deoxyadenosine [[M+H]]	Glucosamine [[M+H]]	Glutamic Acid [[M-H2O+H]]	Glutathione [[M+H]]	Histidine [[M+H]]	Imidazoleacetic acid [[M+H]]	L-Arginine [[M+H]]	L-Citrulline [[M+H]]	L-Glutamine [[M+H]]	L-Phenylalanine [[M-H2O+H]]	L-Valine [[M+H]]	Maltose [[M+Na]]	N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]]	N2-Acetyl-L-ornithine [[M+H]]	Niacin [[M+H]]	Nicotinamide [[M+H]]	O-acetyl-L-serine [[M+H]]	Pidolic Acid [[M+H]]	Proline [[M+NH4]]	Spermine [[M+H]]	Sucrose [[M+Na]]	Thymine [[M+H]]	Trehalose [[M+Na]]	Xanthurenic acid [[M+H]]	d-Desthiobiotin [[M+H]]	gamma-Glutamylcysteine [[M+H]]	Experimental group
Inj00009-Positive-B9.d.DeMP	132.04493926304477	751.5509318407658	219.88100018251507	104.70523818215003	52.93431485875362	2524.559631725173	12641.412423191581	118.6659366064367	952.8176674575653	40.71870373750279	2291.29962888605	3948.8417188862527	3976.4722678509866	1.4542394191965282	4544.78903287299	8866.206890957394	19126.15684127274	151.82259536411755	100.63336780839975	1735.1984749852975	598.5649449412911	301.31840765752065	214.64573827340757	1838.1586258644118	3917.720995315447	874.8704345886314	25.012918010180286	159.7853694202469	437.4352172943157	569.4801565573605	10413.517632982499	8.143740747500559	695.7081381436191	3797.3099714059745	142.51546308125975	3930.5183022043766	392.6446431830626	564.244894648253	260.01800815233923	Growth with low glutamate supplementation, no spermine treatment.
Inj00010-Positive-D4.d.DeMP	52.50471114605131	1334.6358833254333	176.1448373932044	115.17162444940287	419.99165692917	5783.986727863395	21498.98551394846	52.50471114605131	752.0029596402188	702.0387990334925	2394.8923084037597	409.87548701111024	428.5061909661607	120.252725528053	6631.68375781819	13466.611558782386	31728.08883545094	489.47940390996223	117.71217498872794	6928.081320739448	749.4624091008938	221.87474710105553	226.95584817970567	1681.844457033192	398.01958449425996	65.20746384267663	81.29761725840203	238.81175069655595	2327.144294021758	348.05542388753366	12129.435124917627	160.054683977479	2290.7297362914323	434.43414222458586	131.26177786512827	434.43414222458586	21.17125449437553	497.1010555279374	654.6151889660913	Baseline growth with no supplementation or treatment.
Inj00011-Positive-F10.d.DeMP	276.4461247637051	806.8771266540642	564.1228733459357	27.644612476370508	262.6238185255198	4570.0	19249.28922495274	276.4461247637051	105.39508506616257	13.822306238185254	132.1758034026465	3949.7240075614363	4026.1786389413987	31.100189035916824	3775.2173913043475	10638.856332703213	35045.593572778824	260.0321361058601	25.052930056710775	2764.4612476370507	1067.7731568998108	217.70132325141776	410.3497164461247	2086.304347826087	3844.3289224952737	548.5727788279772	3.887523629489603	86.38941398865784	2286.727788279773	1717.421550094518	13570.049149338374	18.141776937618147	58444.1663516068	3792.4952741020793	53.56143667296786	3908.257088846881	99.34782608695652	347.2854442344045	796.5103969754252	Growth with low glutamate supplementation and spermine treatment.
Inj00012-Positive-A5.d.DeMP	545.3102489026958	454.73645756098085	356.69266280964	799.2903648299787	140.99631435669016	2915.1688306065344	9411.270545702519	545.3102489026958	168.0750767165843	29.880013638503875	133.5263109470642	3768.6167201563017	3897.007403759248	2.3343760655081156	2467.90237645518	483.6827207732815	15500.257074973886	44.82002045775582	48.555022162568804	3522.1066076386446	2.3343760655081156	10.271254688235707	569.5877599839802	1379.1493795021945	3618.2829015375787	333.34890215455886	38.91925459172769	110.18255029198305	718.0540777502963	2910.5000784755184	12203.184320050224	97.99247756193571	89785.70598199934	3905.878032808179	48.555022162568804	3927.3542926108535	236.1631476651796	870.2553972214254	380.03642346472117	Growth with high glutamate supplementation and spermine treatment.
Inj00013-Positive-B12.d.DeMP	369.7510812190621	1564.2231455000701	596.5317443667535	926.1384224820317	334.5600800307023	5929.398767206255	23203.464993987083	369.7510812190621	329.6066781152782	178.88909453265097	1197.2892153760106	2124.131925631793	2157.9377387718214	46.48299306753923	5288.496893093214	9485.347736873005	35904.590705805305	311.29519599776273	316.9294981877675	3720.7523087243903	414.8254987391001	11.268604380009512	165.5076268313897	951.4927823370531	2065.6760404104934	190.8619866864111	56.34302190004755	281.01082172648717	1367.0225688499038	321.85951260402163	9095.172310215177	98.60028832508323	36422.242219511994	2147.3734221655623	316.9294981877675	2157.9377387718214	145.08328139262247	563.4302190004755	1266.3094172035687	Baseline growth with no supplementation or treatment.
Inj00021-Positive-C3.d.DeMP	118.26434075342466	628.3683647260274	693.4375	127.28852739726028	201.85680650684932	5109.114511986301	10521.726669520549	118.26434075342466	84.06742294520548	761.8313356164384	368.091823630137	2278.8446061643835	2309.2418664383563	6.174443493150685	3666.6695205479455	7580.791738013699	20553.77247431507	775.1301369863014	104.49058219178083	4521.117508561644	144.38698630136986	13.773758561643836	1.1873929794520548	741.4081763698631	2219.0	204.23159246575344	203.75663527397262	64.59417808219179	363.3422517123288	290.1988441780822	6360.151755136986	64.59417808219179	8967.191780821919	2312.091609589041	104.49058219178083	2312.091609589041	60.79452054794521	340.54430650684935	1128.498287671233	Baseline growth with no supplementation or treatment.
Inj00022-Positive-H8.d.DeMP	185.78646231476702	1820.3120403393661	59.29355180258522	952.6497322948692	84.98742425037214	5642.76967987936	27624.865784824455	185.78646231476702	337.052187201832	11.858710360517044	4.941129316882102	1624.643319390835	1624.643319390835	4.941129316882102	5891.802597450218	14291.72243614979	45699.51682597918	57.31710007583238	341.92614872824146	3468.672780451235	1428.9745984423039	551.4300317640425	444.7016385193891	3571.448270242383	1624.643319390835	790.5806907011363	8.894032770387783	1452.6920191633378	1764.9713919902867	3583.3069806029002	19108.335294246463	119.06647366677932	141306.41620419433	1624.643319390835	341.92614872824146	1624.643319390835	505.97164204872723	1776.8301023508038	423.6321897443943	Growth with high glutamate supplementation and spermine treatment.
Inj00023-Positive-G8.d.DeMP	154.4170403587444	633.5874439461884	355.0	202.1748878923767	41.390134529147986	3465.627802690583	12579.417040358745	154.4170403587444	12.735426008968611	766.7787742899851	59.431988041853515	2427.955904334828	2455.2840059790733	295.0373692077728	1361.0986547085201	446.2705530642751	17459.73841554559	284.95515695067263	220.7473841554559	1536.7414050822124	202.1748878923767	2.6532137518684604	18.041853512705533	1071.3677130044844	2331.1136023916292	5.041106128550075	18.572496263079223	139.55904334828102	664.3647234678625	527.45889387145	1105.8594917787743	1.0612855007473843	74975.04484304933	2430.3437967115096	278.05680119581467	2452.100149476831	386.30792227204785	610.7698056801196	431.9431988041854	Growth with alanine supplementation and spermine treatment.
Inj00024-Positive-G12.d.DeMP	254.02693602693603	1402.4848484848485	463.22558922558926	663.8855218855219	336.16744840722777	4272.56228956229	24052.50841750842	254.02693602693603	127.01346801346801	93.92592592592594	1471.861952861953	2219.0	2219.0	129.14814814814815	4403.845117845118	753.5420875420875	32138.67676767677	48.03030303030303	70.44444444444444	1353.3872053872055	226.27609427609428	5.336700336700337	5.336700336700337	3097.4208754208757	2189.114478114478	487.7744107744108	66.17508417508418	145.6966935006878	1120.7070707070707	1165.5353535353536	678.8282828282829	105.66666666666667	24299.063973063974	2219.0	29.885521885521886	2219.0	223.07407407407408	820.7845117845118	674.5589225589226	Growth with alanine supplementation, no spermine treatment.
Inj00025-Positive-C12.d.DeMP	771.3930534972466	787.824820143885	456.57122302158274	134.89604316546763	75.03093525179857	2495.1776978417265	15295.934172661871	766.6876667890882	76.62733812949641	563.5302158273381	390.3205035971223	2155.942086330935	2219.0	393.513309352518	401.4953237410072	881.2143884892087	26757.308633093526	150.06187050359713	14.367625899280576	906.7568345323741	333.64820143884896	15.964028776978418	116.53741007194245	1645.093165467626	2053.7723021582733	392.7151079136691	3.591906474820144	744.7219424460432	584.2834532374101	611.4223021582734	874.8287769784173	41.506474820143886	102531.36942446044	2306.8021582733813	14.367625899280576	2270.88309352518	396.70611510791366	726.3633093525181	852.4791366906475	Growth with alanine supplementation and spermine treatment.
