well	0	1200	2400	3600	4800	6000	7200	8400	9600	10800	12000	13200	14400	15600	16800	18000	19200	20400	21600	22800	24000	25200	26400	27600	28800	30000	31200	32400	33600	34800	36000	37200	38400	39600	40800	42000	43200	44400	45600	46800	48000	49200	50400	51600	52800	54000	55200	56400	57600	58800	60000	61200	62400	63600	64800	66000	67200	68400	69600	70800	72000	Summary	growth_summary
A1	0.03613333333333332	0.04003333333333334	0.008566666666666667	0.0	0.014500000000000013	0.0	0.0	0.021233333333333326	0.030266666666666664	0.012833333333333335	0.01773333333333335	0.04193333333333332	0.029366666666666652	0.03363333333333332	0.05050000000000002	0.03623333333333334	0.03833333333333333	0.04899999999999999	0.03983333333333333	0.028233333333333333	0.05943333333333334	0.04929999999999998	0.05056666666666665	0.057066666666666654	0.06350000000000003	0.07143333333333335	0.07546666666666668	0.09023333333333333	0.09333333333333332	0.10026666666666667	0.09890000000000002	0.11709999999999998	0.12503333333333336	0.1399	0.15086666666666665	0.16216666666666665	0.17443333333333336	0.19856666666666664	0.21989999999999998	0.23973333333333333	0.26139999999999997	0.2939333333333333	0.31866666666666665	0.3459	0.3784666666666666	0.41083333333333333	0.4344	0.47406666666666664	0.5161	0.5295333333333333	0.5752666666666667	0.6454333333333333	0.6929000000000001	0.6993666666666667	0.7801	0.8652	0.9138666666666666	0.9355333333333333	1.0351000000000001	1.0947666666666667	1.9204666666666668	Low proline supplementation without lactic acid treatment.	16.986866666666668
A2	0.0	0.0	0.0	0.0	0.0	0.0	0.0010000000000000009	0.004533333333333306	0.011066666666666669	0.007633333333333353	0.009233333333333343	0.01213333333333333	0.01626666666666665	0.0159333333333333	0.022699999999999998	0.02103333333333335	0.029133333333333317	0.03090000000000001	0.03623333333333334	0.04093333333333335	0.04323333333333332	0.048100000000000004	0.05566666666666667	0.05956666666666666	0.06550000000000003	0.07453333333333337	0.07436666666666669	0.09003333333333333	0.10003333333333334	0.10236666666666666	0.11590000000000003	0.13389999999999996	0.14153333333333337	0.1586	0.16626666666666667	0.16736666666666664	0.17473333333333332	0.21656666666666666	0.23859999999999998	0.2534333333333333	0.2704	0.2914333333333333	0.3179666666666667	0.33709999999999996	0.36506666666666665	0.39543333333333336	0.43520000000000003	0.45966666666666667	0.48929999999999996	0.44013333333333327	0.4726666666666667	0.5939333333333333	0.6403	0.5788666666666666	0.7426	0.7675000000000001	0.8083666666666667	0.7132333333333334	0.8968	0.9549666666666667	1.1263666666666665	Low proline supplementation with lactic acid treatment.	14.836333333333334
A3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018333333333333535	0.006233333333333313	3.333333333330191e-05	0.0121	0.0065333333333333354	0.01426666666666665	0.01206666666666667	0.01516666666666669	0.017166666666666663	0.023766666666666658	0.017600000000000005	0.02586666666666665	0.026666666666666672	0.030099999999999988	0.03556666666666666	0.039100000000000024	0.04369999999999999	0.05023333333333335	0.056033333333333324	0.051100000000000007	0.06663333333333335	0.06489999999999999	0.07816666666666666	0.0862333333333333	0.09653333333333333	0.09510000000000002	0.11359999999999998	0.12409999999999999	0.13593333333333332	0.14226666666666668	0.15846666666666667	0.17390000000000003	0.18070000000000003	0.20529999999999998	0.2157666666666667	0.2424	0.25233333333333335	0.26903333333333335	0.28346666666666664	0.31023333333333336	0.3353666666666667	0.36260000000000003	0.3839	0.42923333333333336	0.4387333333333333	0.46649999999999997	0.48183333333333334	0.5255666666666667	0.5570666666666666	1.6478666666666668	Lactic acid treatment without proline supplementation.	9.408866666666666
A4	0.007633333333333325	0.021666666666666667	0.03180000000000002	0.026000000000000023	0.04786666666666664	0.029266666666666663	0.0018666666666666554	0.018899999999999972	0.0320333333333333	0.012433333333333324	0.01560000000000003	0.028133333333333316	0.021933333333333332	0.03773333333333334	0.0532	0.040733333333333344	0.03426666666666667	0.04006666666666667	0.03816666666666668	0.033766666666666695	0.05526666666666666	0.03870000000000004	0.047166666666666635	0.059166666666666645	0.061	0.06606666666666666	0.0703	0.08549999999999999	0.09603333333333333	0.09563333333333332	0.11540000000000003	0.12533333333333332	0.13349999999999998	0.14816666666666664	0.16423333333333334	0.16663333333333333	0.18380000000000002	0.2168	0.23309999999999997	0.25093333333333334	0.2709666666666667	0.2970666666666667	0.32099999999999995	0.3489	0.3831	0.4120666666666667	0.4488	0.4865333333333334	0.5262333333333333	0.5413666666666667	0.5682333333333334	0.6612666666666667	0.7276	0.7214999999999999	0.8341333333333334	0.8819333333333332	0.9423	0.9634333333333333	1.0970666666666666	1.1498666666666666	1.4346666666666668	Control group with no supplementation or treatment.	17.003833333333333
A5	0.04776666666666668	0.024400000000000033	0.034966666666666674	0.029033333333333328	0.018066666666666648	0.0388333333333333	0.009199999999999986	0.0	0.024466666666666664	0.028599999999999987	0.007599999999999996	0.01956666666666665	0.03620000000000001	0.045999999999999985	0.037466666666666676	0.0471	0.03589999999999999	0.03749999999999998	0.03636666666666666	0.03340000000000001	0.029233333333333333	0.040600000000000025	0.05153333333333332	0.05356666666666668	0.06310000000000002	0.06816666666666665	0.08016666666666666	0.08563333333333334	0.10243333333333335	0.10389999999999999	0.12456666666666669	0.14203333333333332	0.1521666666666667	0.17146666666666666	0.18596666666666664	0.1835333333333333	0.19083333333333333	0.24459999999999996	0.2690666666666667	0.28703333333333336	0.31210000000000004	0.3388333333333333	0.37326666666666675	0.39483333333333326	0.43476666666666663	0.4821	0.5221	0.5688333333333333	0.6121000000000001	0.5568666666666667	0.6158333333333333	0.7702666666666667	0.8228	0.7827666666666667	0.9563	0.9789	1.0439333333333334	1.0078	1.1852	1.2522	1.6372333333333333	Control group with no supplementation or treatment.	18.871066666666668
A6	0.009366666666666662	0.0	0.014466666666666683	0.0	0.0	0.0	0.0	0.0002333333333333354	0.001966666666666672	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002433333333333315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005333333333333329	Media control	0.0338
A7	0.008200000000000013	0.0013000000000000234	0.0	0.0	0.0	0.0033999999999999864	0.002166666666666678	0.0040000000000000036	0.006666666666666654	0.004066666666666663	0.00933333333333336	0.0024666666666666726	0.0040000000000000036	0.004533333333333334	0.006900000000000017	0.006100000000000022	0.011633333333333329	0.007966666666666677	0.004899999999999988	0.005133333333333323	0.008133333333333326	0.00413333333333335	0.006833333333333358	0.009766666666666673	0.004233333333333339	0.0063	0.0	0.009500000000000008	0.008600000000000024	0.0030333333333333323	0.008800000000000002	0.007366666666666688	0.007266666666666671	0.0131	0.010966666666666652	0.005400000000000016	0.004433333333333345	0.012433333333333352	0.007599999999999996	0.007233333333333342	0.008733333333333343	0.00993333333333335	0.01100000000000001	0.009366666666666662	0.011399999999999993	0.0032000000000000084	0.015466666666666656	0.008633333333333326	0.004233333333333339	0.011366666666666664	0.009766666666666673	0.005199999999999982	0.014800000000000008	0.013066666666666671	0.015699999999999992	0.008633333333333354	0.007666666666666683	0.017499999999999988	0.009599999999999997	0.004533333333333334	0.0010333333333333583	Media control	0.43873333333333353
A8	0.0	0.0	0.0	0.007466666666666649	0.012333333333333335	0.0116	0.017566666666666675	0.004499999999999976	0.007866666666666688	0.010366666666666663	0.011333333333333334	0.022766666666666657	0.018100000000000005	0.01573333333333332	0.020600000000000035	0.017299999999999982	0.021733333333333327	0.02416666666666667	0.027199999999999974	0.032233333333333364	0.02733333333333335	0.022833333333333344	0.029233333333333306	0.028666666666666674	0.02993333333333334	0.036400000000000016	0.04776666666666668	0.039600000000000024	0.045999999999999985	0.056333333333333346	0.04799999999999999	0.053166666666666695	0.05466666666666667	0.0562	0.061766666666666664	0.0804	0.08053333333333335	0.07803333333333332	0.0771	0.08483333333333334	0.09813333333333332	0.10883333333333337	0.11860000000000001	0.1275666666666667	0.1394	0.155	0.17306666666666667	0.18003333333333332	0.19293333333333337	0.27586666666666665	0.29766666666666663	0.2541	0.27269999999999994	0.3695666666666667	0.31320000000000003	0.34563333333333335	0.35986666666666667	0.48729999999999996	0.4175	0.45083333333333336	0.5452333333333333	High proline supplementation with lactic acid treatment.	7.004700000000001
A9	0.0	0.0	0.0008333333333333248	0.004599999999999993	0.0	9.999999999998899e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Media control	0.005533333333333307
A10	0.0	0.007900000000000004	0.0	0.011933333333333351	0.009233333333333343	0.011466666666666625	0.00799999999999998	0.014866666666666667	0.013433333333333325	0.015499999999999986	0.011099999999999971	0.008199999999999985	0.010699999999999987	0.018766666666666654	0.02153333333333335	0.0242	0.02250000000000002	0.023900000000000005	0.024866666666666676	0.02980000000000002	0.03183333333333335	0.028566666666666657	0.03103333333333333	0.034	0.03363333333333332	0.03503333333333333	0.039066666666666666	0.049166666666666664	0.04696666666666666	0.0523666666666667	0.057433333333333336	0.06180000000000002	0.06996666666666668	0.07106666666666667	0.07880000000000001	0.08263333333333331	0.08836666666666668	0.09506666666666669	0.098	0.10493333333333335	0.12043333333333334	0.12443333333333334	0.14076666666666662	0.14953333333333335	0.15793333333333331	0.17303333333333332	0.18216666666666664	0.19163333333333335	0.21080000000000002	0.23163333333333333	0.2559666666666667	0.2542333333333333	0.27913333333333334	0.31033333333333335	0.3159	0.34023333333333333	0.36306666666666665	0.4107333333333334	0.41613333333333336	0.4463666666666667	1.6183999999999998	Lactic acid treatment without proline supplementation.	8.1705
