ReplicateName	2'-Deoxycytidine-5'-Monophosphate [[M+H]]	2'-Deoxyguanosine-5'-Diphosphate [[M+H]]	2'-Deoxyguanosine-5'-Monophosphate [[M+H]]	2'-Deoxyuridine [[M+Na]]	2-(1H-INDOL-3-YL)ACETAMIDE [[M+H]]	5'-Deoxy-5'-Methylthioadenosine [[M+H]]	ATP [[M+H]]	Acetyl coenzyme A (Acetyl-CoA) [[M+H]]	Ademetionine [[M+H]]	Adenine [[M+H]]	Adenosine 5'-diphosphate (ADP) [[M+Na]]	Adenosine 5'-phosphosulfate [[M+Na]]	Adenosine phosphate [[M+H]]	Adenosine-3'-5'-Diphosphate [[M+Na]]	Aminoadipate [[M+Na]]	Argininosuccinic acid [[M+H]]	Biotin [[M+H]]	Choline [[M+H]]	Citicoline [[M+H]]	Cytidine [[M+H]]	D-(+)-Melibiose [[M+K]]	D-(+)-Turanose [[M+Na]]	Deoxyadenosine [[M+H]]	Flavin adenine dinucleotide [[M+H]]	Gluconic Acid [[M+Na]]	Glucosamine 6-Phosphate [[M+H]]	Glucosamine [[M+H]]	Glutathione [[M+H]]	Guanosine-5'-Diphosphate [[M+H]]	Imidazoleacetic acid [[M+H]]	Indole-3-Ethanol [[M+H]]	Inosine triphosphate [[M+H]]	Isomaltose [[M+Na]]	L-Arginine [[M+H]]	L-Citrulline [[M+H]]	L-Cystathionine [[M+H]]	L-Histidinol [[M+H]]	L-Lysine [[M+H]]	L-Phenylalanine [[M-H2O+H]]	L-Threonine [[M+NH4]]	L-Tryptophan [[M-H2O+H]]	L-Tyrosine [[M+NH4]]	Maltose [[M+K]]	Methionine [[M+H]]	N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]]	N2-Acetyl-L-ornithine [[M+H]]	Niacin [[M+H]]	Nicotinamide [[M+H]]	O-acetyl-L-serine [[M+H]]	P-Hydroxybenzoic Acid [[M-H2O+H]]	Palatinose [[M+K]]	Phenylethyl alcohol [[M+H]]	Pidolic Acid [[M+H]]	Proline [[M+NH4]]	Pyridoxamine [[M+H]]	Spermidine [[M+H]]	Sucrose [[M+K]]	Thymine [[M+H]]	Trehalose [[M+K]]	Uridine 5'-triphosphate [[M+H]]	Xanthurenic acid [[M+H]]	d-Desthiobiotin [[M+H]]	gamma-Glutamylcysteine [[M+H]]	Experimental group
Inj00028-Positive-A3_demultiplexed		1487.287835494574	440.6236599250657			263.495876367149	546.7539434618341	3213.917758689308	1515.8332221010153	5164.519176796119			2088.2048202096553		4480.89376422135	40.988247434889836	2664.968016257748	3011.1723204845853		14963.638045694423	1018.8507219529757	1936.694691298545	21.22605670735366	117.84121137530825		543.826211502199	8501.401677790096	5583.184847023923		98.0790206477721	543.0942785122903		1936.694691298545	9496.830544065993	15.37059278808369		45.37984537434232	251.0530155387002		62.94623713215224	178.59164953773427		1018.8507219529757			66.60590208169599	32.20505155598487	2359.020026475892	35.132783515619856	106.86221652667706	1018.8507219529757	4903.219099398696	387.92448465163596		38.060515475254846		799.2708249803518	111.98574745603831	1018.8507219529757		816.1052837482529	2121.873737745458		Growth with 10 mM proline supplementation, no lactic acid.
Inj00029-Positive-D8_demultiplexed	30.082827512883473	9366.328998605879	3139.996752831242	404.0855479433266	23.57843237496272		2165.9635809276097	2144.8242967293672	2078.9672959579198	4227.043790256247	164.23597723249893	111.38776673689286	20479.08809174348	164.23597723249893	2039.127875738155	4001.0160592135016	1027.6944317914786	637.4307235162335	600.0304514731891	5428.7307919871055	1452.1062145408075	1366.7360283555977	24.391481767202816	27.64367933616319	131.71400154289518	52.84821049560609	2965.1911334996216	21936.885652029967	455.3076596544525	252.85836098666914	452.86851147773217	108.94861856017256	1366.7360283555977	29570.606395772207	2493.6224860003676	137.40534728857585	216.27113833586495	178.8708662928206	4.065246961200469	25.204531159442904	6.50439513792075	25.204531159442904	1452.1062145408075		703.287724287681	756.9489841755272	35.77417325856412	282.9411884995526	13.821839668081594		1452.1062145408075	3093.652937473557	4187.204370036483			22.765382982722624	781.3404659427301	340.66769534859924	1452.1062145408075	357.7417325856412	67.48309955592778	1976.5230725356678	429.2900791027695	Growth with 20 mM proline supplementation and 50 mM (S)-lactic acid.
Inj00030-Positive-B6_demultiplexed		11421.071267851754	1690.0617761144308	365.1627872426572	30.517927464083744	619.8296302188043	4419.837770660404	1698.4805147252125	2999.1756300909883	6257.227472463515	427.25098449717245	415.6752189073475	11237.963703067251	419.8845882127384	1288.0670074496036	4486.13533722031	552.4797213325505	889.2292657638195	186.26459176354558	6700.2635918559035	125.22873683537813	67.34990888625379	50.51243166469033	176.79351082641617	56.82648562277662	81.03035912877407	4773.424792313237	17289.98442189296	910.2761122907737	214.67783457493394	476.71107383551504		67.34990888625379	17318.397664704353	971.3119672189413	63.14053958086292	169.42711454198218	127.33342148807355		193.6309880479796		21.046846526954308	125.22873683537813	66.29756655990607	513.5430552576851	634.5624227876723	149.43261034137558	1432.2379061592403	251.50981599710394	41.041350727560896	125.22873683537813	4669.242902004813	2284.6351905008896	393.57603005404553	142.06621405694156	166.27008756293904	125.22873683537813	265.1902662396243	125.22873683537813	210.46846526954303		2599.2855460788564	165.2177452365913	Growth with 20 mM alanine supplementation and 50 mM (S)-lactic acid.
Inj00031-Positive-F8_demultiplexed	154.50744877384764	6205.019142757722	3663.886635257174	1591.4267223706308		26.78129112080026	1424.5586776948753	1238.119689507766	1670.7405460745392	8579.283605582514	144.20695218892448	61.802979509539064	20576.27197804254	89.61432028883164	1550.224736030938	2426.7969954079003	120.51581004360116	1043.440304052718	932.1949409355476	5966.0476219875045	931.1648912770553	2911.950384557782	867.3018124505315		35.0216883887388	42.23203599818503	7821.167056932168	38897.7652536454	139.0567038964629	142.14685287193987	883.7826069864087	31.93153941326185	2911.950384557782	7782.0251699094615	1066.101396539549	106.09511482470874	199.82963374750963		31.93153941326185	188.49908750409415		41.20198633969271	931.1648912770553	33.991638730246486	545.9263190009284	110.215313458678	305.92474857221833	4088.267094556009	92.7044692643086	470.7326939309892	909.5338484487165	6082.443233397136	2035.3781251808196			21.63104282833867	757.0864989918535	179.22864057766327	931.1648912770553		64.893128485016	1054.7708502961334	2181.6451766867294	Growth with 10 mM proline supplementation and 50 mM (S)-lactic acid.
Inj00032-Positive-A1_demultiplexed		8083.492575795895	2524.8949763111696	490.67192875640046	109.82184853069332	125.94248684712538	2041.2758268182083	1227.1835918383897	3001.461346540692	3160.6526499154584	18.135718105986054	140.04804537400344	13597.758419910431	18.135718105986054	3824.6214405735036	4368.692983753085	959.1779798277068	1668.486065750717	1042.8037910941982	9956.509240186344	230.72663590393367	24.180957474648068	46.34683515974214	86.64843095082226	80.60319158216025	120.90478737324035	3978.775044474385	19309.50208340126	30.22619684331009	488.6568489668465	927.9442430896197	83.62581126649124	24.180957474648068	17929.172427556772	2190.391731245204	298.23180885399285	260.9528327472438			158.18376347998947			230.72663590393367	8.060319158216025	62.467473476174185	990.4117165657939	175.3119416911985	1182.8518364682016	22.16587768509407	385.8877796995922	230.72663590393367	5100.166947361189	2581.317210418682	195.4627395867386			230.72663590393367	488.6568489668465	230.72663590393367	280.0960907480069		3235.2106021289565	330.473085486857	Growth with 50 mM (S)-lactic acid, no proline supplementation.
Inj00034-Positive-H1_demultiplexed		5158.268678581159	588.5645639715854	344.25474496451227		103.27642348935368	1853.4231269218417	2932.8283272621834	941.7033023545367	5343.722041191075			7103.863237219306		7273.769611346952	77.73494241134148	1990.014525730342	4737.38949038261		20048.95214706227	942.8138015318416	3271.5305763401707		1261.5270654183414	19.988985191487807	464.1886561134391	8901.761405275905	12663.022118807527	22.209983546097565	575.2385738439269	468.6306528226586	13.32599012765854	3271.5305763401707	14238.820451403148	588.5645639715854	13.32599012765854	431.9841799715976			518.6031158013782	67.74044981559757		942.8138015318416	133.25990127658537	23.320482723402442	607.4430499857684	68.85094899290245	3533.6083821841225		104.38692266665853	942.8138015318416	6797.36546428316	1023.8802414750976	113.27091608509758	11.104991773048782	77.73494241134148	676.2939989786709	575.2385738439269	942.8138015318416	32.20447614184147	1318.1625234608905	2858.4248823827566	171.01687330495122	Baseline growth without any supplementation or treatment.
Inj00035-Positive-F11_demultiplexed	102.78600973912629	7739.4653270757735	3482.67909561399	195.13281536412256			719.502068173884	1422.9438223260295	1869.4205521303595	4276.861623988957	72.27141309782317	90.74077422282242	20239.207730194837	72.27141309782317	2276.5495125814296	3736.4320571574576	362.9630968912897	628.7612939510616		2902.9017594292304	1461.4885759782019	2187.4147697607814			122.05838656521247	46.5749106630416	5216.3899942606595	35995.17880122137	415.9621331630267	96.3618841304309	504.2938602825883		2187.4147697607814	19997.500004167672	1001.3605792553944	118.04330805977784	96.3618841304309	5.621109907608469	127.67949647282092	216.01122359238258	118.84632376086476	62.635224684780084	1461.4885759782019		249.73788303803337	326.8273903423781	69.8623659945624	1243.8713209836453	124.46743366847323	15.257298320651559	1461.4885759782019	2751.131791923802	8362.605511119227	175.05742283694946	45.77189496195468	9.63618841304309	1096.1164319836514	61.029193282606236	1461.4885759782019	36.135706548911585	126.87648077173401	1828.4667513749262	489.8395776630237	Baseline growth without any supplementation or treatment.
Inj00036-Positive-G4_demultiplexed	25.25500480144056	4969.6237225945815	5114.138472291714	646.8087340813389			225.89198739066282	475.6359237604639	2650.3724483289566	9199.837026835878			33844.51254557496		2136.8540173663323	3388.3798108599417	812.3693211130047	1408.6680455914625		5246.025719588126	688.9004087504064	2207.0068084814443	40.68861884676535	8.41833493381352	86.98946098273971	74.36195858201944	9815.778532826565	36870.90395428092	186.60642436619972	223.08587574605832	267.9836620597304	926.0168427194873	2207.0068084814443	18510.51546363363	251.14699219210337	99.61696338346		84.18334933813522	509.30926349571797	72.95890275971719	35.07639555755634	159.9483637424569	688.9004087504064	14.030558223022535	214.66754081224477	127.67807982950505	175.3819777877817	732.3951392417764	641.1965107921299		688.9004087504064	3239.655893695903	2372.5673955131106	39.285563024463094	127.67807982950505	16.83666986762704	662.2423481266636	223.08587574605832	688.9004087504064	124.87196818490057	457.3961980705346	197.83087094461771	549.9978823424834	Growth with 20 mM alanine supplementation and 50 mM (S)-lactic acid.
Inj00037-Positive-A12_demultiplexed	363.8957184494834	3999.6701415584616	6696.529955840056	1121.392928283102		236.5852630152618	217.48869470012855	231.28066070550258	747.9489256760519	9256.531030529863	320.3979795094577		30741.23130551671	253.55999040649138	467.8659237207644	2404.045766782884	775.5328576868	415.8808210851239		5026.641148727849	1077.8951893430765	676.8672547252781	187.78292176547686		189.90476268938056	13.791966005374006	5230.337877422605	39447.14461629356	88.05639834200329	37.132216168314635	1387.6839642330156	326.7635022811688	676.8672547252781	4561.95798639294	1277.3482361900233	58.350625407351565	41.37589801612202	24.401170624892472	25.46209108684432	6.36552277171108		7.426443233662927	1077.8951893430765	43.49773894002572	483.7797306500421	12.73104554342216	576.0798108398528	1600.9289770853366	179.29555806986207	754.314448447763	1077.8951893430765	4714.730532914007	1200.9619629294905			163.3817511405844	1077.8951893430765	37.132216168314635	1077.8951893430765	24.401170624892472	74.26443233662927	1048.1894164084244	1249.7643041792755	Growth with 10 mM proline supplementation and 50 mM (S)-lactic acid.
Inj00038-Positive-C1_demultiplexed	159.77775001093306	12644.975010480637	1378.5952020174095	448.6067596460813	124.95439423931944		1769.8458462749509		180.26207693541164	8117.938760170867			16149.843347258924		997.5867212221076	1888.6549424369266	137.24499039400658	1692.0054039619322	262.199384633326	8863.56826022189	1165.558202002832	620.6751058117014	196.6495384749945		45.06551923385291		4617.167288777476	23122.70823235144		325.70079809920963	473.18795195545556	65.5498461583315	620.6751058117014	12341.806971998354	1771.8942789673986	43.01708654140505	12.290596154687156			65.5498461583315	18.435894232030734		1165.558202002832	24.581192309374313	24.581192309374313	112.66379808463228	450.6551923385291	3384.0108079238644		38.920221156509335	1165.558202002832	5231.6970965118335	7278.081356267246	548.9799615760263	90.13103846770582	118.80909616197586	917.6978462166411	346.1851250236883	1165.558202002832	24.581192309374313	79.88887500546653	3441.366923312404	196.6495384749945	Growth with 10 mM proline supplementation, no lactic acid.
