ReplicateName	2'-Deoxycytidine-5'-Monophosphate [[M+H]]	2'-Deoxyguanosine-5'-Diphosphate [[M+H]]	2'-Deoxyguanosine-5'-Monophosphate [[M+H]]	2'-Deoxyuridine [[M+Na]]	2-(1H-INDOL-3-YL)ACETAMIDE [[M+H]]	5'-Deoxy-5'-Methylthioadenosine [[M+H]]	ATP [[M+H]]	Acetyl coenzyme A (Acetyl-CoA) [[M+H]]	Ademetionine [[M+H]]	Adenine [[M+H]]	Adenosine 5'-diphosphate (ADP) [[M+Na]]	Adenosine 5'-phosphosulfate [[M+Na]]	Adenosine phosphate [[M+H]]	Adenosine-3'-5'-Diphosphate [[M+Na]]	Aminoadipate [[M+Na]]	Argininosuccinic acid [[M+H]]	Biotin [[M+H]]	Choline [[M+H]]	Citicoline [[M+H]]	Cytidine [[M+H]]	D-(+)-Melibiose [[M+K]]	D-(+)-Turanose [[M+Na]]	Deoxyadenosine [[M+H]]	Flavin adenine dinucleotide [[M+H]]	Gluconic Acid [[M+Na]]	Glucosamine 6-Phosphate [[M+H]]	Glucosamine [[M+H]]	Glutathione [[M+H]]	Guanosine-5'-Diphosphate [[M+H]]	Imidazoleacetic acid [[M+H]]	Indole-3-Ethanol [[M+H]]	Inosine triphosphate [[M+H]]	Isomaltose [[M+Na]]	L-Arginine [[M+H]]	L-Citrulline [[M+H]]	L-Cystathionine [[M+H]]	L-Histidinol [[M+H]]	L-Lysine [[M+H]]	L-Phenylalanine [[M-H2O+H]]	L-Threonine [[M+NH4]]	L-Tryptophan [[M-H2O+H]]	L-Tyrosine [[M+NH4]]	Maltose [[M+K]]	Methionine [[M+H]]	N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]]	N2-Acetyl-L-ornithine [[M+H]]	Niacin [[M+H]]	Nicotinamide [[M+H]]	O-acetyl-L-serine [[M+H]]	P-Hydroxybenzoic Acid [[M-H2O+H]]	Palatinose [[M+K]]	Phenylethyl alcohol [[M+H]]	Pidolic Acid [[M+H]]	Proline [[M+NH4]]	Pyridoxamine [[M+H]]	Spermidine [[M+H]]	Sucrose [[M+K]]	Thymine [[M+H]]	Trehalose [[M+K]]	Uridine 5'-triphosphate [[M+H]]	Xanthurenic acid [[M+H]]	d-Desthiobiotin [[M+H]]	gamma-Glutamylcysteine [[M+H]]	Experimental group
Inj00028-Positive-A3_demultiplexed		1487.287835494574	440.6236599250657			263.495876367149	546.7539434618341	3213.917758689308	1515.8332221010153	5164.519176796119			2088.2048202096553		4480.89376422135	40.988247434889836	2664.968016257748	3011.1723204845853		14963.638045694423	1018.8507219529757	1936.694691298545	21.22605670735366	117.84121137530825		543.826211502199	8501.401677790096	5583.184847023923		98.0790206477721	543.0942785122903		1936.694691298545	9496.830544065993	15.37059278808369		45.37984537434232	251.0530155387002		62.94623713215224	178.59164953773427		1018.8507219529757			66.60590208169599	32.20505155598487	2359.020026475892	35.132783515619856	106.86221652667706	1018.8507219529757	4903.219099398696	387.92448465163596		38.060515475254846		799.2708249803518	111.98574745603831	1018.8507219529757		816.1052837482529	2121.873737745458		Growth with 10 mM proline supplementation, no lactic acid.
Inj00029-Positive-D8_demultiplexed	30.082827512883473	9366.328998605879	3139.996752831242	404.0855479433266	23.57843237496272		2165.9635809276097	2144.8242967293672	2078.9672959579198	4227.043790256247	164.23597723249893	111.38776673689286	20479.08809174348	164.23597723249893	2039.127875738155	4001.0160592135016	1027.6944317914786	637.4307235162335	600.0304514731891	5428.7307919871055	1452.1062145408075	1366.7360283555977	24.391481767202816	27.64367933616319	131.71400154289518	52.84821049560609	2965.1911334996216	21936.885652029967	455.3076596544525	252.85836098666914	452.86851147773217	108.94861856017256	1366.7360283555977	29570.606395772207	2493.6224860003676	137.40534728857585	216.27113833586495	178.8708662928206	4.065246961200469	25.204531159442904	6.50439513792075	25.204531159442904	1452.1062145408075		703.287724287681	756.9489841755272	35.77417325856412	282.9411884995526	13.821839668081594		1452.1062145408075	3093.652937473557	4187.204370036483			22.765382982722624	781.3404659427301	340.66769534859924	1452.1062145408075	357.7417325856412	67.48309955592778	1976.5230725356678	429.2900791027695	Growth with 20 mM proline supplementation and 50 mM (S)-lactic acid.
Inj00030-Positive-B6_demultiplexed		11421.071267851754	1690.0617761144308	365.1627872426572	30.517927464083744	619.8296302188043	4419.837770660404	1698.4805147252125	2999.1756300909883	6257.227472463515	427.25098449717245	415.6752189073475	11237.963703067251	419.8845882127384	1288.0670074496036	4486.13533722031	552.4797213325505	889.2292657638195	186.26459176354558	6700.2635918559035	125.22873683537813	67.34990888625379	50.51243166469033	176.79351082641617	56.82648562277662	81.03035912877407	4773.424792313237	17289.98442189296	910.2761122907737	214.67783457493394	476.71107383551504		67.34990888625379	17318.397664704353	971.3119672189413	63.14053958086292	169.42711454198218	127.33342148807355		193.6309880479796		21.046846526954308	125.22873683537813	66.29756655990607	513.5430552576851	634.5624227876723	149.43261034137558	1432.2379061592403	251.50981599710394	41.041350727560896	125.22873683537813	4669.242902004813	2284.6351905008896	393.57603005404553	142.06621405694156	166.27008756293904	125.22873683537813	265.1902662396243	125.22873683537813	210.46846526954303		2599.2855460788564	165.2177452365913	Growth with 20 mM alanine supplementation and 50 mM (S)-lactic acid.
Inj00031-Positive-F8_demultiplexed	154.50744877384764	6205.019142757722	3663.886635257174	1591.4267223706308		26.78129112080026	1424.5586776948753	1238.119689507766	1670.7405460745392	8579.283605582514	144.20695218892448	61.802979509539064	20576.27197804254	89.61432028883164	1550.224736030938	2426.7969954079003	120.51581004360116	1043.440304052718	932.1949409355476	5966.0476219875045	931.1648912770553	2911.950384557782	867.3018124505315		35.0216883887388	42.23203599818503	7821.167056932168	38897.7652536454	139.0567038964629	142.14685287193987	883.7826069864087	31.93153941326185	2911.950384557782	7782.0251699094615	1066.101396539549	106.09511482470874	199.82963374750963		31.93153941326185	188.49908750409415		41.20198633969271	931.1648912770553	33.991638730246486	545.9263190009284	110.215313458678	305.92474857221833	4088.267094556009	92.7044692643086	470.7326939309892	909.5338484487165	6082.443233397136	2035.3781251808196			21.63104282833867	757.0864989918535	179.22864057766327	931.1648912770553		64.893128485016	1054.7708502961334	2181.6451766867294	Growth with 10 mM proline supplementation and 50 mM (S)-lactic acid.
Inj00032-Positive-A1_demultiplexed		8083.492575795895	2524.8949763111696	490.67192875640046	109.82184853069332	125.94248684712538	2041.2758268182083	1227.1835918383897	3001.461346540692	3160.6526499154584	18.135718105986054	140.04804537400344	13597.758419910431	18.135718105986054	3824.6214405735036	4368.692983753085	959.1779798277068	1668.486065750717	1042.8037910941982	9956.509240186344	230.72663590393367	24.180957474648068	46.34683515974214	86.64843095082226	80.60319158216025	120.90478737324035	3978.775044474385	19309.50208340126	30.22619684331009	488.6568489668465	927.9442430896197	83.62581126649124	24.180957474648068	17929.172427556772	2190.391731245204	298.23180885399285	260.9528327472438			158.18376347998947			230.72663590393367	8.060319158216025	62.467473476174185	990.4117165657939	175.3119416911985	1182.8518364682016	22.16587768509407	385.8877796995922	230.72663590393367	5100.166947361189	2581.317210418682	195.4627395867386			230.72663590393367	488.6568489668465	230.72663590393367	280.0960907480069		3235.2106021289565	330.473085486857	Growth with 50 mM (S)-lactic acid, no proline supplementation.
Inj00047-Positive-B9_demultiplexed		2711.3489041130356	614.6846894417752	392.01352340350655	143.14574959602984	263.8372639613099	407.91860669195427	2332.4336845941334	2454.996385228643	5455.443567937581			2761.8709333822226		5788.5147238603695	216.1220140959666	2237.938777998061	3765.76236682366		17204.622152427404	831.7422966723564	2207.9997976903946	42.101691057655835	561.3558807687444		882.2643259415433	9548.663531876344	8120.948408454503	27.132200903822646	72.97626449993678	18.711862692291483		2207.9997976903946	13349.042844680742	48.65084299995785	24.325421499978926	233.89828365364352		3.742372538458296	180.5694749806128	43.037284192270405	172.14913676908162	831.7422966723564		31.81016657689552	1016.9897373260421	85.13897524992626	2372.66418938256	197.41015140367514	227.3491317113415	831.7422966723564	7383.701018378219	668.9490912494205	48.65084299995785			634.3321452686812	129.11185257681123	831.7422966723564		1699.0371324600667	2641.179419016943	164.66439169216503	Growth with 10 mM proline supplementation, no lactic acid.
Inj00048-Positive-D5_demultiplexed		11053.802880617615	3211.128787343135	194.6426379081439		103.49291479018383	2621.504015923831	2649.9883043981936	2346.155894004993	3010.789291740119	105.39186735514133	33.23166988675628	21231.239152507344	60.766482078640045	2598.716585144341	5518.356153766499	1294.1361730185372	1470.7387615595849	484.23290406416294	8560.478162828416	807.0548401069382	643.744919520593	49.372766688895034	258.2575488342202	18.040049367096263	248.76278600943272	3506.4159111940266	25404.187414001455	1135.5736338445859	85.45286542308757	127.2298218521526	114.88663017992886	643.744919520593	38419.60829422017	1426.1133762830837	120.58348787480136	580.1300085945168		19.939001932053767		5.696857694872505		807.0548401069382		2459.1435716199644	1406.1743743510299	270.60074050644397	1211.5317364428859	152.86568147907886	90.20024683548132	807.0548401069382	3028.829341107215	3720.9975510342247	84.50338914060882	4.747381412393754		444.35490020005534	173.75415969361137	807.0548401069382	93.04867568291756		2404.0739472361965	426.3148508329591	Baseline growth without any supplementation or treatment.
Inj00049-Positive-G8_demultiplexed	283.42212378219176	12255.288610704645	4790.6312431624165	299.3691486497319		19.57134870107206	3863.529206544966	1799.1143509652172	2547.8996549729	6196.144025806074	249.3534797469922	122.50214557337699	30015.200259777477	249.3534797469922	4394.130215774031	4613.764240086061	557.4210055972006	1415.6608893775458	633.5318061013697	6236.011587974924	1229.3706443340081	62.33836993674805	17.396754400952943	45.66648030250149	37.69296786873138	68.13728807039902	2938.6017642276347	31115.544975637753	962.6204101860629	187.73997457695054	266.75023414794515	64.51296423686718	62.33836993674805	32133.2551080935	1493.9462841818338	67.41242330369266	108.72971500595591		95.68214920524119			21.021078234484808	1229.3706443340081		410.99832272251325	637.880994701608	23.195672534603926	1688.2100416591418	23.920537301310297	134.82484660738533	1229.3706443340081	3293.785499913758	4589.843702784751	22.470807767897554	2.8994590668254907	152.94646577504463	1073.5247194921378	187.73997457695054	1229.3706443340081	305.89293155008926	110.90430930607502	1717.9294970941032	423.32102375652164	Growth with 20 mM alanine supplementation and 50 mM (S)-lactic acid.
Inj00050-Positive-E6_demultiplexed	375.57703571754485	6017.537714776683	1891.727084081	1078.7458347759457		89.51098885651561	2069.8262680944795	836.0510917938468	2296.8335181841994	9909.881539485785	425.40789549333704	313.7498578475805	17162.117224262653	419.8711332960268	1563.212527040592	2523.8407682739194	444.7865631839229	1203.3229842154265	666.2570510763327	6321.136841929195	1597.3558939240054	1519.8412231616621	55.36762197310244		51.676447174895614	40.602922780275115	4733.008885000706	37060.31776769612	186.40432730944488	79.36025816144682	199.32343910316877	103.35289434979123	1519.8412231616621	7848.360414687269	888.650332668294	164.2572785202039	55.36762197310244		20.301461390137558	39.68012908072341	140.2646423318595		1597.3558939240054		857.275346883536	46.13968497758537	735.4665785427106	983.69808372212	196.55505800451365	39.68012908072341	1597.3558939240054	3523.2263448884187	1703.4771693724517	212.24255089689268	12.919111793723904	424.48510179378536	1100.8928835651868	79.36025816144682	1597.3558939240054	537.9887268386454	80.28305186099854	2533.068705269436	1352.815563542803	Baseline growth without any supplementation or treatment.
Inj00051-Positive-H9_demultiplexed	226.25926683133616	12450.458559746265	5430.222403952067	769.4364793271122	134.0508669925382	244.08105839681812	3194.749853238353	1512.5277015574252	1721.7400373261264	5141.974296892968	406.02690349184985	227.8089878370302	30924.68266862543	355.6609708067921	4126.132177660496	4659.236203619261	320.79224817867527	1198.7091979043732	161.17098459218465	7350.3267300070365	501.3347453420359	182.86707867190182	24.795536091105333	3.0994420113881667	16.272070559787874	37.193304136658	3296.256579111315	32391.49360051488	856.995716148828	60.439119222069245	28.66983860534054	382.7810884064385	182.86707867190182	34063.64256565879	2384.2457672603473	71.28716626192782	348.6872262811687	3.0994420113881667	13.172628548399707	111.57991240997399		13.947489051246748	472.66490673669534	31.769280616728704	980.9733966043545	874.81750771431	375.80734388081515	812.8286674865467	37.96816463950504	512.1827923818945	472.66490673669534	4267.931649681505	4203.6182279452005	6.973744525623374		120.87823844413849	536.9783284729998	89.88381833025683	536.9783284729998	140.24975101531456	19.37151257117604	1970.4702587400268	788.0331313954413	Growth with 50 mM (S)-lactic acid, no proline supplementation.
