Group1,Group2,Feature,U_stat,p_raw,p_corrected,significant
NegHigh,PosHigh,Glutathione [[M+H]],145.0,0.1766817023157824,0.46378946857892883,False
NegHigh,PosHigh,Guanosine-5'-Diphosphate [[M+H]],43.0,0.0044008826030562205,0.030836857394216967,True
NegHigh,PosHigh,Histidine [[M+H]],76.0,0.13996571998999394,0.4054179475572238,False
NegHigh,PosHigh,Isomaltose [[M+Na]],42.0,0.0038391624917834552,0.02857173745345124,True
NegHigh,PosHigh,L-Arginine [[M+H]],224.0,3.567368795444174e-06,0.00029965897881731063,True
NegHigh,PosHigh,L-Citrulline [[M+H]],98.0,0.5746595531246588,0.8090179183654413,False
NegHigh,PosHigh,L-Glutamine [[M+H]],12.0,3.529972961250541e-05,0.0008895531862351364,True
NegHigh,PosHigh,L-Valine [[M+H]],152.0,0.1005823961690708,0.36293219853435793,False
NegHigh,PosHigh,Linoleic acid [[M+Na]],88.5,0.33895654449500157,0.5927384459685622,False
NegHigh,PosHigh,Maltose [[M+Na]],42.0,0.0038391624917834552,0.02857173745345124,True
NegHigh,PosHigh,N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],10.0,2.4494161873356166e-05,0.0007715660990107193,True
NegHigh,PosHigh,N2-Acetyl-L-ornithine [[M+H]],224.0,3.567368795444174e-06,0.00029965897881731063,True
NegHigh,PosHigh,Nicotinamide [[M+H]],145.0,0.17663356128787566,0.46378946857892883,False
NegHigh,PosHigh,O-acetyl-L-serine [[M+H]],18.0,9.781144905768855e-05,0.0018726417846896487,True
NegHigh,PosHigh,Palatinose [[M+Na]],42.0,0.0038391624917834552,0.02857173745345124,True
NegHigh,PosHigh,Pidolic Acid [[M+H]],0.0,3.567368795444174e-06,0.00029965897881731063,True
NegHigh,PosHigh,Proline [[M+NH4]],54.0,0.01678558810778673,0.09399929340360569,False
NegHigh,PosHigh,Sucrose [[M+Na]],45.0,0.005691289159829824,0.03677448380197732,True
NegHigh,PosHigh,Thymine [[M+H]],108.0,0.8843185443499727,0.9563512089028031,False
NegHigh,PosHigh,Trehalose [[M+Na]],42.0,0.003854916958005326,0.02857173745345124,True
NegHigh,PosHigh,d-Desthiobiotin [[M+H]],133.0,0.394105167627408,0.6439263665719505,False
NegHigh,PosHigh,gamma-Glutamylcysteine [[M+H]],62.0,0.03961488633899126,0.18486946958195924,False
NegHigh,PosLow,2'-Deoxyguanosine-5'-Diphosphate [[M+H]],84.0,0.5934286442678816,0.8157567995336884,False
NegHigh,PosLow,2'-Deoxyguanosine-5'-Monophosphate [[M+H]],100.0,0.8709251829918023,0.9563512089028031,False
NegHigh,PosLow,2'-Deoxyuridine [[M+Na]],72.0,0.2752904346391588,0.5413421958218362,False
NegHigh,PosLow,5'-Deoxy-5'-Methylthioadenosine [[M+H]],115.0,0.3904282775842992,0.6439263665719505,False
NegHigh,PosLow,ATP [[M+H]],101.0,0.8345206400999458,0.9466896966005643,False
NegHigh,PosLow,Acetyl coenzyme A (Acetyl-CoA) [[M+H]],66.0,0.17084206049497452,0.4580021196248253,False
NegHigh,PosLow,Ademetionine [[M+H]],137.0,0.060085553290106994,0.2344341369809687,False
NegHigh,PosLow,Adenine [[M+H]],131.0,0.10904516426470691,0.36293219853435793,False
NegHigh,PosLow,Adenosine 5'-diphosphate (ADP) [[M+H]],85.0,0.6259392816271419,0.8301931524738935,False
NegHigh,PosLow,Adenosine phosphate [[M+H]],89.0,0.7628388949505204,0.9110682536849817,False
NegHigh,PosLow,Adenosine-3'-5'-Diphosphate [[M+H]],86.0,0.659193864409487,0.8518813016984139,False
NegHigh,PosLow,Aminoadipate [[M+Na]],125.0,0.18580901290717144,0.47033677751883296,False
NegHigh,PosLow,Argininosuccinic acid [[M+H]],89.0,0.7628388949505204,0.9110682536849817,False
NegHigh,PosLow,Biotin [[M+H]],119.0,0.2962373441924677,0.5612918100488862,False
NegHigh,PosLow,Choline [[M+H]],126.0,0.17084206049497452,0.4580021196248253,False
NegHigh,PosLow,Cytidine [[M+H]],129.0,0.13135638805779795,0.3849047650065707,False
NegHigh,PosLow,D-(+)-Melibiose [[M+Na]],62.0,0.11979746942259525,0.368158076762122,False
NegHigh,PosLow,D-(+)-Turanose [[M+Na]],61.0,0.10914216704618748,0.36293219853435793,False
NegHigh,PosLow,Glucosamine [[M+H]],176.0,0.00022364230254478339,0.0035223662650803386,True
NegHigh,PosLow,Glutamic Acid [[M-H2O+H]],38.0,0.0075993574606992315,0.04670824585600503,True
NegHigh,PosLow,Glutathione [[M+H]],104.0,0.7277059387577536,0.8902033813929802,False
NegHigh,PosLow,Guanosine-5'-Diphosphate [[M+H]],35.0,0.004969157261049163,0.03299272729133959,True
NegHigh,PosLow,Histidine [[M+H]],69.0,0.2185473569634867,0.49962759396847367,False
NegHigh,PosLow,Isomaltose [[M+Na]],61.0,0.10914216704618748,0.36293219853435793,False
NegHigh,PosLow,L-Arginine [[M+H]],192.0,9.272574815604625e-06,0.00033381269336176656,True
NegHigh,PosLow,L-Citrulline [[M+H]],137.0,0.060085553290106994,0.2344341369809687,False
NegHigh,PosLow,L-Glutamine [[M+H]],16.0,0.00022364230254478339,0.0035223662650803386,True
NegHigh,PosLow,L-Valine [[M+H]],82.0,0.5308416334292907,0.769948984997158,False
NegHigh,PosLow,Linoleic acid [[M+Na]],98.0,0.9444835801635669,0.9917077591717454,False
NegHigh,PosLow,Maltose [[M+Na]],62.0,0.11979746942259525,0.368158076762122,False
NegHigh,PosLow,N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],79.0,0.44368030665524805,0.6944561321560405,False
NegHigh,PosLow,N2-Acetyl-L-ornithine [[M+H]],192.0,9.272574815604625e-06,0.00033381269336176656,True
NegHigh,PosLow,Nicotinamide [[M+H]],129.0,0.13135638805779795,0.3849047650065707,False
NegHigh,PosLow,O-acetyl-L-serine [[M+H]],51.0,0.038281976169878607,0.18201996216621527,False
NegHigh,PosLow,Palatinose [[M+Na]],62.0,0.11979746942259525,0.368158076762122,False
NegHigh,PosLow,Pidolic Acid [[M+H]],38.0,0.0075993574606992315,0.04670824585600503,True
NegHigh,PosLow,Proline [[M+NH4]],22.0,0.0006401164185211071,0.008489965129858895,True
NegHigh,PosLow,Sucrose [[M+Na]],66.0,0.1707249668602645,0.4580021196248253,False
NegHigh,PosLow,Thymine [[M+H]],109.0,0.5617137219006605,0.8040146517331153,False
NegHigh,PosLow,Trehalose [[M+Na]],62.0,0.11979746942259525,0.368158076762122,False
NegHigh,PosLow,d-Desthiobiotin [[M+H]],74.5,0.32954341746615556,0.5927384459685622,False
NegHigh,PosLow,gamma-Glutamylcysteine [[M+H]],35.0,0.004975093797900414,0.03299272729133959,True
None,PosHigh,2'-Deoxyguanosine-5'-Diphosphate [[M+H]],65.0,0.2159322942283799,0.49962759396847367,False
None,PosHigh,2'-Deoxyguanosine-5'-Monophosphate [[M+H]],107.0,0.4519575760931084,0.6987319581316768,False
None,PosHigh,2'-Deoxyuridine [[M+Na]],115.0,0.2541343816613656,0.5336822014888678,False
None,PosHigh,5'-Deoxy-5'-Methylthioadenosine [[M+H]],82.0,0.6799932443507429,0.8524500791917297,False
None,PosHigh,ATP [[M+H]],80.0,0.610384513874678,0.818174986683079,False
None,PosHigh,Acetyl coenzyme A (Acetyl-CoA) [[M+H]],125.0,0.10402917405726314,0.36293219853435793,False
None,PosHigh,Ademetionine [[M+H]],76.0,0.48166365977248615,0.7268534270516972,False
None,PosHigh,Adenine [[M+H]],123.0,0.1263700865857364,0.3836778532482599,False
