,Mean_Coefficient,SD_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]]/Adenosine 5'-diphosphate (ADP) [[M+H]],718.872775067082,362.35573033801717
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],-1128.3312039624875,497.3539503729213
2'-Deoxyuridine [[M+Na]],-62.06976747554453,351.3134299134733
5'-Deoxy-5'-Methylthioadenosine [[M+H]],494.5682943188121,417.50378694950996
ATP [[M+H]],89.15616425116067,343.8313042907904
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],-362.60297871732615,549.2981302376118
Ademetionine [[M+H]],2061.668110327693,558.2920836726166
Adenine [[M+H]],-585.97243373598,272.0502943283692
Adenosine 5'-phosphosulfate [[M+Na]],-39.43647944394325,298.11305258095496
Adenosine phosphate [[M+H]],-825.2285311200545,366.1649867819757
Adenosine-3'-5'-Diphosphate [[M+H]],674.6277709434858,327.461544457597
Aminoadipate [[M+Na]],1730.8999059142773,417.0693682196633
Argininosuccinic acid [[M+H]],-344.4361664212565,343.4065082936591
Biotin [[M+H]],36.51911753699073,273.9023219090672
Choline [[M+H]],1100.7579786340627,370.56252946684066
Cytidine [[M+H]],668.5524566738447,325.9559888127407
D-(+)-Melibiose [[M+Na]]/D-(+)-Turanose [[M+Na]]/Isomaltose [[M+Na]]/Maltose [[M+Na]]/Palatinose [[M+Na]],-368.71623898396655,266.49565000040644
Flavin adenine dinucleotide [[M+H]],852.4866669140313,314.1215210768082
Glucosamine 6-Phosphate [[M+H]],50.310031394507476,409.252206452513
Glucosamine [[M+H]],-67.85846957038603,516.6389230532847
Glutamic Acid [[M-H2O+H]],570.8909144192736,410.8516105857348
Glutathione [[M+H]],-1091.0865038785762,312.43528991407123
Guanosine-5'-Diphosphate [[M+H]],448.6031318817369,729.8845314654496
Histidine [[M+H]],446.6235238297674,401.63014765875283
Imidazoleacetic acid [[M+H]],-573.782325934574,584.2966301083876
L-Arginine [[M+H]],1307.7176288899066,291.6689543935977
L-Citrulline [[M+H]],1334.6475994119708,359.91014289846504
L-Glutamine [[M+H]],-108.91157853522421,363.11974971302845
L-Histidinol [[M+H]],1147.1600542579695,481.8036847742326
L-Lysine [[M+H]],-561.539961440906,462.08817912377896
L-Tryptophan [[M-H2O+H]],-578.6676524129778,611.0608083564871
L-Valine [[M+H]],-1563.1740214614329,352.7174683717233
Levocarnitine [[M+H]],-852.8013620249452,534.2050602578228
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],-503.7448675891316,505.77321939169525
N2-Acetyl-L-ornithine [[M+H]],1445.9133646990688,311.948033565644
Nicotinamide [[M+H]],-924.2099808199999,296.3062965962707
O-acetyl-L-serine [[M+H]],-964.5575671972998,399.5266559972484
Pidolic Acid [[M+H]],-480.0795680483789,493.3110256967145
Proline [[M+NH4]],-889.4066327342981,483.4006743135204
Quinolinic Acid [[M-H2O+H]],-1308.824683724134,438.8748570637608
Sucrose [[M+Na]],-396.86858247314456,271.3389062101034
Thymine [[M+H]],-144.04634171829204,613.0949803297073
Trehalose [[M+Na]],-373.0102225626158,267.61049629277494
d-Desthiobiotin [[M+H]],83.13057927537037,446.4528603675854
gamma-Glutamylcysteine [[M+H]],-824.3365811926324,341.50868204420385
