Group 1,Group 2,Metabolite,U_stat,raw_p_value,corrected_p_value,Significant
None,PosHigh,2'-Deoxyguanosine-5'-Diphosphate [[M+H]],75.0,0.16792380812718755,0.3981419321725253,False
None,PosHigh,2'-Deoxyguanosine-5'-Monophosphate [[M+H]],118.0,0.6875610761271713,0.8529238665881366,False
None,PosHigh,2'-Deoxyuridine [[M+Na]],148.0,0.09449113187010387,0.3035718130611667,False
None,PosHigh,5'-Deoxy-5'-Methylthioadenosine [[M+H]],101.0,0.7778220240792535,0.9029696751425229,False
None,PosHigh,ATP [[M+H]],106.0,0.9493683086818695,0.9849903718213346,False
None,PosHigh,Acetyl coenzyme A (Acetyl-CoA) [[M+H]],161.0,0.025916334558751423,0.1296067767147318,False
None,PosHigh,Ademetionine [[M+H]],79.0,0.2275725744526994,0.46219419973317905,False
None,PosHigh,Adenine [[M+H]],149.0,0.08643662246309795,0.2887768977744409,False
None,PosHigh,Adenosine 5'-diphosphate (ADP) [[M+H]],75.0,0.16792380812718755,0.3981419321725253,False
None,PosHigh,Adenosine phosphate [[M+H]],122.0,0.5676603730494105,0.7930333623757863,False
None,PosHigh,Adenosine-3'-5'-Diphosphate [[M+H]],74.0,0.15614169730137287,0.380977573275569,False
None,PosHigh,Aminoadipate [[M+Na]],145.0,0.12213930636182446,0.3419900578131085,False
None,PosHigh,Argininosuccinic acid [[M+H]],157.0,0.04005621699687032,0.17280189592556025,False
None,PosHigh,Biotin [[M+H]],106.0,0.9493683086818695,0.9849903718213346,False
None,PosHigh,Choline [[M+H]],162.5,0.021735732145487945,0.12706502757052235,False
None,PosHigh,Cytidine [[M+H]],119.0,0.6566450624860996,0.849165050215528,False
None,PosHigh,D-(+)-Melibiose [[M+K]],80.5,0.22795292163711212,0.46219419973317905,False
None,PosHigh,D-(+)-Turanose [[M+Na]],85.0,0.34078926907208795,0.575739227423557,False
None,PosHigh,Deoxyadenosine [[M+H]],129.0,0.3698074117195609,0.607393179025424,False
None,PosHigh,Glucosamine [[M+H]],115.0,0.7831879835419842,0.9029696751425229,False
None,PosHigh,Glutamic Acid [[M+H]],93.0,0.5384199312752233,0.7647123661590127,False
None,PosHigh,Glutathione [[M+H]],136.0,0.24435600416931658,0.48540990017418295,False
None,PosHigh,Guanosine-5'-Diphosphate [[M+H]],63.0,0.05859598309892978,0.22647631624732634,False
None,PosHigh,Histidine [[M+H]],131.5,0.3283312680667787,0.575739227423557,False
None,PosHigh,Imidazoleacetic acid [[M+H]],120.5,0.6100184845909083,0.8380627778959208,False
None,PosHigh,Isomaltose [[M+Na]],85.0,0.34078926907208795,0.575739227423557,False
None,PosHigh,L-Arginine [[M+H]],178.0,0.003259213638776681,0.03685418499232093,True
None,PosHigh,L-Citrulline [[M+H]],39.0,0.0037297359235307324,0.04061268005622353,True
None,PosHigh,L-Glutamine [[M+H]],100.0,0.7503263877613495,0.8859275421760512,False
None,PosHigh,L-Lysine [[M+H]],137.5,0.21523360754363297,0.4587009654515643,False
None,PosHigh,L-Threonine [[M+NH4]],134.5,0.2691690825405313,0.5172268644896484,False
None,PosHigh,L-Valine [[M+H]],157.0,0.04005621699687032,0.17280189592556025,False
None,PosHigh,Linoleic acid [[M+Na]],85.0,0.3408429831042281,0.575739227423557,False
None,PosHigh,Maltose [[M+K]],80.5,0.22795292163711212,0.46219419973317905,False
None,PosHigh,N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],14.0,7.552599947627726e-05,0.002291649673536905,True
None,PosHigh,N2-Acetyl-L-ornithine [[M+H]],183.5,0.0014965256913122,0.020951359678370803,True
None,PosHigh,Nicotinamide [[M+H]],128.0,0.40908731422135114,0.6466218837692325,False
