	Coefficient	weighted_score	Combined
YEL050C_ilp61	-0.3628369199814628	0.22170613265671774	"[""YMR216C_ilp54_feature(54,(gene(A):-exhibits_phenotype(A,'increased resistance to chemicals',B,C),compound_name(B,idarubicin))).)"", ""YDR028C_ilp74_feature(74,(gene(A):-exhibits_phenotype(A,'increased resistance to chemicals',B,C),compound_name(B,idarubicin))).)"", ""YEL050C_ilp61_feature(61,(gene(A):-exhibits_phenotype(A,'increased resistance to chemicals',B,C),compound_name(B,idarubicin))).)"", ""YKL126W_ilp60_feature(60,(gene(A):-exhibits_phenotype(A,'increased resistance to chemicals',B,C),compound_name(B,idarubicin))).)""]"
YPL045W_ilp93	-0.35721250305708757	0.3905578527150713	"[""YPL045W_ilp93_feature(93,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,tunicamycin))).)"", ""YBR127C_ilp44_feature(44,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,tunicamycin))).)"", ""YDR028C_ilp25_feature(25,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,tunicamycin))).)"", ""YJL095W_ilp70_feature(70,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,tunicamycin))).)"", ""YLR113W_ilp50_feature(50,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,tunicamycin))).)"", ""YDR127W_ilp56_feature(56,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,tunicamycin))).)"", ""YJL204C_ilp21_feature(21,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,tunicamycin))).)"", ""YDR389W_ilp37_feature(37,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,tunicamycin))).)"", ""YNR006W_ilp24_feature(24,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,tunicamycin))).)"", ""YLR240W_ilp55_feature(55,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,tunicamycin))).)"", ""YNR051C_ilp33_feature(33,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,tunicamycin))).)"", ""YKL190W_ilp48_feature(48,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,tunicamycin))).)""]"
YPL045W_ilp145	-0.3533378925630173	0.4272381389519534	"[""YPL045W_ilp145_feature(145,(gene(A):-exhibits_phenotype(A,'decreased metal resistance',B,C),compound_name(B,'manganese(II) chloride'))).)"", ""YER145C_ilp47_feature(47,(gene(A):-exhibits_phenotype(A,'decreased metal resistance',B,C),compound_name(B,'manganese(II) chloride'))).)"", ""YBR127C_ilp99_feature(99,(gene(A):-exhibits_phenotype(A,'decreased metal resistance',B,C),compound_name(B,'manganese(II) chloride'))).)"", ""YJL204C_ilp107_feature(107,(gene(A):-exhibits_phenotype(A,'decreased metal resistance',B,C),compound_name(B,'manganese(II) chloride'))).)""]"
YNR006W_ilp91	0.350574700909414	0.3139469761979436	"[""YDR028C_ilp77_feature(77,(gene(A):-exhibits_phenotype(A,'increased resistance to chemicals',B,C),compound_name(B,'nickel sulfate'))).)"", ""YNR006W_ilp91_feature(91,(gene(A):-exhibits_phenotype(A,'increased resistance to chemicals',B,C),compound_name(B,'nickel sulfate'))).)"", ""YLR360W_ilp57_feature(57,(gene(A):-exhibits_phenotype(A,'increased resistance to chemicals',B,C),compound_name(B,'nickel sulfate'))).)""]"
YNR006W_ilp90	-0.3296548239485717	0.3267762507806235	"[""YDR389W_ilp50_feature(50,(gene(A):-exhibits_phenotype(A,'increased resistance to chemicals',B,C),compound_name(B,'CG-1521'))).)"", ""YNR006W_ilp90_feature(90,(gene(A):-exhibits_phenotype(A,'increased resistance to chemicals',B,C),compound_name(B,'CG-1521'))).)"", ""YJL047C_ilp44_feature(44,(gene(A):-exhibits_phenotype(A,'increased resistance to chemicals',B,C),compound_name(B,'CG-1521'))).)"", ""YJL051W_ilp18_feature(18,(gene(A):-exhibits_phenotype(A,'increased resistance to chemicals',B,C),compound_name(B,'CG-1521'))).)""]"
YEL050C_ilp38	-0.321936399549596	0.36223998467604657	"[""YEL050C_ilp38_feature(38,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,sulforaphane))).)"", ""YDR028C_ilp29_feature(29,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,sulforaphane))).)"", ""YKL126W_ilp34_feature(34,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,sulforaphane))).)"", ""YBR127C_ilp46_feature(46,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,sulforaphane))).)"", ""YOL091W_ilp3_feature(3,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,sulforaphane))).)"", ""YER145C_ilp23_feature(23,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,sulforaphane))).)""]"
YNR006W_ilp92	0.314173838985682	0.3616982060167157	"[""YJL051W_ilp25_feature(25,(gene(A):-exhibits_phenotype(A,'increased resistance to chemicals',B,C),compound_name(B,'Polygodial'))).)"", ""YNR006W_ilp92_feature(92,(gene(A):-exhibits_phenotype(A,'increased resistance to chemicals',B,C),compound_name(B,'Polygodial'))).)"", ""YKL190W_ilp63_feature(63,(gene(A):-exhibits_phenotype(A,'increased resistance to chemicals',B,C),compound_name(B,'Polygodial'))).)""]"
YLR056W_ilp20	-0.302125416214162	0.18576272491668294	"[""YEL050C_ilp32_feature(32,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'2,4-dinitrophenol'))).)"", ""YDR127W_ilp25_feature(25,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'2,4-dinitrophenol'))).)"", ""YBR127C_ilp32_feature(32,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'2,4-dinitrophenol'))).)"", ""YLR056W_ilp20_feature(20,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'2,4-dinitrophenol'))).)"", ""YJL051W_ilp12_feature(12,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'2,4-dinitrophenol'))).)""]"
YJL095W_ilp91	-0.2983508846463402	0.21590059995852492	"[""YLR113W_ilp349_feature(349,(gene(A):-exhibits_phenotype(A,'increased resistance to chemicals',B,C),compound_modulates_target(B,'through activation',D),participates_in_metabolism(D,'consumption of','L-glutamine'))).)"", ""YJL095W_ilp537_feature(537,(gene(A):-exhibits_phenotype(A,'increased resistance to chemicals',B,C),compound_modulates_target(B,'through activation',D),participates_in_metabolism(D,'consumption of','L-aspartate'))).)"", ""YLR113W_ilp350_feature(350,(gene(A):-exhibits_phenotype(A,'increased resistance to chemicals',B,C),compound_modulates_target(B,'through activation',D),participates_in_metabolism(D,'production of','L-asparagine'))).)"", ""YJL095W_ilp91_feature(91,(gene(A):-exhibits_phenotype(A,'increased resistance to chemicals',B,C),compound_name(B,sirolimus))).)"", ""YLR113W_ilp52_feature(52,(gene(A):-exhibits_phenotype(A,'increased resistance to chemicals',B,C),compound_name(B,sirolimus))).)"", ""YJL095W_ilp540_feature(540,(gene(A):-exhibits_phenotype(A,'increased resistance to chemicals',B,C),compound_modulates_target(B,'through activation',D),participates_in_metabolism(D,'production of','L-asparagine'))).)"", ""YLR113W_ilp347_feature(347,(gene(A):-exhibits_phenotype(A,'increased resistance to chemicals',B,C),compound_modulates_target(B,'through activation',D),participates_in_metabolism(D,'consumption of','L-aspartate'))).)"", ""YJL095W_ilp539_feature(539,(gene(A):-exhibits_phenotype(A,'increased resistance to chemicals',B,C),compound_modulates_target(B,'through activation',D),participates_in_metabolism(D,'consumption of','L-glutamine'))).)""]"
YCR034W_ilp105	-0.2941006464153164	0.14470571208357239	"[""YLR113W_ilp82_feature(82,(gene(A):-exhibits_phenotype(A,'increased oxidative stress resistance',B,C),compound_name(B,paraquat))).)"", ""YMR216C_ilp58_feature(58,(gene(A):-exhibits_phenotype(A,'increased oxidative stress resistance',B,C),compound_name(B,paraquat))).)"", ""YEL050C_ilp77_feature(77,(gene(A):-exhibits_phenotype(A,'increased oxidative stress resistance',B,C),compound_name(B,paraquat))).)"", ""YCR034W_ilp105_feature(105,(gene(A):-exhibits_phenotype(A,'increased oxidative stress resistance',B,C),compound_name(B,paraquat))).)""]"
