Group 1,Group 2,Metabolite,U_stat,raw_p_value,corrected_p_value,Significant
PosLow,PosHigh,Argininosuccinic acid [[M+H]],42.0,0.2372175277537809,0.7432157756691988,False
PosLow,PosHigh,Biotin [[M+H]],87.0,0.08740990840206325,0.714822178852094,False
PosLow,PosHigh,Choline [[M+H]],78.0,0.24761490632691796,0.7432157756691988,False
PosLow,PosHigh,Cytidine [[M+H]],58.5,0.9176188181368292,1.0,False
PosLow,PosHigh,D-(+)-Melibiose [[M+K]],76.0,0.25319115969959627,0.7432157756691988,False
PosLow,PosHigh,D-(+)-Turanose [[M+Na]],74.0,0.37002590561952386,0.7932331139750765,False
PosLow,PosHigh,D-Fructose [[M+Na]],66.5,0.7113528287268407,0.9147841179282452,False
PosLow,PosHigh,D-Galactose [[M+Na]],66.5,0.7113528287268407,0.9147841179282452,False
PosLow,PosHigh,D-Glucose [[M+Na]],62.0,0.9457780492194334,1.0,False
PosLow,PosHigh,Deoxyadenosine [[M+H]],47.0,0.3919615724483,0.8045527013412473,False
PosLow,PosHigh,Galactose [[M+Na]],66.5,0.7113528287268407,0.9147841179282452,False
PosLow,PosHigh,Glucosamine [[M+H]],71.0,0.5114059218501164,0.8766958660287708,False
PosLow,PosHigh,Glutamic Acid [[M-H2O+H]],83.0,0.14856177489186864,0.7253194025893683,False
PosLow,PosHigh,Glutathione [[M+H]],62.0,0.9476445296225945,1.0,False
PosLow,PosHigh,Histidine [[M+H]],110.5,0.001148639815814496,0.059729270422353785,False
PosLow,PosHigh,Imidazoleacetic acid [[M+H]],66.0,0.7423851284762066,0.9342334199410068,False
PosLow,PosHigh,Inositol [[M+Na]],62.0,0.9457780492194334,1.0,False
PosLow,PosHigh,Isomaltose [[M+Na]],74.0,0.37002590561952386,0.7932331139750765,False
PosLow,PosHigh,L-Arginine [[M+H]],14.0,0.0025228230618502987,0.09353728126800924,False
PosLow,PosHigh,L-Citrulline [[M+H]],54.0,0.6935883744907081,0.9147841179282452,False
PosLow,PosHigh,L-Lysine [[M+H]],66.5,0.7113528287268407,0.9147841179282452,False
PosLow,PosHigh,L-Threonine [[M+NH4]],33.5,0.078819541838769,0.714822178852094,False
PosLow,PosHigh,Linoleic acid [[M+Na]],60.0,1.0,1.0,False
PosLow,PosHigh,Maltose [[M+K]],76.0,0.25319115969959627,0.7432157756691988,False
PosLow,PosHigh,N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],57.0,0.8437878839335483,0.9831529453674833,False
PosLow,PosHigh,N2-Acetyl-L-ornithine [[M+H]],5.0,0.00030434234335938127,0.018990962225625393,True
PosLow,PosHigh,Nicotinamide [[M+H]],69.0,0.5993606964290359,0.9136324770794363,False
