,Mean_Coefficient,SD_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]]/Adenosine 5'-diphosphate (ADP) [[M+H]],-23.341121508324434,61.45253744712331
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],-6.215504160503537,18.42129753060246
2'-Deoxyuridine [[M+Na]],-17.81715430336801,39.64657518084288
5'-Deoxy-5'-Methylthioadenosine [[M+H]],-18.237376270041214,41.32262948803689
ATP [[M+H]],-15.885190265813003,35.20625346946774
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],-29.25989338150405,80.38752239800756
Ademetionine [[M+H]],-4.418657474956789,44.03678876489769
Adenine [[M+H]],1.5615215957363262,68.08593613665697
Adenosine phosphate [[M+H]],-31.02056573540625,53.90685319041253
Adenosine-3'-5'-Diphosphate [[M+H]],-22.548398642873362,59.84641953569969
Alpha-D-Glucose [[M+Na]],14.017798203510036,37.1326226595154
Aminoadipate [[M+Na]],-20.794605888970803,85.27327982831162
Argininosuccinic acid [[M+H]],3.796057122313983,18.87694807314807
Biotin [[M+H]],1.3912633700647903,33.29342976249067
Choline [[M+H]],1.3482572147440555,29.28730419281758
Cytidine [[M+H]],-31.538422501909178,63.55404353777249
D-(+)-Melibiose [[M+Na]]/Isomaltose [[M+Na]],32.776357659354126,70.77275824981362
D-(+)-Turanose [[M+Na]],-9.083782839244298,44.08200458316769
D-Fructose [[M+Na]]/D-Galactose [[M+Na]]/Galactose [[M+Na]],46.227684065725775,83.5954054349398
D-Glucose [[M+Na]],14.222221772953926,38.368987010321526
D-Mannose [[M+Na]],44.30756663819141,79.2625628514484
Glucosamine [[M+H]],-47.670107433385816,100.63152580483211
Glutamic Acid [[M-H2O+H]],-16.11481321898844,58.73893320124146
Glutathione [[M+H]],-42.86680273148919,88.81575345371535
Histidine [[M+H]],-28.48292122768034,63.76228548676569
Imidazoleacetic acid [[M+H]],-35.161041791991416,104.51230086770106
Inositol [[M+Na]],1.6092501520148337,44.29546164499073
L-Arginine [[M+H]],-31.330933774509678,69.87115662892604
L-Citrulline [[M+H]],-24.928938507219254,45.72441241750862
L-Glutamine [[M+H]],105.2807409379419,202.22335983535575
L-Threonine [[M+NH4]],-10.53007393266729,101.18310218716584
L-Tryptophan [[M-H2O+H]],-34.54868683539691,90.48593926897615
L-Valine [[M+H]],66.1803959150066,147.34292806446703
Maltose [[M+Na]],15.142608599448032,58.222561151500706
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],15.043338436688336,40.311677710267006
N1-Acetylspermine [[M+Na]],-51.34845713180808,114.26848546471099
N2-Acetyl-L-ornithine [[M+H]],-24.527257643668193,63.51106334325317
Nicotinamide [[M+H]],-34.61194356026601,86.49047582035602
Palatinose [[M+Na]],7.608947040393573,43.48067865743343
Pidolic Acid [[M+H]],-6.095943209338655,46.234836245950866
Sucrose [[M+Na]],-0.2067049742267102,36.23768144976573
Thymine [[M+H]],-70.81304077000058,147.4259597801355
Trehalose [[M+Na]],10.8163838041617,47.86865477138877
Xanthurenic acid [[M+H]],-16.872973370842217,60.387365028025755
d-Desthiobiotin [[M+H]],51.74306461701701,98.75820926077847
gamma-Glutamylcysteine [[M+H]],-1.2579645727887225,51.103199866800104
