ReplicateName	2'-Deoxyguanosine-5'-Diphosphate [[M+H]]/Adenosine 5'-diphosphate (ADP) [[M+H]]	2'-Deoxyguanosine-5'-Monophosphate [[M+H]]	2'-Deoxyuridine [[M+Na]]	5'-Deoxy-5'-Methylthioadenosine [[M+H]]	ATP [[M+H]]	Acetyl coenzyme A (Acetyl-CoA) [[M+H]]	Ademetionine [[M+H]]	Adenine [[M+H]]	Adenosine phosphate [[M+H]]	Adenosine-3'-5'-Diphosphate [[M+H]]	Alpha-D-Glucose [[M+Na]]	Aminoadipate [[M+Na]]	Argininosuccinic acid [[M+H]]	Asparagine [[M+NH4]]	Biotin [[M+H]]	Choline [[M+H]]	Cytidine [[M+H]]	D-(+)-Melibiose [[M+Na]]/D-(+)-Turanose [[M+Na]]/Isomaltose [[M+Na]]/Maltose [[M+Na]]/Palatinose [[M+Na]]	D-Fructose [[M+Na]]/D-Mannose [[M+Na]]	D-Galactose [[M+Na]]/Galactose [[M+Na]]	D-Glucose [[M+Na]]	Deoxyadenosine [[M+H]]	Flavin adenine dinucleotide [[M+H]]	Glucosamine 6-Phosphate [[M+H]]	Glucosamine [[M+H]]	Glutamic Acid [[M-H2O+H]]	Glutathione [[M+H]]	Histidine [[M+H]]	Imidazoleacetic acid [[M+H]]	Inositol [[M+Na]]	L-Arginine [[M+H]]	L-Citrulline [[M+H]]	L-Glutamine [[M+NH4]]	L-Histidinol [[M+H]]	L-Lysine [[M+H]]	L-Tryptophan [[M+NH4]]	Linoleic acid [[M+Na]]	Lipoamide [[M+H]]	N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]]	N1-Acetylspermine [[M+Na]]	N2-Acetyl-L-ornithine [[M+H]]	Nicotinamide [[M+H]]	Nicotinamide ribotide [[M+H]]	O-acetyl-L-serine [[M+H]]	Oleic acid [[M+Na]]	Pidolic Acid [[M+H]]	Proline [[M+NH4]]	Pyridoxal [[M+H]]	Quinolinic Acid [[M-H2O+H]]	Sucrose [[M+Na]]	Thymine [[M+H]]	Trehalose [[M+Na]]	Xanthurenic acid [[M+H]]	d-Desthiobiotin [[M+H]]	gamma-Glutamylcysteine [[M+H]]	Experimental group
Inj00099-Positive-G6.d.DeMP	11348.822605965464	8782.197802197803	884.7409733124019	30.172684458398745	1997.2370486656203	2041.0361067503925	3245.023547880691	6077.3626373626375	28794.474097331244	10767.755102040817		3146.718995290424	7294.97645211931	214.12872841444272	32.11930926216641	1891.1459968602826	8975.886970172685	1008.3516483516485				92.4646781789639	5.353218210361068	5.839874411302983	2856.6718995290425	3000.7221350078494	25920.28257456829	1608.8854003139718	774.7566718995291		34461.09890109891	2043.9560439560441	23.35949764521193	59.37205651491366	31.145996860282576	572.3076923076924	18.49293563579278	7.786499215070644	1443.4222919937206	24.332810047095762	437.9905808477237	1180.6279434850865		80.78492935635794	415.6043956043956	4208.602825745683	10.706436420722136		54.50549450549451	970.3924646781791	829.2621664050235	1008.3516483516485	26.279434850863424	1965.117739403454	709.5447409733124	Growth with 10 mM proline supplementation, no lactic acid.
Inj00101-Positive-C2.d.DeMP	3279.555	7274.385	1849.0049999999999	647.1899999999999	1282.905	1724.31	2360.025	3266.5499999999997	26986.905	2897.82	3330.045	1531.53	6595.83	85.67999999999999	553.095	11.0925	5423.085	2050.659	1912.5	2458.71	3287.205	277.695	4.2075	1.9124999999999999	2092.275	1783.98	29087.595	885.105	193.545	2544.39	9519.66	4135.59	76.5	170.595	16.065	651.78	173.655	39.015	1768.68	1.9124999999999999	402.39	1237.0049999999999	98.685	123.92999999999999	504.9	2410.515	274.635	235.62	12.24	1776.33	195.075	1994.355	989.145	1154.385	1865.835	Growth with 20 mM alanine supplementation, no lactic acid.
Inj00102-Positive-B8.d.DeMP	7132.699029126214	7301.1067961165045	769.8640776699029	293.28155339805824	882.1359223300971	1886.8543689320388	3560.621359223301	4527.533980582524	26602.699029126212	6949.398058252427	626.6601941747573	1576.388349514563	7538.252427184466	329.94174757281553	1842.1747572815534	1017.3203883495146	12719.941747572815	1163.9611650485438	328.79611650485435	515.5339805825242	626.6601941747573	146.64077669902912	6.300970873786408	2.8640776699029127	205.06796116504853	2684.21359223301	19842.33009708738	2471.126213592233	122.58252427184466	610.6213592233009	33528.038834951454	3519.378640776699	175.28155339805826	13.74757281553398	118.0	65.30097087378641	195.90291262135923	11.45631067961165	1028.7766990291261	18.33009708737864	666.757281553398	1280.8155339805826		2.29126213592233	603.747572815534	2476.8543689320386	48.116504854368934	113.41747572815534	80.19417475728156	1163.9611650485438	12.601941747572816	1163.9611650485438		1901.7475728155339	504.07766990291265	Growth with 20 mM proline supplementation, no lactic acid.
Inj00103-Positive-D4.d.DeMP	12039.288615384616	11899.414461538463	364.0098461538462	90.15984615384616	1877.347076923077	2166.364153846154	2433.473230769231	11298.629692307693	41265.40323076923	11094.71676923077	947.9423076923077	3751.3236923076925	8058.773538461539	449.11400000000003	527.4772307692308	1932.117076923077	8330.938307692308	1006.9253846153847	255.31246153846155	532.5329230769231	947.9423076923077	95.21553846153847	4.634384615384616	370.75076923076927	3128.6309230769234	5700.293076923077	38379.44553846154	1606.0249230769232	228.34876923076925	947.9423076923077	41185.35476923077	2171.4198461538463	2.1065384615384617	5.055692307692308	105.32692307692308	499.6709230769231	268.7943076923077	7.583538461538462	400.2423076923077	74.99276923076924	490.40215384615385	2738.5	117.12353846153847	190.43107692307694	615.9518461538462	5579.799076923077	1.6852307692307693	157.56907692307692	4.634384615384616	1006.9253846153847	289.01707692307696	1006.9253846153847	176.1066153846154	1302.6833846153847	558.654	Baseline growth without any supplementation or treatment.
Inj00104-Positive-C3.d.DeMP	8734.692823204128	15249.067851389482	688.6231530851323	65.91107322386267	1636.9556096195147	3659.5401849667032	3782.508605160477	4761.337229902915	49289.67780311067	7929.003734094524	1377.2463061702647	4218.308686327211	2210.480321403275	426.94635491278206	851.9252151024638	1386.1000324242164	8713.050381250025	1568.6835427279314	515.4836174522991	763.3879525629467	1392.9862639550677	151.49709367872913	78.69978892401512	129.85465172462497	3026.0068841283814	1900.5999025149654	44365.038511190425	3288.6674296622823	159.36707257113062	1280.8390647383462	40239.20207684893	8074.598343603952	572.5409644222101	18.69119986945359	18.69119986945359	735.8430264395414	245.93684038754728	45.2523786313087	847.990225656263	5.902484169301134	1294.6115278000489	2995.5107159203258		577.459701229961	615.8258483304184	7350.560285503013	1.967494723100378	78.69978892401512	36.398652377356996	1528.743399848994	159.36707257113062	1556.2883259723992	382.67772364302357	2167.1954374950665	730.9242896317905	Baseline growth without any supplementation or treatment.
Inj00115-Positive-F12.d.DeMP	3875.265306122449	7265.959183673469	965.2244897959183	28.73469387755102	314.7755102040816	372.8979591836735	2057.795918367347	3664.9795918367345	22068.897959183672	3679.3469387755104	235.75510204081633	2277.2244897959185	4163.265306122449	413.38775510204084	1088.0	784.9795918367347	8865.959183673469	440.81632653061223	122.77551020408163	201.79591836734693	235.75510204081633	90.77551020408163	136.48979591836735	15.673469387755102	2799.673469387755	734.0408163265306	19858.938775510203	828.0816326530612	320.0	235.75510204081633	4490.448979591837	354.61224489795916	145.6326530612245	164.57142857142858	49.63265306122449	687.0204081632653	228.57142857142858	105.14285714285714	3162.7755102040815	32.0	6.857142857142857	1198.3673469387754	46.36734693877551	62.69387755102041	1025.9591836734694	1065.142857142857	553.1428571428571	65.3061224489796	3.5918367346938775	431.6734693877551	350.0408163265306	440.81632653061223	361.14285714285717	958.0408163265306	1148.0816326530612	Growth with 20 mM alanine supplementation, no lactic acid.
Inj00125-Positive-G3.d.DeMP	2297.644204851752	3145.051212938005	957.6388140161724	36.16981132075471	365.1428571428571	1629.3638814016172	563.2156334231805	4672.795148247978	13071.080862533692	2275.253369272237	1708.5929919137466	630.388140161725	1215.9946091644204	434.03773584905656	19.80727762803234	840.5175202156333	5601.153638814016	4870.867924528301	990.3638814016172	1415.7897574123988	1720.6495956873314	172.23719676549862	244.57681940700806		339.3072776280323	852.5741239892183	13921.932614555255	18.94609164420485	27.557951482479783	1675.8679245283017	9245.692722371967	861.1859838274931	113.6765498652291	5.167115902964959	74.06199460916442	1140.210242587601	592.4959568733153		1331.3935309973044	58.56064690026954	256.63342318059296	2023.787061994609	24.11320754716981	3.444743935309973	638.9999999999999	1458.8490566037735	451.26145552560644	31.002695417789756	24.11320754716981	4550.506738544474	27.557951482479783	4870.867924528301	13.778975741239892	3129.5498652291103	366.8652291105121	Growth with 10 mM proline supplementation and 50 mM (S)-lactic acid.
Inj00128-Positive-B4.d.DeMP	1219.05	9778.32	1751.22	119.88000000000001	47.79	723.33	946.08	3973.86	30103.65	1160.73	3704.13	1100.79	4400.7300000000005	225.18	760.59	335.34000000000003	7695.0	2129.4900000000002	2260.71	2540.1600000000003	3522.69	467.37	4.455	2.025	2366.82	573.48	32408.100000000002	567.8100000000001	303.75	2527.2000000000003	5500.71	3224.61	136.08	98.01	32.4	807.57	482.76000000000005	109.35000000000001	1602.99	23.490000000000002	156.33	1453.14	325.62	162.81	431.73	526.5	81.0	531.36	224.37	1892.97	311.85	2129.4900000000002	746.82	712.8000000000001	1817.64	Growth with 20 mM alanine supplementation, no lactic acid.
Inj00129-Positive-C7.d.DeMP	8003.255196448575	13599.537816869268	402.589719122101	118.49271874870348	769.4888603078455	2339.87428950753	4629.781769904161	5860.392897149732	56777.999004273326	7475.0346429904985	27.124839231630915	2068.6258971912207	5840.406173505373	165.604281624694	1324.834252997552	1813.0813591669087	13887.917686595028	3760.3592913745174			27.124839231630915	246.97879931958676	7.851927145998423	68.52590963780442	1082.1383230303281	4521.282412977637	33048.04754594863	3307.8027631415175	102.78886445670663	27.124839231630915	46060.8322615442	6337.219018379455	117.06509563124922	58.53254781562461	182.7357590341451	1249.1702277724764	68.52590963780442		1944.4226859727005	3.569057793635647	676.6933576733186	2218.526324523918		2.8552462349085173	749.5021366634859	3948.8055428784796	67.09828652035016	4.282869352362776	254.11691490685806	3728.951582790524	34.26295481890221	3760.3592913745174		2835.259511264158	226.99207567522714	Growth with 20 mM proline supplementation, no lactic acid.
Inj00138-Positive-E4.d.DeMP	2874.601528488511	3352.3459553996454	1236.514987299406	170.83430745583897	670.0254656060177	1729.0502633409158	837.9016032357816	3560.1573856814234	11411.879646541347	2587.659055359223	4119.991025266143	2447.1459886206544	2060.3652838613307	598.2898473236958	670.0254656060177	247.74672293379246	6059.071346258393	3692.831302380893	2292.211843979969	3064.6639398138386	4203.559322852765	209.29051519481573	4.067483510853309	51.76797195631484	4250.150497613448	8805.732029769155	38039.84533595666	970.2797029526439	81.34967021706618	3748.7407120937132	11571.620817149405	4074.139392961978	36.97712282593917	27.363070891194987	20.707188782525936	759.5101028447906	122.76404778211806		461.47449286772087		316.5241713900393		75.4333305649159	253.66306258594273	507.32612517188545	8797.597062747447	5.916339652150268	541.3450781717495	35.49803791290161	3174.1162233786185	110.19182602129874	3576.4273197248367	107.97319865174238	1198.0587795604292	1854.0329384925901	Growth with 50 mM (S)-lactic acid, no proline supplementation.
