well	0	1200	2400	3600	4800	6000	7200	8400	9600	10800	12000	13200	14400	15600	16800	18000	19200	20400	21600	22800	24000	25200	26400	27600	28800	30000	31200	32400	33600	34800	36000	37200	38400	39600	40800	42000	43200	44400	45600	46800	48000	49200	50400	51600	52800	54000	55200	56400	57600	58800	60000	61200	62400	63600	Summary
A1	0.13026666666666667	0.1434	0.1545	0.15936666666666666	0.16179999999999997	0.16473333333333331	0.16443333333333332	0.16680000000000003	0.17380000000000004	0.17526666666666668	0.17833333333333332	0.18496666666666664	0.17726666666666666	0.1828	0.18636666666666665	0.1940333333333333	0.1902	0.18443333333333334	0.1939	0.19656666666666667	0.1975	0.18846666666666667	0.18669999999999998	0.18426666666666666	0.18476666666666666	0.19199999999999998	0.20493333333333333	0.20546666666666666	0.20833333333333334	0.19816666666666669	0.20420000000000002	0.19849999999999998	0.20719999999999997	0.20753333333333335	0.21813333333333332	0.21793333333333334	0.22150000000000003	0.21583333333333332	0.22446666666666668	0.2313333333333333	0.244	0.23966666666666667	0.2382	0.22823333333333332	0.22843333333333335	0.23323333333333332	0.23626666666666665	0.24126666666666666	0.23606666666666665	0.24243333333333336	0.24383333333333332	0.2566	0.2597	0.2617	Caffeine treatment without arginine supplementation.
A2	0.13986666666666667	0.14936666666666668	0.17053333333333331	0.18259999999999998	0.1910333333333333	0.18686666666666665	0.18473333333333333	0.18433333333333332	0.18433333333333332	0.18343333333333334	0.18653333333333333	0.1902	0.18200000000000002	0.1867333333333333	0.1787	0.19353333333333333	0.18643333333333334	0.1835	0.17246666666666666	0.1667	0.1678666666666667	0.18243333333333334	0.18169999999999997	0.17803333333333335	0.16586666666666663	0.17790000000000003	0.18769999999999998	0.1960666666666667	0.1899666666666667	0.19943333333333335	0.18813333333333335	0.1908	0.1736	0.18273333333333333	0.1872	0.19873333333333332	0.1979	0.1950333333333333	0.1938	0.19806666666666664	0.2048	0.21530000000000002	0.20866666666666667	0.19976666666666665	0.1952	0.20176666666666668	0.20436666666666667	0.20153333333333334	0.2124	0.20520000000000002	0.22166666666666668	0.21946666666666667	0.23199999999999998	0.22060000000000002	Media control
A3	0.1255	0.14663333333333337	0.16973333333333332	0.17200000000000001	0.1638333333333333	0.15373333333333336	0.15536666666666665	0.1585	0.16479999999999997	0.17040000000000002	0.17379999999999998	0.17643333333333333	0.1759666666666667	0.17876666666666666	0.17930000000000001	0.18133333333333335	0.1836	0.18273333333333333	0.18510000000000001	0.18876666666666667	0.18966666666666665	0.2037	0.21183333333333332	0.21233333333333335	0.20226666666666668	0.1956	0.20320000000000002	0.20693333333333333	0.21636666666666668	0.21619999999999998	0.22216666666666665	0.21176666666666666	0.20926666666666668	0.20973333333333333	0.21303333333333332	0.21776666666666666	0.226	0.2265	0.23630000000000004	0.2245	0.2271	0.22583333333333333	0.2329	0.25133333333333335	0.25523333333333337	0.26356666666666667	0.2607333333333333	0.2691333333333333	0.27649999999999997	0.29083333333333333	0.3015333333333333	0.3086333333333333	0.31603333333333333	0.32430000000000003	Low arginine supplementation without caffeine treatment.
A4	0.15996666666666667	0.16879999999999998	0.18273333333333333	0.1913	0.20306666666666665	0.20236666666666667	0.2021666666666667	0.19523333333333334	0.20550000000000002	0.2127	0.2132666666666667	0.20483333333333334	0.2135	0.21733333333333335	0.21266666666666667	0.20119999999999996	0.20513333333333336	0.21246666666666666	0.21586666666666665	0.22519999999999998	0.23409999999999997	0.24553333333333335	0.23840000000000003	0.23656666666666668	0.22966666666666666	0.22983333333333333	0.23116666666666666	0.23526666666666665	0.23123333333333332	0.23129999999999998	0.22966666666666669	0.23826666666666665	0.23466666666666666	0.24250000000000002	0.24539999999999998	0.24983333333333332	0.24573333333333333	0.24316666666666664	0.24816666666666665	0.2416666666666666	0.23799999999999996	0.24219999999999997	0.2555	0.2765666666666666	0.2825333333333333	0.2943333333333333	0.30036666666666667	0.31229999999999997	0.32309999999999994	0.3400999999999999	0.36103333333333326	0.3928333333333333	0.41253333333333325	0.42686666666666667	High arginine supplementation without caffeine treatment.
A5	0.13520000000000001	0.14676666666666666	0.16306666666666667	0.16036666666666666	0.1741	0.17576666666666665	0.18243333333333334	0.17350000000000002	0.17046666666666668	0.18200000000000002	0.18243333333333334	0.18746666666666667	0.17916666666666667	0.18016666666666667	0.17756666666666665	0.17946666666666666	0.18933333333333333	0.19086666666666666	0.19299999999999998	0.20323333333333335	0.21163333333333334	0.21923333333333336	0.20346666666666668	0.19656666666666667	0.1952	0.19726666666666667	0.1954	0.19999999999999998	0.19786666666666666	0.20713333333333336	0.20350000000000001	0.20709999999999998	0.20309999999999997	0.19699999999999998	0.2001666666666667	0.20376666666666665	0.20909999999999998	0.2185	0.22206666666666666	0.2319	0.23016666666666666	0.2316	0.2282	0.22669999999999998	0.23373333333333335	0.24916666666666665	0.2577333333333333	0.2575	0.2536333333333333	0.26553333333333334	0.2757	0.29943333333333333	0.30219999999999997	0.31106666666666666	Negative control with alanine supplementation without caffeine.
A6	0.12563333333333335	0.14026666666666668	0.1627333333333333	0.17206666666666667	0.18536666666666668	0.18183333333333332	0.1801	0.1741	0.17023333333333335	0.1659	0.1559	0.1499	0.14406666666666668	0.14913333333333334	0.15406666666666666	0.15396666666666667	0.16143333333333335	0.16990000000000002	0.1751	0.16786666666666664	0.17016666666666666	0.18033333333333335	0.18250000000000002	0.17213333333333333	0.161	0.1563	0.16076666666666664	0.1652	0.16690000000000002	0.16866666666666666	0.16140000000000002	0.1521	0.1394	0.1495	0.16383333333333333	0.16903333333333334	0.16516666666666668	0.16726666666666667	0.16633333333333333	0.17456666666666665	0.17466666666666666	0.18016666666666667	0.16166666666666668	0.1502666666666667	0.14403333333333335	0.15513333333333335	0.15583333333333335	0.16103333333333333	0.16403333333333334	0.18083333333333332	0.18586666666666665	0.1888	0.18306666666666663	0.18536666666666668	High arginine supplementation with caffeine treatment.
A7	0.13066666666666668	0.13483333333333333	0.14696666666666666	0.15233333333333332	0.16579999999999998	0.16493333333333335	0.16646666666666665	0.15979999999999997	0.1655333333333333	0.17300000000000001	0.18136666666666668	0.1791	0.18133333333333335	0.17453333333333332	0.17180000000000004	0.16856666666666667	0.18246666666666667	0.19256666666666666	0.19286666666666666	0.19199999999999998	0.1978	0.20309999999999997	0.1959	0.1949	0.19140000000000001	0.1968	0.19293333333333332	0.20966666666666667	0.21653333333333333	0.22063333333333335	0.21303333333333332	0.22506666666666666	0.23593333333333333	0.24526666666666666	0.24783333333333332	0.2630666666666666	0.2687333333333333	0.27996666666666664	0.2836	0.29116666666666663	0.2889	0.29013333333333335	0.2916	0.2924	0.2993	0.31456666666666666	0.3345666666666667	0.34850000000000003	0.3641666666666667	0.3866666666666667	0.40276666666666666	0.4263666666666667	0.4427666666666667	0.46163333333333334	Negative control with alanine supplementation without caffeine.
A8	0.12219999999999999	0.1353	0.14623333333333333	0.1547666666666667	0.15223333333333333	0.15833333333333333	0.153	0.1551	0.14956666666666665	0.14586666666666667	0.14653333333333332	0.14556666666666665	0.16056666666666666	0.17003333333333334	0.18023333333333333	0.18283333333333332	0.18899999999999997	0.19376666666666667	0.19416666666666668	0.19699999999999998	0.20353333333333334	0.20313333333333336	0.1942	0.20096666666666665	0.20013333333333336	0.20650000000000002	0.19523333333333334	0.21686666666666668	0.2245	0.24083333333333334	0.23576666666666668	0.25356666666666666	0.24556666666666668	0.2510666666666667	0.24713333333333334	0.26003333333333334	0.2567	0.2523666666666667	0.2582666666666667	0.2673666666666667	0.2769666666666667	0.28163333333333335	0.27823333333333333	0.29263333333333336	0.3024	0.3257333333333334	0.33453333333333335	0.34663333333333335	0.36283333333333334	0.3811	0.39853333333333335	0.42296666666666666	0.43873333333333336	0.45333333333333337	Baseline condition with no supplementation or treatment.
A9	0.10776666666666666	0.11486666666666667	0.1263	0.13263333333333333	0.1423	0.1461	0.15173333333333333	0.15966666666666668	0.16546666666666668	0.16796666666666668	0.16146666666666668	0.159	0.16366666666666665	0.1697	0.17243333333333333	0.17226666666666665	0.17586666666666664	0.18510000000000001	0.19073333333333334	0.20423333333333335	0.22760000000000002	0.2404666666666667	0.24883333333333335	0.2463	0.2554666666666667	0.2576333333333333	0.2609333333333333	0.27146666666666663	0.26633333333333337	0.2680666666666667	0.2583	0.2689	0.2601333333333333	0.25576666666666664	0.2431	0.24656666666666668	0.23770000000000002	0.2394333333333333	0.23970000000000002	0.2629666666666667	0.27153333333333335	0.28063333333333335	0.26453333333333334	0.26076666666666665	0.25806666666666667	0.2720666666666667	0.2781	0.2763	0.2738	0.2952333333333333	0.313	0.32893333333333336	0.3357333333333334	0.3474666666666666	Negative control with alanine supplementation without caffeine.
A10	0.12596666666666667	0.13756666666666667	0.14693333333333333	0.15246666666666667	0.14763333333333334	0.1532	0.15666666666666668	0.17276666666666665	0.1756333333333333	0.18136666666666668	0.1873	0.1803	0.16046666666666667	0.1428	0.14813333333333334	0.15893333333333334	0.17793333333333336	0.18753333333333333	0.1946	0.1932	0.19906666666666664	0.19866666666666666	0.19046666666666667	0.18090000000000003	0.1765	0.17273333333333332	0.17166666666666666	0.18723333333333336	0.19266666666666668	0.19410000000000002	0.1832666666666667	0.1928	0.19706666666666664	0.21319999999999997	0.22813333333333333	0.25266666666666665	0.2650333333333334	0.27130000000000004	0.27373333333333333	0.2783333333333333	0.2816666666666667	0.285	0.2857	0.2906333333333333	0.2934666666666667	0.29036666666666666	0.28250000000000003	0.28496666666666665	0.29183333333333333	0.2974	0.2914666666666667	0.29086666666666666	0.2936	0.2989	Media control
A11	0.12716666666666668	0.13563333333333336	0.14423333333333332	0.14616666666666667	0.14943333333333333	0.15756666666666666	0.1675333333333333	0.17473333333333332	0.1792	0.17943333333333333	0.18346666666666667	0.18663333333333335	0.1946	0.19613333333333335	0.19293333333333332	0.18633333333333332	0.18683333333333332	0.1919	0.19666666666666666	0.20273333333333335	0.21383333333333335	0.2154666666666667	0.21256666666666665	0.20753333333333332	0.2065	0.20443333333333333	0.1976	0.20453333333333332	0.19736666666666666	0.19909999999999997	0.18989999999999999	0.19483333333333333	0.19563333333333333	0.1927	0.1940666666666667	0.19516666666666668	0.20353333333333334	0.20333333333333334	0.1970333333333333	0.19393333333333332	0.19316666666666668	0.1950333333333333	0.19569999999999999	0.19033333333333335	0.19066666666666668	0.1939	0.20626666666666668	0.20603333333333332	0.20793333333333333	0.20909999999999998	0.2125	0.20426666666666668	0.1975	0.19499999999999998	Negative control with alanine supplementation with caffeine.
A12	0.12	0.1493	0.20056666666666667	0.24696666666666667	0.31433333333333335	0.3620333333333334	0.4150666666666667	0.4036666666666666	0.3969666666666667	0.3947	0.3968	0.37126666666666663	0.3321	0.31503333333333333	0.3194333333333333	0.33053333333333335	0.3390666666666666	0.3605	0.3626333333333333	0.35923333333333335	0.33516666666666667	0.3471333333333333	0.3547666666666667	0.38126666666666664	0.35329999999999995	0.34099999999999997	0.3208666666666667	0.32103333333333334	0.30016666666666664	0.2643666666666667	0.23343333333333335	0.21333333333333335	0.20079999999999998	0.19566666666666666	0.18610000000000002	0.17520000000000002	0.16906666666666667	0.17093333333333335	0.1869333333333333	0.20010000000000003	0.2097	0.21089999999999998	0.20609999999999998	0.19973333333333332	0.19379999999999997	0.19766666666666666	0.19720000000000001	0.1935	0.18513333333333334	0.18176666666666666	0.17513333333333334	0.17090000000000002	0.16506666666666667	0.16416666666666666	Low arginine supplementation with caffeine treatment.
B1	0.11393333333333333	0.13526666666666667	0.1549	0.16396666666666668	0.15856666666666666	0.15603333333333333	0.15263333333333332	0.1552	0.15936666666666666	0.1593	0.16	0.15713333333333335	0.1618	0.16240000000000002	0.16216666666666668	0.16056666666666666	0.1657	0.16636666666666666	0.17076666666666665	0.16693333333333335	0.1677	0.16480000000000003	0.16593333333333335	0.1691666666666667	0.17446666666666666	0.17473333333333332	0.17636666666666667	0.17346666666666666	0.1806	0.18116666666666667	0.18423333333333333	0.17963333333333334	0.18603333333333336	0.18753333333333333	0.19626666666666667	0.1932	0.19766666666666666	0.19373333333333334	0.2008	0.21	0.22030000000000002	0.22653333333333334	0.22846666666666668	0.2383666666666667	0.24456666666666668	0.24916666666666668	0.24903333333333336	0.25320000000000004	0.2648666666666667	0.2753333333333334	0.28726666666666667	0.29996666666666666	0.31316666666666665	0.32276666666666665	High arginine supplementation without caffeine treatment.
