	T2	T2_cutoff	DModX	DModX_cutoff	Outlier
8	33.169676909579444	44.86565896287084	1.5586877176813985	1.9542230788223163	False
9	7.934639755130799	44.86565896287084	1.188236463882092	1.9542230788223163	False
10	26.705603609690375	44.86565896287084	1.4583258733197855	1.9542230788223163	False
11	27.171270383947256	44.86565896287084	1.777196045604719	1.9542230788223163	False
25	17.479896238573325	44.86565896287084	1.9411069509592205	1.9542230788223163	False
33	20.700317165093296	44.86565896287084	1.459201158045699	1.9542230788223163	False
34	8.481884472740811	44.86565896287084	1.3746471998601686	1.9542230788223163	False
35	23.18047079315363	44.86565896287084	1.3126226793441793	1.9542230788223163	False
36	18.116791071776063	44.86565896287084	1.0699653612239675	1.9542230788223163	False
37	18.743600633907835	44.86565896287084	1.3691418833580402	1.9542230788223163	False
38	22.728664861530238	44.86565896287084	1.5023745723947899	1.9542230788223163	False
46	23.074186806195954	44.86565896287084	1.274739128030389	1.9542230788223163	False
47	25.116411246806802	44.86565896287084	1.9815443111440585	1.9542230788223163	True
48	22.817923293504315	44.86565896287084	1.2719366048304992	1.9542230788223163	False
49	19.17648061636602	44.86565896287084	1.7311791767644775	1.9542230788223163	False
50	12.991721221704546	44.86565896287084	2.011807995083836	1.9542230788223163	True
51	16.282471296037997	44.86565896287084	1.2690461326023363	1.9542230788223163	False
59	14.57652495800025	44.86565896287084	1.7474338257312392	1.9542230788223163	False
61	6.795016209248769	44.86565896287084	1.2121246439608746	1.9542230788223163	False
62	34.530855632345066	44.86565896287084	0.8622450388496995	1.9542230788223163	False
63	8.18152951037876	44.86565896287084	1.0686781018582399	1.9542230788223163	False
72	9.197761950079219	44.86565896287084	1.9153898455363978	1.9542230788223163	False
73	23.988910819190735	44.86565896287084	1.6068502508721483	1.9542230788223163	False
74	19.831022607840794	44.86565896287084	1.4525056909949687	1.9542230788223163	False
75	15.826538378882994	44.86565896287084	1.372691684965189	1.9542230788223163	False
76	9.387179564435586	44.86565896287084	1.632707071399205	1.9542230788223163	False
85	11.625955973278746	44.86565896287084	1.5132732788578334	1.9542230788223163	False
86	17.220498214359385	44.86565896287084	1.3490984599423814	1.9542230788223163	False
87	14.98153518856413	44.86565896287084	1.0838693067179255	1.9542230788223163	False
88	25.681440741291556	44.86565896287084	1.0726455348249633	1.9542230788223163	False
89	11.626645263419809	44.86565896287084	1.74828745423453	1.9542230788223163	False
98	25.194467044967713	44.86565896287084	1.6041801412018935	1.9542230788223163	False
99	6.119824994715397	44.86565896287084	1.0415998320979276	1.9542230788223163	False
101	5.1628747238134745	44.86565896287084	1.240134687746096	1.9542230788223163	False
103	22.0329663641231	44.86565896287084	1.1881563758399025	1.9542230788223163	False
111	19.430992544278403	44.86565896287084	1.2810695779992576	1.9542230788223163	False
113	9.629757635940269	44.86565896287084	1.886670934093274	1.9542230788223163	False
114	8.541595734935619	44.86565896287084	0.8827100390014158	1.9542230788223163	False
115	12.286989864880484	44.86565896287084	1.8655342204119107	1.9542230788223163	False
124	9.468212896305834	44.86565896287084	1.2975729472878255	1.9542230788223163	False
126	10.758009152219177	44.86565896287084	1.0394874885796774	1.9542230788223163	False
129	9.361182451851683	44.86565896287084	1.8964533210189243	1.9542230788223163	False
137	18.319685208739482	44.86565896287084	1.2781615461344864	1.9542230788223163	False
140	9.400323848566149	44.86565896287084	1.2766622086284074	1.9542230788223163	False
141	7.878465008838233	44.86565896287084	1.8980508885774687	1.9542230788223163	False
142	5.155623889478405	44.86565896287084	1.0434986360876564	1.9542230788223163	False
150	26.273540356331473	44.86565896287084	1.8469384064852783	1.9542230788223163	False
151	11.65177275576475	44.86565896287084	2.1989463138504615	1.9542230788223163	True
152	12.371647733836852	44.86565896287084	1.713368307430426	1.9542230788223163	False
153	5.651286532979381	44.86565896287084	1.4608088665565908	1.9542230788223163	False
163	12.177177889932777	44.86565896287084	1.7533606492024283	1.9542230788223163	False
164	31.767163335902815	44.86565896287084	1.0879452681886186	1.9542230788223163	False
165	9.569831889009675	44.86565896287084	1.8347290939279213	1.9542230788223163	False
166	10.0065166756572	44.86565896287084	1.317772534028003	1.9542230788223163	False
167	9.643555364917493	44.86565896287084	1.525399192935901	1.9542230788223163	False
168	43.642991147181235	44.86565896287084	1.1281702577771966	1.9542230788223163	False
176	33.180119567778256	44.86565896287084	1.448132332167417	1.9542230788223163	False
