ReplicateName	2'-Deoxyguanosine-5'-Diphosphate [[M+H]]	2'-Deoxyguanosine-5'-Monophosphate [[M+H]]	2'-Deoxyuridine [[M+Na]]	5'-Deoxy-5'-Methylthioadenosine [[M+H]]	ATP [[M+H]]	Acetyl coenzyme A (Acetyl-CoA) [[M+H]]	Ademetionine [[M+H]]	Adenine [[M+H]]	Adenosine 5'-diphosphate (ADP) [[M+H]]	Adenosine phosphate [[M+H]]	Adenosine-3'-5'-Diphosphate [[M+H]]	Alpha-D-Glucose [[M+Na]]	Aminoadipate [[M+Na]]	Argininosuccinic acid [[M+H]]	Biotin [[M+H]]	Choline [[M+H]]	Cytidine [[M+H]]	D-(+)-Melibiose [[M+Na]]	D-(+)-Turanose [[M+Na]]	D-Fructose [[M+Na]]	D-Galactose [[M+Na]]	D-Glucose [[M+Na]]	Galactose [[M+Na]]	Glucosamine [[M+H]]	Glutamic Acid [[M-H2O+H]]	Glutathione [[M+H]]	Histidine [[M+H]]	Imidazoleacetic acid [[M+H]]	Inositol [[M+Na]]	Isomaltose [[M+Na]]	L-Arginine [[M+H]]	L-Citrulline [[M+H]]	L-Threonine [[M+NH4]]	L-Valine [[M+H]]	Maltose [[M+Na]]	N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]]	N2-Acetyl-L-ornithine [[M+H]]	Nicotinamide [[M+H]]	Palatinose [[M+Na]]	Pidolic Acid [[M+H]]	Sucrose [[M+Na]]	Thymine [[M+H]]	Trehalose [[M+Na]]	Xanthurenic acid [[M+H]]	d-Desthiobiotin [[M+H]]	gamma-Glutamylcysteine [[M+H]]	Experimental group
Inj00012-Positive-H12.d.DeMP	5187.762477067655	12335.313564716012	417.32142723426557	378.980942753379	660.6360402860458	220.68898266634514	2219.3241978359356	9409.639672020667	5187.762477067655	55782.455651653	4864.817627017111	126.29689213012095	3577.4621288704184	9509.91478527837	495.4770302145344	1675.184245011045	10552.481036354786	172.53218016398966	172.53218016398966	56.57952550921092	56.57952550921092	126.29689213012095	56.57952550921092	2475.9105170541766	2966.963645213224	54455.28503500693	476.30678797409115	17.69560822194766	126.29689213012095	172.53218016398966	330371.1069676888	1800.5281365831743	70.78243288779063	311.14777790257966	172.53218016398966	1996.654461043094	7228.6559586656185	1607.3510801602456	172.53218016398966	4211.554756823542	172.53218016398966	133.0926041645858	172.53218016398966	639.991164027107	2027.6217754315026	110.59755138717286	Growth with supraphysiological level of arginine supplementation.
Inj00035-Positive-B11.d.DeMP	3438.8487394957983	1630.9033613445379	171.2689075630252	24.054621848739497	314.6344537815126	317.52100840336135	1607.810924369748	1763.68487394958	3489.844537815126	10597.504201680673	3423.453781512605	105.84033613445378	76.0126050420168	2946.2100840336134	61.463555646261284	1379.2496792930597	107.76470588235294	428.155296399384	428.155296399384	81.78571428571429	81.78571428571429	105.84033613445378	81.78571428571429	878.4747899159664	3818.9117647058824	10716.81512605042	488.78991596638656	114.5	105.84033613445378	428.155296399384	32505.491596638654	996.8235294117648	75.85466004583651	722.6008403361344	428.155296399384	804.3865546218487	622.5336134453781	1296.063025210084	428.155296399384	4319.247899159664	428.155296399384	25.016806722689076	428.155296399384	243.97980303454005	1894.5420168067228	281.9201680672269	Growth with lithium chloride treatment without arginine supplementation.
Inj00036-Positive-E8.d.DeMP	770.3790855153658	715.0887205262246	747.8021864781331	15.665603413589972	424.78728774514974	135.4576166967711	11.518826039404392	1759.615865779415	788.8092071784127	4731.933736987324	788.8092071784127	664.8666389944215	192.95119043075445	316.5373395628327	15.204850372013796	1714.4299851663436	142.3726898470383	428.155296399384	428.155296399384	802.631798425698	789.7307132615651	641.3682338740365	802.631798425698	1033.9298252969381	4279.474250159519	5656.204338389132	910.9087631960992	42.850032866584336	509.1321109416741	428.155296399384	13404.688238575678	1074.4760929556417	78.55942520920235	650.5832947055601	428.155296399384	889.7141232835952	188.90874704623204	769.9183324737895	428.155296399384	4861.405341670229	428.155296399384	8.293554748371163	428.155296399384	206.4173626261267	82.01404140055926	857.4614103732629	Growth with lithium chloride treatment without arginine supplementation.
Inj00037-Positive-E9.d.DeMP	2634.1724479682857	1824.4995044598613	912.2497522299307	150.44598612487613	1563.2306372196279	268.21920253924094	358.33498513379584	4025.113974231913	2760.0	13117.522299306245	2612.289395441031	150.44598612487613	2358.403034217242	1649.4350842418237	99.8414271555996	1762.6212470358712	6843.484335137858	216.16277597045845	222.83453636165646	58.81070366699703	58.81070366699703	150.44598612487613	58.81070366699703	82.06144697720516	6867.175421209118	11868.820614469772	1043.548067393459	13.676907829534192	150.44598612487613	222.83453636165646	264660.4757185332	3267.4132804757187	15.044598612487611	826.0852329038653	216.16277597045845	2294.9851337958376	7244.658077304262	1021.6650148662043	216.16277597045845	7329.454905847374	222.83453636165646	13.676907829534192	216.16277597045845	861.706458470942	2043.3300297324085	793.2606541129832	Growth with supraphysiological level of arginine and lithium chloride treatment.
Inj00038-Positive-D2.d.DeMP	3134.512987012987	1309.8030303030305	249.94155844155847	90.59813677397757	213.06493506493507	522.5177067212497	919.1839826839828	5901.6255411255415	3556.545454545455	7051.62987012987	3526.4978354978357	54.63203463203464	57.36363636363637	1257.9025974025974	587.2943722943724	129.75108225108227	251.30735930735932	752.5981452339244	752.5981452339244	88.66557214928054	88.66557214928054	54.63203463203464	88.66557214928054	502.61471861471864	4550.848484848485	10395.11038961039	2952.861471861472	174.82251082251082	54.63203463203464	752.5981452339244	145285.70129870131	2716.5779220779223	46.43722943722944	32.77922077922078	752.5981452339244	1076.2510822510824	1292.047619047619	2208.5	752.5981452339244	5362.1341991342	748.5629268920229	174.82251082251082	752.5981452339244	211.76628419540452	72.38744588744589	128.3852813852814	Growth with physiological level of arginine and lithium chloride treatment.
Inj00039-Positive-G6.d.DeMP	10740.288770053476	11034.117647058823	1143.3582887700534	211.27272727272728	461.60427807486633	1276.5133689839572	3861.4973262032086	7835.732620320856	10804.20320855615	59893.1550802139	10014.14973262032	22.192513368983956	2796.2566844919784	10146.417112299465	490.8983957219251	1534.8342245989304	6110.042780748663	541.4973262032086	541.4973262032086	10.6524064171123	10.6524064171123	22.192513368983956	10.6524064171123	695.0695187165775	3252.5347593582887	31669.604278074865	2602.7379679144383	401.24064171122996	22.192513368983956	541.4973262032086	47791.133689839575	2145.572192513369	30.18181818181818	1241.8930481283421	541.4973262032086	1242.7807486631016	932.9732620320856	1518.855614973262	541.4973262032086	3424.748663101604	541.4973262032086	332.88770053475935	541.4973262032086	289.29366169142287	1826.0	1109.6256684491977	Growth with physiological level of arginine supplementation.
Inj00047-Positive-C11.d.DeMP	2631.5000000000005	939.257648470306	265.2021595680864	189.43011397720457	462.52519496100786	292.0380923815237	2053.7381523695262	3913.310437912418	2631.5000000000005	9133.688662267547	2631.5000000000005	126.29689213012095	97.87222555488903	1807.4790041991603	135.75824835032995	1762.6212470358712	6843.484335137858	216.16277597045845	222.83453636165646	83.54309591259783	83.54309591259783	126.29689213012095	83.54309591259783	1180.781043791242	4858.882423515297	8650.641871625676	203.63737252549492	71.03629274145172	126.29689213012095	222.83453636165646	233578.38062387524	3057.7177564487106	85.5940489114103	1619.6274745050991	216.16277597045845	588.8119376124775	5734.996700659868	1717.499700059988	216.16277597045845	5155.656268746251	222.83453636165646	71.03629274145172	216.16277597045845	861.706458470942	2309.468806238752	176.8014397120576	Growth with supraphysiological level of arginine and lithium chloride treatment.
Inj00048-Positive-A4.d.DeMP	5833.78728606357	9995.63141809291	182.80623471882643	341.5941320293399	799.2768948655257	149.4474327628362	1557.1888753056235	12820.454767726162	5833.78728606357	57773.44193154034	5181.289119804402	126.29689213012095	4386.015281173594	9320.449266503669	57.37713936430318	1036.7915647921761	6081.976772616137	269.539119804401	289.55440097799516	14.677872860635699	14.677872860635699	126.29689213012095	14.677872860635699	2148.30684596577	1290.3184596577019	54416.21210268949	341.5941320293399	142.77567237163817	126.29689213012095	289.55440097799516	272521.3966992665	2339.1191931540343	229.50855745721273	1091.5	269.539119804401	1142.2053789731053	5590.935207823962	763.2493887530563	269.539119804401	2335.1161369193155	289.55440097799516	181.4718826405868	269.539119804401	1647.924816625917	2094.932762836186	14.677872860635699	Growth with supraphysiological level of arginine supplementation.
Inj00049-Positive-E5.d.DeMP	2605.3985572587917	2836.752254283138	1885.2360234445446	93.759000823267	17.796438232642018	126.94792605951307	746.2639765554553	4052.8422001803424	2827.2608205590623	16135.437330928764	2631.5	542.1981514878269	331.0137511271416	1987.2689359783587	103.21934174932372	104.40577096483318	277.6244364292155	978.0714316627708	978.0714316627708	26.101442741208295	26.101442741208295	542.1981514878269	26.101442741208295	2674.211451758341	3247.256762849414	28295.1503606853	1023.8884129846708	41.52502254283138	542.1981514878269	978.0714316627708	85374.2599188458	1490.1550946798918	169.6593778178539	983.549819657349	978.0714316627708	912.3640667267808	2455.908476104599	1121.1756086564471	978.0714316627708	3112.0038322813343	974.0362133208691	41.52502254283138	978.0714316627708	268.6011774535243	1802.1859783588818	2580.4835437330926	Growth with alanine supplementation and lithium chloride treatment as a negative control.
Inj00050-Positive-G5.d.DeMP	6618.857097533247	8837.834756629563	161.82248896174283	172.39912222721622	983.6268936890251	66.63278957248235	2258.1112021785684	11413.244956772334	6631.549057451814	51830.79131745234	6093.198424239219	126.29689213012095	3211.065859397721	6209.541390159427	1436.3067974512862	2496.08545065172	6947.790392089469	83.55540279723976	83.55540279723976	56.352386866143064	56.352386866143064	126.29689213012095	56.352386866143064	2891.6515347804243	756.2292784813473	46274.88586309917	33.84522644951485	204.1290220236364	126.29689213012095	83.55540279723976	239609.39597599342	3372.8883483594636	179.8027655130476	1764.1824286809613	83.55540279723976	1178.2369457737354	6044.5459112180415	1581.2066731882717	83.55540279723976	2333.2052983634294	83.55540279723976	204.1290220236364	83.55540279723976	297.2033947598022	630.367342622214	93.07437273616583	Growth with supraphysiological level of arginine supplementation.
