,Molecule List Name,Precursor Name,Precursor Formula,Precursor Adduct,Precursor Charge,Product m/z,Product Charge,CCS
0,DarkChem-31661259,L-Alanine,C3H7NO2,[M+H]+,1,90.055,1,116.8
1,DarkChem-31661259,L-Alanine,C3H7NO2,[M-H]-,-1,88.0404,-1,112.6
2,AllCCS-32859911,L-Alanine,C3H7NO2,[M+H]+,1,90.055,1,125.6
3,AllCCS-32859911,L-Alanine,C3H7NO2,[M-H]-,-1,88.0404,-1,123.4
4,DeepCCS-30932474,L-Alanine,C3H7NO2,[M+H]+,1,90.055,1,121.4
5,DeepCCS-30932474,L-Alanine,C3H7NO2,[M-H]-,-1,88.0404,-1,118.6
6,DeepCCS-30932474,L-Alanine,C3H7NO2,[M-2H]-,-2,44.0202,-2,155.0
7,DeepCCS-30932474,L-Alanine,C3H7NO2,[M+Na]+,1,112.0369,1,129.6
9,AllCCS-32859911,L-Alanine,C3H7NO2,[M+H-H2O]+,1,72.0444,1,121.2
10,AllCCS-32859911,L-Alanine,C3H7NO2,[M+NH4]+,1,107.0815,1,129.7
11,AllCCS-32859911,L-Alanine,C3H7NO2,[M+Na]+,1,112.0369,1,130.9
13,AllCCS-32859911,L-Alanine,C3H7NO2,[M+Na-2H]-,-1,110.0223,-1,128.0
14,AllCCS-32859911,L-Alanine,C3H7NO2,[M+HCOO]-,-1,134.0459,-1,133.2
15,DarkChem-31661259,L-Arginine,C6H14N4O2,[M+H]+,1,175.119,1,139.4
17,DarkChem-31661259,L-Arginine,C6H14N4O2,[M-H]-,-1,173.1044,-1,136.1
19,AllCCS-32859911,L-Arginine,C6H14N4O2,[M+H]+,1,175.119,1,139.0
20,AllCCS-32859911,L-Arginine,C6H14N4O2,[M-H]-,-1,173.1044,-1,136.2
21,DeepCCS-30932474,L-Arginine,C6H14N4O2,[M+H]+,1,175.119,1,136.5
22,DeepCCS-30932474,L-Arginine,C6H14N4O2,[M-H]-,-1,173.1044,-1,132.7
23,DeepCCS-30932474,L-Arginine,C6H14N4O2,[M-2H]-,-2,86.5522,-2,170.3
24,DeepCCS-30932474,L-Arginine,C6H14N4O2,[M+Na]+,1,197.1009,1,145.8
26,AllCCS-32859911,L-Arginine,C6H14N4O2,[M+H-H2O]+,1,157.1084,1,135.3
27,AllCCS-32859911,L-Arginine,C6H14N4O2,[M+NH4]+,1,192.1455,1,142.5
28,AllCCS-32859911,L-Arginine,C6H14N4O2,[M+Na]+,1,197.1009,1,143.6
30,AllCCS-32859911,L-Arginine,C6H14N4O2,[M+Na-2H]-,-1,195.0863,-1,137.8
31,AllCCS-32859911,L-Arginine,C6H14N4O2,[M+HCOO]-,-1,219.1099,-1,139.6
32,DarkChem-31661259,L-Asparagine,C4H8N2O3,[M+H]+,1,133.0608,1,129.7
33,DarkChem-31661259,L-Asparagine,C4H8N2O3,[M-H]-,-1,131.0462,-1,121.8
34,AllCCS-32859911,L-Asparagine,C4H8N2O3,[M+H]+,1,133.0608,1,132.0
35,AllCCS-32859911,L-Asparagine,C4H8N2O3,[M-H]-,-1,131.0462,-1,123.7
36,DeepCCS-30932474,L-Asparagine,C4H8N2O3,[M+H]+,1,133.0608,1,124.0
37,DeepCCS-30932474,L-Asparagine,C4H8N2O3,[M-H]-,-1,131.0462,-1,120.2
38,DeepCCS-30932474,L-Asparagine,C4H8N2O3,[M-2H]-,-2,65.5231,-2,157.7
39,DeepCCS-30932474,L-Asparagine,C4H8N2O3,[M+Na]+,1,155.0427,1,133.0
41,AllCCS-32859911,L-Asparagine,C4H8N2O3,[M+H-H2O]+,1,115.0502,1,127.9
42,AllCCS-32859911,L-Asparagine,C4H8N2O3,[M+NH4]+,1,150.0873,1,135.8
43,AllCCS-32859911,L-Asparagine,C4H8N2O3,[M+Na]+,1,155.0427,1,136.9
45,AllCCS-32859911,L-Asparagine,C4H8N2O3,[M+Na-2H]-,-1,153.0282,-1,126.3
46,AllCCS-32859911,L-Asparagine,C4H8N2O3,[M+HCOO]-,-1,177.0517,-1,129.3
47,DarkChem-31661259,L-Aspartic acid,C4H7NO4,[M+H]+,1,134.0448,1,129.8
48,DarkChem-31661259,L-Aspartic acid,C4H7NO4,[M-H]-,-1,132.0302,-1,121.8
49,AllCCS-32859911,L-Aspartic acid,C4H7NO4,[M+H]+,1,134.0448,1,131.7
50,AllCCS-32859911,L-Aspartic acid,C4H7NO4,[M-H]-,-1,132.0302,-1,122.8
51,DeepCCS-30932474,L-Aspartic acid,C4H7NO4,[M+H]+,1,134.0448,1,123.1
52,DeepCCS-30932474,L-Aspartic acid,C4H7NO4,[M-H]-,-1,132.0302,-1,119.2
53,DeepCCS-30932474,L-Aspartic acid,C4H7NO4,[M-2H]-,-2,66.0151,-2,156.8
54,DeepCCS-30932474,L-Aspartic acid,C4H7NO4,[M+Na]+,1,156.0267,1,132.1
56,AllCCS-32859911,L-Aspartic acid,C4H7NO4,[M+H-H2O]+,1,116.0342,1,127.6
57,AllCCS-32859911,L-Aspartic acid,C4H7NO4,[M+NH4]+,1,151.0713,1,135.5
58,AllCCS-32859911,L-Aspartic acid,C4H7NO4,[M+Na]+,1,156.0267,1,136.6
60,AllCCS-32859911,L-Aspartic acid,C4H7NO4,[M+Na-2H]-,-1,154.0122,-1,125.4
61,AllCCS-32859911,L-Aspartic acid,C4H7NO4,[M+HCOO]-,-1,178.0357,-1,128.4
