,Molecule List Name,Precursor Name,Precursor Formula,Precursor Adduct,Precursor Charge,Product m/z,Product Charge,CCS
3413,AllCCS-32859911.0,Lysine,C6H14N2O2,[M+Na]+,1.0,169.0947,1.0,138.0
3742,AllCCS-32859911.0,L-Tyrosine,C9H11NO3,[M+H]+,1.0,182.0812,1.0,140.5
3753,AllCCS-32859911.0,L-Tyrosine,C9H11NO3,[M+H-H2O]+,1.0,164.0706,1.0,136.3
3754,AllCCS-32859911.0,L-Tyrosine,C9H11NO3,[M+NH4]+,1.0,199.1077,1.0,144.4
3755,AllCCS-32859911.0,L-Tyrosine,C9H11NO3,[M+Na]+,1.0,204.0631,1.0,145.5
3817,AllCCS-32859911.0,Histidine,C6H9N3O2,[M+H]+,1.0,156.0768,1.0,134.4
3828,AllCCS-32859911.0,Histidine,C6H9N3O2,[M+H-H2O]+,1.0,138.0662,1.0,130.1
3829,AllCCS-32859911.0,Histidine,C6H9N3O2,[M+NH4]+,1.0,173.1033,1.0,138.5
3830,AllCCS-32859911.0,Histidine,C6H9N3O2,[M+Na]+,1.0,178.0587,1.0,139.6
3896,AllCCS-32859911.0,Proline,C5H9NO2,[M+H]+,1.0,116.0706,1.0,125.1
3903,AllCCS-32859911.0,Proline,C5H9NO2,[M+H-H2O]+,1.0,98.06,1.0,120.3
3904,AllCCS-32859911.0,Proline,C5H9NO2,[M+NH4]+,1.0,133.0972,1.0,129.5
3905,AllCCS-32859911.0,Proline,C5H9NO2,[M+Na]+,1.0,138.0525,1.0,130.8
3988,AllCCS-32859911.0,Leucine,C6H13NO2,[M+H]+,1.0,132.1019,1.0,132.0
3995,AllCCS-32859911.0,Leucine,C6H13NO2,[M+H-H2O]+,1.0,114.0913,1.0,127.9
3996,AllCCS-32859911.0,Leucine,C6H13NO2,[M+NH4]+,1.0,149.1285,1.0,135.8
3997,AllCCS-32859911.0,Leucine,C6H13NO2,[M+Na]+,1.0,154.0838,1.0,136.9
5228,AllCCS-32859911.0,L-Arginine,C6H14N4O2,[M+H]+,1.0,175.119,1.0,139.0
5235,AllCCS-32859911.0,L-Arginine,C6H14N4O2,[M+H-H2O]+,1.0,157.1084,1.0,135.3
5236,AllCCS-32859911.0,L-Arginine,C6H14N4O2,[M+NH4]+,1.0,192.1455,1.0,142.5
5237,AllCCS-32859911.0,L-Arginine,C6H14N4O2,[M+Na]+,1.0,197.1009,1.0,143.6
7005,AllCCS-32859911.0,L-Aspartic acid,C4H7NO4,[M+H]+,1.0,134.0448,1.0,131.7
7012,AllCCS-32859911.0,L-Aspartic acid,C4H7NO4,[M+H-H2O]+,1.0,116.0342,1.0,127.6
7013,AllCCS-32859911.0,L-Aspartic acid,C4H7NO4,[M+NH4]+,1.0,151.0713,1.0,135.5
7014,AllCCS-32859911.0,L-Aspartic acid,C4H7NO4,[M+Na]+,1.0,156.0267,1.0,136.6
