	AllCCS ID	Name	Structure	Formula	Type	Adduct	m/z	CCS	Confidence level	Update date
1058	AllCCS00009012	(+)-(S)-Carvone	CC1=CC[C@@H](CC1=O)C(=C)C	C10H14O	Predicted CCS	[M-H2O+H]+	133.1012	122.3	4	2023-04-30
1059	AllCCS00009012	(+)-(S)-Carvone	CC1=CC[C@@H](CC1=O)C(=C)C	C10H14O	Predicted CCS	[M-H]-	149.0972	127.6	4	2023-04-30
1060	AllCCS00009012	(+)-(S)-Carvone	CC1=CC[C@@H](CC1=O)C(=C)C	C10H14O	Predicted CCS	[M+Na-2H]-	171.0792	138.0	4	2023-04-30
1061	AllCCS00009012	(+)-(S)-Carvone	CC1=CC[C@@H](CC1=O)C(=C)C	C10H14O	Predicted CCS	[M+HCOO]-	195.1027	144.9	4	2023-04-30
1636	AllCCS00257852	(+/-)-1-monopalmitin|glycerol monopalmitate|glycerol palmitate|glyceryl monopalmitate|hexadecanoic acid, 2,3-dihydroxypropyl ester|L-(-)-??-Monopalmitin|monopalmitin|Palmitic acid monoglyceride	CCCCCCCCCCCCCCCC(=O)OCC(O)CO	C19H38O4	Predicted CCS	[M+H]+	331.2843	188.9	4	2023-04-30
1637	AllCCS00257852	(+/-)-1-monopalmitin|glycerol monopalmitate|glycerol palmitate|glyceryl monopalmitate|hexadecanoic acid, 2,3-dihydroxypropyl ester|L-(-)-??-Monopalmitin|monopalmitin|Palmitic acid monoglyceride	CCCCCCCCCCCCCCCC(=O)OCC(O)CO	C19H38O4	Predicted CCS	[M+Na]+	353.2663	191.8	4	2023-04-30
1638	AllCCS00257852	(+/-)-1-monopalmitin|glycerol monopalmitate|glycerol palmitate|glyceryl monopalmitate|hexadecanoic acid, 2,3-dihydroxypropyl ester|L-(-)-??-Monopalmitin|monopalmitin|Palmitic acid monoglyceride	CCCCCCCCCCCCCCCC(=O)OCC(O)CO	C19H38O4	Predicted CCS	[M+NH4]+	348.3109	191.4	4	2023-04-30
1639	AllCCS00257852	(+/-)-1-monopalmitin|glycerol monopalmitate|glycerol palmitate|glyceryl monopalmitate|hexadecanoic acid, 2,3-dihydroxypropyl ester|L-(-)-??-Monopalmitin|monopalmitin|Palmitic acid monoglyceride	CCCCCCCCCCCCCCCC(=O)OCC(O)CO	C19H38O4	Predicted CCS	[M-H2O+H]+	313.2737	187.7	4	2023-04-30
1640	AllCCS00257852	(+/-)-1-monopalmitin|glycerol monopalmitate|glycerol palmitate|glyceryl monopalmitate|hexadecanoic acid, 2,3-dihydroxypropyl ester|L-(-)-??-Monopalmitin|monopalmitin|Palmitic acid monoglyceride	CCCCCCCCCCCCCCCC(=O)OCC(O)CO	C19H38O4	Predicted CCS	[M-H]-	329.2697	188.4	4	2023-04-30
1641	AllCCS00257852	(+/-)-1-monopalmitin|glycerol monopalmitate|glycerol palmitate|glyceryl monopalmitate|hexadecanoic acid, 2,3-dihydroxypropyl ester|L-(-)-??-Monopalmitin|monopalmitin|Palmitic acid monoglyceride	CCCCCCCCCCCCCCCC(=O)OCC(O)CO	C19H38O4	Predicted CCS	[M+Na-2H]-	351.2517	187.7	4	2023-04-30
1642	AllCCS00257852	(+/-)-1-monopalmitin|glycerol monopalmitate|glycerol palmitate|glyceryl monopalmitate|hexadecanoic acid, 2,3-dihydroxypropyl ester|L-(-)-??-Monopalmitin|monopalmitin|Palmitic acid monoglyceride	CCCCCCCCCCCCCCCC(=O)OCC(O)CO	C19H38O4	Predicted CCS	[M+HCOO]-	375.2752	192.9	4	2023-04-30
6005	AllCCS00034135	(±)-trans-Linalyl oxide	CC(C)(O)[C@@H]1CC[C@](C)(O1)C=C	C10H18O2	Predicted CCS	[M+H]+	171.138	138.9	4	2023-04-30
6006	AllCCS00034135	(±)-trans-Linalyl oxide	CC(C)(O)[C@@H]1CC[C@](C)(O1)C=C	C10H18O2	Predicted CCS	[M+Na]+	193.12	147.0	4	2023-04-30
6007	AllCCS00034135	(±)-trans-Linalyl oxide	CC(C)(O)[C@@H]1CC[C@](C)(O1)C=C	C10H18O2	Predicted CCS	[M+NH4]+	188.1646	145.6	4	2023-04-30
6008	AllCCS00034135	(±)-trans-Linalyl oxide	CC(C)(O)[C@@H]1CC[C@](C)(O1)C=C	C10H18O2	Predicted CCS	[M-H2O+H]+	153.1274	135.6	4	2023-04-30
6009	AllCCS00034135	(±)-trans-Linalyl oxide	CC(C)(O)[C@@H]1CC[C@](C)(O1)C=C	C10H18O2	Predicted CCS	[M-H]-	169.1234	141.3	4	2023-04-30
6010	AllCCS00034135	(±)-trans-Linalyl oxide	CC(C)(O)[C@@H]1CC[C@](C)(O1)C=C	C10H18O2	Predicted CCS	[M+Na-2H]-	191.1054	144.1	4	2023-04-30
6011	AllCCS00034135	(±)-trans-Linalyl oxide	CC(C)(O)[C@@H]1CC[C@](C)(O1)C=C	C10H18O2	Predicted CCS	[M+HCOO]-	215.1289	146.7	4	2023-04-30
6040	AllCCS00049459	(1E)-1-(methylthio)prop-1-ene	[H]\C(SC([H])([H])[H])=C(\[H])C([H])([H])[H]	C4H8S	Predicted CCS	[M+H]+	89.042	119.5	4	2023-04-30
6041	AllCCS00049459	(1E)-1-(methylthio)prop-1-ene	[H]\C(SC([H])([H])[H])=C(\[H])C([H])([H])[H]	C4H8S	Predicted CCS	[M+Na]+	111.024	126.2	4	2023-04-30
6042	AllCCS00049459	(1E)-1-(methylthio)prop-1-ene	[H]\C(SC([H])([H])[H])=C(\[H])C([H])([H])[H]	C4H8S	Predicted CCS	[M+NH4]+	106.0686	125.0	4	2023-04-30
6043	AllCCS00049459	(1E)-1-(methylthio)prop-1-ene	[H]\C(SC([H])([H])[H])=C(\[H])C([H])([H])[H]	C4H8S	Predicted CCS	[M-H2O+H]+	71.0314	116.3	4	2023-04-30
6044	AllCCS00049459	(1E)-1-(methylthio)prop-1-ene	[H]\C(SC([H])([H])[H])=C(\[H])C([H])([H])[H]	C4H8S	Predicted CCS	[M-H]-	87.0274	118.1	4	2023-04-30
6045	AllCCS00049459	(1E)-1-(methylthio)prop-1-ene	[H]\C(SC([H])([H])[H])=C(\[H])C([H])([H])[H]	C4H8S	Predicted CCS	[M+Na-2H]-	109.0094	122.2	4	2023-04-30
6046	AllCCS00049459	(1E)-1-(methylthio)prop-1-ene	[H]\C(SC([H])([H])[H])=C(\[H])C([H])([H])[H]	C4H8S	Predicted CCS	[M+HCOO]-	133.0329	125.4	4	2023-04-30
3782	AllCCS00002615	(2E,6E)-Farnesol	CC(=CCC/C(=C/CC/C(=C/CO)/C)/C)C	C15H26O	Predicted CCS	[M+H]+	223.2057	152.4	4	2023-04-30
3783	AllCCS00002615	(2E,6E)-Farnesol	CC(=CCC/C(=C/CC/C(=C/CO)/C)/C)C	C15H26O	Predicted CCS	[M+Na]+	245.1877	162.7	4	2023-04-30
3784	AllCCS00002615	(2E,6E)-Farnesol	CC(=CCC/C(=C/CC/C(=C/CO)/C)/C)C	C15H26O	Predicted CCS	[M+NH4]+	240.2323	161.0	4	2023-04-30
3785	AllCCS00002615	(2E,6E)-Farnesol	CC(=CCC/C(=C/CC/C(=C/CO)/C)/C)C	C15H26O	Predicted CCS	[M-H2O+H]+	205.1951	147.5	4	2023-04-30
3786	AllCCS00002615	(2E,6E)-Farnesol	CC(=CCC/C(=C/CC/C(=C/CO)/C)/C)C	C15H26O	Predicted CCS	[M-H]-	221.1911	155.5	4	2023-04-30
3787	AllCCS00002615	(2E,6E)-Farnesol	CC(=CCC/C(=C/CC/C(=C/CO)/C)/C)C	C15H26O	Predicted CCS	[M+Na-2H]-	243.1731	159.4	4	2023-04-30
3788	AllCCS00002615	(2E,6E)-Farnesol	CC(=CCC/C(=C/CC/C(=C/CO)/C)/C)C	C15H26O	Predicted CCS	[M+HCOO]-	267.1966	160.9	4	2023-04-30
5403	AllCCS00012223	(2E)-Octadecenoyl-CoA	CCCCCCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O	C39H68N7O17P3S	Predicted CCS	[M+H]+	1032.3678	310.0	4	2023-04-30
5404	AllCCS00012223	(2E)-Octadecenoyl-CoA	CCCCCCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O	C39H68N7O17P3S	Predicted CCS	[M+Na]+	1054.3498	318.1	4	2023-04-30
5405	AllCCS00012223	(2E)-Octadecenoyl-CoA	CCCCCCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O	C39H68N7O17P3S	Predicted CCS	[M+NH4]+	1049.3944	315.7	4	2023-04-30
5406	AllCCS00012223	(2E)-Octadecenoyl-CoA	CCCCCCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O	C39H68N7O17P3S	Predicted CCS	[M-H2O+H]+	1014.3572	311.8	4	2023-04-30
5407	AllCCS00012223	(2E)-Octadecenoyl-CoA	CCCCCCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O	C39H68N7O17P3S	Predicted CCS	[M-H]-	1030.3532	304.6	4	2023-04-30
5408	AllCCS00012223	(2E)-Octadecenoyl-CoA	CCCCCCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O	C39H68N7O17P3S	Predicted CCS	[M+Na-2H]-	1052.3352	311.4	4	2023-04-30
5409	AllCCS00012223	(2E)-Octadecenoyl-CoA	CCCCCCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O	C39H68N7O17P3S	Predicted CCS	[M+HCOO]-	1076.3587	323.9	4	2023-04-30
6096	AllCCS00275936	(2R,4R)-Rose oxide|rose oxide|trans-3,4,5,6-tetrahydro-4-methyl-2-(2'-methyl-1'-propenyl)-2H-pyran|trans-rose oxide|trans-rosoxide	CC1CCOC(C1)C=C(C)C	C10H18O	Predicted CCS	[M+H]+	155.1431	134.4	4	2023-04-30
6097	AllCCS00275936	(2R,4R)-Rose oxide|rose oxide|trans-3,4,5,6-tetrahydro-4-methyl-2-(2'-methyl-1'-propenyl)-2H-pyran|trans-rose oxide|trans-rosoxide	CC1CCOC(C1)C=C(C)C	C10H18O	Predicted CCS	[M+Na]+	177.1251	141.1	4	2023-04-30
6098	AllCCS00275936	(2R,4R)-Rose oxide|rose oxide|trans-3,4,5,6-tetrahydro-4-methyl-2-(2'-methyl-1'-propenyl)-2H-pyran|trans-rose oxide|trans-rosoxide	CC1CCOC(C1)C=C(C)C	C10H18O	Predicted CCS	[M+NH4]+	172.1697	139.6	4	2023-04-30
6099	AllCCS00275936	(2R,4R)-Rose oxide|rose oxide|trans-3,4,5,6-tetrahydro-4-methyl-2-(2'-methyl-1'-propenyl)-2H-pyran|trans-rose oxide|trans-rosoxide	CC1CCOC(C1)C=C(C)C	C10H18O	Predicted CCS	[M-H2O+H]+	137.1325	129.6	4	2023-04-30
