Name,Monoisotopic Mass,InChI Key,Chemical Formula,CCS Type,Adduct Type,Data Source / Predictor,m/z,CCS Value (Å²),Reference
L-Asparagine,132.053492132,[M-H]-,Predicted,DeepCCS,131.046216132,120.161,30932474,DCXYFEDJOCDNAF-REOHCLBHSA-N,C4H8N2O3
L-Asparagine,132.053492132,[M-2H]-,Predicted,DeepCCS,65.523108066,157.71,30932474,DCXYFEDJOCDNAF-REOHCLBHSA-N,C4H8N2O3
L-Asparagine,132.053492132,[M+Na]+,Predicted,DeepCCS,155.042710132,133.034,30932474,DCXYFEDJOCDNAF-REOHCLBHSA-N,C4H8N2O3
L-Asparagine,132.053492132,[M+H]+,Predicted,AllCCS,133.060768132,132.0,32859911,DCXYFEDJOCDNAF-REOHCLBHSA-N,C4H8N2O3
L-Asparagine,132.053492132,[M+H-H2O]+,Predicted,AllCCS,115.05020313200001,127.9,32859911,DCXYFEDJOCDNAF-REOHCLBHSA-N,C4H8N2O3
L-Asparagine,132.053492132,[M+NH4]+,Predicted,AllCCS,150.08731513200001,135.8,32859911,DCXYFEDJOCDNAF-REOHCLBHSA-N,C4H8N2O3
L-Asparagine,132.053492132,[M+Na]+,Predicted,AllCCS,155.042710132,136.9,32859911,DCXYFEDJOCDNAF-REOHCLBHSA-N,C4H8N2O3
L-Asparagine,132.053492132,[M-H]-,Predicted,AllCCS,131.046216132,123.7,32859911,DCXYFEDJOCDNAF-REOHCLBHSA-N,C4H8N2O3
L-Asparagine,132.053492132,[M+Na-2H]-,Predicted,AllCCS,153.028158132,126.3,32859911,DCXYFEDJOCDNAF-REOHCLBHSA-N,C4H8N2O3
L-Asparagine,132.053492132,[M+HCOO]-,Predicted,AllCCS,177.051693132,129.3,32859911,DCXYFEDJOCDNAF-REOHCLBHSA-N,C4H8N2O3
L-Aspartic acid,133.037507717,[M+H]+,Predicted,DarkChem,134.044783717,129.779,31661259,CKLJMWTZIZZHCS-REOHCLBHSA-N,C4H7NO4
L-Aspartic acid,133.037507717,[M-H]-,Predicted,DarkChem,132.03023171700002,121.846,31661259,CKLJMWTZIZZHCS-REOHCLBHSA-N,C4H7NO4
L-Aspartic acid,133.037507717,[M+H]+,Predicted,AllCCS,134.044783717,131.665,32859911,CKLJMWTZIZZHCS-REOHCLBHSA-N,C4H7NO4
L-Aspartic acid,133.037507717,[M-H]-,Predicted,AllCCS,132.03023171700002,122.785,32859911,CKLJMWTZIZZHCS-REOHCLBHSA-N,C4H7NO4
L-Aspartic acid,133.037507717,[M+H]+,Predicted,DeepCCS,134.044783717,123.093,30932474,CKLJMWTZIZZHCS-REOHCLBHSA-N,C4H7NO4
L-Aspartic acid,133.037507717,[M-H]-,Predicted,DeepCCS,132.03023171700002,119.227,30932474,CKLJMWTZIZZHCS-REOHCLBHSA-N,C4H7NO4
L-Aspartic acid,133.037507717,[M-2H]-,Predicted,DeepCCS,66.01511585850001,156.828,30932474,CKLJMWTZIZZHCS-REOHCLBHSA-N,C4H7NO4
L-Aspartic acid,133.037507717,[M+Na]+,Predicted,DeepCCS,156.026725717,132.081,30932474,CKLJMWTZIZZHCS-REOHCLBHSA-N,C4H7NO4
L-Aspartic acid,133.037507717,[M+H]+,Predicted,AllCCS,134.044783717,131.7,32859911,CKLJMWTZIZZHCS-REOHCLBHSA-N,C4H7NO4
L-Aspartic acid,133.037507717,[M+H-H2O]+,Predicted,AllCCS,116.03421871700002,127.6,32859911,CKLJMWTZIZZHCS-REOHCLBHSA-N,C4H7NO4
L-Aspartic acid,133.037507717,[M+NH4]+,Predicted,AllCCS,151.07133071700002,135.5,32859911,CKLJMWTZIZZHCS-REOHCLBHSA-N,C4H7NO4
L-Aspartic acid,133.037507717,[M+Na]+,Predicted,AllCCS,156.026725717,136.6,32859911,CKLJMWTZIZZHCS-REOHCLBHSA-N,C4H7NO4
L-Aspartic acid,133.037507717,[M-H]-,Predicted,AllCCS,132.03023171700002,122.8,32859911,CKLJMWTZIZZHCS-REOHCLBHSA-N,C4H7NO4
L-Aspartic acid,133.037507717,[M+Na-2H]-,Predicted,AllCCS,154.012173717,125.4,32859911,CKLJMWTZIZZHCS-REOHCLBHSA-N,C4H7NO4
L-Aspartic acid,133.037507717,[M+HCOO]-,Predicted,AllCCS,178.035708717,128.4,32859911,CKLJMWTZIZZHCS-REOHCLBHSA-N,C4H7NO4
Glutamic acid,147.053157781,[M+H]+,Predicted,DarkChem,148.060433781,130.757,31661259,WHUUTDBJXJRKMK-VKHMYHEASA-N,C5H9NO4
Glutamic acid,147.053157781,[M-H]-,Predicted,DarkChem,146.04588178100002,125.077,31661259,WHUUTDBJXJRKMK-VKHMYHEASA-N,C5H9NO4
Glutamic acid,147.053157781,[M+H]+,Predicted,AllCCS,148.060433781,133.83,32859911,WHUUTDBJXJRKMK-VKHMYHEASA-N,C5H9NO4
Glutamic acid,147.053157781,[M-H]-,Predicted,AllCCS,146.04588178100002,126.642,32859911,WHUUTDBJXJRKMK-VKHMYHEASA-N,C5H9NO4
Glutamic acid,147.053157781,[M+H]+,Predicted,DeepCCS,148.060433781,127.758,30932474,WHUUTDBJXJRKMK-VKHMYHEASA-N,C5H9NO4
Glutamic acid,147.053157781,[M-H]-,Predicted,DeepCCS,146.04588178100002,123.923,30932474,WHUUTDBJXJRKMK-VKHMYHEASA-N,C5H9NO4
Glutamic acid,147.053157781,[M-2H]-,Predicted,DeepCCS,73.02294089050001,161.438,30932474,WHUUTDBJXJRKMK-VKHMYHEASA-N,C5H9NO4
Glutamic acid,147.053157781,[M+Na]+,Predicted,DeepCCS,170.042375781,136.847,30932474,WHUUTDBJXJRKMK-VKHMYHEASA-N,C5H9NO4
Glutamic acid,147.053157781,[M+H]+,Predicted,AllCCS,148.060433781,133.8,32859911,WHUUTDBJXJRKMK-VKHMYHEASA-N,C5H9NO4
Glutamic acid,147.053157781,[M+H-H2O]+,Predicted,AllCCS,130.04986878100001,129.8,32859911,WHUUTDBJXJRKMK-VKHMYHEASA-N,C5H9NO4
Glutamic acid,147.053157781,[M+NH4]+,Predicted,AllCCS,165.08698078100002,137.6,32859911,WHUUTDBJXJRKMK-VKHMYHEASA-N,C5H9NO4
Glutamic acid,147.053157781,[M+Na]+,Predicted,AllCCS,170.042375781,138.6,32859911,WHUUTDBJXJRKMK-VKHMYHEASA-N,C5H9NO4
Glutamic acid,147.053157781,[M-H]-,Predicted,AllCCS,146.04588178100002,126.6,32859911,WHUUTDBJXJRKMK-VKHMYHEASA-N,C5H9NO4
Glutamic acid,147.053157781,[M+Na-2H]-,Predicted,AllCCS,168.027823781,128.8,32859911,WHUUTDBJXJRKMK-VKHMYHEASA-N,C5H9NO4
Glutamic acid,147.053157781,[M+HCOO]-,Predicted,AllCCS,192.051358781,131.2,32859911,WHUUTDBJXJRKMK-VKHMYHEASA-N,C5H9NO4
Glutamine,146.069142196,[M+H]+,Predicted,DarkChem,147.076418196,130.644,31661259,ZDXPYRJPNDTMRX-VKHMYHEASA-N,C5H10N2O3
Glutamine,146.069142196,[M-H]-,Predicted,DarkChem,145.061866196,125.029,31661259,ZDXPYRJPNDTMRX-VKHMYHEASA-N,C5H10N2O3
Glutamine,146.069142196,[M+H]+,Predicted,AllCCS,147.076418196,134.195,32859911,ZDXPYRJPNDTMRX-VKHMYHEASA-N,C5H10N2O3
Glutamine,146.069142196,[M-H]-,Predicted,AllCCS,145.061866196,127.544,32859911,ZDXPYRJPNDTMRX-VKHMYHEASA-N,C5H10N2O3
Glutamine,146.069142196,[M+H]+,Predicted,DeepCCS,147.076418196,128.949,30932474,ZDXPYRJPNDTMRX-VKHMYHEASA-N,C5H10N2O3
Glutamine,146.069142196,[M-H]-,Predicted,DeepCCS,145.061866196,125.121,30932474,ZDXPYRJPNDTMRX-VKHMYHEASA-N,C5H10N2O3
Glutamine,146.069142196,[M-2H]-,Predicted,DeepCCS,72.530933098,162.604,30932474,ZDXPYRJPNDTMRX-VKHMYHEASA-N,C5H10N2O3
Glutamine,146.069142196,[M+Na]+,Predicted,DeepCCS,169.058360196,138.04,30932474,ZDXPYRJPNDTMRX-VKHMYHEASA-N,C5H10N2O3
Glutamine,146.069142196,[M+H]+,Predicted,AllCCS,147.076418196,134.2,32859911,ZDXPYRJPNDTMRX-VKHMYHEASA-N,C5H10N2O3
Glutamine,146.069142196,[M+H-H2O]+,Predicted,AllCCS,129.065853196,130.2,32859911,ZDXPYRJPNDTMRX-VKHMYHEASA-N,C5H10N2O3
Glutamine,146.069142196,[M+NH4]+,Predicted,AllCCS,164.102965196,137.9,32859911,ZDXPYRJPNDTMRX-VKHMYHEASA-N,C5H10N2O3
Glutamine,146.069142196,[M+Na]+,Predicted,AllCCS,169.058360196,139.0,32859911,ZDXPYRJPNDTMRX-VKHMYHEASA-N,C5H10N2O3
Glutamine,146.069142196,[M-H]-,Predicted,AllCCS,145.061866196,127.5,32859911,ZDXPYRJPNDTMRX-VKHMYHEASA-N,C5H10N2O3
Glutamine,146.069142196,[M+Na-2H]-,Predicted,AllCCS,167.043808196,129.8,32859911,ZDXPYRJPNDTMRX-VKHMYHEASA-N,C5H10N2O3
Glutamine,146.069142196,[M+HCOO]-,Predicted,AllCCS,191.067343196,132.2,32859911,ZDXPYRJPNDTMRX-VKHMYHEASA-N,C5H10N2O3
Glycine,75.032028409,[M+H]+,Predicted,DarkChem,76.03930440900001,112.309,31661259,DHMQDGOQFOQNFH-UHFFFAOYSA-N,C2H5NO2
Glycine,75.032028409,[M+H]+,Predicted,DarkChem,76.03930440900001,112.309,31661259,DHMQDGOQFOQNFH-UHFFFAOYSA-N,C2H5NO2
Glycine,75.032028409,[M-H]-,Predicted,DarkChem,74.024752409,105.235,31661259,DHMQDGOQFOQNFH-UHFFFAOYSA-N,C2H5NO2
Glycine,75.032028409,[M-H]-,Predicted,DarkChem,74.024752409,105.235,31661259,DHMQDGOQFOQNFH-UHFFFAOYSA-N,C2H5NO2
Glycine,75.032028409,[M+H]+,Predicted,AllCCS,76.03930440900001,122.925,32859911,DHMQDGOQFOQNFH-UHFFFAOYSA-N,C2H5NO2
Glycine,75.032028409,[M-H]-,Predicted,AllCCS,74.024752409,126.824,32859911,DHMQDGOQFOQNFH-UHFFFAOYSA-N,C2H5NO2
Glycine,75.032028409,[M+H]+,Predicted,DeepCCS,76.03930440900001,128.062,30932474,DHMQDGOQFOQNFH-UHFFFAOYSA-N,C2H5NO2
Glycine,75.032028409,[M-H]-,Predicted,DeepCCS,74.024752409,125.386,30932474,DHMQDGOQFOQNFH-UHFFFAOYSA-N,C2H5NO2
Glycine,75.032028409,[M-2H]-,Predicted,DeepCCS,37.0123762045,161.859,30932474,DHMQDGOQFOQNFH-UHFFFAOYSA-N,C2H5NO2
Glycine,75.032028409,[M+Na]+,Predicted,DeepCCS,98.02124640900001,136.265,30932474,DHMQDGOQFOQNFH-UHFFFAOYSA-N,C2H5NO2
Glycine,75.032028409,[M+H]+,Predicted,AllCCS,76.03930440900001,122.9,32859911,DHMQDGOQFOQNFH-UHFFFAOYSA-N,C2H5NO2
Glycine,75.032028409,[M+H-H2O]+,Predicted,AllCCS,58.02873940900001,118.5,32859911,DHMQDGOQFOQNFH-UHFFFAOYSA-N,C2H5NO2
Glycine,75.032028409,[M+NH4]+,Predicted,AllCCS,93.065851409,127.1,32859911,DHMQDGOQFOQNFH-UHFFFAOYSA-N,C2H5NO2
Glycine,75.032028409,[M+Na]+,Predicted,AllCCS,98.02124640900001,128.3,32859911,DHMQDGOQFOQNFH-UHFFFAOYSA-N,C2H5NO2
