	HMDB
YMDB00112	HMDB00187
YMDB00113	HMDB12250
YMDB00114	HMDB00240
YMDB00115	HMDB01112
YMDB00116	HMDB06236
YMDB00117	
YMDB00118	
YMDB00119	HMDB01548
YMDB00120	HMDB01003
YMDB00121	HMDB00598
YMDB00122	
YMDB00123	
YMDB00124	
YMDB00125	HMDB00224
YMDB00126	HMDB00929
YMDB00127	HMDB00296
YMDB00128	
YMDB00129	HMDB01299
YMDB00130	HMDB00988
YMDB00131	HMDB00207
YMDB00132	HMDB01414
YMDB00133	
YMDB00134	HMDB01155
YMDB00135	HMDB02786
YMDB00136	
YMDB00137	HMDB01124
YMDB00138	HMDB00229
YMDB00139	HMDB01846
YMDB00140	HMDB01127
YMDB00141	HMDB11671
YMDB00142	HMDB00225
YMDB00143	HMDB01487
YMDB00144	
YMDB00145	HMDB01137
YMDB00146	HMDB00516
YMDB00147	
YMDB00148	HMDB12199
YMDB00149	
YMDB00150	HMDB01983
YMDB00151	HMDB00707
YMDB00152	HMDB00883
YMDB00153	HMDB00208
YMDB00154	HMDB00161
YMDB00155	HMDB03364
YMDB00156	HMDB01097
YMDB00157	HMDB06809
YMDB00158	
YMDB00159	
YMDB00160	HMDB00125
YMDB00161	HMDB01644
YMDB00162	HMDB01227
YMDB00163	
YMDB00164	HMDB02666
YMDB00165	HMDB03665
YMDB00166	
YMDB00167	HMDB03052
YMDB00168	HMDB00491
YMDB00169	
YMDB00170	HMDB01167
YMDB00171	HMDB11106
YMDB00172	HMDB04662
YMDB00173	HMDB00211
YMDB00174	HMDB06818
YMDB00175	HMDB00243
YMDB00177	HMDB06855
YMDB00178	HMDB01173
YMDB00179	
YMDB00180	HMDB01242
YMDB00181	HMDB01343
YMDB00182	HMDB11662
YMDB00183	HMDB01480
YMDB00184	
YMDB00185	HMDB12134
YMDB00186	HMDB11606
YMDB00187	
YMDB00188	HMDB00062
YMDB00189	HMDB11673
YMDB00190	HMDB00252
YMDB00191	HMDB01565
YMDB00192	
YMDB00193	HMDB01132
YMDB00194	
YMDB00195	HMDB00056
YMDB00196	HMDB01068
YMDB00198	HMDB00939
YMDB00199	HMDB01209
YMDB00200	HMDB01347
YMDB00201	HMDB01191
YMDB00202	HMDB01163
YMDB00203	HMDB00210
YMDB00204	HMDB01266
YMDB00205	HMDB01274
YMDB00206	HMDB01202
YMDB00207	
YMDB00208	
YMDB00209	HMDB04226
YMDB00210	HMDB03974
YMDB00211	HMDB11615
YMDB00212	HMDB00286
YMDB00213	HMDB00462
YMDB00214	HMDB00167
YMDB00215	HMDB03712
YMDB00216	HMDB03070
YMDB00218	HMDB01316
YMDB00219	HMDB00250
YMDB00220	HMDB00235
YMDB00221	HMDB01409
YMDB00222	
YMDB00223	HMDB01321
YMDB00224	HMDB01488
YMDB00225	HMDB06502
YMDB00226	HMDB00168
YMDB00227	HMDB00097
YMDB00229	HMDB00961
YMDB00230	HMDB06953
YMDB00231	HMDB01256
YMDB00232	HMDB01257
YMDB00233	HMDB01228
YMDB00234	HMDB01200
YMDB00235	HMDB00223
YMDB00236	HMDB01259
YMDB00238	HMDB01396
YMDB00239	
YMDB00241	HMDB01054
YMDB00242	HMDB01078
YMDB00243	HMDB01301
YMDB00245	HMDB00099
YMDB00246	HMDB01066
YMDB00247	HMDB00190
YMDB00248	
YMDB00249	
YMDB00250	
YMDB00251	
YMDB00252	HMDB01049
YMDB00253	HMDB00283
YMDB00254	HMDB01476
YMDB00255	HMDB06488
YMDB00256	HMDB01003
YMDB00257	HMDB01201
YMDB00258	HMDB03484
YMDB00260	HMDB01533
YMDB00261	HMDB01397
YMDB00262	HMDB01251
YMDB00263	HMDB00292
YMDB00264	HMDB01337
YMDB00265	HMDB01330
YMDB00266	HMDB01285
YMDB00267	HMDB01086
YMDB00268	HMDB01023
YMDB00269	
YMDB00270	HMDB01270
YMDB00271	HMDB00148
YMDB00272	HMDB01016
YMDB00273	HMDB03345
YMDB00274	HMDB01406
YMDB00275	HMDB11750
YMDB00276	HMDB00263
YMDB00277	HMDB00290
YMDB00278	HMDB01123
YMDB00279	HMDB00082
YMDB00280	HMDB00156
YMDB00281	HMDB01439
YMDB00282	HMDB00030
YMDB00283	HMDB00131
YMDB00284	HMDB03406
YMDB00285	HMDB04610
YMDB00286	HMDB00122
YMDB00287	HMDB01311
YMDB00288	HMDB01586
YMDB00289	HMDB01554
YMDB00290	HMDB01286
YMDB00291	HMDB01498
YMDB00292	HMDB04257
YMDB00293	HMDB01412
YMDB00294	HMDB00215
YMDB00295	HMDB04041
YMDB00296	HMDB01248
YMDB00297	HMDB01185
YMDB00298	HMDB01562
YMDB00299	HMDB01383
YMDB00300	HMDB03841
YMDB00301	HMDB01338
YMDB00302	HMDB11654
YMDB00303	HMDB00257
YMDB00304	HMDB00159
YMDB00306	
YMDB00307	HMDB00295
YMDB00308	HMDB01416
YMDB00309	HMDB00086
YMDB00311	HMDB03498
YMDB00312	HMDB01206
YMDB00313	HMDB00067
YMDB00314	
YMDB00315	HMDB12880
YMDB00316	HMDB01232
YMDB00317	HMDB12276
YMDB00318	HMDB00696
YMDB00319	
YMDB00320	HMDB01550
YMDB00321	HMDB01426
YMDB00322	HMDB01473
YMDB00324	HMDB12283
YMDB00325	HMDB00961
YMDB00326	HMDB00285
YMDB00327	HMDB00269
YMDB00329	HMDB02189
YMDB00330	HMDB00182
YMDB00332	
YMDB00333	
YMDB00334	HMDB01451
YMDB00335	HMDB00112
YMDB00336	
YMDB00337	HMDB00023
YMDB00338	HMDB00254
YMDB00339	HMDB01186
YMDB00340	HMDB00072
YMDB00341	HMDB00807
YMDB00342	HMDB11661
YMDB00343	HMDB03344
YMDB00346	HMDB01263
YMDB00347	
YMDB00348	HMDB00699
YMDB00349	HMDB00061
YMDB00350	HMDB00797
YMDB00351	HMDB00201
YMDB00352	HMDB00175
YMDB00353	HMDB00214
YMDB00354	HMDB01190
YMDB00355	HMDB06802
YMDB00356	
YMDB00357	HMDB01373
YMDB00358	HMDB00464
YMDB00359	
YMDB00360	HMDB01178
YMDB00361	
YMDB00362	HMDB00868
YMDB00363	HMDB01491
YMDB00364	HMDB00158
YMDB00365	HMDB00019
YMDB00366	HMDB01276
YMDB00367	HMDB03407
YMDB00368	HMDB12156
YMDB00369	HMDB00177
YMDB00370	
YMDB00371	HMDB00742
YMDB00372	HMDB02168
YMDB00374	HMDB02022
YMDB00375	HMDB00684
YMDB00376	
YMDB00377	HMDB01005
YMDB00378	HMDB00162
YMDB00379	
YMDB00380	HMDB06357
YMDB00381	HMDB01372
YMDB00382	HMDB03538
YMDB00383	HMDB00625
YMDB00384	HMDB06801
YMDB00385	HMDB00142
YMDB00386	HMDB06330
YMDB00387	HMDB00687
YMDB00388	HMDB00695
YMDB00389	HMDB01564
YMDB00390	
YMDB00391	HMDB01453
YMDB00392	HMDB01545
YMDB00393	HMDB01024
YMDB00394	HMDB06833
YMDB00395	HMDB01551
YMDB00396	HMDB03349
YMDB00397	HMDB01555
YMDB00398	HMDB06211
YMDB00400	HMDB01117
YMDB00401	HMDB00245
YMDB00402	HMDB00280
YMDB00403	HMDB01090
YMDB00404	HMDB04305
YMDB00405	HMDB00226
YMDB00406	HMDB00095
YMDB00407	HMDB01319
YMDB00413	
YMDB00415	HMDB00286
YMDB00417	
YMDB00421	HMDB01553
YMDB00423	
YMDB00424	
YMDB00425	
