Molecule List Name;Precursor Name;Precursor Formula;Precursor Adduct;Precursor Charge;Product m/z;Product Charge;CCS
allccs;L-Asparagine;C4H8N2O3;[M+Na-2H]-;-1;153.0282;-1;126.8
allccs;L-Aspartic Acid;C4H7NO4;[M+Na-2H]-;-1;154.0122;-1;125.4
allccs;L-Cysteine;C3H7NO2S;[M+Na-2H]-;-1;141.9944;-1;142.4
allccs;L-Glutamic Acid;C5H9NO4;[M+Na-2H]-;-1;168.0279;-1;131.4
allccs;L-Glutamine;C5H10N2O3;[M+Na-2H]-;-1;167.0438;-1;131.1
allccs;L-Glycine;C2H5NO2;[M+Na-2H]-;-1;96.0067;-1;120.5
allccs;L-Histidine;C6H9N3O2;[M+Na-2H]-;-1;176.0442;-1;130.5
allccs;L-Isoleucine;C6H13NO2;[M+Na-2H]-;-1;152.0693;-1;134.4
allccs;L-Leucine;C6H13NO2;[M+Na-2H]-;-1;152.0693;-1;136.4
allccs;L-Lysine;C6H14N2O2;[M+Na-2H]-;-1;167.0802;-1;131.3
allccs;L-Methionine;C5H11NO2S;[M+Na-2H]-;-1;170.0257;-1;134.3
allccs;L-Phenylalanine;C9H11NO2;[M+Na-2H]-;-1;186.0537;-1;135.6
allccs;L-Proline;C5H9NO2;[M+Na-2H]-;-1;136.0380;-1;123.4
allccs;L-Serine;C3H7NO3;[M+Na-2H]-;-1;126.0173;-1;134.0
allccs;L-Threonine;C4H9NO3;[M+Na-2H]-;-1;140.0329;-1;126.1
allccs;L-Tryptophan;C11H12N2O2;[M+Na-2H]-;-1;225.0646;-1;145.3
allccs;L-Tyrosine;C9H11NO3;[M+Na-2H]-;-1;202.0486;-1;140.1
allccs;L-Valine;C5H11NO2;[M+Na-2H]-;-1;138.0537;-1;138.7
