,Molecule List Name,Precursor Name,Precursor Formula,Precursor Adduct,Precursor Charge,Product m/z,Product Charge,CCS
434,CCS Compendium-8,Phosphoserine,C3H8NO6P,[M+Na]+,1.0,207.9974,1.0,140.9
438,CCS Compendium-8,Taurine,C2H7NO3S,[M+H]+,1.0,126.0219,1.0,127.9
439,CCS Compendium-8,Taurine,C2H7NO3S,[M+H]+,1.0,126.0219,1.0,134.3
441,CCS Compendium-78,D-Xylitol,C5H12O5,[M+Na]+,1.0,175.0577,1.0,137.3
443,CCS Compendium-8,,C5H9NO4,[M+Na]+,1.0,170.0424,1.0,133.4
446,CCS Compendium-8,L-Gulonolactone,C6H10O6,[M+Na]+,1.0,201.0368,1.0,140.9
448,CCS Compendium-7,,C13H14N2O3,[M+H]+,1.0,247.1083,1.0,154.7
449,CCS Compendium-7,,C13H14N2O3,[M+Na]+,1.0,269.0902,1.0,161.7
451,CCS Compendium-8,Mannitol,C6H14O6,[M+Na]+,1.0,205.0679,1.0,141.2
452,CCS Compendium-1,,C6H13NO2,[M+H]+,1.0,132.1024,1.0,127.6
455,CCS Compendium-8,Cellobiose,C12H22O11,[M+K]+,1.0,381.0793,1.0,180.6
456,CCS Compendium-8,Cellobiose,C12H22O11,[M+Na]+,1.0,365.1045,1.0,178.4
458,CCS Compendium-8,Thymine,C5H6N2O2,[M+H]+,1.0,127.0502,1.0,122.1
460,CCS Compendium-6,L-Cystine,C6H12N2O4S2,[M+H]+,1.0,241.0311,1.0,149.8
