,Molecule List Name,Precursor Name,Precursor Formula,Precursor Adduct,Precursor Charge,Product m/z,Product Charge,CCS
0,DarkChem-31661259,5'-Phosphoribosyl-N-formylglycinamide,C8H15N2O9P,[M+H]+,1.0,315.0588,1.0,172.6
1,DarkChem-31661259,5'-Phosphoribosyl-N-formylglycinamide,C8H15N2O9P,[M-H]-,-1.0,313.0442,-1.0,166.4
2,AllCCS-32859911,5'-Phosphoribosyl-N-formylglycinamide,C8H15N2O9P,[M+H]+,1.0,315.0588,1.0,165.4
3,AllCCS-32859911,5'-Phosphoribosyl-N-formylglycinamide,C8H15N2O9P,[M-H]-,-1.0,313.0442,-1.0,162.8
4,DeepCCS-30932474,5'-Phosphoribosyl-N-formylglycinamide,C8H15N2O9P,[M+H]+,1.0,315.0588,1.0,162.2
5,DeepCCS-30932474,5'-Phosphoribosyl-N-formylglycinamide,C8H15N2O9P,[M-H]-,-1.0,313.0442,-1.0,159.8
6,DeepCCS-30932474,5'-Phosphoribosyl-N-formylglycinamide,C8H15N2O9P,[M-2H]2-,,156.5221,,193.1
7,DeepCCS-30932474,5'-Phosphoribosyl-N-formylglycinamide,C8H15N2O9P,[M+Na]+,1.0,337.0407,1.0,168.3
9,AllCCS-32859911,5'-Phosphoribosyl-N-formylglycinamide,C8H15N2O9P,[M+H-H2O]+,1.0,297.0482,1.0,162.4
10,AllCCS-32859911,5'-Phosphoribosyl-N-formylglycinamide,C8H15N2O9P,[M+NH4]+,1.0,332.0853,1.0,168.2
11,AllCCS-32859911,5'-Phosphoribosyl-N-formylglycinamide,C8H15N2O9P,[M+Na]+,1.0,337.0407,1.0,169.0
13,AllCCS-32859911,5'-Phosphoribosyl-N-formylglycinamide,C8H15N2O9P,[M+Na-2H]-,-1.0,335.0262,-1.0,162.7
14,AllCCS-32859911,5'-Phosphoribosyl-N-formylglycinamide,C8H15N2O9P,[M+HCOO]-,-1.0,359.0497,-1.0,162.8
15,DarkChem-31661259,Glutamine,C5H10N2O3,[M+H]+,1.0,147.0764,1.0,130.6
16,DarkChem-31661259,Glutamine,C5H10N2O3,[M-H]-,-1.0,145.0619,-1.0,125.0
17,AllCCS-32859911,Glutamine,C5H10N2O3,[M+H]+,1.0,147.0764,1.0,134.2
18,AllCCS-32859911,Glutamine,C5H10N2O3,[M-H]-,-1.0,145.0619,-1.0,127.5
19,DeepCCS-30932474,Glutamine,C5H10N2O3,[M+H]+,1.0,147.0764,1.0,128.9
20,DeepCCS-30932474,Glutamine,C5H10N2O3,[M-H]-,-1.0,145.0619,-1.0,125.1
21,DeepCCS-30932474,Glutamine,C5H10N2O3,[M-2H]2-,,72.5309,,162.6
22,DeepCCS-30932474,Glutamine,C5H10N2O3,[M+Na]+,1.0,169.0584,1.0,138.0
24,AllCCS-32859911,Glutamine,C5H10N2O3,[M+H-H2O]+,1.0,129.0659,1.0,130.2
25,AllCCS-32859911,Glutamine,C5H10N2O3,[M+NH4]+,1.0,164.103,1.0,137.9
26,AllCCS-32859911,Glutamine,C5H10N2O3,[M+Na]+,1.0,169.0584,1.0,139.0
28,AllCCS-32859911,Glutamine,C5H10N2O3,[M+Na-2H]-,-1.0,167.0438,-1.0,129.8
29,AllCCS-32859911,Glutamine,C5H10N2O3,[M+HCOO]-,-1.0,191.0673,-1.0,132.2
30,DarkChem-31661259,Urea,CH4N2O,[M+H]+,1.0,61.0396,1.0,108.1
31,DarkChem-31661259,Urea,CH4N2O,[M-H]-,-1.0,59.0251,-1.0,99.9
32,AllCCS-32859911,Urea,CH4N2O,[M+H]+,1.0,61.0396,1.0,108.7
33,AllCCS-32859911,Urea,CH4N2O,[M-H]-,-1.0,59.0251,-1.0,137.7
34,DeepCCS-30932474,Urea,CH4N2O,[M+H]+,1.0,61.0396,1.0,117.3
35,DeepCCS-30932474,Urea,CH4N2O,[M-H]-,-1.0,59.0251,-1.0,115.5
36,DeepCCS-30932474,Urea,CH4N2O,[M-2H]2-,,29.5125,,150.8
37,DeepCCS-30932474,Urea,CH4N2O,[M+Na]+,1.0,83.0216,1.0,124.4
39,AllCCS-32859911,Urea,CH4N2O,[M+H-H2O]+,1.0,43.0291,1.0,104.2
40,AllCCS-32859911,Urea,CH4N2O,[M+NH4]+,1.0,78.0662,1.0,112.9
41,AllCCS-32859911,Urea,CH4N2O,[M+Na]+,1.0,83.0216,1.0,114.1
43,AllCCS-32859911,Urea,CH4N2O,[M+Na-2H]-,-1.0,81.007,-1.0,144.6
