,index,HMDB,INCHIKEY,Name,Chemical Formula,m/z,Adduct Type,CCS Value (Å²),Reference,CCS Type,Data Source / Predictor
28,YMDB00002,HMDB00641,ZDXPYRJPNDTMRX-VKHMYHEASA-N,Glutamine,C5H10N2O3,167.043808196,[M+Na-2H]-,129.8,32859911.0,Predicted,AllCCS
29,YMDB00002,HMDB00641,ZDXPYRJPNDTMRX-VKHMYHEASA-N,Glutamine,C5H10N2O3,191.067343196,[M+HCOO]-,132.2,32859911.0,Predicted,AllCCS
30,YMDB00003,HMDB00294,XSQUKJJJFZCRTK-UHFFFAOYSA-N,Urea,CH4N2O,61.03963876,[M+H]+,108.1,31661259.0,Predicted,DarkChem
31,YMDB00003,HMDB00294,XSQUKJJJFZCRTK-UHFFFAOYSA-N,Urea,CH4N2O,59.02508676,[M-H]-,99.9,31661259.0,Predicted,DarkChem
32,YMDB00003,HMDB00294,XSQUKJJJFZCRTK-UHFFFAOYSA-N,Urea,CH4N2O,61.03963876,[M+H]+,108.7,32859911.0,Predicted,AllCCS
33,YMDB00003,HMDB00294,XSQUKJJJFZCRTK-UHFFFAOYSA-N,Urea,CH4N2O,59.02508676,[M-H]-,137.7,32859911.0,Predicted,AllCCS
34,YMDB00003,HMDB00294,XSQUKJJJFZCRTK-UHFFFAOYSA-N,Urea,CH4N2O,61.03963876,[M+H]+,117.3,30932474.0,Predicted,DeepCCS
35,YMDB00003,HMDB00294,XSQUKJJJFZCRTK-UHFFFAOYSA-N,Urea,CH4N2O,59.02508676,[M-H]-,115.5,30932474.0,Predicted,DeepCCS
36,YMDB00003,HMDB00294,XSQUKJJJFZCRTK-UHFFFAOYSA-N,Urea,CH4N2O,29.51254338,[M-2H]-,150.8,30932474.0,Predicted,DeepCCS
37,YMDB00003,HMDB00294,XSQUKJJJFZCRTK-UHFFFAOYSA-N,Urea,CH4N2O,83.02158076,[M+Na]+,124.4,30932474.0,Predicted,DeepCCS
39,YMDB00003,HMDB00294,XSQUKJJJFZCRTK-UHFFFAOYSA-N,Urea,CH4N2O,43.02907376,[M+H-H2O]+,104.2,32859911.0,Predicted,AllCCS
40,YMDB00003,HMDB00294,XSQUKJJJFZCRTK-UHFFFAOYSA-N,Urea,CH4N2O,78.06618576,[M+NH4]+,112.9,32859911.0,Predicted,AllCCS
41,YMDB00003,HMDB00294,XSQUKJJJFZCRTK-UHFFFAOYSA-N,Urea,CH4N2O,83.02158076,[M+Na]+,114.1,32859911.0,Predicted,AllCCS
43,YMDB00003,HMDB00294,XSQUKJJJFZCRTK-UHFFFAOYSA-N,Urea,CH4N2O,81.00702876,[M+Na-2H]-,144.6,32859911.0,Predicted,AllCCS
44,YMDB00003,HMDB00294,XSQUKJJJFZCRTK-UHFFFAOYSA-N,Urea,CH4N2O,105.03056376,[M+HCOO]-,152.2,32859911.0,Predicted,AllCCS
45,YMDB00004,HMDB00645,HXXFSFRBOHSIMQ-FPRJBGLDSA-N,Galactose 1-phosphate,C6H13O9P,261.036994526,[M+H]+,157.9,31661259.0,Predicted,DarkChem
46,YMDB00004,HMDB00645,HXXFSFRBOHSIMQ-FPRJBGLDSA-N,Galactose 1-phosphate,C6H13O9P,259.022442526,[M-H]-,151.1,31661259.0,Predicted,DarkChem
47,YMDB00004,HMDB00645,HXXFSFRBOHSIMQ-FPRJBGLDSA-N,Galactose 1-phosphate,C6H13O9P,261.036994526,[M+H]+,156.4,32859911.0,Predicted,AllCCS
48,YMDB00004,HMDB00645,HXXFSFRBOHSIMQ-FPRJBGLDSA-N,Galactose 1-phosphate,C6H13O9P,259.022442526,[M-H]-,146.2,32859911.0,Predicted,AllCCS
49,YMDB00004,HMDB00645,HXXFSFRBOHSIMQ-FPRJBGLDSA-N,Galactose 1-phosphate,C6H13O9P,261.036994526,[M+H]+,143.2,30932474.0,Predicted,DeepCCS
50,YMDB00004,HMDB00645,HXXFSFRBOHSIMQ-FPRJBGLDSA-N,Galactose 1-phosphate,C6H13O9P,259.022442526,[M-H]-,140.8,30932474.0,Predicted,DeepCCS
51,YMDB00004,HMDB00645,HXXFSFRBOHSIMQ-FPRJBGLDSA-N,Galactose 1-phosphate,C6H13O9P,129.511221263,[M-2H]-,175.6,30932474.0,Predicted,DeepCCS
52,YMDB00004,HMDB00645,HXXFSFRBOHSIMQ-FPRJBGLDSA-N,Galactose 1-phosphate,C6H13O9P,283.018936526,[M+Na]+,150.3,30932474.0,Predicted,DeepCCS
54,YMDB00004,HMDB00645,HXXFSFRBOHSIMQ-FPRJBGLDSA-N,Galactose 1-phosphate,C6H13O9P,243.026429526,[M+H-H2O]+,152.8,32859911.0,Predicted,AllCCS
55,YMDB00004,HMDB00645,HXXFSFRBOHSIMQ-FPRJBGLDSA-N,Galactose 1-phosphate,C6H13O9P,278.063541526,[M+NH4]+,159.7,32859911.0,Predicted,AllCCS
56,YMDB00004,HMDB00645,HXXFSFRBOHSIMQ-FPRJBGLDSA-N,Galactose 1-phosphate,C6H13O9P,283.018936526,[M+Na]+,160.6,32859911.0,Predicted,AllCCS
58,YMDB00004,HMDB00645,HXXFSFRBOHSIMQ-FPRJBGLDSA-N,Galactose 1-phosphate,C6H13O9P,281.004384526,[M+Na-2H]-,146.5,32859911.0,Predicted,AllCCS
59,YMDB00004,HMDB00645,HXXFSFRBOHSIMQ-FPRJBGLDSA-N,Galactose 1-phosphate,C6H13O9P,305.027919526,[M+HCOO]-,146.9,32859911.0,Predicted,AllCCS
61,YMDB00006,HMDB04527,MRVYFOANPDTYBY-YORTWTKJSA-N,"D-myo-Inositol 1,4,5,6-tetrakisphosphate",C6H16O18P4,500.935985756,[M+H]+,205.4,31661259.0,Predicted,DarkChem
62,YMDB00006,HMDB04527,MRVYFOANPDTYBY-YORTWTKJSA-N,"D-myo-Inositol 1,4,5,6-tetrakisphosphate",C6H16O18P4,498.921433756,[M-H]-,195.8,31661259.0,Predicted,DarkChem
63,YMDB00006,HMDB04527,MRVYFOANPDTYBY-YORTWTKJSA-N,"D-myo-Inositol 1,4,5,6-tetrakisphosphate",C6H16O18P4,500.935985756,[M+H]+,174.1,30932474.0,Predicted,DeepCCS
64,YMDB00006,HMDB04527,MRVYFOANPDTYBY-YORTWTKJSA-N,"D-myo-Inositol 1,4,5,6-tetrakisphosphate",C6H16O18P4,498.921433756,[M-H]-,172.3,30932474.0,Predicted,DeepCCS
65,YMDB00006,HMDB04527,MRVYFOANPDTYBY-YORTWTKJSA-N,"D-myo-Inositol 1,4,5,6-tetrakisphosphate",C6H16O18P4,249.460716878,[M-2H]-,205.5,30932474.0,Predicted,DeepCCS
66,YMDB00006,HMDB04527,MRVYFOANPDTYBY-YORTWTKJSA-N,"D-myo-Inositol 1,4,5,6-tetrakisphosphate",C6H16O18P4,522.917927756,[M+Na]+,179.9,30932474.0,Predicted,DeepCCS
67,YMDB00006,HMDB04527,MRVYFOANPDTYBY-YORTWTKJSA-N,"D-myo-Inositol 1,4,5,6-tetrakisphosphate",C6H16O18P4,500.935985756,[M+H]+,194.7,32859911.0,Predicted,AllCCS
68,YMDB00006,HMDB04527,MRVYFOANPDTYBY-YORTWTKJSA-N,"D-myo-Inositol 1,4,5,6-tetrakisphosphate",C6H16O18P4,482.925420756,[M+H-H2O]+,192.8,32859911.0,Predicted,AllCCS
69,YMDB00006,HMDB04527,MRVYFOANPDTYBY-YORTWTKJSA-N,"D-myo-Inositol 1,4,5,6-tetrakisphosphate",C6H16O18P4,517.962532756,[M+NH4]+,196.4,32859911.0,Predicted,AllCCS
70,YMDB00006,HMDB04527,MRVYFOANPDTYBY-YORTWTKJSA-N,"D-myo-Inositol 1,4,5,6-tetrakisphosphate",C6H16O18P4,522.917927756,[M+Na]+,196.9,32859911.0,Predicted,AllCCS
71,YMDB00006,HMDB04527,MRVYFOANPDTYBY-YORTWTKJSA-N,"D-myo-Inositol 1,4,5,6-tetrakisphosphate",C6H16O18P4,498.921433756,[M-H]-,178.6,32859911.0,Predicted,AllCCS
72,YMDB00006,HMDB04527,MRVYFOANPDTYBY-YORTWTKJSA-N,"D-myo-Inositol 1,4,5,6-tetrakisphosphate",C6H16O18P4,520.903375756,[M+Na-2H]-,178.8,32859911.0,Predicted,AllCCS
73,YMDB00006,HMDB04527,MRVYFOANPDTYBY-YORTWTKJSA-N,"D-myo-Inositol 1,4,5,6-tetrakisphosphate",C6H16O18P4,544.926910756,[M+HCOO]-,179.2,32859911.0,Predicted,AllCCS
74,YMDB00007,HMDB00232,GJAWHXHKYYXBSV-UHFFFAOYSA-N,Quinolinic acid,C7H5NO4,168.029133653,[M+H]+,136.0,31661259.0,Predicted,DarkChem
75,YMDB00007,HMDB00232,GJAWHXHKYYXBSV-UHFFFAOYSA-N,Quinolinic acid,C7H5NO4,166.01458165300002,[M-H]-,129.6,31661259.0,Predicted,DarkChem
76,YMDB00007,HMDB00232,GJAWHXHKYYXBSV-UHFFFAOYSA-N,Quinolinic acid,C7H5NO4,168.029133653,[M+H]+,134.8,32859911.0,Predicted,AllCCS
77,YMDB00007,HMDB00232,GJAWHXHKYYXBSV-UHFFFAOYSA-N,Quinolinic acid,C7H5NO4,166.01458165300002,[M-H]-,127.8,32859911.0,Predicted,AllCCS
78,YMDB00007,HMDB00232,GJAWHXHKYYXBSV-UHFFFAOYSA-N,Quinolinic acid,C7H5NO4,168.029133653,[M+H]+,132.1,30932474.0,Predicted,DeepCCS
79,YMDB00007,HMDB00232,GJAWHXHKYYXBSV-UHFFFAOYSA-N,Quinolinic acid,C7H5NO4,166.01458165300002,[M-H]-,128.2,30932474.0,Predicted,DeepCCS
80,YMDB00007,HMDB00232,GJAWHXHKYYXBSV-UHFFFAOYSA-N,Quinolinic acid,C7H5NO4,83.00729082650001,[M-2H]-,165.5,30932474.0,Predicted,DeepCCS
81,YMDB00007,HMDB00232,GJAWHXHKYYXBSV-UHFFFAOYSA-N,Quinolinic acid,C7H5NO4,190.011075653,[M+Na]+,141.0,30932474.0,Predicted,DeepCCS
83,YMDB00007,HMDB00232,GJAWHXHKYYXBSV-UHFFFAOYSA-N,Quinolinic acid,C7H5NO4,150.01856865300002,[M+H-H2O]+,130.4,32859911.0,Predicted,AllCCS
84,YMDB00007,HMDB00232,GJAWHXHKYYXBSV-UHFFFAOYSA-N,Quinolinic acid,C7H5NO4,185.055680653,[M+NH4]+,139.0,32859911.0,Predicted,AllCCS
85,YMDB00007,HMDB00232,GJAWHXHKYYXBSV-UHFFFAOYSA-N,Quinolinic acid,C7H5NO4,190.011075653,[M+Na]+,140.2,32859911.0,Predicted,AllCCS
87,YMDB00007,HMDB00232,GJAWHXHKYYXBSV-UHFFFAOYSA-N,Quinolinic acid,C7H5NO4,187.996523653,[M+Na-2H]-,128.7,32859911.0,Predicted,AllCCS
88,YMDB00007,HMDB00232,GJAWHXHKYYXBSV-UHFFFAOYSA-N,Quinolinic acid,C7H5NO4,212.020058653,[M+HCOO]-,129.8,32859911.0,Predicted,AllCCS
89,YMDB00008,HMDB00975,HDTRYLNUVZCQOY-LIZSDCNHSA-N,Trehalose,C12H22O11,343.123487546,[M+H]+,174.6,31661259.0,Predicted,DarkChem
90,YMDB00008,HMDB00975,HDTRYLNUVZCQOY-LIZSDCNHSA-N,Trehalose,C12H22O11,341.108935546,[M-H]-,174.2,31661259.0,Predicted,DarkChem
91,YMDB00008,HMDB00975,HDTRYLNUVZCQOY-LIZSDCNHSA-N,Trehalose,C12H22O11,343.123487546,[M+H]+,176.3,32859911.0,Predicted,AllCCS
92,YMDB00008,HMDB00975,HDTRYLNUVZCQOY-LIZSDCNHSA-N,Trehalose,C12H22O11,341.108935546,[M-H]-,174.4,32859911.0,Predicted,AllCCS
93,YMDB00008,HMDB00975,HDTRYLNUVZCQOY-LIZSDCNHSA-N,Trehalose,C12H22O11,343.123487546,[M+H]+,171.3,30932474.0,Predicted,DeepCCS
94,YMDB00008,HMDB00975,HDTRYLNUVZCQOY-LIZSDCNHSA-N,Trehalose,C12H22O11,341.108935546,[M-H]-,169.2,30932474.0,Predicted,DeepCCS
95,YMDB00008,HMDB00975,HDTRYLNUVZCQOY-LIZSDCNHSA-N,Trehalose,C12H22O11,170.554467773,[M-2H]-,202.8,30932474.0,Predicted,DeepCCS
96,YMDB00008,HMDB00975,HDTRYLNUVZCQOY-LIZSDCNHSA-N,Trehalose,C12H22O11,365.105429546,[M+Na]+,177.1,30932474.0,Predicted,DeepCCS
98,YMDB00008,HMDB00975,HDTRYLNUVZCQOY-LIZSDCNHSA-N,Trehalose,C12H22O11,325.112922546,[M+H-H2O]+,173.5,32859911.0,Predicted,AllCCS
99,YMDB00008,HMDB00975,HDTRYLNUVZCQOY-LIZSDCNHSA-N,Trehalose,C12H22O11,360.150034546,[M+NH4]+,178.9,32859911.0,Predicted,AllCCS
100,YMDB00008,HMDB00975,HDTRYLNUVZCQOY-LIZSDCNHSA-N,Trehalose,C12H22O11,365.105429546,[M+Na]+,179.6,32859911.0,Predicted,AllCCS
102,YMDB00008,HMDB00975,HDTRYLNUVZCQOY-LIZSDCNHSA-N,Trehalose,C12H22O11,363.090877546,[M+Na-2H]-,173.9,32859911.0,Predicted,AllCCS
103,YMDB00008,HMDB00975,HDTRYLNUVZCQOY-LIZSDCNHSA-N,Trehalose,C12H22O11,387.114412546,[M+HCOO]-,173.6,32859911.0,Predicted,AllCCS
104,YMDB00009,HMDB00149,HZAXFHJVJLSVMW-UHFFFAOYSA-N,Ethanolamine,C2H7NO,62.060039851,[M+H]+,108.8,31661259.0,Predicted,DarkChem
105,YMDB00009,HMDB00149,HZAXFHJVJLSVMW-UHFFFAOYSA-N,Ethanolamine,C2H7NO,60.045487851,[M-H]-,103.6,31661259.0,Predicted,DarkChem
106,YMDB00009,HMDB00149,HZAXFHJVJLSVMW-UHFFFAOYSA-N,Ethanolamine,C2H7NO,62.060039851,[M+H]+,121.2,32859911.0,Predicted,AllCCS
107,YMDB00009,HMDB00149,HZAXFHJVJLSVMW-UHFFFAOYSA-N,Ethanolamine,C2H7NO,60.045487851,[M-H]-,140.8,32859911.0,Predicted,AllCCS
108,YMDB00009,HMDB00149,HZAXFHJVJLSVMW-UHFFFAOYSA-N,Ethanolamine,C2H7NO,62.060039851,[M+H]+,118.3,30932474.0,Predicted,DeepCCS
109,YMDB00009,HMDB00149,HZAXFHJVJLSVMW-UHFFFAOYSA-N,Ethanolamine,C2H7NO,60.045487851,[M-H]-,116.4,30932474.0,Predicted,DeepCCS
110,YMDB00009,HMDB00149,HZAXFHJVJLSVMW-UHFFFAOYSA-N,Ethanolamine,C2H7NO,30.0227439255,[M-2H]-,151.8,30932474.0,Predicted,DeepCCS
111,YMDB00009,HMDB00149,HZAXFHJVJLSVMW-UHFFFAOYSA-N,Ethanolamine,C2H7NO,84.041981851,[M+Na]+,126.2,30932474.0,Predicted,DeepCCS
113,YMDB00009,HMDB00149,HZAXFHJVJLSVMW-UHFFFAOYSA-N,Ethanolamine,C2H7NO,44.049474851,[M+H-H2O]+,116.7,32859911.0,Predicted,AllCCS
114,YMDB00009,HMDB00149,HZAXFHJVJLSVMW-UHFFFAOYSA-N,Ethanolamine,C2H7NO,79.086586851,[M+NH4]+,125.5,32859911.0,Predicted,AllCCS
115,YMDB00009,HMDB00149,HZAXFHJVJLSVMW-UHFFFAOYSA-N,Ethanolamine,C2H7NO,84.041981851,[M+Na]+,126.7,32859911.0,Predicted,AllCCS
117,YMDB00009,HMDB00149,HZAXFHJVJLSVMW-UHFFFAOYSA-N,Ethanolamine,C2H7NO,82.027429851,[M+Na-2H]-,147.6,32859911.0,Predicted,AllCCS
118,YMDB00009,HMDB00149,HZAXFHJVJLSVMW-UHFFFAOYSA-N,Ethanolamine,C2H7NO,106.050964851,[M+HCOO]-,155.0,32859911.0,Predicted,AllCCS
119,YMDB00010,HMDB00978,CAOVWYZQMPNAFJ-UHFFFAOYSA-N,"4-(2-Aminophenyl)-2,4-dioxobutanoic acid",C10H9NO4,208.060433781,[M+H]+,146.8,31661259.0,Predicted,DarkChem
120,YMDB00010,HMDB00978,CAOVWYZQMPNAFJ-UHFFFAOYSA-N,"4-(2-Aminophenyl)-2,4-dioxobutanoic acid",C10H9NO4,206.045881781,[M-H]-,144.5,31661259.0,Predicted,DarkChem
121,YMDB00010,HMDB00978,CAOVWYZQMPNAFJ-UHFFFAOYSA-N,"4-(2-Aminophenyl)-2,4-dioxobutanoic acid",C10H9NO4,208.060433781,[M+H]+,144.9,32859911.0,Predicted,AllCCS
122,YMDB00010,HMDB00978,CAOVWYZQMPNAFJ-UHFFFAOYSA-N,"4-(2-Aminophenyl)-2,4-dioxobutanoic acid",C10H9NO4,206.045881781,[M-H]-,142.8,32859911.0,Predicted,AllCCS
123,YMDB00010,HMDB00978,CAOVWYZQMPNAFJ-UHFFFAOYSA-N,"4-(2-Aminophenyl)-2,4-dioxobutanoic acid",C10H9NO4,208.060433781,[M+H]+,144.6,30932474.0,Predicted,DeepCCS
124,YMDB00010,HMDB00978,CAOVWYZQMPNAFJ-UHFFFAOYSA-N,"4-(2-Aminophenyl)-2,4-dioxobutanoic acid",C10H9NO4,206.045881781,[M-H]-,142.3,30932474.0,Predicted,DeepCCS
125,YMDB00010,HMDB00978,CAOVWYZQMPNAFJ-UHFFFAOYSA-N,"4-(2-Aminophenyl)-2,4-dioxobutanoic acid",C10H9NO4,103.0229408905,[M-2H]-,177.2,30932474.0,Predicted,DeepCCS
126,YMDB00010,HMDB00978,CAOVWYZQMPNAFJ-UHFFFAOYSA-N,"4-(2-Aminophenyl)-2,4-dioxobutanoic acid",C10H9NO4,230.042375781,[M+Na]+,152.6,30932474.0,Predicted,DeepCCS
128,YMDB00010,HMDB00978,CAOVWYZQMPNAFJ-UHFFFAOYSA-N,"4-(2-Aminophenyl)-2,4-dioxobutanoic acid",C10H9NO4,190.049868781,[M+H-H2O]+,140.8,32859911.0,Predicted,AllCCS
129,YMDB00010,HMDB00978,CAOVWYZQMPNAFJ-UHFFFAOYSA-N,"4-(2-Aminophenyl)-2,4-dioxobutanoic acid",C10H9NO4,225.086980781,[M+NH4]+,148.6,32859911.0,Predicted,AllCCS
130,YMDB00010,HMDB00978,CAOVWYZQMPNAFJ-UHFFFAOYSA-N,"4-(2-Aminophenyl)-2,4-dioxobutanoic acid",C10H9NO4,230.042375781,[M+Na]+,149.7,32859911.0,Predicted,AllCCS
132,YMDB00010,HMDB00978,CAOVWYZQMPNAFJ-UHFFFAOYSA-N,"4-(2-Aminophenyl)-2,4-dioxobutanoic acid",C10H9NO4,228.027823781,[M+Na-2H]-,143.1,32859911.0,Predicted,AllCCS
133,YMDB00010,HMDB00978,CAOVWYZQMPNAFJ-UHFFFAOYSA-N,"4-(2-Aminophenyl)-2,4-dioxobutanoic acid",C10H9NO4,252.051358781,[M+HCOO]-,143.6,32859911.0,Predicted,AllCCS
134,YMDB00011,HMDB01047,YXWOAJXNVLXPMU-ZXXMMSQZSA-N,"D-Fructose 2,6-bisphosphate",C6H14O12P2,341.003324936,[M+H]+,172.9,31661259.0,Predicted,DarkChem
135,YMDB00011,HMDB01047,YXWOAJXNVLXPMU-ZXXMMSQZSA-N,"D-Fructose 2,6-bisphosphate",C6H14O12P2,338.98877293600003,[M-H]-,165.7,31661259.0,Predicted,DarkChem
136,YMDB00011,HMDB01047,YXWOAJXNVLXPMU-ZXXMMSQZSA-N,"D-Fructose 2,6-bisphosphate",C6H14O12P2,341.003324936,[M+H]+,170.0,32859911.0,Predicted,AllCCS
137,YMDB00011,HMDB01047,YXWOAJXNVLXPMU-ZXXMMSQZSA-N,"D-Fructose 2,6-bisphosphate",C6H14O12P2,338.98877293600003,[M-H]-,159.7,32859911.0,Predicted,AllCCS
138,YMDB00011,HMDB01047,YXWOAJXNVLXPMU-ZXXMMSQZSA-N,"D-Fructose 2,6-bisphosphate",C6H14O12P2,341.003324936,[M+H]+,148.5,30932474.0,Predicted,DeepCCS
139,YMDB00011,HMDB01047,YXWOAJXNVLXPMU-ZXXMMSQZSA-N,"D-Fructose 2,6-bisphosphate",C6H14O12P2,338.98877293600003,[M-H]-,146.2,30932474.0,Predicted,DeepCCS
140,YMDB00011,HMDB01047,YXWOAJXNVLXPMU-ZXXMMSQZSA-N,"D-Fructose 2,6-bisphosphate",C6H14O12P2,169.49438646800002,[M-2H]-,180.9,30932474.0,Predicted,DeepCCS
141,YMDB00011,HMDB01047,YXWOAJXNVLXPMU-ZXXMMSQZSA-N,"D-Fructose 2,6-bisphosphate",C6H14O12P2,362.985266936,[M+Na]+,155.1,30932474.0,Predicted,DeepCCS
143,YMDB00011,HMDB01047,YXWOAJXNVLXPMU-ZXXMMSQZSA-N,"D-Fructose 2,6-bisphosphate",C6H14O12P2,322.992759936,[M+H-H2O]+,167.0,32859911.0,Predicted,AllCCS
144,YMDB00011,HMDB01047,YXWOAJXNVLXPMU-ZXXMMSQZSA-N,"D-Fructose 2,6-bisphosphate",C6H14O12P2,358.029871936,[M+NH4]+,172.8,32859911.0,Predicted,AllCCS
145,YMDB00011,HMDB01047,YXWOAJXNVLXPMU-ZXXMMSQZSA-N,"D-Fructose 2,6-bisphosphate",C6H14O12P2,362.985266936,[M+Na]+,173.6,32859911.0,Predicted,AllCCS
147,YMDB00011,HMDB01047,YXWOAJXNVLXPMU-ZXXMMSQZSA-N,"D-Fructose 2,6-bisphosphate",C6H14O12P2,360.970714936,[M+Na-2H]-,159.7,32859911.0,Predicted,AllCCS
148,YMDB00011,HMDB01047,YXWOAJXNVLXPMU-ZXXMMSQZSA-N,"D-Fructose 2,6-bisphosphate",C6H14O12P2,384.994249936,[M+HCOO]-,159.9,32859911.0,Predicted,AllCCS
150,YMDB00013,HMDB06229,UPHPWXPNZIOZJL-KXXVROSKSA-N,5-Diphosphoinositol pentakisphosphate,C6H19O27P7,740.834976986,[M+H]+,199.0,30932474.0,Predicted,DeepCCS
151,YMDB00013,HMDB06229,UPHPWXPNZIOZJL-KXXVROSKSA-N,5-Diphosphoinositol pentakisphosphate,C6H19O27P7,738.8204249859999,[M-H]-,196.2,30932474.0,Predicted,DeepCCS
152,YMDB00013,HMDB06229,UPHPWXPNZIOZJL-KXXVROSKSA-N,5-Diphosphoinositol pentakisphosphate,C6H19O27P7,369.410212493,[M-2H]-,231.6,30932474.0,Predicted,DeepCCS
153,YMDB00013,HMDB06229,UPHPWXPNZIOZJL-KXXVROSKSA-N,5-Diphosphoinositol pentakisphosphate,C6H19O27P7,762.816918986,[M+Na]+,206.4,30932474.0,Predicted,DeepCCS
154,YMDB00013,HMDB06229,UPHPWXPNZIOZJL-KXXVROSKSA-N,5-Diphosphoinositol pentakisphosphate,C6H19O27P7,740.834976986,[M+H]+,222.8,32859911.0,Predicted,AllCCS
155,YMDB00013,HMDB06229,UPHPWXPNZIOZJL-KXXVROSKSA-N,5-Diphosphoinositol pentakisphosphate,C6H19O27P7,722.824411986,[M+H-H2O]+,222.2,32859911.0,Predicted,AllCCS
156,YMDB00013,HMDB06229,UPHPWXPNZIOZJL-KXXVROSKSA-N,5-Diphosphoinositol pentakisphosphate,C6H19O27P7,757.861523986,[M+NH4]+,223.2,32859911.0,Predicted,AllCCS
157,YMDB00013,HMDB06229,UPHPWXPNZIOZJL-KXXVROSKSA-N,5-Diphosphoinositol pentakisphosphate,C6H19O27P7,762.816918986,[M+Na]+,223.3,32859911.0,Predicted,AllCCS
158,YMDB00013,HMDB06229,UPHPWXPNZIOZJL-KXXVROSKSA-N,5-Diphosphoinositol pentakisphosphate,C6H19O27P7,738.8204249859999,[M-H]-,214.4,32859911.0,Predicted,AllCCS
159,YMDB00013,HMDB06229,UPHPWXPNZIOZJL-KXXVROSKSA-N,5-Diphosphoinositol pentakisphosphate,C6H19O27P7,760.8023669859999,[M+Na-2H]-,215.9,32859911.0,Predicted,AllCCS
160,YMDB00013,HMDB06229,UPHPWXPNZIOZJL-KXXVROSKSA-N,5-Diphosphoinositol pentakisphosphate,C6H19O27P7,784.825901986,[M+HCOO]-,217.6,32859911.0,Predicted,AllCCS
161,YMDB00014,HMDB0302833,CUOKHACJLGPRHD-JJYYJPOSSA-N,"D-Arabinono-1,4-lactone",C5H8O5,149.04444936599998,[M+H]+,133.3,32859911.0,Predicted,AllCCS
162,YMDB00014,HMDB0302833,CUOKHACJLGPRHD-JJYYJPOSSA-N,"D-Arabinono-1,4-lactone",C5H8O5,131.033884366,[M+H-H2O]+,128.8,32859911.0,Predicted,AllCCS
163,YMDB00014,HMDB0302833,CUOKHACJLGPRHD-JJYYJPOSSA-N,"D-Arabinono-1,4-lactone",C5H8O5,171.02639136599998,[M+Na]+,138.7,32859911.0,Predicted,AllCCS
164,YMDB00014,HMDB0302833,CUOKHACJLGPRHD-JJYYJPOSSA-N,"D-Arabinono-1,4-lactone",C5H8O5,166.070996366,[M+NH4]+,137.5,32859911.0,Predicted,AllCCS
165,YMDB00014,HMDB0302833,CUOKHACJLGPRHD-JJYYJPOSSA-N,"D-Arabinono-1,4-lactone",C5H8O5,147.029897366,[M-H]-,123.9,32859911.0,Predicted,AllCCS
166,YMDB00014,HMDB0302833,CUOKHACJLGPRHD-JJYYJPOSSA-N,"D-Arabinono-1,4-lactone",C5H8O5,169.011839366,[M+Na-2H]-,125.6,32859911.0,Predicted,AllCCS
167,YMDB00014,HMDB0302833,CUOKHACJLGPRHD-JJYYJPOSSA-N,"D-Arabinono-1,4-lactone",C5H8O5,193.035374366,[M+HCOO]-,127.4,32859911.0,Predicted,AllCCS
168,YMDB00014,HMDB0302833,CUOKHACJLGPRHD-JJYYJPOSSA-N,"D-Arabinono-1,4-lactone",C5H8O5,149.04444936599998,[M+H]+,131.8,30932474.0,Predicted,DeepCCS
169,YMDB00014,HMDB0302833,CUOKHACJLGPRHD-JJYYJPOSSA-N,"D-Arabinono-1,4-lactone",C5H8O5,147.029897366,[M-H]-,129.5,30932474.0,Predicted,DeepCCS
170,YMDB00014,HMDB0302833,CUOKHACJLGPRHD-JJYYJPOSSA-N,"D-Arabinono-1,4-lactone",C5H8O5,73.514948683,[M-2H]-,164.2,30932474.0,Predicted,DeepCCS
171,YMDB00014,HMDB0302833,CUOKHACJLGPRHD-JJYYJPOSSA-N,"D-Arabinono-1,4-lactone",C5H8O5,171.02639136599998,[M+Na]+,138.6,30932474.0,Predicted,DeepCCS
172,YMDB00015,HMDB06928,HLAWVOWADPNAGN-BAHZUFOISA-N,"delta8,14-Sterol",C29H46O,411.362142094,[M+H]+,200.5,31661259.0,Predicted,DarkChem
173,YMDB00015,HMDB06928,HLAWVOWADPNAGN-BAHZUFOISA-N,"delta8,14-Sterol",C29H46O,409.347590094,[M-H]-,201.8,31661259.0,Predicted,DarkChem
174,YMDB00015,HMDB06928,HLAWVOWADPNAGN-BAHZUFOISA-N,"delta8,14-Sterol",C29H46O,204.673795047,[M-2H]-,243.2,30932474.0,Predicted,DeepCCS
175,YMDB00015,HMDB06928,HLAWVOWADPNAGN-BAHZUFOISA-N,"delta8,14-Sterol",C29H46O,433.344084094,[M+Na]+,217.5,30932474.0,Predicted,DeepCCS
176,YMDB00015,HMDB06928,HLAWVOWADPNAGN-BAHZUFOISA-N,"delta8,14-Sterol",C29H46O,411.362142094,[M+H]+,208.4,32859911.0,Predicted,AllCCS
177,YMDB00015,HMDB06928,HLAWVOWADPNAGN-BAHZUFOISA-N,"delta8,14-Sterol",C29H46O,393.351577094,[M+H-H2O]+,206.3,32859911.0,Predicted,AllCCS
178,YMDB00015,HMDB06928,HLAWVOWADPNAGN-BAHZUFOISA-N,"delta8,14-Sterol",C29H46O,428.388689094,[M+NH4]+,210.3,32859911.0,Predicted,AllCCS
