,index,HMDB,INCHIKEY,Name,Chemical Formula,m/z,Adduct Type,CCS Value (Å²),Reference,CCS Type,Data Source / Predictor
33,YMDB00049,HMDB00288,DJJCXFVJDGTHFX-XVFCMESISA-N,Uridine-5'-monophosphate,C9H13N2O9P,325.0437,[M+H]+,167.0,"7, 8",Experimental,CCS Compendium
34,YMDB00049,HMDB00288,DJJCXFVJDGTHFX-XVFCMESISA-N,Uridine-5'-monophosphate,C9H13N2O9P,347.0256,[M+Na]+,172.8,"7, 8",Experimental,CCS Compendium
35,YMDB00051,HMDB00089,UHDGCWIWMRVCDJ-XVFCMESISA-N,Cytidine,C9H13N3O5,242.0804,[M-H]-,150.0,8,Experimental,CCS Compendium
36,YMDB00051,HMDB00089,UHDGCWIWMRVCDJ-XVFCMESISA-N,Cytidine,C9H13N3O5,244.0927,[M+H]+,151.6,8,Experimental,CCS Compendium
37,YMDB00051,HMDB00089,UHDGCWIWMRVCDJ-XVFCMESISA-N,Cytidine,C9H13N3O5,266.0743,[M+Na]+,159.5,8,Experimental,CCS Compendium
38,YMDB00055,HMDB00241,KSFOVUSSGSKXFI-UJJXFSCMSA-N,Protoporphyrin,C34H34N4O4,563.2629,[M+H]+,241.7,8,Experimental,CCS Compendium
39,YMDB00058,HMDB00050,OIRDTQYFTABQOQ-KQYNXXCUSA-N,Adenosine,C10H13N5O4,266.0897,[M-H]-,157.7,8,Experimental,CCS Compendium
40,YMDB00058,HMDB00050,OIRDTQYFTABQOQ-KQYNXXCUSA-N,Adenosine,C10H13N5O4,268.1041,[M+H]+,161.6,8,Experimental,CCS Compendium
41,YMDB00058,HMDB00050,OIRDTQYFTABQOQ-KQYNXXCUSA-N,Adenosine,C10H13N5O4,290.0875,[M+Na]+,165.6,8,Experimental,CCS Compendium
42,YMDB00058,HMDB00050,OIRDTQYFTABQOQ-KQYNXXCUSA-N,Adenosine,C10H13N5O4,268.1046,[M+H]+,155.5,"7, 8",Experimental,CCS Compendium
43,YMDB00060,HMDB00904,RHGKLRLOHDJJDR-BYPYZUCNSA-N,Citrulline,C6H13N3O3,174.0898,[M-H]-,135.5,8,Experimental,CCS Compendium
44,YMDB00060,HMDB00904,RHGKLRLOHDJJDR-BYPYZUCNSA-N,Citrulline,C6H13N3O3,176.1028,[M+H]+,137.7,8,Experimental,CCS Compendium
45,YMDB00060,HMDB00904,RHGKLRLOHDJJDR-BYPYZUCNSA-N,Citrulline,C6H13N3O3,198.0844,[M+Na]+,139.2,8,Experimental,CCS Compendium
46,YMDB00064,HMDB01546,ZWIADYZPOWUWEW-XVFCMESISA-N,Cytidine Diphosphate,C9H15N3O11P2,423.9928,[M+Na-2H]-,176.3,8,Experimental,CCS Compendium
47,YMDB00064,HMDB01546,ZWIADYZPOWUWEW-XVFCMESISA-N,Cytidine Diphosphate,C9H15N3O11P2,402.0119,[M-H]-,174.2,8,Experimental,CCS Compendium
48,YMDB00064,HMDB01546,ZWIADYZPOWUWEW-XVFCMESISA-N,Cytidine Diphosphate,C9H15N3O11P2,404.0233,[M+H]+,175.6,8,Experimental,CCS Compendium
49,YMDB00064,HMDB01546,ZWIADYZPOWUWEW-XVFCMESISA-N,Cytidine Diphosphate,C9H15N3O11P2,426.0052,[M+Na]+,179.9,8,Experimental,CCS Compendium
50,YMDB00066,HMDB01138,RFMMMVDNIPUKGG-YFKPBYRVSA-N,N-Acetylglutamate,C7H11NO5,210.0387,[M+Na-2H]-,143.5,8,Experimental,CCS Compendium
51,YMDB00066,HMDB01138,RFMMMVDNIPUKGG-YFKPBYRVSA-N,N-Acetylglutamate,C7H11NO5,188.0563,[M-H]-,137.0,8,Experimental,CCS Compendium
52,YMDB00066,HMDB01138,RFMMMVDNIPUKGG-YFKPBYRVSA-N,N-Acetylglutamate,C7H11NO5,212.054,[M+Na]+,142.5,8,Experimental,CCS Compendium
53,YMDB00069,HMDB00220,IPCSVZSSVZVIGE-UHFFFAOYSA-N,Palmitic Acid,C16H32O2,255.233,[M-H]-,169.0,6,Experimental,CCS Compendium
54,YMDB00069,HMDB00220,IPCSVZSSVZVIGE-UHFFFAOYSA-N,Palmitate,C16H32O2,255.2331,[M-H]-,168.7,"7, 8",Experimental,CCS Compendium
55,YMDB00069,HMDB00220,IPCSVZSSVZVIGE-UHFFFAOYSA-N,Palmitate,C16H32O2,279.2309,[M+Na]+,177.8,"7, 8",Experimental,CCS Compendium
56,YMDB00072,HMDB00143,WQZGKKKJIJFFOK-PHYPRBDBSA-N,Galactose,C6H12O6,203.0528,[M+Na]+,142.0,8,Experimental,CCS Compendium
57,YMDB00078,HMDB00124,GSXOAOHZAIYLCY-HSUXUTPPSA-N,D-Fructose-6-phosphate,C6H13O9P,281.0038,[M+Na-2H]-,154.8,8,Experimental,CCS Compendium
58,YMDB00078,HMDB00124,GSXOAOHZAIYLCY-HSUXUTPPSA-N,D-Fructose-6-phosphate,C6H13O9P,259.0219,[M-H]-,146.1,"7, 8",Experimental,CCS Compendium
59,YMDB00078,HMDB00124,GSXOAOHZAIYLCY-HSUXUTPPSA-N,D-Fructose-6-phosphate,C6H13O9P,283.0195,[M+Na]+,155.2,"7, 8",Experimental,CCS Compendium
60,YMDB00083,HMDB01149,ZGXJTSGNIOSYLO-UHFFFAOYSA-N,5-Aminolevulinate,C5H9NO3,132.0652,[M+H]+,130.7,8,Experimental,CCS Compendium
61,YMDB00085,HMDB01520,FVTCRASFADXXNN-SCRDCRAPSA-N,Riboflavin-5'-monophosphate,C17H21N4O9P,455.0968,[M-H]-,200.1,7,Experimental,CCS Compendium
62,YMDB00085,HMDB01520,FVTCRASFADXXNN-SCRDCRAPSA-N,Riboflavin-5'-monophosphate,C17H21N4O9P,457.1124,[M+H]+,200.2,7,Experimental,CCS Compendium
63,YMDB00085,HMDB01520,FVTCRASFADXXNN-SCRDCRAPSA-N,Riboflavin-5'-monophosphate,C17H21N4O9P,479.0944,[M+Na]+,209.3,7,Experimental,CCS Compendium
64,YMDB00086,HMDB00094,KRKNYBCHXYNGOX-UHFFFAOYSA-N,Citrate,C6H8O7,215.0161,[M+Na]+,143.0,8,Experimental,CCS Compendium
65,YMDB00086,HMDB00094,KRKNYBCHXYNGOX-UHFFFAOYSA-N,Citrate,C6H8O7,191.0213,[M-H]-,128.1,"7, 8",Experimental,CCS Compendium
66,YMDB00090,HMDB01413,RZZPDXZPRHQOCG-OJAKKHQRSA-N,Citicoline,C14H26N4O11P2,509.0831,[M+Na-2H]-,210.4,8,Experimental,CCS Compendium
67,YMDB00090,HMDB01413,RZZPDXZPRHQOCG-OJAKKHQRSA-N,Citicoline,C14H26N4O11P2,487.1,[M-H]-,205.9,8,Experimental,CCS Compendium
68,YMDB00090,HMDB01413,RZZPDXZPRHQOCG-OJAKKHQRSA-N,Citicoline,C14H26N4O11P2,489.1105,[M+H]+,198.5,8,Experimental,CCS Compendium
69,YMDB00090,HMDB01413,RZZPDXZPRHQOCG-OJAKKHQRSA-N,Citicoline,C14H26N4O11P2,511.0926,[M+Na]+,208.1,8,Experimental,CCS Compendium
70,YMDB00090,HMDB01413,RZZPDXZPRHQOCG-OJAKKHQRSA-N,Cytidine-5'-diphosphocholine,C14H26N4O11P2,487.0995,[M-H]-,207.7,7,Experimental,CCS Compendium
71,YMDB00090,HMDB01413,RZZPDXZPRHQOCG-OJAKKHQRSA-N,Cytidine-5'-diphosphocholine,C14H26N4O11P2,489.1152,[M+H]+,197.6,7,Experimental,CCS Compendium
72,YMDB00090,HMDB01413,RZZPDXZPRHQOCG-OJAKKHQRSA-N,Cytidine-5'-diphosphocholine,C14H26N4O11P2,511.0971,[M+Na]+,207.7,7,Experimental,CCS Compendium
73,YMDB00097,HMDB00045,UDMBCSSLTHHNCD-KQYNXXCUSA-N,Adenosine-5'-monophosphate,C10H14N5O7P,368.0372,[M+Na-2H]-,179.7,8,Experimental,CCS Compendium
