,1,2,3,4,5,6,7,8,9,10
YPL045W_ilp1,-0.0,-0.0,-0.0,-0.004282935472835825,-0.012599653232030989,-0.0,-0.0,-0.014664784498983537,-0.0,-0.00956298031260818
YPL045W_ilp2,-0.0,-0.0004128403645950031,-0.0,-0.0,-0.012504712388408544,-0.0,-0.0,-0.0,-0.0,-0.004849676056818036
YPL045W_ilp3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp4,-0.014477952883042319,-0.027706130155451827,-0.031726106644875886,-0.022500808424898794,-0.03597947338208609,-0.02576616403229312,-0.0005714293491520062,-0.045164637507159135,-0.019346048588077074,-0.034286304957717534
YPL045W_ilp5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp6,-0.041808088672579215,-0.02554019273644165,-0.020180841982212257,-0.05743394892378406,-0.0,-0.0,-0.02203178179041518,-0.006125984984642685,-0.005133944577997517,-0.0
YPL045W_ilp7,0.0,0.006953914344545,0.0,0.0,0.0,0.0,0.013137113257696703,0.0,0.0,0.001648255422374959
YPL045W_ilp8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp9,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
YPL045W_ilp10,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
YPL045W_ilp22,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
YPL045W_ilp23,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp25,0.06349686194073166,0.15524838594294602,0.0991474057770794,0.08875165644982555,0.1475957033064401,0.13280276716651462,0.16387595757593676,0.16701771740912774,0.1336079600416897,0.22021487136293924
YPL045W_ilp26,0.0,0.0,0.0,0.0,0.01343582981506418,0.024071247551691207,0.0,0.0,0.0,0.01745175015611655
YPL045W_ilp27,0.0011555970638132186,0.0961915045313524,0.12179463245321519,0.11067583106799307,0.15804786558761852,0.10326968625576312,0.09321938169604486,0.05835723630473057,0.0769131120979141,0.18560737260622592
YPL045W_ilp28,0.0,0.019588388353207437,0.0,0.0,0.019829436599643233,0.03208193687453948,0.0,0.0,0.0020160025426528643,0.004350244581217703
YPL045W_ilp30,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
YPL045W_ilp32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp36,0.03687794210014781,0.08269742642371788,0.1015346886751827,0.06725346912602705,0.10027798191443456,0.09114590014360474,0.055111311206383455,0.07576318301706647,0.07509680199105852,0.12232250380464654
YPL045W_ilp38,-0.0688350827049552,-0.10627069560015147,-0.1456733203494385,-0.07590431515753977,-0.15511770400536412,-0.15509370448428508,-0.0422293430989233,-0.055296683758871985,-0.12370047102757269,-0.13582084763638852
YPL045W_ilp39,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
YPL045W_ilp40,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031241579086938212,0.0,0.0
YPL045W_ilp43,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp46,0.0,-0.0,0.0,0.0444649200467176,0.0,0.0,0.0,0.0066047237302740685,0.0,0.0
YPL045W_ilp47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp48,-0.03160586967258473,-0.02316249203719114,-0.07620160403595584,-0.016689131910110497,-0.022026722219038567,-0.05011179322846501,-0.0,-0.06254284522614101,-0.04604910551519592,-0.07872880195517558
YPL045W_ilp49,-0.0,0.0,0.0,0.0,0.00791468475092636,0.00079741806027932,-0.0,0.0,0.0,0.0
YPL045W_ilp51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp52,0.04722338144521871,0.0023503341568319675,0.0,0.0,0.0028765386615409276,0.012019353118586817,0.0,0.0,0.0,0.03510191558002468
