,PLS1,PLS2,PLS3,PLS4,PLS5
2'-Deoxyguanosine-5'-Diphosphate [[M+H]]/Adenosine 5'-diphosphate (ADP) [[M+H]],-0.19917872350864518,-0.07190674617002568,0.24108402877222934,0.10346903156540464,0.04147553200840865
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],-0.21668036285484746,0.1573197987560279,0.1010346645893813,-0.002426076500496939,-0.04096910835013429
2'-Deoxyinosine [[M+H]],0.06489251869316515,-0.03368870211160994,-0.1094102729083425,-0.1898214452805049,0.08624714178502585
3-Methylhistidine [[M+Na]],0.06530599749323955,-0.14543943294291042,0.055005444807138974,0.06851475958234801,-0.16557760624414233
5'-Deoxy-5'-Methylthioadenosine [[M+H]],-0.05394824364046813,0.031762921900680405,-0.064907477320726,0.18837625808447214,0.041151477155839514
ATP [[M+H]],-0.08066206963224738,-0.08465388880547448,0.07450744752778107,0.08126150386276577,0.02723826088685581
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],-0.059409159394751596,0.15076396032851605,-0.03730990780930887,-0.059758229131382304,0.13165516842901748
Ademetionine [[M+H]],-0.1813360747860292,-0.04122831574272978,0.21296937241073782,0.17471791897908298,0.07519850339176877
Adenine [[M+H]],-0.06701512325019149,-0.005747700670061145,-0.016596023871880097,0.17529377890603431,0.1654181539637314
Adenosine phosphate [[M+H]],-0.21859808425679977,0.15955862832392184,0.1130858832294787,-0.048816087168819425,-0.026092169320916618
Adenosine-3'-5'-Diphosphate [[M+H]],-0.19845192225918332,-0.0734832051986596,0.24392782088146375,0.09108959347565863,0.034077993207942435
Alpha-D-Glucose [[M+Na]],0.18229530049204537,0.027565652658196053,0.08075501353235076,0.1219018513533682,0.036533944680903416
Aminoadipate [[M+Na]],-0.22211975942598505,0.06160966424031149,0.23156126107980693,-0.15407917752552372,-0.0957262462332821
Asparagine [[M+NH4]],-0.04231173292629794,-0.27930826325619657,-0.021712969666838076,0.024931405911269206,0.1728493476463383
Biotin [[M+H]],-0.1642398136324258,0.061297438522100074,-0.07591281680798023,0.1963663694102861,-0.06706979312536715
Choline [[M+H]],-0.2074938777171262,0.04852772378965218,0.2190299343461583,-0.18162188354396253,-0.10074974847266761
Cytidine [[M+H]],-0.17998937019021832,-0.035638727373745176,-0.16697096021499938,0.13025664636236972,-0.017809005906235655
D-(+)-Melibiose [[M+Na]]/Isomaltose [[M+Na]]/Maltose [[M+Na]],0.18119310829107046,0.13103269660041708,0.17371961593055468,0.07310401310561204,0.020716005487223275
D-(+)-Turanose [[M+Na]]/Palatinose [[M+Na]],0.18183220773557116,0.12910587159573847,0.17721590436620413,0.07027288458306531,0.023838387052614887
D-Fructose [[M+Na]]/D-Mannose [[M+Na]],0.1894214256057916,0.06170610501109248,0.14126071503442142,0.08851009587475102,0.095438032446027
D-Galactose [[M+Na]],0.19066274210733686,0.054126482360299995,0.12523381638513517,0.09201606162005835,0.08734943732049828
D-Glucose [[M+Na]],0.18211069313457473,0.02999129437805221,0.07486889235837157,0.12640259512663393,0.03984325300799005
Deoxyadenosine [[M+H]],-0.035806706303616306,-0.04341368325516905,0.18695251010263117,-0.08550185657772241,0.30388593861697755
Galactose [[M+Na]],0.19006735392461746,0.05346730817067051,0.1264294592602186,0.09209674556707327,0.08459093756204533
Glucosamine [[M+H]],-0.20130487237880001,0.12211282329433296,-0.1203387586146294,0.17478446112427332,-0.03087136546384326
Glutamic Acid [[M-H2O+H]],-0.0017530869970428756,-0.3629258796406422,-0.14108079564082912,0.07059136119111639,-0.01663969724613938
Glutathione [[M+H]],-0.16454382262631148,0.2773494710267367,-0.07381580685154202,0.13216877969790167,-0.004080408634832371
