Group1	Group2	Feature	U_stat	p_raw	Median1	Median2	p_corrected
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Inositol [[M+Na]]	31.0	0.030303030303030304	1076.0	147.50591327201053	0.1510989010989011
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	L-2-Amino-4-[2-Aminophenyl]-4-Oxobutanoic Acid [[M+H]]	4.0	0.030303030303030304	14.916666666666666	146.24386252045826	0.1510989010989011
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	L-Arginine [[M+H]]	26.0	0.20202020202020204	18951.625	16546.84555984556	0.4273504273504274
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	L-Citrulline [[M+H]]	6.0	0.07323232323232323	3370.224279835391	5484.382433768828	0.22797766749379653
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	L-Glutamine [[M+H]]	9.0	0.20202020202020204	162.75502465871602	420.3539286477461	0.4273504273504274
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	L-Threonine [[M+Na]]	13.0	0.5303030303030304	74.58333333333333	119.36333771353485	0.727699530516432
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	L-Tryptophan [[M+NH4]]	13.0	0.5303030303030304	580.8177083333334	631.3957528957528	0.727699530516432
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	L-Tyrosine [[M+Na]]	12.0	0.4318181818181819	24.0	87.78764478764478	0.6518341148691343
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Methionine [[M+H]]	11.0	0.3434343434343435	2084.482802447192	2287.470714834321	0.5651936715766503
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]]	17.0	1.0	193.0	164.17156862745097	1.0
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	N2-Acetyl-L-ornithine [[M+H]]	30.0	0.04797979797979798	261.0416666666667	129.80303141485052	0.18849206349206352
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Niacin [[M+H]]	11.0	0.3434343434343435	270.7017782462344	465.5745093722737	0.5651936715766503
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Nicotinamide [[M+H]]	9.0	0.20202020202020204	713.0	1503.201708278581	0.4273504273504274
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Nicotinamide ribotide [[M+H]]	2.0	0.010101010101010102	63.16333412009967	182.7145804459824	0.08274231678486998
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	O-acetyl-L-serine [[M+H]]	13.0	0.5303030303030304	96.6085975246924	292.48772504091653	0.727699530516432
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Phenylethyl alcohol [[M+H]]	11.0	0.3434343434343435	331.6024833955658	552.1767411300921	0.5651936715766503
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Pidolic Acid [[M+H]]	24.0	0.3434343434343435	10868.90239539062	9041.156601358349	0.5651936715766503
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Proline [[M+NH4]]	8.0	0.148989898989899	18.64583333333333	40.08165120931079	0.3630450070323488
