,Amino acid,Fold,R2,MAE,RMSE
0,alanine,1,0.13134969816456177,0.6089719302030344,1.0777351109775732
1,alanine,2,0.15709144484391968,0.6124115454794041,0.9917432915587533
2,alanine,3,0.04050425372838651,0.5990373305293614,0.9357108417454623
3,alanine,4,0.05897558134177283,0.5604051694052264,1.0217369994139698
4,alanine,5,0.06672757600243573,0.6151238363772403,1.1474111974935604
5,alanine,6,0.07957600475954651,0.5945029535045813,0.9979435261642434
6,alanine,7,0.07202597646643538,0.5876240604693038,0.916702608067846
7,alanine,8,0.1148227466333438,0.5794661483198547,1.078896840974411
8,alanine,9,0.09626129190938781,0.5599691825078316,0.9548455026609003
9,alanine,10,0.14772416411292488,0.5791451225975665,0.9533774935226251
10,aspartate,1,0.11742758440748935,0.4585796344291006,0.6847257552093504
11,aspartate,2,0.086298210052554,0.4363083104127452,0.6449554089025428
12,aspartate,3,-0.03779946023363623,0.4156221349005153,0.6065415533430023
13,aspartate,4,0.08989254961580595,0.4692456921263718,0.7297012650759391
14,aspartate,5,0.04136610157699405,0.43459311826285607,0.7032356197806211
15,aspartate,6,0.014880161482575094,0.3978079565172137,0.5999237236605311
16,aspartate,7,0.07773169586066542,0.45935112612234535,0.698303146017926
17,aspartate,8,0.07137330086024296,0.43794049858272605,0.7671744297741755
18,aspartate,9,0.053140431890474016,0.4082860422020025,0.5664347396834805
19,aspartate,10,0.023730405877022354,0.42661428020252273,0.6598911385862467
20,glutamate,1,0.20877339233217518,1.8140993464925963,2.6383674481948716
21,glutamate,2,0.16214037752966448,1.7927906568532217,2.8375311880036023
22,glutamate,3,0.06386189846101098,1.7938563843685793,2.7010928065267557
23,glutamate,4,0.10696568175032528,1.8865491308791942,2.974223197197488
24,glutamate,5,0.05062628722186924,1.9706747354251395,3.3968533795407665
25,glutamate,6,0.02889335196745091,1.94294154352305,3.7620269963477244
26,glutamate,7,0.13910315200586376,1.867115695771793,3.0533299179924875
27,glutamate,8,0.08784010180554325,1.951101345117122,3.401078964655786
28,glutamate,9,0.07732755627380428,1.7347276631146595,2.4554127599125444
29,glutamate,10,0.13337302537817142,1.842583760851868,2.7920761043440985
30,phenylalanine,1,0.000586601830706801,0.03237829955351503,0.08415148551113043
31,phenylalanine,2,0.0012033729000144877,0.03141431535580036,0.04775473975167829
32,phenylalanine,3,-0.003067799366203827,0.030083817836537387,0.045966601183966144
33,phenylalanine,4,-0.0043412648612544125,0.030620444991711463,0.04991765626781298
34,phenylalanine,5,-0.040482794999618266,0.030564986795449584,0.04108577201194801
35,phenylalanine,6,0.0011878023887871292,0.028728844679699432,0.04157035759713074
36,phenylalanine,7,-0.00028999431316245605,0.0302507742399463,0.04785147784620845
37,phenylalanine,8,0.00022454758810430686,0.02804071132128524,0.04237021648778376
38,phenylalanine,9,-0.009159091722237278,0.02852973933558512,0.0405460311560211
39,phenylalanine,10,-0.0002816846469602119,0.03023323988580124,0.04424842872094658
40,glycine,1,-0.007971173931563769,0.265872817064827,0.35687268043055853
41,glycine,2,-0.0014929928199032272,0.30480589388041235,0.45801119027448134
42,glycine,3,-0.0015512010505254192,0.30615807853362875,0.44711276598343713
43,glycine,4,-0.002058104613265055,0.31513660659766257,0.9307631649900695
44,glycine,5,-0.0008420760649270331,0.30225927846223455,0.4489358897165031
45,glycine,6,0.00019265850015381947,0.2602451848038124,0.37965684793547866
46,glycine,7,-0.0009979338649004355,0.31149974126230134,0.7807978201915343
