,Amino acid,Fold,R2,MAE,RMSE
0,alanine,1,0.12706442897473236,0.6118287231640471,1.0803902088636177
1,alanine,2,0.15283781100400162,0.6132177754911967,0.9942424975136308
2,alanine,3,0.03277447022365498,0.6023228792323364,0.9394723662415563
3,alanine,4,0.06204265199101189,0.5581085502069854,1.0200705723210748
4,alanine,5,0.060802303363667765,0.6115626551014135,1.151047845796827
5,alanine,6,0.0582635257691958,0.6034499768321641,1.0094311320974352
6,alanine,7,0.06054437972404614,0.5855705898387501,0.922356243196901
7,alanine,8,0.13861807118304115,0.5739210522798587,1.0642966055828125
8,alanine,9,0.07429347724034441,0.5620032745874405,0.9663808757360081
9,alanine,10,0.13152395453916532,0.5826011073731023,0.9623958236250447
10,aspartate,1,0.11288859822585262,0.45923881059311533,0.6864842369735986
11,aspartate,2,0.08391122715503618,0.4351904739629902,0.6457973101667556
12,aspartate,3,-0.021073433746201742,0.41396511787734425,0.6016339388970194
13,aspartate,4,0.09118771930366709,0.4704841509305498,0.7291818629789674
14,aspartate,5,0.0398008307995279,0.4342163760664397,0.7038095120672946
15,aspartate,6,2.6337313230540005e-05,0.39959114361011566,0.6044296837462285
16,aspartate,7,0.07995332090732976,0.45812528382314743,0.6974615779295458
17,aspartate,8,0.06468467544930634,0.4417729684279785,0.7699323386461291
18,aspartate,9,0.04458220526381862,0.40978474549094335,0.5689888523956198
19,aspartate,10,0.03517826162246407,0.4257820787103335,0.6560107477689854
20,glutamate,1,0.21122796855206893,1.8163580679345295,2.6342718425065392
21,glutamate,2,0.16867409914711062,1.7967485243631407,2.8264458441597404
22,glutamate,3,0.07368523591720022,1.795118269231626,2.6868835133190205
23,glutamate,4,0.11167778030507469,1.8893888478287943,2.9663660696459866
24,glutamate,5,0.053502443159293867,1.9710270758607547,3.391704042325098
25,glutamate,6,0.023163856859965914,1.9532211487683986,3.773108588692004
26,glutamate,7,0.1349122641231384,1.8713445367318273,3.0607527748007226
27,glutamate,8,0.08847503791069355,1.9618523535665218,3.39989504736412
28,glutamate,9,0.0841216094606917,1.7294278278690078,2.446355901090811
29,glutamate,10,0.14804802969646658,1.8326851904880168,2.76833539968246
30,phenylalanine,1,0.0006643146850724424,0.03237977837263645,0.08414821370224561
31,phenylalanine,2,0.001687128886523559,0.0314137992157859,0.04774317361371525
32,phenylalanine,3,0.004536437369222268,0.029925975092142256,0.045792033768764014
33,phenylalanine,4,-0.00507790747038972,0.03062765934204168,0.049935959176259474
34,phenylalanine,5,-0.03560377344113519,0.030500149044916474,0.04098932932313319
35,phenylalanine,6,-9.535946210337265e-05,0.02866374681369959,0.041597051492302944
36,phenylalanine,7,-0.00028999431316245605,0.0302507742399463,0.04785147784620845
37,phenylalanine,8,0.010066338254575702,0.02808321941841452,0.04216115448454043
38,phenylalanine,9,-0.005758901302808983,0.028555994071256273,0.04047766703415158
39,phenylalanine,10,-0.0002816846469602119,0.03023323988580124,0.04424842872094658
40,glycine,1,-0.0077388034676741935,0.2658582001870238,0.35683154262209377
41,glycine,2,4.7056029515379905e-05,0.30476867446086364,0.4576589007489586
42,glycine,3,-0.0009946554415911635,0.30617727239360343,0.4469885220981299
43,glycine,4,-0.002423376564781865,0.3155511155209973,0.9309327912318409
44,glycine,5,-0.0015814201787203164,0.30247883863602665,0.44910167852539373
45,glycine,6,0.0001924813936395875,0.2602447301676186,0.37965688156180605
46,glycine,7,-0.0012618723577197954,0.31167237333730685,0.7809007519808773
47,glycine,8,0.0008757360090291266,0.2854424383056752,0.3997382960383593
48,glycine,9,-0.0006495741016447898,0.26974312593069816,0.3684604452352558
49,glycine,10,-0.0007572063031253684,0.28608725940587193,0.3917366487825962
