,1
YPL084W_ilp83,-0.0
YPL084W_ilp85,-0.0
YPL084W_ilp103,0.0
YPL084W_ilp144,0.0
YPL084W_ilp173,0.0
YGR105W_ilp2,-0.0
YGR105W_ilp25,0.0
YGR105W_ilp46,0.0
YGR105W_ilp49,0.0
YGR105W_ilp51,0.0
YGR105W_ilp56,0.0
YGR105W_ilp57,0.0
YGR105W_ilp69,-0.0
YGR105W_ilp73,0.0
YGR105W_ilp74,0.0
YGR105W_ilp80,0.0
YGR105W_ilp86,-0.0
YGR105W_ilp87,0.0
YGR105W_ilp91,0.0
YGR105W_ilp92,0.0
YGR105W_ilp102,0.0
YGR105W_ilp113,0.0
YGR105W_ilp120,-0.0
YGR105W_ilp135,-0.0
YML008C_ilp8,-0.0
YML008C_ilp18,0.0
YML008C_ilp25,0.0
YML008C_ilp37,-0.0
YML008C_ilp45,-0.0
YML008C_ilp61,-0.0
YML008C_ilp90,0.0
YML008C_ilp101,-0.0
YML008C_ilp102,0.0
YML008C_ilp103,-0.0
YML008C_ilp107,-0.0
YML008C_ilp114,0.0
YML008C_ilp124,0.0
YNR006W_ilp61,-0.0
YNR006W_ilp69,0.0
YNR006W_ilp72,-0.0
YNR006W_ilp90,0.0
YNR006W_ilp93,-0.0
YNR006W_ilp136,-0.0
YHR030C_ilp10,-0.0
YHR030C_ilp28,0.0
YHR030C_ilp29,-0.0
YHR030C_ilp34,-0.0
YHR030C_ilp54,0.0
YHR030C_ilp58,-0.0
YHR030C_ilp73,-0.0
YHR030C_ilp74,-0.0
YHR030C_ilp89,-0.0
YHR030C_ilp135,0.0
YMR077C_ilp61,-0.0
YLR337C_ilp46,-0.0
YLR337C_ilp55,-0.0
YLR337C_ilp56,-0.0
YLR337C_ilp65,0.0
YLR337C_ilp69,-0.0
YLR337C_ilp94,-0.0
YKL119C_ilp45,0.0
YKL119C_ilp101,-0.0
YKL119C_ilp584,-0.0
YBR127C_ilp24,0.0
YBR127C_ilp58,-0.0
YBR127C_ilp104,0.0
YML097C_ilp33,0.0
YML097C_ilp35,-0.0
YML097C_ilp91,-0.0
YOR036W_ilp17,-0.0
YOR036W_ilp23,-0.0
YOR036W_ilp41,-0.0
YOR036W_ilp49,-0.0
YOR036W_ilp56,0.0
YOR036W_ilp68,0.0
YOR036W_ilp117,-0.0
YEL027W_ilp53,0.0
YJL095W_ilp24,0.0
YJL095W_ilp29,0.0
YJL095W_ilp40,0.0
YJL095W_ilp43,0.0
YJL095W_ilp88,-0.0
YNR052C_ilp21,-0.0
YNR052C_ilp75,0.0
YNR052C_ilp85,0.0
YNR052C_ilp87,0.0
YNR052C_ilp88,0.0
YNR052C_ilp120,-0.0
YNR052C_ilp123,-0.0
YHR026W_ilp29,0.0
YDR484W_ilp4,0.0
YDR484W_ilp65,-0.0
YDR484W_ilp68,-0.0
YDR484W_ilp85,0.0
YDR484W_ilp117,0.0
YKL212W_ilp65,0.0
YKL212W_ilp81,-0.0
YKL212W_ilp118,-0.0
YMR202W_ilp47,0.0
YMR202W_ilp55,-0.0
YMR202W_ilp93,0.0
YMR202W_ilp94,0.0
YKR001C_ilp49,-0.0
YKR001C_ilp52,0.0
YKR001C_ilp57,0.0
YGL012W_ilp60,-0.0
