	0	1200	2400	3600	4800	6000	7200	8400	9600	10800	12000	13200	14400	15600	16800	18000	19200	20400	21600	22800	24000
A01	0.006933333333333319	0.005399999999999988	0.0003333333333333244	-0.00020000000000000573	0.001533333333333331	0.0007666666666666655	0.001166666666666677	0.000466666666666643	-0.0025666666666666615	0.0001333333333333464	0.0015000000000000013	0.0032999999999999974	0.001799999999999996	0.0021999999999999797	0.00016666666666667607	0.0004666666666666708	0.003866666666666685	0.002466666666666645	0.004866666666666658	0.0006666666666666765	0.003700000000000009
A02	0.1557333333333333	0.15159999999999998	0.1643333333333333	0.15990000000000001	0.23783333333333334	0.36916666666666664	0.7367666666666667	1.1612666666666667	0.9257333333333334	0.4237333333333334	0.3609	0.387	0.39549999999999996	0.42689999999999995	0.47696666666666665	0.5448666666666667	0.5897666666666667	0.6528666666666666	0.7091666666666667	0.7357666666666667	0.8062
A03	0.14433333333333334	0.13410000000000002	0.16193333333333335	0.16539999999999996	0.24953333333333333	0.40156666666666674	0.7541666666666668	1.0745666666666667	0.7877333333333333	0.4114333333333333	0.3685999999999999	0.3678	0.39169999999999994	0.4234	0.49926666666666664	0.5184666666666666	0.5886666666666667	0.6439666666666666	0.7115666666666667	0.7690666666666667	0.8203
A04	0.14986666666666668	0.1349	0.13833333333333334	0.1332333333333333	0.2214	0.39316666666666666	0.6403	0.8844333333333334	0.7998	0.38483333333333336	0.3589	0.32243333333333335	0.3649666666666668	0.40446666666666664	0.4615666666666667	0.4934666666666667	0.5337	0.5873333333333333	0.6447	0.7123666666666667	0.7615333333333333
A05	0.15723333333333334	0.14433333333333334	0.16473333333333334	0.15816666666666665	0.22496666666666668	0.35760000000000003	0.6247666666666667	0.9649333333333333	0.7796333333333333	0.39393333333333336	0.3634666666666667	0.3608	0.39036666666666675	0.41133333333333344	0.47850000000000004	0.5102333333333333	0.5507333333333333	0.6267333333333333	0.6743666666666667	0.7557	0.8012
A06	0.15813333333333335	0.13853333333333331	0.15503333333333336	0.15156666666666666	0.22456666666666666	0.35530000000000006	0.6896666666666667	0.8971333333333334	0.7110333333333333	0.3841333333333333	0.3422666666666667	0.34640000000000004	0.39036666666666675	0.4095333333333334	0.46230000000000004	0.5010333333333333	0.5566333333333333	0.6038333333333333	0.6765666666666668	0.7247	0.7985
A07	0.01733333333333334	0.029033333333333328	0.04143333333333332	0.04496666666666668	0.041766666666666674	0.04519999999999999	0.043966666666666654	0.04423333333333335	0.050233333333333324	0.04293333333333335	0.03926666666666667	0.04999999999999999	0.0445666666666667	0.047433333333333355	0.045800000000000035	0.0411333333333333	0.0459333333333333	0.048533333333333345	0.04866666666666669	0.04199999999999998	0.04630000000000001
A08	0.14793333333333336	0.14403333333333332	0.14823333333333333	0.16376666666666664	0.2464666666666667	0.37150000000000005	0.7581666666666667	0.8253333333333334	0.5478333333333333	0.37803333333333333	0.36516666666666675	0.34909999999999997	0.3828666666666667	0.4008333333333334	0.48050000000000004	0.5219333333333332	0.5726333333333333	0.6064333333333333	0.6614666666666668	0.7253	0.8019000000000001
A09	0.14623333333333333	0.12883333333333333	0.14043333333333335	0.15316666666666665	0.2967666666666666	0.5999	0.6563666666666667	0.5324333333333334	0.3954333333333333	0.3523333333333333	0.33006666666666673	0.3476	0.3857666666666667	0.40233333333333343	0.45500000000000007	0.5017333333333333	0.5310333333333334	0.6148333333333333	0.6534666666666668	0.7061999999999999	0.7783
A10	0.12733333333333333	0.14389999999999997	0.16263333333333332	0.22343333333333334	0.41536666666666666	0.3805333333333334	0.3477666666666668	0.3594666666666667	0.31996666666666673	0.3307333333333333	0.3459333333333333	0.3406	0.3825666666666666	0.4270666666666667	0.47153333333333325	0.5354333333333333	0.5775666666666667	0.6423333333333333	0.6862333333333334	0.7654333333333333	0.8150333333333333
A11	0.14016666666666663	0.14729999999999996	0.16766666666666666	0.17086666666666664	0.19603333333333334	0.24013333333333334	0.3405666666666667	0.6106666666666667	1.1099333333333334	0.7394	0.4577	0.4046666666666666	0.3766666666666667	0.3981333333333333	0.44100000000000006	0.49439999999999995	0.5395666666666667	0.5949666666666668	0.6523666666666667	0.6992666666666666	0.7659666666666667
A12	-0.001333333333333353	-0.004200000000000009	-0.0055333333333333345	-0.018133333333333335	-0.01796666666666666	-0.014066666666666644	-0.016033333333333344	-0.00853333333333331	-0.01476666666666665	-0.01770000000000002	-0.010000000000000009	-0.01823333333333335	-0.018333333333333313	-0.01846666666666666	-0.016000000000000014	-0.017199999999999993	-0.01893333333333333	-0.009433333333333321	-0.015233333333333321	0.0025666666666666615	-0.01903333333333329
B01	-0.010600000000000012	-0.002433333333333315	0.005499999999999977	0.008066666666666666	0.0032999999999999974	0.007299999999999973	0.005433333333333318	0.004866666666666658	0.008200000000000013	0.007933333333333348	0.004066666666666663	-0.0007333333333333081	0.0010999999999999899	0.0009333333333333416	0.0035333333333333328	0.0035666666666666624	-0.001166666666666677	0.00163333333333332	-0.001899999999999985	0.003233333333333338	-0.0013333333333333253
B02	0.11279999999999998	0.12436666666666671	0.1364	0.14976666666666666	0.1978	0.2881	0.5996333333333334	1.1036666666666666	1.0884	0.5525333333333333	0.33976666666666666	0.3335666666666667	0.3701	0.3965333333333334	0.4537333333333333	0.5001666666666666	0.5406333333333333	0.5830333333333333	0.645	0.7180333333333333	0.7762666666666667
B03	0.12969999999999998	0.1309666666666667	0.15579999999999997	0.17076666666666668	0.21719999999999998	0.30469999999999997	0.5444333333333333	1.0773666666666666	1.2583	0.9046333333333334	0.3876666666666666	0.3484666666666667	0.37849999999999995	0.42823333333333335	0.44933333333333336	0.4979666666666667	0.5567333333333333	0.6247333333333334	0.6856000000000001	0.7475333333333333	0.8133666666666667
B04	0.14066666666666666	0.12483333333333335	0.14586666666666667	0.16493333333333332	0.20826666666666668	0.3146333333333333	0.5178	1.0011999999999999	1.2752666666666668	1.0413	0.46463333333333334	0.36036666666666667	0.3673333333333333	0.3985333333333333	0.4656666666666667	0.48760000000000003	0.5634333333333333	0.5965333333333332	0.6735666666666666	0.7183333333333334	0.7773666666666667
B05	0.15793333333333337	0.13383333333333333	0.14323333333333332	0.17046666666666668	0.2046666666666667	0.28669999999999995	0.4661666666666666	0.9523333333333334	1.2485333333333335	0.9977333333333332	0.43486666666666673	0.34750000000000003	0.3627666666666667	0.4036333333333334	0.46040000000000003	0.49293333333333333	0.5278333333333333	0.5848333333333333	0.6328666666666667	0.703	0.7731
B06	0.14563333333333334	0.12983333333333333	0.15523333333333333	0.16916666666666666	0.1980666666666667	0.2408	0.29346666666666665	0.4569333333333334	1.0441333333333334	1.3962333333333334	1.4722666666666666	1.3210000000000002	0.4552666666666667	0.3805333333333334	0.44920000000000004	0.5136333333333333	0.5531333333333334	0.6139333333333333	0.6647666666666667	0.6966	0.7424000000000001
B07	-0.003266666666666654	0.012433333333333324	0.0021333333333333204	-0.005133333333333323	-0.0003333333333333244	-0.011800000000000005	-0.01043333333333335	-0.003166666666666651	-0.004766666666666669	-0.00216666666666665	-0.0037333333333333107	-0.00470000000000001	-0.007233333333333286	-0.004066666666666635	-0.005299999999999971	-0.0019666666666667	-0.006466666666666676	-0.01366666666666666	-0.011333333333333306	-0.009600000000000025	-0.010199999999999987
B08	0.16113333333333335	0.15053333333333332	0.17383333333333334	0.19126666666666667	0.23476666666666665	0.31289999999999996	0.5899666666666666	1.1064333333333332	1.2343333333333335	0.7401333333333333	0.5065666666666667	0.3862	0.3780666666666668	0.3936333333333334	0.4770000000000001	0.5089333333333332	0.5463333333333333	0.5944333333333333	0.6592666666666667	0.6967	0.7779
B09	0.18413333333333337	0.21803333333333333	0.2557333333333333	0.2847666666666667	0.3527666666666667	0.44810000000000005	0.9261666666666667	1.2466333333333333	1.1391333333333333	0.5629333333333333	0.46686666666666665	0.47550000000000003	0.4675666666666667	0.47993333333333343	0.5465000000000001	0.5777333333333333	0.6415333333333333	0.6788333333333333	0.7375666666666667	0.7894	0.8428000000000001
