Group1,Group2,Feature,U_stat,p_raw,p_corrected,significant
NegHigh,PosHigh,Adenine [[M+H]],55.0,0.3407786135629546,0.6412877382983458,False
NegHigh,PosHigh,Adenosine 5'-diphosphate (ADP) [[M+H]],11.0,0.0004776817289569815,0.013613929275273974,True
NegHigh,PosHigh,Adenosine phosphate [[M+H]],72.0,1.0,1.0,False
NegHigh,PosHigh,Adenosine-3'-5'-Diphosphate [[M+H]],11.0,0.00047632477449433973,0.013613929275273974,True
NegHigh,PosHigh,Alpha-D-Glucose [[M+Na]],102.0,0.08853377201422956,0.3170191153384431,False
NegHigh,PosHigh,Aminoadipate [[M+Na]],48.0,0.1748533068932927,0.4746018329960802,False
NegHigh,PosHigh,Argininosuccinic acid [[M+H]],61.0,0.5443701458566098,0.7573483427141964,False
NegHigh,PosHigh,Asparagine [[M+NH4]],31.0,0.01937331933159289,0.13058839634034472,False
NegHigh,PosHigh,Biotin [[M+H]],52.0,0.2602362026171888,0.563296084146067,False
NegHigh,PosHigh,Choline [[M+H]],40.0,0.06896433333905408,0.27094478072775663,False
NegHigh,PosHigh,Cytidine [[M+H]],34.0,0.0303828219765775,0.16493531930142072,False
NegHigh,PosHigh,D-(+)-Melibiose [[M+Na]],88.0,0.3708443333042212,0.6629303771119115,False
NegHigh,PosHigh,D-(+)-Turanose [[M+Na]],88.0,0.3708443333042212,0.6629303771119115,False
NegHigh,PosHigh,D-Fructose [[M+Na]],119.0,0.007259954988190575,0.07094013159889077,False
NegHigh,PosHigh,D-Galactose [[M+Na]],115.0,0.014137969455911484,0.10744856786492729,False
NegHigh,PosHigh,D-Glucose [[M+Na]],98.0,0.14095521914437145,0.4155748702359917,False
NegHigh,PosHigh,D-Mannose [[M+Na]],119.0,0.007259954988190575,0.07094013159889077,False
NegHigh,PosHigh,Deoxyadenosine [[M+H]],98.0,0.14095521914437145,0.4155748702359917,False
NegHigh,PosHigh,Galactose [[M+Na]],115.0,0.014137969455911484,0.10744856786492729,False
NegHigh,PosHigh,Glucosamine [[M+H]],116.0,0.012022825407617439,0.10316742081447965,False
NegHigh,PosHigh,Glutamic Acid [[M-H2O+H]],3.0,7.658289467492398e-05,0.004365224996470667,True
NegHigh,PosHigh,Glutathione [[M+H]],113.0,0.01937331933159289,0.13058839634034472,False
NegHigh,PosHigh,Histidine [[M+H]],40.0,0.06896433333905408,0.27094478072775663,False
NegHigh,PosHigh,Imidazoleacetic acid [[M+H]],66.0,0.7508318840891169,0.9073657397826078,False
NegHigh,PosHigh,Indole-3-Ethanol [[M+H]],62.0,0.5833604667027033,0.7885742277166976,False
NegHigh,PosHigh,Inositol [[M+Na]],94.0,0.21449380778351745,0.509422793485854,False
NegHigh,PosHigh,Isomaltose [[M+Na]],88.0,0.3708443333042212,0.6629303771119115,False
NegHigh,PosHigh,L-Arginine [[M+H]],5.0,0.00012334575440397442,0.0060263211437370364,True
NegHigh,PosHigh,L-Citrulline [[M+H]],58.0,0.43573066003173655,0.7159345138596461,False
NegHigh,PosHigh,L-Glutamine [[M+H]],14.0,0.0009009355963600168,0.020541331597008383,True
NegHigh,PosHigh,L-Histidinol [[M+H]],36.0,0.040360609109134464,0.19153288291080398,False
NegHigh,PosHigh,L-Tryptophan [[M+NH4]],52.0,0.2602362026171888,0.563296084146067,False
NegHigh,PosHigh,Linoleic acid [[M+Na]],82.0,0.5833604667027033,0.7885742277166976,False
NegHigh,PosHigh,Maltose [[M+Na]],88.0,0.3708443333042212,0.6629303771119115,False
NegHigh,PosHigh,N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],54.0,0.3123214216762161,0.6174215388050053,False
NegHigh,PosHigh,N2-Acetyl-L-ornithine [[M+H]],17.0,0.0016520394562341636,0.025681704274185636,True
