Group1	Group2	Feature	U_stat	p_raw	Median1	Median2	p_corrected	Significant
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	L-Glutamine [[M+H]]	19.0	0.8356643356643356	139.65838238324852	337.6742788643916	0.9893287715868362	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	L-Histidinol [[M+H]]	12.0	0.23426573426573427	103.28470607497512	285.4390765666008	0.6125827814569536	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	L-Lysine [[M-H2O+H]]	8.0	0.07342657342657342	2.4557230738341684	19.20422439039194	0.47115384615384615	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	L-Tryptophan [[M+NH4]]	16.0	0.5337995337995338	757.8779935293157	728.7138572285543	0.8351846084639608	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Linoleic acid [[M+Na]]	36.0	0.03496503496503496	230.24275647695947	81.82586861575889	0.3205128205128205	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Lipoamide [[M+H]]	15.0	0.4452214452214452	17.444294586285224	22.19080160589496	0.7721182721182721	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]]	13.0	0.2948717948717949	924.4668550046845	1177.75	0.6413878024047516	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	N1-Acetylspermine [[M+Na]]	14.0	0.36596736596736595	18.676206160400426	38.793740786598576	0.7044871794871795	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	N2-Acetyl-L-ornithine [[M+H]]	15.0	0.4452214452214452	362.7860575035237	560.0	0.7721182721182721	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Nicotinamide [[M+H]]	32.0	0.13752913752913754	2288.130951808388	1123.7117488686488	0.5348355348355349	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Nicotinamide ribotide [[M+H]]	17.0	0.6282051282051282	96.04228136799722	161.65064992204196	0.9076465764657647	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	O-acetyl-L-serine [[M+H]]	32.0	0.13752913752913754	145.919994664407	10.614341085271318	0.5348355348355349	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Oleic acid [[M+Na]]	22.0	0.9452214452214451	431.4095124727459	395.5687689751962	1.0	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Palatinose [[M+Na]]	19.0	0.8356643356643356	1182.4619384697212	1075.1538550675295	0.9893287715868362	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Pidolic Acid [[M+H]]	36.0	0.03496503496503496	4971.698207212756	3174.5	0.3205128205128205	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Proline [[M+NH4]]	7.0	0.05128205128205128	11.24658245555801	74.998200359928	0.38712921065862244	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Pyridoxal [[M+H]]	24.0	0.7307692307692307	254.34373308830675	228.8503406521706	0.9657622739018088	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Quinolinic Acid [[M-H2O+H]]	15.0	0.4452214452214452	18.31238898364264	21.26814637072585	0.7721182721182721	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Sucrose [[M+Na]]	21.0	1.0	1166.230107004143	1064.687755593421	1.0	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Tetracosanoic acid [[M+Na]]	17.0	0.6282051282051282	40.72342418296504	53.449153972646926	0.9076465764657647	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Thymine [[M+H]]	11.0	0.18065268065268064	94.76505802469575	256.8951689099407	0.5535205535205536	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Trehalose [[M+Na]]	21.0	1.0	1180.0025700658457	1075.1538550675295	1.0	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Xanthurenic acid [[M+H]]	31.0	0.18065268065268064	376.0698935136526	155.59328134373123	0.5535205535205536	False
