Feature,Mean_Coefficient,Std_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]],-272.7377885882444,369.31776839900874
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],-40.51745193257203,130.03164436631096
2'-Deoxyuridine [[M+Na]],-913.0405912421511,337.07956422141666
3-Methylhistidine [[M+Na]],-273.44810253636797,221.08848424620876
4-Acetamidobutanoic Acid [[M+Na]],-117.28579370596545,185.3198269421643
5'-Deoxy-5'-Methylthioadenosine [[M+H]],172.76849032627214,130.21132703387283
ATP [[M+H]],-239.41981081967674,309.06744895613247
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],372.28728457441105,177.75579178997515
Ademetionine [[M+H]],197.68366029982303,127.10821482390294
Adenine [[M+H]],105.07224997809396,243.59345000147843
Adenosine 5'-diphosphate (ADP) [[M+H]],-272.67443740328315,369.33293882770687
Adenosine phosphate [[M+H]],184.042948138359,99.89219186535446
Adenosine-3'-5'-Diphosphate [[M+H]],-212.0694477268659,335.8768951439093
Aminoadipate [[M+Na]],-97.70049010034622,199.3580808032007
Argininosuccinic acid [[M+H]],-776.496182316622,494.00219128776035
Asparagine [[M+NH4]],-81.93196639656767,74.33984589529787
Biotin [[M+H]],-444.7228619907286,360.76153345113437
Choline [[M+H]],547.4546635312406,161.3410351203903
Cytidine [[M+H]],-409.48822598464665,358.7211983899268
D-(+)-Melibiose [[M+K]],-20.501780335159932,131.93279870390816
D-(+)-Turanose [[M+Na]],-29.179394008468694,159.30605218427596
Deoxyadenosine [[M+H]],-405.40027187150514,113.13038507145028
Glucosamine [[M+H]],-151.82693925421,339.74939810832757
Glutamic Acid [[M+H]],-167.6413460867291,158.95079547754455
Glutathione [[M+H]],-440.817801366397,216.1394052772072
Histidine [[M+H]],1172.8906667986182,427.63410948671554
Imidazoleacetic acid [[M+H]],76.92554829678315,129.71574183966112
Indole-3-Ethanol [[M+H]],-71.83785050193765,56.45784544528691
Isomaltose [[M+Na]],-28.048226960756125,159.72912852478962
L-Arginine [[M+H]],895.451637504402,273.43203703346325
L-Citrulline [[M+H]],-193.98478653641297,209.5135072108875
L-Glutamine [[M+H]],-470.44352295312854,450.0236558184616
L-Histidinol [[M+H]],242.95929662290692,136.57621302478339
L-Lysine [[M+H]],109.15035516092493,168.9983255420023
L-Threonine [[M+NH4]],-4.979099339342556,133.60698688302145
L-Tryptophan [[M+NH4]],-130.4912939585138,142.95203835893395
L-Valine [[M+H]],499.2757326393965,371.85967457249785
Levocarnitine [[M+H]],-472.200395868634,231.86912287894557
Linoleic acid [[M+Na]],90.10649298969729,175.81195911018804
Maltose [[M+K]],-20.501780335159932,131.93279870390816
Methionine [[M+H]],119.79700213238712,152.9612189304948
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],410.345085883703,266.77838679002963
N-Acetylputrescine [[M+Na]],-135.6307826854107,165.84098130680903
N2-Acetyl-L-ornithine [[M+H]],606.5071068283439,224.65583303309225
Nicotinamide [[M+H]],33.25354296204959,577.7196950289728
O-acetyl-L-serine [[M+H]],88.25024760529087,195.3598527580771
Oleic acid [[M+Na]],-54.62790607150798,312.3518556126791
P-Hydroxybenzoic Acid [[M-H2O+H]],-809.480344026472,386.14352304856027
Palatinose [[M+K]],-20.501780335159932,131.93279870390816
Pidolic Acid [[M+H]],245.92658566916856,180.2809941227725
Proline [[M+Na]],-31.81499147979374,186.75428419968733
Pyridoxal [[M+H]],-424.17048010229144,140.77412624573435
Sucrose [[M+K]],13.426648405220186,178.08835476577397
Thymine [[M+H]],-188.6586709376358,224.29415891542666
Trehalose [[M+K]],-20.501780335159932,131.93279870390816
d-Desthiobiotin [[M+Na]],-724.4256383417746,554.4058726438957
gamma-Glutamylcysteine [[M+H]],-728.4742084349539,245.26911260246504
