Group 1,Group 2,Metabolite,U_stat,raw_p_value,corrected_p_value,Significant
NegHigh,PosLow,2'-Deoxyguanosine-5'-Diphosphate [[M+H]],19.0,0.04088274986107804,0.22076684924982143,False
NegHigh,PosLow,2'-Deoxyguanosine-5'-Monophosphate [[M+H]],40.0,0.7779894683919452,0.9298300837673567,False
NegHigh,PosLow,2'-Deoxyuridine [[M+Na]],88.0,2.6461326770924294e-05,0.004506845052070279,True
NegHigh,PosLow,5'-Deoxy-5'-Methylthioadenosine [[M+H]],52.0,0.5321042703838639,0.8243260390969134,False
NegHigh,PosLow,ATP [[M+H]],20.0,0.051912104775960456,0.25432921091125327,False
NegHigh,PosLow,Acetyl coenzyme A (Acetyl-CoA) [[M+H]],24.0,0.10865020772141516,0.3443267959293784,False
NegHigh,PosLow,Ademetionine [[M+H]],52.0,0.5447593342330185,0.8243260390969134,False
NegHigh,PosLow,Adenine [[M+H]],43.0,0.9678494879733269,0.9912747758677142,False
NegHigh,PosLow,Adenosine 5'-diphosphate (ADP) [[M+H]],19.0,0.04088274986107804,0.22076684924982143,False
NegHigh,PosLow,Adenosine phosphate [[M+H]],43.0,0.9678494879733269,0.9912747758677142,False
NegHigh,PosLow,Adenosine-3'-5'-Diphosphate [[M+H]],13.0,0.009102696409197957,0.09595234006571304,False
NegHigh,PosLow,Alpha-D-Glucose [[M+Na]],54.0,0.43258200513177003,0.7861346054798514,False
NegHigh,PosLow,Aminoadipate [[M+Na]],32.0,0.3510624222698526,0.7059348196958488,False
NegHigh,PosLow,Argininosuccinic acid [[M+H]],43.0,0.9678494879733269,0.9912747758677142,False
NegHigh,PosLow,Asparagine [[M+NH4]],34.0,0.44214230901537405,0.7958561562276733,False
NegHigh,PosLow,Biotin [[M+H]],31.0,0.31004736577492,0.6570971073630278,False
NegHigh,PosLow,Choline [[M+H]],6.0,0.0019227815023351344,0.040378411549037825,True
NegHigh,PosLow,Cytidine [[M+H]],31.0,0.31004736577492,0.6570971073630278,False
NegHigh,PosLow,D-(+)-Melibiose [[M+K]],27.0,0.16926991348330545,0.4474407503264997,False
NegHigh,PosLow,D-(+)-Turanose [[M+Na]],52.0,0.5447593342330185,0.8243260390969134,False
NegHigh,PosLow,D-Fructose [[M+Na]],64.0,0.10720889237628885,0.3443267959293784,False
NegHigh,PosLow,D-Galactose [[M+Na]],64.0,0.10674628858121564,0.3443267959293784,False
NegHigh,PosLow,D-Glucose [[M+Na]],54.0,0.43258200513177003,0.7861346054798514,False
NegHigh,PosLow,D-Mannose [[M+Na]],64.0,0.10720889237628885,0.3443267959293784,False
NegHigh,PosLow,Deoxyadenosine [[M+H]],72.0,0.02034876028684078,0.15082022330246697,False
NegHigh,PosLow,Galactose [[M+Na]],64.0,0.10674628858121564,0.3443267959293784,False
NegHigh,PosLow,Glucosamine [[M+H]],74.0,0.012066365007541479,0.11468039960077807,False
NegHigh,PosLow,Glutamic Acid [[M+H]],64.0,0.10427504392826054,0.3443267959293784,False
