Molecule List Name	Molecule Name	Molecule Formula	Precursor Ion Formula	Precursor Neutral Formula	Precursor Adduct	Replicate Name	Precursor Mz	Precursor Charge	Total Ion Current Area	Median Peak Area	Total Area	Total Area MS1	Total Background	Total Background MS1	Total Area Ratio	Ratio Dot Product	Total Area Normalized	Max Height	Count Truncated	Collisional Cross Section	Ion Mobility MS1	Ion Mobility Units	Total Area	Normalized Area	Area	Background	Area	Sample Id	Height	Max Height	Explicit Retention Time	Explicit Retention Time Window	Product Mz	Product Charge	Product Ion Formula	Product Neutral Formula	Product Adduct	Molecule List Abundance
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	C10H11N2O	C10H10N2O	[M+H]	Inj00012-Positive-A5_demultiplexed	175.086589	1	2209893.75	1	59	59	0	0	#N/A	#N/A	0.9473%	35	0	137.4	21.46	Drift Time (ms)	12+/-28	5.8872E+1	59	0	12+/-28		35	9+/-18			175.086589	1	C10H10N2O	C10H10N2O	[M+H]	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	C10H11N2O	C10H10N2O	[M+H]	Inj00013-Positive-B12_demultiplexed	175.086589	1	2420412.75	1	0	0	0	0	#N/A	#N/A	NaN	0	0	137.4	21.46	Drift Time (ms)	12+/-28	0.0000E+0	0	0	12+/-28		0	9+/-18			175.086589	1	C10H10N2O	C10H10N2O	[M+H]	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	C10H11N2O	C10H10N2O	[M+H]	Inj00014-Positive-D8_demultiplexed	175.086589	1	2459489.75	1	19	19	0	0	#N/A	#N/A	0.2688%	21	0	137.4	21.46	Drift Time (ms)	12+/-28	1.8732E+1	19	0	12+/-28		21	9+/-18			175.086589	1	C10H10N2O	C10H10N2O	[M+H]	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	C10H11N2O	C10H10N2O	[M+H]	Inj00015-Positive-MAT2_demultiplexed	175.086589	1	2399091.5	1	16	16	0	0	#N/A	#N/A	0.6826%	18	0	137.4	21.46	Drift Time (ms)	12+/-28	1.6056E+1	16	0	12+/-28		18	9+/-18			175.086589	1	C10H10N2O	C10H10N2O	[M+H]	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	C10H11N2O	C10H10N2O	[M+H]	Inj00016-Positive-MAT1_demultiplexed	175.086589	1	1820678.25	1	0	0	0	0	#N/A	#N/A	0%	0	0	137.4	21.46	Drift Time (ms)	12+/-28	0.0000E+0	0	0	12+/-28		0	9+/-18			175.086589	1	C10H10N2O	C10H10N2O	[M+H]	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	C10H11N2O	C10H10N2O	[M+H]	Inj00017-Positive-MAT1_demultiplexed	175.086589	1	1407793.125	1	0	0	0	0	#N/A	#N/A	NaN	0	0	137.4	21.46	Drift Time (ms)	12+/-28	0.0000E+0	0	0	12+/-28		0	9+/-18			175.086589	1	C10H10N2O	C10H10N2O	[M+H]	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	C10H11N2O	C10H10N2O	[M+H]	Inj00018-Positive-MAT1_demultiplexed	175.086589	1	1328368.75	1	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	137.4	21.46	Drift Time (ms)	12+/-28	#N/A	#N/A	#N/A	12+/-28		#N/A	9+/-18			175.086589	1	C10H10N2O	C10H10N2O	[M+H]	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	C10H11N2O	C10H10N2O	[M+H]	Inj00019-Positive-MAT2_demultiplexed	175.086589	1	1312384.25	1	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	137.4	21.46	Drift Time (ms)	12+/-28	#N/A	#N/A	#N/A	12+/-28		#N/A	9+/-18			175.086589	1	C10H10N2O	C10H10N2O	[M+H]	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	C10H11N2O	C10H10N2O	[M+H]	Inj00020-Positive-E6_demultiplexed	175.086589	1	1720033.625	1	0	0	0	0	#N/A	#N/A	NaN	0	0	137.4	21.46	Drift Time (ms)	12+/-28	0.0000E+0	0	0	12+/-28		0	9+/-18			175.086589	1	C10H10N2O	C10H10N2O	[M+H]	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	C10H11N2O	C10H10N2O	[M+H]	Inj00021-Positive-C3_demultiplexed	175.086589	1	2587166	1	0	0	0	0	#N/A	#N/A	NaN	0	0	137.4	21.46	Drift Time (ms)	12+/-28	0.0000E+0	0	0	12+/-28		0	9+/-18			175.086589	1	C10H10N2O	C10H10N2O	[M+H]	#N/A
