Group1	Group2	Feature	U_stat	p_raw	Median1	Median2	p_corrected	Significant
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Pidolic Acid [[M+H]]	29.0	0.7984459984459983	10002.138404896963	10630.676534453733	0.9315203315203314	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Proline [[M+NH4]]	34.0	0.8784770784770783	59.08893795821333	60.96513744032387	0.9592969696969695	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Spermine [[M+H]]	21.0	0.2786324786324786	22590.71776889223	48579.653936627794	0.547878787878788	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Sucrose [[M+Na]]	41.0	0.3822843822843822	2151.7940730459713	1514.5850421150785	0.6442199775533107	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Thymine [[M+H]]	47.0	0.13038073038073036	160.50859566125143	106.88754029702693	0.3524152415241524	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Trehalose [[M+Na]]	40.0	0.4418026418026417	2170.4688693859107	1514.5850421150785	0.6931731104144897	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Xanthurenic acid [[M+H]]	14.0	0.06495726495726495	106.77097794650204	238.13807110675856	0.2146768893756846	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	d-Desthiobiotin [[M+H]]	10.5	0.02730954852439286	530.2656372642065	785.3036023427067	0.1360501567398119	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	gamma-Glutamylcysteine [[M+H]]	35.0	0.7984459984459983	671.4239884844089	754.4628907156582	0.9315203315203314	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	2'-Deoxyguanosine-5'-Diphosphate [[M+H]]/Adenosine 5'-diphosphate (ADP) [[M+H]]	11.0	0.054079254079254076	411.433614263922	822.5696263949538	0.18927738927738927	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	2'-Deoxyguanosine-5'-Monophosphate [[M+H]]	48.0	0.020512820512820513	988.82580272335	512.0622847606181	0.11063576945929887	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	2'-Deoxyuridine [[M+Na]]	37.0	0.33566433566433573	587.097804956486	410.0222834404653	0.6028708133971293	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Acetyl coenzyme A (Acetyl-CoA) [[M+H]]	30.0	0.8665112665112666	121.23007592333158	116.7729415365779	0.9592969696969695	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Ademetionine [[M+H]]	20.0	0.39689199689199695	318.8581797698365	642.140666102652	0.6606799704360681	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Adenine [[M+H]]	53.0	0.004434109323344111	4945.725323220042	3236.1625272331157	0.045454545454545456	True
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Adenosine phosphate [[M+H]]	43.0	0.09386169386169387	17893.468174465444	12046.757467144564	0.28471380471380475	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Adenosine-3'-5'-Diphosphate [[M+H]]	12.0	0.0721056721056721	411.433614263922	709.5201358563804	0.23158645276292336	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Aminoadipate [[M+Na]]	24.0	0.6943278943278944	347.4495857711122	712.593899782135	0.9177036073161138	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Argininosuccinic acid [[M+H]]	38.0	0.280963480963481	523.0760891470179	314.23747276688454	0.547878787878788	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Cytidine [[M+H]]	22.0	0.5358197358197359	1133.753200700281	1411.6514161220043	0.7906961506961507	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	D-(+)-Melibiose [[M+Na]]/Isomaltose [[M+Na]]	23.0	0.5992448359443866	2088.0908435248266	2219.0	0.8520512511084246	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	D-(+)-Turanose [[M+Na]]/Palatinose [[M+Na]]	24.5	0.7260951618325295	2139.033371771732	2219.0	0.9177036073161138	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Deoxyadenosine [[M+H]]	30.0	0.8665112665112666	47.794666267920945	22.609898107714702	0.9592969696969695	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Glucosamine [[M+H]]	36.0	0.39689199689199695	5230.887676267124	4078.329350856233	0.6606799704360681	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Glutamic Acid [[M-H2O+H]]	32.0	0.6943278943278944	9906.995354704675	9855.454030501089	0.9177036073161138	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Glutathione [[M+H]]	52.0	0.0037296037296037296	29101.649317914515	18807.83790849673	0.04072727272727273	True
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Histidine [[M+H]]	45.0	0.054079254079254076	497.72955086905097	221.7923338185347	0.18927738927738927	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Imidazoleacetic acid [[M+H]]	45.0	0.054079254079254076	164.44977213183967	48.536709455982766	0.18927738927738927	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	L-Arginine [[M+H]]	51.0	0.005905205905205905	6540.0137235292605	2383.3703703703704	0.053737373737373736	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	L-Citrulline [[M+H]]	2.0	0.0012432012432012432	329.7333075005639	1023.90538573508	0.017862838915470493	True
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	L-Glutamine [[M+H]]	19.0	0.33566433566433573	86.83375079975534	128.12275594371664	0.6028708133971293	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	L-Phenylalanine [[M-H2O+H]]	8.0	0.020512820512820513	61.14694159323422	247.5372182255121	0.11063576945929887	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	L-Valine [[M+H]]	19.0	0.33566433566433573	1541.8852513132215	1996.5539026629936	0.6028708133971293	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Maltose [[M+Na]]	23.5	0.6431322050036423	2032.4496425638013	2204.4967320261435	0.872217221722172	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]]	1.0	0.0006216006216006216	197.54678957608226	1996.345238095238	0.013053613053613054	True
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	N2-Acetyl-L-ornithine [[M+H]]	51.0	0.005905205905205905	136.89068239034978	34.94643080830759	0.053737373737373736	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Niacin [[M+H]]	40.0	0.1892773892773893	118.63951813890786	83.9672619047619	0.44932806324110675	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Nicotinamide [[M+H]]	30.0	0.8665112665112666	1282.8318365721912	1023.7387205387206	0.9592969696969695	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	O-acetyl-L-serine [[M+H]]	6.0	0.009324009324009324	306.1263098830555	1016.0606814225316	0.07272727272727274	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Pidolic Acid [[M+H]]	18.0	0.280963480963481	10002.138404896963	12352.540999514798	0.547878787878788	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Proline [[M+NH4]]	25.0	0.778865578865579	59.08893795821333	67.68191721132898	0.9315203315203314	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Spermine [[M+H]]	15.0	0.151981351981352	22590.71776889223	41720.64531780689	0.40677361853832444	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Sucrose [[M+Na]]	25.0	0.778865578865579	2151.7940730459713	2164.20987654321	0.9315203315203314	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Thymine [[M+H]]	40.0	0.1892773892773893	160.50859566125143	63.62724014336918	0.44932806324110675	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Trehalose [[M+Na]]	26.0	0.8665112665112666	2170.4688693859107	2209.310043668122	0.9592969696969695	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Xanthurenic acid [[M+H]]	22.0	0.5358197358197359	106.77097794650204	144.0200189239361	0.7906961506961507	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	d-Desthiobiotin [[M+H]]	14.0	0.1205905205905206	530.2656372642065	705.0276094276095	0.35022566086395873	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	gamma-Glutamylcysteine [[M+H]]	45.0	0.054079254079254076	671.4239884844089	430.5206128745671	0.18927738927738927	False
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	2'-Deoxyguanosine-5'-Diphosphate [[M+H]]/Adenosine 5'-diphosphate (ADP) [[M+H]]	25.0	0.778865578865579	411.433614263922	377.9799810148413	0.9315203315203314	False
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	2'-Deoxyguanosine-5'-Monophosphate [[M+H]]	40.0	0.1892773892773893	988.82580272335	772.2767686424475	0.44932806324110675	False
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	2'-Deoxyuridine [[M+Na]]	17.0	0.23185703185703188	587.097804956486	653.0122133900545	0.5001420454545453	False
