,PLS1,PLS2,PLS3,PLS4,PLS5
2'-Deoxyguanosine-5'-Diphosphate [[M+H]]/Adenosine 5'-diphosphate (ADP) [[M+H]],-0.09727212379245871,-0.1520652303818354,0.05710859470295668,-0.2559561934150741,0.18875700843897128
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],-0.09545218828496264,0.11494830318752036,0.16447862237905264,-0.007100435648869027,-0.09124726296742393
2'-Deoxyuridine [[M+Na]],0.001547879106493757,0.07398887659386508,-0.30164884906711853,0.037524222691196936,-0.04346995217836253
5'-Deoxy-5'-Methylthioadenosine [[M+H]],0.03032006796530615,-0.126643215498704,0.0980653686472473,0.044646799621006164,-0.11145282276440831
ATP [[M+H]],-0.08238440411464913,-0.06940348284448744,-0.09898235640226961,-0.29373389698751873,0.1456157691223977
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],-0.11958810524303945,-0.05419156521814338,-0.29121571119074086,-0.2987569896793551,-0.05885571545089664
Ademetionine [[M+H]],-0.17811737572027958,-0.04775321481085437,0.15841073674766734,0.32064132429758097,0.10921552700586322
Adenine [[M+H]],0.06789002748080383,0.15229361140363087,0.16531804482186221,-0.2852855633014388,-0.09434156460149175
Adenosine phosphate [[M+H]],-0.06631305428012857,0.11731756322427657,0.14286325626273563,0.012610575763150665,-0.11863900217018047
Adenosine-3'-5'-Diphosphate [[M+H]],-0.09038197542880845,-0.14931235437354762,0.05594139606203851,-0.2667542928813866,0.22062731436869137
Aminoadipate [[M+Na]],-0.24168493572262287,-0.03897732985952576,0.16679303814646568,-0.2572448572442528,-0.1274373895787232
Argininosuccinic acid [[M+H]],0.020271209407160304,-0.06056231637869197,0.21272021611125333,0.08858059780160189,-0.09526250150093296
Biotin [[M+H]],0.052505082450236974,-0.2515808177027574,0.006549815467493835,-0.031698235226707214,-0.44413204740644097
Choline [[M+H]],-0.23611146306629427,-0.0908221450734026,0.08269386785835024,-0.2376583488235194,-0.09384591617762716
Coenzyme A [[M+H]],-0.1531122636098623,0.056735756305364746,-0.048254023108364665,0.03242496861312179,-0.01321600345961339
Cytidine [[M+H]],0.019384970861294013,-0.35088115042052137,0.09793157180999632,-0.019639888185635453,-0.2063825946773766
D-(+)-Melibiose [[M+Na]]/Isomaltose [[M+Na]]/Maltose [[M+Na]]/Palatinose [[M+Na]],-0.25156433730644573,0.18684836863025603,-0.004001877616888743,0.08392071390708239,-0.021027446579249737
D-(+)-Turanose [[M+Na]],-0.2567710478904865,0.18685463259492996,-0.0030848936059074943,0.08811037855838506,-0.02110542894358677
Flavin adenine dinucleotide [[M+H]],-0.03561842302656943,-0.16668495839579803,0.25349160670512594,0.11248164101629195,0.231019822045074
Glucosamine 6-Phosphate [[M+H]],-0.14942054003378946,0.04528397129520149,-0.17006032711828795,-0.2563524426735004,-0.08563720379317966
Glucosamine [[M+H]],0.08991462696460442,-0.01852696023111892,0.031728200820763816,-0.07927629189585012,-0.132055292833956
Glutamic Acid [[M-H2O+H]],0.2854991734347113,0.09575798247213935,-0.1145924457510011,0.004905098816251643,0.19421696383687928
Glutathione [[M+H]],0.06091054856939376,0.34159238229890865,0.017281418018844544,-0.04563643841862809,0.012643572112517789
Guanosine-5'-Diphosphate [[M+H]],-0.1102932174556154,-0.0876878797492958,0.09587781724088758,0.10355637869344435,0.2341437719056604
Histidine [[M+H]],-0.14486036773502406,-0.10943211955757295,-0.17652328622320126,-0.023180174634799187,0.06325978586165051
Imidazoleacetic acid [[M+H]],0.10612598229341305,0.05011057500452547,-0.04278898905141362,-0.04441697734660171,0.14166900856164547
L-Arginine [[M+H]],0.11267245767062177,0.3550718993353709,0.3013037207914273,-0.10622543304293502,-0.07968580419153509
L-Citrulline [[M+H]],0.07982504243446761,-0.21900768457333114,0.22572248574202441,0.18443118403162903,-0.03268057865007758
