Feature,Mean_Coefficient,Std_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]],728.0472100665627,177.4777367343285
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],-253.7311332537785,212.6190448951561
2'-Deoxyuridine [[M+Na]],-102.1180410492047,247.52039293641764
3-Methylhistidine [[M+Na]],-869.0561098312476,383.7469342212543
5'-Deoxy-5'-Methylthioadenosine [[M+H]],-293.9364761394938,292.81527473434716
ATP [[M+H]],827.4450264024503,214.1584933422437
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],105.44640220269612,283.6931592361383
Ademetionine [[M+H]],443.8940075912793,285.94315534406815
Adenine [[M+H]],-272.14010711617374,324.15769379281176
Adenosine 5'-diphosphate (ADP) [[M+Na]],-477.5574642629488,195.70791247905532
Adenosine 5'-phosphosulfate [[M+Na]],-522.1989669083903,235.55248914727179
Adenosine phosphate [[M+H]],-418.4789861483258,177.16844500392426
Adenosine-3'-5'-Diphosphate [[M+Na]],-302.0172656854701,154.91253166313376
Aminoadipate [[M+Na]],-102.60298617726217,297.75998870668263
Argininosuccinic acid [[M+H]],266.4387636701184,245.90769081112433
Biotin [[M+H]],-405.26874616730345,357.673401927069
Choline [[M+H]],-179.2090649787392,213.0924800342389
Coenzyme A [[M+H]],499.27457163431353,215.61270649962108
Cytidine [[M+H]],35.622743149738305,214.80844447837597
D-(+)-Melibiose [[M+K]],-421.2288980428746,134.09977978636798
D-(+)-Turanose [[M+Na]],-311.052445187457,393.0561120329471
Deoxyadenosine [[M+H]],448.74883149248365,111.633051440238
Flavin adenine dinucleotide [[M+H]],190.4527778588099,318.92421808016616
Gluconic Acid [[M+Na]],-510.48354133618966,311.33590428418677
Glucosamine [[M+H]],269.99792992807244,261.2193454667313
Glutamic Acid [[M+H]],-348.70049511946206,208.2639878134742
Glutathione [[M+H]],-785.1643240193662,233.4390050830218
Guanosine-5'-Diphosphate [[M+H]],250.40231413045936,225.62553737174622
Histidine [[M+H]],87.52909765857962,168.03468932125872
Imidazoleacetic acid [[M+H]],26.36441107492779,175.02696383119724
Indole-3-Ethanol [[M+H]],207.72835970828743,375.0904563327643
Inosine triphosphate [[M+H]],238.8577807054031,240.18121282368776
Isomaltose [[M+Na]],-311.052445187457,393.0561120329471
L-Arginine [[M+H]],-1126.3080197760034,255.90734931616558
L-Citrulline [[M+H]],186.70628666236433,376.3424910771401
L-Glutamine [[M+H]],610.9768482389943,183.26753335308007
L-Lysine [[M+H]],1360.4842455607627,564.9067833280182
L-Threonine [[M+NH4]],-139.24764229936457,300.5168046119035
L-Valine [[M+H]],520.7012820244212,370.755639395008
Levocarnitine [[M+H]],300.7970445552016,266.30297381907474
Linoleic acid [[M+Na]],-93.36149712652379,187.90393072189906
Maltose [[M+K]],-421.2288980428746,134.09977978636798
Methionine [[M+H]],374.84459319594686,280.1260463123893
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],-414.13366668106363,206.49385766746585
N-Acetylputrescine [[M+Na]],-804.9928878147424,370.1929219934721
N2-Acetyl-L-ornithine [[M+H]],-1108.4189119095768,268.1739999008228
Nicotinamide [[M+H]],-203.75384446592642,342.7535386929373
O-acetyl-L-serine [[M+H]],-83.89528448693378,106.33866634650043
Oleic acid [[M+Na]],379.2554753125604,229.8890077282611
P-Hydroxybenzoic Acid [[M-H2O+H]],-72.05942410455991,202.72559886067404
Palatinose [[M+K]],-420.96825438561353,133.60320263600056
Pidolic Acid [[M+H]],310.4720262563783,211.58266887006837
Proline [[M+NH4]],419.49505195268705,132.65395320931927
Pyridoxal [[M+H]],-314.69552975197587,351.1578119906783
Sucrose [[M+K]],-411.77079193127975,139.14636526235498
Tetracosanoic acid [[M+Na]],-519.9518255725205,426.1951709772156
Thymine [[M+H]],92.89253298311317,185.28393279961867
Trehalose [[M+K]],-420.61818897837975,134.54519484080535
d-Desthiobiotin [[M+Na]],196.5915531819364,187.78666342464203
gamma-Glutamylcysteine [[M+H]],-817.8887817798089,329.91484374141584
