Group 1,Group 2,Metabolite,U_stat,raw_p_value,corrected_p_value,Significant
None,PosLow,2'-Deoxyguanosine-5'-Diphosphate [[M+H]],162.0,0.7530832737222033,0.8980509795003594,False
None,PosLow,2'-Deoxyguanosine-5'-Monophosphate [[M+H]],190.0,0.2143291535813715,0.5935268868407211,False
None,PosLow,2'-Deoxyuridine [[M+Na]],89.0,0.03849152312012653,0.24942506981841994,False
None,PosLow,5'-Deoxy-5'-Methylthioadenosine [[M+H]],163.0,0.7239584774346381,0.8980509795003594,False
None,PosLow,ATP [[M+H]],177.0,0.41720714992996943,0.7813590553601739,False
None,PosLow,Acetyl coenzyme A (Acetyl-CoA) [[M+H]],168.0,0.6077720563256119,0.8959455380206459,False
None,PosLow,Ademetionine [[M+H]],162.0,0.7530163336766267,0.8980509795003594,False
None,PosLow,Adenine [[M+H]],123.0,0.34530799504008103,0.7296384612071815,False
None,PosLow,Adenosine 5'-diphosphate (ADP) [[M+H]],161.0,0.7783552066087398,0.9038963689649882,False
None,PosLow,Adenosine phosphate [[M+H]],194.0,0.16937888057339012,0.5226548314836038,False
None,PosLow,Adenosine-3'-5'-Diphosphate [[M+H]],167.0,0.6311257288405783,0.8959455380206459,False
None,PosLow,Aminoadipate [[M+Na]],122.0,0.328647075793979,0.7194706253868189,False
None,PosLow,Argininosuccinic acid [[M+H]],110.0,0.16937888057339012,0.5226548314836038,False
None,PosLow,Biotin [[M+H]],120.0,0.2969162298626473,0.6856744684270899,False
None,PosLow,Choline [[M+H]],173.5,0.48651215043102636,0.8252876269091757,False
None,PosLow,Cytidine [[M+H]],168.0,0.6077469152292285,0.8959455380206459,False
None,PosLow,D-(+)-Melibiose [[M+K]],164.5,0.6864657985051619,0.8959455380206459,False
None,PosLow,D-(+)-Turanose [[M+Na]],134.5,0.5712122289730981,0.8812988675584942,False
None,PosLow,Deoxyadenosine [[M+H]],156.0,0.9046607647255803,0.9516561291269092,False
None,PosLow,Flavin adenine dinucleotide [[M+H]],204.0,0.08688513325238995,0.34829445142360616,False
None,PosLow,Glucosamine [[M+H]],120.0,0.2969162298626473,0.6856744684270899,False
None,PosLow,Glutamic Acid [[M+H]],184.0,0.2912723693163096,0.6856744684270899,False
None,PosLow,Glutathione [[M+H]],129.0,0.45624182590897844,0.8122107230467528,False
None,PosLow,Guanosine-5'-Diphosphate [[M+H]],161.5,0.7651285775273527,0.8981944170973272,False
None,PosLow,Histidine [[M+H]],179.0,0.38021366026294423,0.7604273205258885,False
None,PosLow,Imidazoleacetic acid [[M+H]],130.0,0.4758857627304909,0.8245293429127222,False
None,PosLow,Indole-3-Ethanol [[M+H]],128.0,0.43109863968664897,0.7825056177090665,False
None,PosLow,Isomaltose [[M+Na]],134.5,0.5712122289730981,0.8812988675584942,False
None,PosLow,L-Arginine [[M+H]],143.0,0.7783552066087398,0.9038963689649882,False
None,PosLow,L-Citrulline [[M+H]],190.0,0.2143291535813715,0.5935268868407211,False
None,PosLow,L-Glutamine [[M+H]],179.0,0.38021366026294423,0.7604273205258885,False
None,PosLow,L-Lysine [[M+H]],128.0,0.4292734080027113,0.7825056177090665,False
None,PosLow,L-Threonine [[M+NH4]],130.0,0.47542042210956303,0.8245293429127222,False
None,PosLow,L-Valine [[M+H]],137.0,0.6311257288405783,0.8959455380206459,False
None,PosLow,Linoleic acid [[M+Na]],146.0,0.8551344621195547,0.9300822192544509,False
None,PosLow,Maltose [[M+K]],164.5,0.6864657985051619,0.8959455380206459,False
None,PosLow,Methionine [[M+H]],145.5,0.8424042300294949,0.9289661776404776,False
None,PosLow,N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],158.0,0.8554459917834147,0.9300822192544509,False
None,PosLow,N-Acetylputrescine [[M+Na]],154.5,0.9468844959990496,0.9677936173618046,False
None,PosLow,N2-Acetyl-L-ornithine [[M+H]],177.0,0.41720714992996943,0.7813590553601739,False
None,PosLow,Nicotinamide [[M+H]],133.0,0.5401433614641258,0.8578747505606703,False
None,PosLow,O-acetyl-L-serine [[M+H]],202.0,0.09918112975937156,0.365656357643182,False
None,PosLow,Oleic acid [[M+Na]],89.0,0.03849152312012653,0.24942506981841994,False
None,PosLow,P-Hydroxybenzoic Acid [[M-H2O+H]],178.0,0.3984518562043319,0.7730443198215781,False
None,PosLow,Palatinose [[M+K]],165.5,0.6618982518592534,0.8959455380206459,False
None,PosLow,Phenylethyl alcohol [[M+H]],137.0,0.6311257288405783,0.8959455380206459,False
None,PosLow,Pidolic Acid [[M+H]],194.0,0.16937888057339012,0.5226548314836038,False
None,PosLow,Proline [[M+NH4]],155.0,0.9312803690076243,0.954857087210349,False
None,PosLow,Sucrose [[M+K]],163.0,0.7239584774346381,0.8980509795003594,False
None,PosLow,Tetracosanoic acid [[M+Na]],151.0,0.9864401730617329,0.9956592400996931,False
None,PosLow,Thymine [[M+H]],131.0,0.49664657937439904,0.8294746749899925,False
None,PosLow,Trehalose [[M+K]],164.5,0.6864657985051619,0.8959455380206459,False
None,PosLow,d-Desthiobiotin [[M+Na]],115.5,0.22778025816396819,0.6150066970427142,False
None,PosLow,gamma-Glutamylcysteine [[M+H]],142.0,0.7530832737222033,0.8980509795003594,False
None,NegHigh,2'-Deoxyguanosine-5'-Diphosphate [[M+H]],177.0,0.634563842793149,0.8959455380206459,False
None,NegHigh,2'-Deoxyguanosine-5'-Monophosphate [[M+H]],108.0,0.09306641601989225,0.3632954071137962,False
None,NegHigh,2'-Deoxyuridine [[M+Na]],157.0,0.8991381498150794,0.9494549367746009,False
None,NegHigh,5'-Deoxy-5'-Methylthioadenosine [[M+H]],149.0,0.7022220317694706,0.8959455380206459,False
None,NegHigh,ATP [[M+H]],231.0,0.028783420077896783,0.2274592220789892,False
None,NegHigh,Acetyl coenzyme A (Acetyl-CoA) [[M+H]],219.0,0.0708887170365454,0.32710483620625047,False
None,NegHigh,Ademetionine [[M+H]],84.0,0.014683299791293425,0.1761995974955211,False
None,NegHigh,Adenine [[M+H]],194.0,0.31058216945556716,0.6988098812750262,False
None,NegHigh,Adenosine 5'-diphosphate (ADP) [[M+H]],175.0,0.6803848701396208,0.8959455380206459,False
None,NegHigh,Adenosine phosphate [[M+H]],112.0,0.12049736300022333,0.4153313362986421,False
None,NegHigh,Adenosine-3'-5'-Diphosphate [[M+H]],181.0,0.5471320524033365,0.8605377911586457,False
None,NegHigh,Aminoadipate [[M+Na]],151.0,0.7513381627047098,0.8980509795003594,False
None,NegHigh,Argininosuccinic acid [[M+H]],92.0,0.028783420077896783,0.2274592220789892,False
None,NegHigh,Biotin [[M+H]],93.0,0.031181199599750322,0.23981829886445769,False
None,NegHigh,Choline [[M+H]],194.0,0.31058216945556716,0.6988098812750262,False
None,NegHigh,Cytidine [[M+H]],101.0,0.057268974943693936,0.3181020211287674,False
None,NegHigh,D-(+)-Melibiose [[M+K]],125.0,0.24716931568996203,0.6305736872720291,False
None,NegHigh,D-(+)-Turanose [[M+Na]],126.0,0.2636829543896356,0.6472217971381966,False
None,NegHigh,Deoxyadenosine [[M+H]],182.0,0.5162490679956793,0.8363234901530004,False
None,NegHigh,Flavin adenine dinucleotide [[M+H]],174.5,0.6918473181335265,0.8959455380206459,False
None,NegHigh,Glucosamine [[M+H]],130.0,0.3259453354876608,0.7184101271972931,False
None,NegHigh,Glutamic Acid [[M+H]],138.0,0.4636894845879823,0.8158908890441045,False
None,NegHigh,Glutathione [[M+H]],147.0,0.657313341451708,0.8959455380206459,False
None,NegHigh,Guanosine-5'-Diphosphate [[M+H]],132.5,0.3653934838592532,0.7399218048149877,False
None,NegHigh,Histidine [[M+H]],145.0,0.6121543900510028,0.8959455380206459,False
None,NegHigh,Imidazoleacetic acid [[M+H]],170.0,0.7997554646688682,0.9085813658701146,False
None,NegHigh,Indole-3-Ethanol [[M+H]],148.0,0.6787401593034592,0.8959455380206459,False
None,NegHigh,Isomaltose [[M+Na]],126.0,0.2636829543896356,0.6472217971381966,False
None,NegHigh,L-Arginine [[M+H]],221.0,0.06154428387236592,0.3181020211287674,False
None,NegHigh,L-Citrulline [[M+H]],82.0,0.012303580537972942,0.15945440377212933,False
None,NegHigh,L-Glutamine [[M+H]],182.0,0.5262434902656008,0.8475154157391408,False
None,NegHigh,L-Lysine [[M+H]],140.0,0.5054961628232081,0.8294746749899925,False
None,NegHigh,L-Threonine [[M+NH4]],192.0,0.3400479806755755,0.7296384612071815,False
None,NegHigh,L-Valine [[M+H]],157.0,0.8991381498150794,0.9494549367746009,False
None,NegHigh,Linoleic acid [[M+Na]],165.0,0.924245649832728,0.954857087210349,False
None,NegHigh,Maltose [[M+K]],125.0,0.24716931568996203,0.6305736872720291,False
None,NegHigh,Methionine [[M+H]],148.5,0.6913753093895814,0.8959455380206459,False
None,NegHigh,N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],108.0,0.09306641601989225,0.3632954071137962,False
None,NegHigh,N-Acetylputrescine [[M+Na]],176.5,0.6423418937454222,0.8959455380206459,False
None,NegHigh,N2-Acetyl-L-ornithine [[M+H]],183.0,0.505660635591325,0.8294746749899925,False
None,NegHigh,Nicotinamide [[M+H]],139.0,0.4857240444947801,0.8252876269091757,False
None,NegHigh,O-acetyl-L-serine [[M+H]],150.0,0.7259916589044062,0.8980509795003594,False
None,NegHigh,Oleic acid [[M+Na]],104.0,0.0708887170365454,0.32710483620625047,False
None,NegHigh,P-Hydroxybenzoic Acid [[M-H2O+H]],139.0,0.4856117210059865,0.8252876269091757,False
None,NegHigh,Palatinose [[M+K]],125.0,0.24716931568996203,0.6305736872720291,False
None,NegHigh,Phenylethyl alcohol [[M+H]],165.0,0.9242650928503746,0.954857087210349,False
None,NegHigh,Pidolic Acid [[M+H]],233.0,0.024460678082748533,0.21544794495264066,False
None,NegHigh,Proline [[M+NH4]],196.0,0.26979494444685126,0.6523400149311925,False
None,NegHigh,Sucrose [[M+K]],121.0,0.19850036119830872,0.5742331877522503,False
None,NegHigh,Tetracosanoic acid [[M+Na]],154.5,0.8350795341269832,0.9285094064447489,False
None,NegHigh,Thymine [[M+H]],170.0,0.7996290652515786,0.9085813658701146,False
None,NegHigh,Trehalose [[M+K]],125.0,0.24716931568996203,0.6305736872720291,False
None,NegHigh,d-Desthiobiotin [[M+Na]],156.0,0.8736596224938471,0.9435523922933549,False
None,NegHigh,gamma-Glutamylcysteine [[M+H]],168.5,0.836804773709465,0.9285094064447489,False
None,PosHigh,2'-Deoxyguanosine-5'-Diphosphate [[M+H]],159.0,0.020127137716320208,0.1976118975784166,False
None,PosHigh,2'-Deoxyguanosine-5'-Monophosphate [[M+H]],71.0,0.15554845041365106,0.5039769793402294,False
None,PosHigh,2'-Deoxyuridine [[M+Na]],152.0,0.04310263756224741,0.2738285209836894,False
None,PosHigh,5'-Deoxy-5'-Methylthioadenosine [[M+H]],123.0,0.42994949914188263,0.7825056177090665,False
None,PosHigh,ATP [[M+H]],167.5,0.007143519855289618,0.10520456514153802,False
None,PosHigh,Acetyl coenzyme A (Acetyl-CoA) [[M+H]],177.0,0.0019442042470441542,0.048455552003254306,True
None,PosHigh,Ademetionine [[M+H]],119.0,0.5466558336636775,0.8605377911586457,False
None,PosHigh,Adenine [[M+H]],64.0,0.08516760850163536,0.34829445142360616,False
None,PosHigh,Adenosine 5'-diphosphate (ADP) [[M+H]],159.0,0.020127137716320208,0.1976118975784166,False
None,PosHigh,Adenosine phosphate [[M+H]],73.0,0.1821610775210909,0.5515905524937705,False
None,PosHigh,Adenosine-3'-5'-Diphosphate [[M+H]],156.0,0.02817364722986264,0.2274592220789892,False
None,PosHigh,Aminoadipate [[M+Na]],116.0,0.6359270020946078,0.8959455380206459,False
None,PosHigh,Argininosuccinic acid [[M+H]],51.0,0.022552419885191896,0.2087709726514907,False
None,PosHigh,Biotin [[M+H]],129.0,0.3016622782472761,0.6882998461416722,False
None,PosHigh,Choline [[M+H]],104.5,1.0,1.0,False
None,PosHigh,Cytidine [[M+H]],138.0,0.15536449833809549,0.5039769793402294,False
None,PosHigh,D-(+)-Melibiose [[M+K]],62.0,0.06381676349805519,0.3181020211287674,False
None,PosHigh,D-(+)-Turanose [[M+Na]],89.5,0.5310050289970543,0.8475154157391408,False
None,PosHigh,Deoxyadenosine [[M+H]],123.0,0.42994949914188263,0.7825056177090665,False
None,PosHigh,Flavin adenine dinucleotide [[M+H]],113.5,0.7134381136090329,0.8959455380206459,False
None,PosHigh,Glucosamine [[M+H]],85.0,0.41353255788702625,0.7813590553601739,False
None,PosHigh,Glutamic Acid [[M+H]],72.0,0.1627367469391382,0.5169284902772625,False
None,PosHigh,Glutathione [[M+H]],11.0,6.270539187404576e-05,0.0029023638524558327,True
None,PosHigh,Guanosine-5'-Diphosphate [[M+H]],105.0,1.0,1.0,False
None,PosHigh,Histidine [[M+H]],167.0,0.007624498327390583,0.10740597643802387,False
None,PosHigh,Imidazoleacetic acid [[M+H]],97.0,0.7629639119703863,0.8981944170973272,False
None,PosHigh,Indole-3-Ethanol [[M+H]],67.0,0.1105102922896419,0.3978370522427108,False
None,PosHigh,Isomaltose [[M+Na]],89.5,0.5310050289970543,0.8475154157391408,False
None,PosHigh,L-Arginine [[M+H]],0.0,7.612829161966117e-06,0.0008509666695833931,True
