well	0	1200	2400	3600	4800	6000	7200	8400	9600	10800	12000	13200	14400	15600	16800	18000	19200	20400	21600	22800	24000	25200	26400	27600	28800	30000	31200	32400	33600	34800	36000	37200	38400	39600	40800	42000	43200	44400	45600	46800	48000	49200	50400	51600	52800	54000	55200	56400	57600	58800	60000	61200	62400	63600	64800	66000	67200	68400	69600	70800	72000	Summary	growth_summary
A1	0.0	0.004500000000000004	0.0	0.0	0.004266666666666669	0.0	0.0013333333333333253	0.007200000000000012	0.009699999999999986	0.015600000000000003	0.019500000000000017	0.01786666666666667	0.03149999999999997	0.02423333333333333	0.02836666666666668	0.03553333333333333	0.0333333333333333	0.04379999999999998	0.03660000000000002	0.0542	0.06540000000000001	0.06266666666666668	0.07296666666666665	0.0867	0.09463333333333332	0.10303333333333331	0.10286666666666666	0.12176666666666669	0.13620000000000002	0.15166666666666664	0.1411	0.16893333333333332	0.18820000000000003	0.20446666666666663	0.21430000000000002	0.24726666666666663	0.26670000000000005	0.28900000000000003	0.3185	0.3372333333333333	0.3593666666666666	0.38859999999999995	0.41559999999999997	0.43766666666666665	0.476	0.5059333333333333	0.5152666666666668	0.5732666666666666	0.6067333333333333	0.6113333333333333	0.6794	0.7244666666666667	0.7681666666666667	0.8159333333333333	0.8819999999999999	0.9173333333333334	0.9680000000000001	1.0056666666666667	1.0689666666666666	1.1166333333333331	1.1595666666666666	Growth with 50 mM (S)-lactic acid, no proline supplementation.	18.737033333333333
A2	0.015833333333333324	0.031899999999999984	0.023800000000000016	0.026499999999999996	0.009266666666666645	0.013733333333333347	0.01473333333333332	0.0199	0.021399999999999975	0.01930000000000001	0.025000000000000022	0.024266666666666686	0.0	0.005133333333333323	0.009466666666666679	0.011933333333333324	0.01533333333333331	0.009000000000000008	0.025499999999999995	0.004899999999999988	0.0007999999999999952	0.011666666666666659	0.021966666666666662	0.0121	0.010633333333333356	0.0055333333333333345	0.015366666666666667	0.017066666666666674	0.015900000000000025	0.0008666666666666822	0.01830000000000001	0.010633333333333356	0.0003999999999999837	0.011066666666666669	0.0032000000000000084	0.014066666666666672	0.013100000000000028	0.007100000000000023	0.004699999999999982	0.009833333333333333	0.008566666666666667	0.0021000000000000185	0.003500000000000003	0.0035666666666666624	0.004799999999999999	0.0039333333333333165	0.0009666666666666435	0.0	0.004333333333333356	0.0008333333333333248	0.0030000000000000027	0.002066666666666689	0.002066666666666661	0.0	0.0007999999999999952	0.0	0.007700000000000012	0.005766666666666642	0.0010666666666666602	0.0	0.012266666666666648	Media control	0.5985333333333335
A3	0.026999999999999982	0.022966666666666663	0.028766666666666663	0.03156666666666663	0.0461	0.005799999999999972	0.014200000000000018	0.02726666666666666	0.015233333333333321	0.007966666666666677	0.022800000000000015	0.03203333333333333	0.01573333333333332	0.050066666666666676	0.057033333333333325	0.051933333333333304	0.04476666666666665	0.05803333333333335	0.06696666666666665	0.07126666666666667	0.08080000000000004	0.08613333333333331	0.10040000000000002	0.11019999999999999	0.12326666666666666	0.13393333333333332	0.15833333333333333	0.16843333333333335	0.17653333333333335	0.19720000000000004	0.21876666666666664	0.24406666666666663	0.266	0.29333333333333333	0.349	0.36206666666666676	0.39856666666666674	0.44266666666666665	0.48153333333333337	0.5186333333333333	0.579	0.6244000000000001	0.6808666666666666	0.7526	0.8092999999999999	0.8473333333333333	0.9568666666666668	1.0009333333333335	1.0447333333333333	1.1742666666666668	1.1966666666666665	1.2498333333333334	1.3234666666666666	1.3632333333333333	1.4467	1.5041	1.5114666666666667	1.5840666666666665	1.6581000000000001	1.6898	1.7098	Growth with 10 mM proline supplementation, no lactic acid.	30.3149
A4	0.01919999999999998	0.03306666666666666	0.01686666666666667	0.001166666666666677	0.04550000000000001	0.03360000000000002	0.03739999999999999	0.02886666666666665	0.03373333333333331	0.03206666666666669	0.03720000000000001	0.03213333333333332	0.043333333333333335	0.028766666666666663	0.06133333333333335	0.062133333333333346	0.06606666666666666	0.07393333333333332	0.08596666666666666	0.09496666666666664	0.11529999999999999	0.12153333333333333	0.13399999999999998	0.1539	0.1788666666666667	0.19043333333333332	0.21083333333333334	0.23563333333333333	0.2551333333333333	0.2781	0.2917666666666666	0.33066666666666666	0.37250000000000005	0.4037333333333333	0.4558	0.5038666666666666	0.5502666666666667	0.5987666666666667	0.6639333333333334	0.7178333333333333	0.7890999999999999	0.8529	0.9198666666666668	0.9992	1.0510000000000002	1.1348333333333334	1.1977666666666666	1.2954333333333334	1.3355333333333332	1.4122666666666668	1.4941666666666666	1.5365333333333333	1.6087666666666667	1.6287333333333334	1.7192	1.7694	1.7682666666666669	1.8575666666666668	1.9061	1.9338000000000002	1.8879	Growth with 20 mM proline supplementation, no lactic acid.	37.728500000000004
A5	0.03883333333333333	0.040166666666666684	0.03976666666666667	0.028600000000000014	0.06040000000000001	0.03143333333333334	0.02693333333333331	0.04986666666666667	0.03416666666666668	0.03786666666666663	0.06713333333333332	0.02896666666666667	0.034033333333333304	0.08910000000000001	0.04100000000000001	0.04513333333333333	0.11713333333333334	0.1072666666666667	0.07809999999999997	0.10743333333333335	0.10866666666666669	0.11906666666666665	0.13313333333333335	0.12339999999999998	0.1406666666666667	0.13929999999999998	0.17083333333333334	0.17	0.1844666666666667	0.1670333333333333	0.20010000000000003	0.2039333333333333	0.2309	0.2643	0.2959333333333334	0.31023333333333325	0.3411666666666666	0.3673666666666666	0.4059666666666667	0.43100000000000005	0.47619999999999996	0.4921333333333333	0.5431333333333334	0.6028333333333333	0.6484333333333333	0.6818666666666666	0.7912333333333333	0.7978333333333333	0.8415333333333334	0.9696666666666667	0.9506333333333334	1.0173666666666665	1.0809000000000002	1.1479666666666666	1.2039333333333335	1.2668333333333333	1.3192333333333335	1.3953333333333333	1.4507	1.5313666666666668	1.5596999999999999	Growth with 20 mM alanine supplementation, no lactic acid.	26.37963333333333
A6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004466666666666647	0.007633333333333325	0.001166666666666677	0.0023333333333332984	0.008099999999999996	0.01570000000000002	0.01313333333333333	0.023633333333333312	0.024766666666666687	0.02119999999999997	0.03093333333333334	0.04026666666666667	0.04996666666666666	0.049133333333333334	0.058099999999999985	0.06926666666666667	0.0696	0.09093333333333331	0.09970000000000001	0.10266666666666666	0.09493333333333331	0.10980000000000001	0.1202333333333333	0.1402	0.17129999999999998	0.18303333333333335	0.2000333333333333	0.22756666666666664	0.25106666666666666	0.2809666666666667	0.2994	0.3352	0.3363333333333334	0.3825333333333334	0.4204333333333333	0.4501333333333333	0.4706666666666667	0.5392333333333333	0.5641333333333333	0.5889333333333333	0.6633666666666667	0.6932333333333334	0.7424666666666667	0.787	0.8431666666666666	0.9054333333333332	0.9447333333333332	1.0012333333333334	1.0792333333333333	1.1263	1.1998666666666666	1.2422	Growth with 20 mM proline supplementation and 50 mM (S)-lactic acid.	18.17706666666667
A7	0.023500000000000007	0.03719999999999998	0.030266666666666678	0.016966666666666658	0.021699999999999997	0.04436666666666664	0.025033333333333324	0.010800000000000004	0.017566666666666675	0.025433333333333336	0.034466666666666645	0.02266666666666667	0.04063333333333333	0.07036666666666666	0.028433333333333338	0.03956666666666667	0.07306666666666667	0.027466666666666695	0.0469	0.0469	0.04513333333333333	0.04566666666666666	0.05133333333333334	0.062266666666666665	0.06913333333333338	0.05583333333333332	0.08956666666666666	0.06496666666666664	0.08186666666666664	0.049699999999999994	0.0831666666666667	0.07780000000000001	0.09126666666666669	0.10376666666666665	0.11813333333333334	0.12263333333333334	0.14200000000000002	0.15853333333333328	0.18273333333333333	0.19093333333333332	0.22703333333333334	0.21656666666666666	0.2488666666666667	0.2822	0.3016333333333333	0.3187	0.4046333333333334	0.4015666666666666	0.4107666666666667	0.4964666666666667	0.4663333333333334	0.5039333333333333	0.5450999999999999	0.5714	0.6305333333333333	0.675	0.7067666666666667	0.7601666666666667	0.8076666666666668	0.8740666666666667	0.9254	Growth with 20 mM alanine supplementation, no lactic acid.	13.344533333333331
A8	0.028233333333333333	0.011066666666666655	0.023399999999999976	0.012433333333333352	0.014066666666666672	0.03693333333333332	0.02513333333333334	0.025999999999999968	0.02739999999999998	0.028000000000000025	0.032333333333333325	0.04040000000000002	0.08103333333333332	0.07766666666666669	0.06613333333333332	0.05740000000000001	0.07436666666666666	0.09076666666666669	0.09723333333333337	0.08786666666666668	0.06433333333333335	0.10369999999999999	0.1073666666666667	0.11103333333333332	0.11776666666666669	0.11989999999999998	0.11896666666666669	0.1444	0.17439999999999997	0.18136666666666665	0.20523333333333335	0.219	0.24003333333333335	0.2870666666666667	0.30566666666666664	0.32730000000000004	0.3675666666666666	0.38813333333333333	0.4518333333333333	0.4894333333333334	0.5431666666666667	0.5668333333333333	0.6102666666666667	0.6797333333333333	0.7347666666666667	0.7918333333333333	0.8957999999999999	0.9215333333333334	0.9895999999999999	1.0488333333333333	1.1019666666666668	1.1977	1.2631000000000001	1.3063333333333333	1.3767333333333334	1.4533	1.4586666666666668	1.5642333333333334	1.5984333333333332	1.6199666666666666	1.6434666666666666	Baseline growth without any supplementation or treatment.	28.82863333333333
A9	0.0017333333333333367	0.019366666666666657	0.03319999999999998	0.02933333333333335	0.03106666666666666	0.08193333333333333	0.06113333333333332	0.07399999999999998	0.05579999999999999	0.0695	0.07223333333333334	0.07040000000000002	0.06483333333333333	0.07006666666666667	0.05733333333333332	0.06539999999999999	0.07796666666666666	0.07716666666666669	0.0738333333333333	0.08486666666666667	0.09383333333333335	0.08229999999999998	0.07116666666666668	0.08413333333333334	0.07236666666666669	0.07630000000000006	0.08506666666666665	0.11519999999999997	0.1465	0.11926666666666666	0.1345333333333333	0.1417	0.14903333333333332	0.18066666666666667	0.17036666666666667	0.18880000000000002	0.2137666666666667	0.23093333333333335	0.2623333333333333	0.2785333333333333	0.3214666666666667	0.31773333333333337	0.33996666666666675	0.3745333333333333	0.41156666666666675	0.43643333333333334	0.4756	0.5144333333333333	0.5569999999999999	0.5716333333333333	0.6117666666666667	0.6866000000000001	0.7484	0.7820333333333334	0.8566333333333334	0.9313	0.9546666666666667	1.0215333333333332	1.0982333333333332	1.1348666666666667	1.1950666666666665	Growth with 20 mM alanine supplementation, no lactic acid.	18.40943333333333
A10	0.0009333333333333416	0.022066666666666665	0.025599999999999984	0.006933333333333347	0.015666666666666662	0.013433333333333325	0.013633333333333303	0.011699999999999988	0.0058	0.012500000000000011	0.01933333333333334	0.0252	0.0013333333333333253	0.01206666666666667	0.02263333333333334	0.0204	0.028066666666666656	0.024766666666666687	0.030633333333333318	0.03936666666666666	0.04203333333333334	0.0411	0.042166666666666686	0.022733333333333355	0.05306666666666668	0.041600000000000026	0.07276666666666667	0.026900000000000007	0.01679999999999998	0.0005666666666666598	0.0	0.010299999999999976	0.02473333333333333	0.010166666666666657	0.027166666666666672	0.018100000000000005	0.03186666666666668	0.043433333333333324	0.027633333333333315	0.026533333333333325	0.018566666666666648	0.01993333333333336	0.035366666666666685	0.03213333333333335	0.030566666666666686	0.012433333333333352	0.015999999999999986	0.039133333333333326	0.03169999999999998	0.03453333333333333	0.02006666666666665	0.027500000000000024	0.009399999999999992	0.020133333333333336	0.01583333333333331	0.012199999999999989	0.011666666666666659	0.017533333333333345	0.01093333333333335	0.049666666666666665	0.03086666666666668	Media control	1.4279000000000002
